s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_FUEL VAPOR,MLR_PRODUCTS,MLR_WATER VAPOR
 7.2045922E+000, 6.6943825E+001,-4.7535670E+000,-1.2544791E+000,-3.2721158E-001, 0.0000000E+000, 0.0000000E+000,-3.7991951E+001, 2.2141334E+001, 2.2616616E+001,-1.0381642E-005, 2.0411633E-003, 1.1771653E-005, 3.5043650E-003
 7.3952084E+000, 7.2014653E+001,-5.6343110E+000,-1.4516985E+000,-3.2713644E-001, 0.0000000E+000, 0.0000000E+000,-4.0425828E+001, 2.3637299E+001, 2.4175680E+001,-1.2367627E-005, 2.4124993E-003, 1.4023544E-005, 3.7929922E-003
 7.5744247E+000, 7.9299710E+001,-6.8166487E+000,-1.4978835E+000,-3.3013942E-001, 0.0000000E+000, 0.0000000E+000,-4.4479713E+001, 2.5673878E+001, 2.6175325E+001,-1.5146962E-005, 2.9273915E-003, 1.7175007E-005, 4.1408602E-003
 7.7450914E+000, 8.8588483E+001,-8.2858116E+000,-2.1614978E+000,-3.3000467E-001, 0.0000000E+000, 0.0000000E+000,-5.0096913E+001, 2.7107770E+001, 2.7714256E+001,-1.8682265E-005, 3.6166095E-003, 2.1183656E-005, 4.5394739E-003
 7.9401388E+000, 1.0222018E+002,-1.0343202E+001,-6.9976015E+000,-3.2836096E-001, 0.0000000E+000, 0.0000000E+000,-5.7629033E+001, 2.6389321E+001, 2.6921987E+001,-2.4079223E-005, 4.7076683E-003, 2.7303219E-005, 5.0483090E-003
 8.1108055E+000, 1.1819563E+002,-1.3062066E+001,-1.3325736E+001,-3.3134790E-001, 0.0000000E+000, 0.0000000E+000,-6.5880070E+001, 2.4626776E+001, 2.5596414E+001,-3.1784603E-005, 6.4422078E-003, 3.6040282E-005, 5.6646850E-003
 8.2814722E+000, 1.4107069E+002,-1.6952991E+001,-1.6446014E+001,-3.3753804E-001, 0.0000000E+000, 0.0000000E+000,-7.7307018E+001, 2.8387474E+001, 3.0027131E+001,-4.1837526E-005, 8.7137163E-003, 4.7439203E-005, 6.3012923E-003
 8.4765196E+000, 1.7085570E+002,-2.1977740E+001,-1.6311953E+001,-3.4139971E-001, 0.0000000E+000, 0.0000000E+000,-9.2240006E+001, 3.6613397E+001, 3.9984597E+001,-5.7229162E-005, 1.2126523E-002, 6.4891644E-005, 7.1593481E-003
 8.6471863E+000, 2.1241252E+002,-2.9872617E+001,-1.5059765E+001,-3.3834659E-001, 0.0000000E+000, 0.0000000E+000,-1.1367672E+002, 5.2503014E+001, 5.3465073E+001,-8.0185595E-005, 1.7054136E-002, 9.0921742E-005, 8.1530869E-003
 8.8322182E+000, 2.5684151E+002,-3.4448345E+001,-1.7064436E+001,-3.3984460E-001, 0.0000000E+000, 0.0000000E+000,-1.3099965E+002, 6.8319131E+001, 7.3989236E+001,-1.1562490E-004, 2.3424011E-002, 1.3110605E-004, 9.1212196E-003
 9.0072355E+000, 3.1964801E+002,-4.7632113E+001,-1.6844386E+001,-3.5559792E-001, 0.0000000E+000, 0.0000000E+000,-1.5927768E+002, 9.2730656E+001, 9.5538232E+001,-1.6017327E-004, 3.0600991E-002, 1.8161907E-004, 9.8643742E-003
 9.1826420E+000, 3.7478357E+002,-5.3412274E+001,-1.4297719E+001,-3.6971840E-001, 0.0000000E+000, 0.0000000E+000,-1.8260533E+002, 1.2020003E+002, 1.2409853E+002,-2.1010946E-004, 3.6669723E-002, 2.3824127E-004, 1.0587126E-002
 9.3629818E+000, 4.5560223E+002,-7.0682552E+001,-1.1693155E+001,-3.8577910E-001, 0.0000000E+000, 0.0000000E+000,-2.0865705E+002, 1.5803850E+002, 1.6418369E+002,-2.6855180E-004, 4.0833741E-002, 3.0450853E-004, 1.1422736E-002
 9.5509377E+000, 5.2408126E+002,-7.0707259E+001,-1.0147986E+001,-4.1876136E-001, 0.0000000E+000, 0.0000000E+000,-2.3836443E+002, 1.9871604E+002, 2.0444282E+002,-3.5751615E-004, 4.3707381E-002, 4.0538442E-004, 1.2526552E-002
 9.7273560E+000, 6.0220414E+002,-7.7057914E+001,-1.5408769E+001,-4.4109094E-001, 0.0000000E+000, 0.0000000E+000,-2.6979326E+002, 2.3669706E+002, 2.3950310E+002,-5.3879501E-004, 4.6144523E-002, 6.1093493E-004, 1.3943852E-002
 9.9067307E+000, 6.8160876E+002,-8.5545547E+001,-2.3318215E+001,-4.5507463E-001, 0.0000000E+000, 0.0000000E+000,-2.9802236E+002, 2.6645833E+002, 2.7426756E+002,-8.8719831E-004, 4.8555241E-002, 1.0059864E-003, 1.5993277E-002
