s,kg
Time,"Fuel Load"
 4.9682436E+001, 4.1029276E+000
 4.9865194E+001, 4.0698900E+000
 5.0040964E+001, 4.0393188E+000
 5.0224259E+001, 4.0087995E+000
 5.0401212E+001, 3.9791483E+000
 5.0580417E+001, 3.9521432E+000
 5.0760679E+001, 3.9253974E+000
 5.0940942E+001, 3.8988677E+000
 5.1120446E+001, 3.8728628E+000
 5.1305040E+001, 3.8453235E+000
 5.1483058E+001, 3.8171207E+000
 5.1663859E+001, 3.7890858E+000
 5.1841321E+001, 3.7613807E+000
 5.2024903E+001, 3.7337131E+000
 5.2202366E+001, 3.7061449E+000
 5.2385947E+001, 3.6790888E+000
 5.2563410E+001, 3.6521400E+000
 5.2743879E+001, 3.6240515E+000
 5.2922955E+001, 3.5962049E+000
 5.3105152E+001, 3.5680574E+000
 5.3280957E+001, 3.5406371E+000
 5.3462621E+001, 3.5135835E+000
 5.3644286E+001, 3.4859082E+000
 5.3820090E+001, 3.4576387E+000
 5.4001754E+001, 3.4310047E+000
 5.4182247E+001, 3.4031764E+000
 5.4365628E+001, 3.3736429E+000
 5.4543550E+001, 3.3432707E+000
 5.4721472E+001, 3.3135406E+000
 5.4904345E+001, 3.2825797E+000
 5.5080867E+001, 3.2522727E+000
 5.5264386E+001, 3.2212047E+000
 5.5443190E+001, 3.1898645E+000
 5.5622454E+001, 3.1587499E+000
 5.5801115E+001, 3.1278556E+000
 5.5981020E+001, 3.0968058E+000
 5.6162715E+001, 3.0663365E+000
 5.6343257E+001, 3.0363472E+000
 5.6524871E+001, 3.0068384E+000
 5.6704173E+001, 2.9767002E+000
 5.6882450E+001, 2.9470896E+000
 5.7062214E+001, 2.9166919E+000
 5.7240583E+001, 2.8851902E+000
 5.7422980E+001, 2.8537701E+000
 5.7604333E+001, 2.8212589E+000
 5.7780216E+001, 2.7885331E+000
 5.7961771E+001, 2.7556478E+000
 5.8143327E+001, 2.7212863E+000
 5.8320192E+001, 2.6874202E+000
 5.8503000E+001, 2.6547652E+000
 5.8681250E+001, 2.6213096E+000
 5.8860614E+001, 2.5893571E+000
 5.9043479E+001, 2.5584594E+000
 5.9223637E+001, 2.5296988E+000
 5.9402465E+001, 2.5028084E+000
 5.9582453E+001, 2.4752575E+000
 5.9763114E+001, 2.4478201E+000
 5.9942971E+001, 2.4200357E+000
 6.0124091E+001, 2.3915451E+000
 6.0302516E+001, 2.3636259E+000
 6.0484944E+001, 2.3359839E+000
 6.0660967E+001, 2.3069434E+000
 6.0841929E+001, 2.2780955E+000
 6.1025128E+001, 2.2491286E+000
 6.1201379E+001, 2.2207197E+000
 6.1385677E+001, 2.1929472E+000
 6.1561961E+001, 2.1652967E+000
 6.1744541E+001, 2.1373337E+000
 6.1925533E+001, 2.1104176E+000
 6.2106296E+001, 2.0840342E+000
 6.2281973E+001, 2.0576299E+000
 6.2462169E+001, 2.0311303E+000
 6.2642364E+001, 2.0049084E+000
 6.2822560E+001, 1.9784042E+000
 6.3002744E+001, 1.9500833E+000
 6.3184214E+001, 1.9235519E+000
 6.3365683E+001, 1.8960839E+000
 6.3540672E+001, 1.8682213E+000
 6.3724102E+001, 1.8403891E+000
 6.3902853E+001, 1.8126601E+000
 6.4086203E+001, 1.7848599E+000
 6.4263230E+001, 1.7568518E+000
 6.4440271E+001, 1.7288958E+000
 6.4622435E+001, 1.7013283E+000
 6.4804599E+001, 1.6735088E+000
 6.4980691E+001, 1.6463786E+000
 6.5162855E+001, 1.6191103E+000
 6.5345019E+001, 1.5917026E+000
 6.5521111E+001, 1.5664250E+000
 6.5703275E+001, 1.5418698E+000
 6.5885439E+001, 1.5187459E+000
 6.6063007E+001, 1.4965371E+000
 6.6242576E+001, 1.4736163E+000
 6.6424539E+001, 1.4508011E+000
 6.6605604E+001, 1.4279774E+000
 6.6783378E+001, 1.4052750E+000
 6.6964240E+001, 1.3824199E+000
 6.7140454E+001, 1.3603381E+000
 6.7325471E+001, 1.3394553E+000
 6.7500355E+001, 1.3193780E+000
 6.7682877E+001, 1.2993562E+000
 6.7860373E+001, 1.2791788E+000
 6.8041203E+001, 1.2592768E+000
 6.8222048E+001, 1.2401109E+000
 6.8404451E+001, 1.2219667E+000
 6.8581766E+001, 1.2038455E+000
 6.8760445E+001, 1.1866165E+000
 6.8941637E+001, 1.1688592E+000
 6.9123503E+001, 1.1517002E+000
 6.9306972E+001, 1.1345226E+000
 6.9483385E+001, 1.1176698E+000
 6.9666854E+001, 1.1008322E+000
 6.9847501E+001, 1.0831924E+000
 7.0026031E+001, 1.0651009E+000
 7.0204977E+001, 1.0464280E+000
 7.0383361E+001, 1.0267298E+000
 7.0566726E+001, 1.0065216E+000
 7.0743300E+001, 9.8727205E-001
 7.0925844E+001, 9.6919482E-001
 7.1101820E+001, 9.5049071E-001
 7.1284312E+001, 9.3165731E-001
 7.1460288E+001, 9.1299469E-001
 7.1642781E+001, 8.9411983E-001
 7.1822015E+001, 8.7581383E-001
 7.2001249E+001, 8.5949682E-001
 7.2180483E+001, 8.4271388E-001
 7.2363518E+001, 8.2579529E-001
 7.2543847E+001, 8.0903266E-001
 7.2724809E+001, 7.9530209E-001
 7.2902698E+001, 7.8238085E-001
 7.3081904E+001, 7.7062175E-001
 7.3265879E+001, 7.5961857E-001
 7.3440086E+001, 7.4969316E-001
 7.3623138E+001, 7.4014815E-001
 7.3803791E+001, 7.2971068E-001
 7.3980902E+001, 7.1888904E-001
 7.4165903E+001, 7.0794614E-001
 7.4345614E+001, 6.9693031E-001
 7.4521060E+001, 6.8600441E-001
 7.4707279E+001, 6.7522580E-001
 7.4885033E+001, 6.6549239E-001
 7.5062788E+001, 6.5613791E-001
 7.5240542E+001, 6.4676069E-001
 7.5426761E+001, 6.3722620E-001
 7.5604515E+001, 6.2847861E-001
 7.5782498E+001, 6.2009217E-001
 7.5965299E+001, 6.1143980E-001
 7.6148099E+001, 6.0297145E-001
 7.6321759E+001, 5.9384963E-001
 7.6504560E+001, 5.8486634E-001
 7.6687578E+001, 5.7614317E-001
 7.6866849E+001, 5.6842187E-001
 7.7042045E+001, 5.6243203E-001
 7.7224005E+001, 5.5691807E-001
 7.7404538E+001, 5.5158445E-001
 7.7580214E+001, 5.4661133E-001
 7.7769777E+001, 5.4176196E-001
 7.7941856E+001, 5.3765790E-001
 7.8122033E+001, 5.3388791E-001
 7.8301299E+001, 5.3007842E-001
 7.8486095E+001, 5.2671875E-001
 7.8662202E+001, 5.2357134E-001
 7.8849315E+001, 5.2074290E-001
 7.9025423E+001, 5.1820981E-001
 7.9201530E+001, 5.1606806E-001
 7.9380939E+001, 5.1419211E-001
 7.9562549E+001, 5.1246636E-001
 7.9749003E+001, 5.1083911E-001
 7.9922138E+001, 5.0932597E-001
 8.0108591E+001, 5.0784314E-001
 8.0293979E+001, 5.0641633E-001
 8.0471243E+001, 5.0515833E-001
 8.0648507E+001, 5.0405787E-001
 8.0820362E+001, 5.0308834E-001
 8.1004419E+001, 5.0206597E-001
 8.1189892E+001, 5.0101173E-001
 8.1370130E+001, 5.0009901E-001
 8.1546808E+001, 4.9923929E-001
 8.1730442E+001, 4.9827509E-001
 8.1908944E+001, 4.9733828E-001
 8.2084292E+001, 4.9671919E-001
 8.2274253E+001, 4.9612252E-001
 8.2449601E+001, 4.9557872E-001
 8.2626411E+001, 4.9513927E-001
 8.2803220E+001, 4.9478220E-001
 8.2980030E+001, 4.9447661E-001
 8.3174520E+001, 4.9403544E-001
 8.3351330E+001, 4.9355005E-001
 8.3531676E+001, 4.9320012E-001
 8.3710607E+001, 4.9282367E-001
 8.3881759E+001, 4.9242990E-001
 8.4074304E+001, 4.9202449E-001
 8.4262571E+001, 4.9163179E-001
 8.4427304E+001, 4.9127889E-001
 8.4610519E+001, 4.9095734E-001
 8.4799584E+001, 4.9066548E-001
 8.4967641E+001, 4.9045268E-001
 8.5156706E+001, 4.9031586E-001
 8.5324764E+001, 4.9024995E-001
 8.5513829E+001, 4.9009200E-001
 8.5681886E+001, 4.8991245E-001
 8.5866750E+001, 4.8990552E-001
 8.6051613E+001, 4.8990101E-001
 8.6236476E+001, 4.8989771E-001
 8.6400543E+001, 4.8989519E-001
 8.6593725E+001, 4.8989301E-001
 8.6761488E+001, 4.8989105E-001
 8.6957212E+001, 4.8988928E-001
 8.7124976E+001, 4.8988767E-001
 8.7326292E+001, 4.8988616E-001
 8.7486227E+001, 4.8988479E-001
 8.7662155E+001, 4.8988360E-001
 8.7851954E+001, 4.8988235E-001
 8.8056639E+001, 4.8988108E-001
 8.8220388E+001, 4.8987993E-001
 8.8384136E+001, 4.8987894E-001
 8.8588822E+001, 4.8987786E-001
 8.8752570E+001, 4.8987682E-001
 8.8928600E+001, 4.8987588E-001
 8.9113226E+001, 4.8987491E-001
 8.9311361E+001, 4.8987390E-001
 8.9509497E+001, 4.8987287E-001
 8.9663052E+001, 4.8987197E-001
 8.9826514E+001, 4.8987117E-001
 9.0044463E+001, 4.8987022E-001
 9.0207925E+001, 4.8986928E-001
 9.0371387E+001, 4.8986848E-001
 9.0589336E+001, 4.8986756E-001
 9.0752797E+001, 4.8986664E-001
 9.0916259E+001, 4.8986586E-001
 9.1134208E+001, 4.8986497E-001
 9.1297670E+001, 4.8986407E-001
 9.1472029E+001, 4.8986330E-001
 9.1651837E+001, 4.8986249E-001
 9.1831645E+001, 4.8986167E-001
 9.2011453E+001, 4.8986085E-001
 9.2191261E+001, 4.8986004E-001
 9.2371069E+001, 4.8985923E-001
 9.2550877E+001, 4.8985843E-001
 9.2744527E+001, 4.8985761E-001
 9.2938176E+001, 4.8985675E-001
 9.3067275E+001, 4.8985604E-001
 9.3260924E+001, 4.8985533E-001
 9.3454574E+001, 4.8985449E-001
 9.3648223E+001, 4.8985365E-001
 9.3841872E+001, 4.8985281E-001
 9.3970971E+001, 4.8985211E-001
 9.4164620E+001, 4.8985142E-001
 9.4358270E+001, 4.8985059E-001
 9.4551919E+001, 4.8984976E-001
 9.4681018E+001, 4.8984908E-001
 9.4874667E+001, 4.8984839E-001
