s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
 2.700E+02, 7.551E+02, 6.822E+02, 4.974E+02, 2.988E+02, 1.667E+02, 7.644E+02, 6.680E+02, 4.857E+02, 3.381E+02, 2.102E+02, 8.417E+02, 7.510E+02, 5.464E+02, 4.124E+02, 2.701E+02, 3.434E+02, 2.507E+02, 1.551E+02, 8.160E+01, 4.784E+01
 3.000E+02, 7.620E+02, 7.149E+02, 5.529E+02, 3.243E+02, 1.729E+02, 7.677E+02, 7.045E+02, 5.632E+02, 3.331E+02, 1.991E+02, 8.413E+02, 7.919E+02, 6.291E+02, 3.922E+02, 2.529E+02, 3.773E+02, 2.775E+02, 1.712E+02, 9.117E+01, 5.187E+01
 3.300E+02, 7.614E+02, 6.797E+02, 5.041E+02, 3.019E+02, 1.675E+02, 7.624E+02, 6.348E+02, 4.173E+02, 2.393E+02, 1.417E+02, 8.364E+02, 6.826E+02, 4.318E+02, 2.670E+02, 1.734E+02, 4.057E+02, 2.951E+02, 1.815E+02, 9.660E+01, 5.433E+01
 3.600E+02, 7.506E+02, 6.744E+02, 5.026E+02, 2.970E+02, 1.694E+02, 7.490E+02, 6.525E+02, 4.895E+02, 3.114E+02, 2.062E+02, 8.399E+02, 7.480E+02, 5.634E+02, 3.695E+02, 2.585E+02, 4.384E+02, 3.225E+02, 1.985E+02, 1.050E+02, 5.851E+01
 3.900E+02, 7.555E+02, 6.954E+02, 5.367E+02, 3.146E+02, 1.785E+02, 7.498E+02, 6.559E+02, 5.098E+02, 3.407E+02, 2.150E+02, 8.463E+02, 7.505E+02, 5.795E+02, 4.108E+02, 2.834E+02, 4.651E+02, 3.436E+02, 2.096E+02, 1.108E+02, 6.143E+01
 4.200E+02, 7.366E+02, 6.727E+02, 5.039E+02, 3.114E+02, 1.797E+02, 7.085E+02, 6.312E+02, 4.608E+02, 3.073E+02, 2.029E+02, 8.128E+02, 7.086E+02, 5.066E+02, 3.492E+02, 2.498E+02, 4.916E+02, 3.680E+02, 2.243E+02, 1.180E+02, 6.533E+01
 4.500E+02, 7.257E+02, 6.235E+02, 4.752E+02, 3.046E+02, 1.824E+02, 7.209E+02, 5.619E+02, 4.174E+02, 2.741E+02, 1.986E+02, 7.954E+02, 6.222E+02, 4.658E+02, 3.288E+02, 2.605E+02, 5.082E+02, 3.916E+02, 2.429E+02, 1.284E+02, 7.056E+01
 4.800E+02, 7.593E+02, 6.911E+02, 5.314E+02, 3.291E+02, 1.909E+02, 8.037E+02, 7.385E+02, 5.754E+02, 3.664E+02, 2.368E+02, 8.789E+02, 8.140E+02, 6.458E+02, 4.413E+02, 3.063E+02, 5.250E+02, 4.147E+02, 2.576E+02, 1.338E+02, 7.342E+01
 5.100E+02, 7.830E+02, 6.942E+02, 5.313E+02, 3.364E+02, 1.957E+02, 7.918E+02, 6.812E+02, 4.659E+02, 3.150E+02, 2.141E+02, 8.617E+02, 7.441E+02, 5.405E+02, 3.781E+02, 2.662E+02, 5.361E+02, 4.284E+02, 2.659E+02, 1.380E+02, 7.592E+01
 5.400E+02, 7.740E+02, 6.955E+02, 5.314E+02, 3.411E+02, 2.002E+02, 7.832E+02, 6.859E+02, 4.592E+02, 2.863E+02, 1.935E+02, 8.664E+02, 7.628E+02, 5.060E+02, 3.440E+02, 2.473E+02, 5.463E+02, 4.453E+02, 2.770E+02, 1.420E+02, 7.864E+01
 5.700E+02, 7.812E+02, 7.046E+02, 5.321E+02, 3.321E+02, 1.946E+02, 7.719E+02, 6.598E+02, 5.294E+02, 3.424E+02, 2.105E+02, 8.279E+02, 7.287E+02, 5.743E+02, 3.707E+02, 2.556E+02, 5.554E+02, 4.540E+02, 2.845E+02, 1.454E+02, 8.109E+01
 6.000E+02, 7.984E+02, 7.131E+02, 5.546E+02, 3.424E+02, 1.959E+02, 8.245E+02, 7.274E+02, 5.633E+02, 3.416E+02, 2.010E+02, 8.699E+02, 7.778E+02, 6.194E+02, 4.081E+02, 2.485E+02, 5.619E+02, 4.653E+02, 2.940E+02, 1.501E+02, 8.355E+01
 6.300E+02, 7.723E+02, 7.128E+02, 5.825E+02, 3.589E+02, 1.999E+02, 7.179E+02, 6.341E+02, 5.075E+02, 3.384E+02, 2.203E+02, 7.949E+02, 7.237E+02, 5.607E+02, 3.762E+02, 2.678E+02, 5.678E+02, 4.729E+02, 3.033E+02, 1.550E+02, 8.533E+01
 6.600E+02, 7.462E+02, 6.598E+02, 5.239E+02, 3.331E+02, 1.956E+02, 7.600E+02, 6.235E+02, 4.491E+02, 2.798E+02, 1.905E+02, 8.584E+02, 7.157E+02, 5.260E+02, 3.416E+02, 2.484E+02, 5.720E+02, 4.786E+02, 3.104E+02, 1.595E+02, 8.787E+01
 6.901E+02, 7.549E+02, 6.564E+02, 5.142E+02, 3.218E+02, 1.923E+02, 7.424E+02, 5.968E+02, 4.660E+02, 3.124E+02, 1.959E+02, 8.431E+02, 6.552E+02, 5.083E+02, 3.596E+02, 2.464E+02, 5.729E+02, 4.766E+02, 3.108E+02, 1.613E+02, 8.951E+01
 7.200E+02, 7.564E+02, 6.569E+02, 4.998E+02, 3.127E+02, 1.931E+02, 7.185E+02, 6.365E+02, 4.608E+02, 2.776E+02, 1.867E+02, 7.920E+02, 6.971E+02, 5.188E+02, 3.351E+02, 2.470E+02, 5.754E+02, 4.855E+02, 3.183E+02, 1.658E+02, 9.191E+01
 7.500E+02, 7.541E+02, 6.605E+02, 4.884E+02, 3.077E+02, 1.935E+02, 7.758E+02, 6.324E+02, 4.528E+02, 2.997E+02, 2.021E+02, 8.445E+02, 7.225E+02, 5.200E+02, 3.514E+02, 2.660E+02, 5.804E+02, 4.940E+02, 3.271E+02, 1.705E+02, 9.412E+01
 7.800E+02, 7.559E+02, 6.645E+02, 5.031E+02, 3.145E+02, 1.947E+02, 7.142E+02, 5.553E+02, 3.851E+02, 2.656E+02, 2.045E+02, 8.008E+02, 6.323E+02, 4.683E+02, 3.499E+02, 2.710E+02, 5.829E+02, 4.956E+02, 3.306E+02, 1.743E+02, 9.600E+01
 8.100E+02, 7.299E+02, 6.324E+02, 4.819E+02, 2.961E+02, 1.896E+02, 7.312E+02, 5.978E+02, 4.496E+02, 2.653E+02, 1.789E+02, 8.216E+02, 6.959E+02, 5.271E+02, 3.290E+02, 2.348E+02, 5.840E+02, 4.965E+02, 3.340E+02, 1.784E+02, 9.850E+01
 8.401E+02, 7.333E+02, 6.039E+02, 4.347E+02, 2.714E+02, 1.777E+02, 7.088E+02, 5.290E+02, 3.012E+02, 1.820E+02, 1.412E+02, 8.198E+02, 6.312E+02, 3.659E+02, 2.418E+02, 1.836E+02, 5.716E+02, 4.824E+02, 3.276E+02, 1.778E+02, 9.929E+01
 8.701E+02, 6.753E+02, 5.103E+02, 3.634E+02, 2.403E+02, 1.658E+02, 5.916E+02, 3.490E+02, 1.932E+02, 1.436E+02, 1.196E+02, 6.673E+02, 4.202E+02, 2.583E+02, 1.933E+02, 1.620E+02, 5.522E+02, 4.614E+02, 3.169E+02, 1.750E+02, 9.899E+01
 9.001E+02, 5.456E+02, 4.154E+02, 3.064E+02, 2.124E+02, 1.520E+02, 2.316E+02, 1.380E+02, 1.042E+02, 8.908E+01, 8.301E+01, 3.228E+02, 2.118E+02, 1.579E+02, 1.275E+02, 1.149E+02, 5.229E+02, 4.360E+02, 3.050E+02, 1.715E+02, 9.824E+01
 9.300E+02, 4.141E+02, 3.362E+02, 2.608E+02, 1.860E+02, 1.348E+02, 4.940E+01, 4.939E+01, 4.600E+01, 4.236E+01, 4.098E+01, 9.196E+01, 8.032E+01, 6.750E+01, 5.929E+01, 5.297E+01, 4.866E+02, 4.111E+02, 2.928E+02, 1.672E+02, 9.671E+01
 9.602E+02, 3.401E+02, 2.878E+02, 2.298E+02, 1.666E+02, 1.215E+02, 3.976E+01, 4.003E+01, 3.833E+01, 3.415E+01, 3.147E+01, 6.472E+01, 6.071E+01, 5.336E+01, 4.371E+01, 3.936E+01, 4.546E+02, 3.889E+02, 2.817E+02, 1.632E+02, 9.507E+01
 9.903E+02, 2.929E+02, 2.540E+02, 2.067E+02, 1.515E+02, 1.110E+02, 3.471E+01, 3.329E+01, 3.355E+01, 3.318E+01, 3.116E+01, 5.477E+01, 5.036E+01, 4.763E+01, 4.325E+01, 3.814E+01, 4.271E+02, 3.692E+02, 2.713E+02, 1.593E+02, 9.347E+01
 1.020E+03, 2.604E+02, 2.286E+02, 1.883E+02, 1.396E+02, 1.027E+02, 3.810E+01, 3.746E+01, 3.490E+01, 3.065E+01, 2.902E+01, 5.831E+01, 5.456E+01, 4.730E+01, 3.959E+01, 3.561E+01, 4.032E+02, 3.517E+02, 2.618E+02, 1.556E+02, 9.194E+01
 1.050E+03, 2.360E+02, 2.089E+02, 1.732E+02, 1.293E+02, 9.574E+01, 4.186E+01, 4.141E+01, 3.787E+01, 3.475E+01, 2.997E+01, 6.285E+01, 5.956E+01, 5.143E+01, 4.432E+01, 3.654E+01, 3.821E+02, 3.358E+02, 2.528E+02, 1.520E+02, 9.043E+01
 1.080E+03, 2.163E+02, 1.925E+02, 1.599E+02, 1.201E+02, 8.944E+01, 3.905E+01, 3.885E+01, 3.645E+01, 3.381E+01, 3.192E+01, 5.815E+01, 5.610E+01, 4.974E+01, 4.374E+01, 3.954E+01, 3.631E+02, 3.212E+02, 2.444E+02, 1.485E+02, 8.896E+01
 1.110E+03, 1.996E+02, 1.787E+02, 1.490E+02, 1.124E+02, 8.428E+01, 3.684E+01, 3.670E+01, 3.648E+01, 3.368E+01, 3.075E+01, 5.331E+01, 5.344E+01, 5.077E+01, 4.353E+01, 3.758E+01, 3.461E+02, 3.079E+02, 2.365E+02, 1.452E+02, 8.755E+01
 1.140E+03, 1.854E+02, 1.667E+02, 1.397E+02, 1.059E+02, 7.976E+01, 3.528E+01, 3.436E+01, 3.288E+01, 3.157E+01, 2.916E+01, 5.053E+01, 4.896E+01, 4.490E+01, 4.044E+01, 3.592E+01, 3.306E+02, 2.957E+02, 2.291E+02, 1.420E+02, 8.619E+01
 1.170E+03, 1.729E+02, 1.561E+02, 1.313E+02, 1.001E+02, 7.569E+01, 3.528E+01, 3.566E+01, 3.365E+01, 2.930E+01, 2.674E+01, 5.018E+01, 5.036E+01, 4.462E+01, 3.686E+01, 3.249E+01, 3.164E+02, 2.843E+02, 2.221E+02, 1.390E+02, 8.487E+01
 1.200E+03, 1.620E+02, 1.466E+02, 1.235E+02, 9.473E+01, 7.214E+01, 3.616E+01, 3.579E+01, 3.368E+01, 3.093E+01, 2.749E+01, 5.076E+01, 4.933E+01, 4.473E+01, 3.915E+01, 3.245E+01, 3.035E+02, 2.738E+02, 2.155E+02, 1.361E+02, 8.356E+01
