s,C
 1.5701000E+003, 1.3003982E+002
 1.5801000E+003, 1.2662792E+002
 1.5901000E+003, 1.2338532E+002
 1.6001000E+003, 1.2029874E+002
 1.6101000E+003, 1.1735621E+002
 1.6201000E+003, 1.1454796E+002
 1.6301000E+003, 1.1186433E+002
 1.6401000E+003, 1.0929658E+002
 1.6501000E+003, 1.0683690E+002
 1.6601000E+003, 1.0447836E+002
 1.6701000E+003, 1.0221455E+002
 1.6801000E+003, 1.0003959E+002
 1.6901000E+003, 9.7948004E+001
 1.7001000E+003, 9.5934632E+001
 1.7101000E+003, 9.3994889E+001
 1.7201000E+003, 9.2124695E+001
 1.7301000E+003, 9.0320352E+001
 1.7401000E+003, 8.8578385E+001
 1.7501000E+003, 8.6895475E+001
 1.7601000E+003, 8.5268610E+001
 1.7701000E+003, 8.3695092E+001
 1.7801000E+003, 8.2172251E+001
 1.7901000E+003, 8.0697704E+001
 1.8001000E+003, 7.9269208E+001
 1.8101000E+003, 7.7884820E+001
 1.8201000E+003, 7.6542311E+001
 1.8301000E+003, 7.5239934E+001
 1.8401000E+003, 7.3976088E+001
 1.8501000E+003, 7.2749088E+001
 1.8601000E+003, 7.1557386E+001
 1.8701000E+003, 7.0399494E+001
 1.8801000E+003, 6.9274179E+001
 1.8901000E+003, 6.8180226E+001
 1.9001000E+003, 6.7116341E+001
 1.9101000E+003, 6.6081458E+001
 1.9201000E+003, 6.5074418E+001
 1.9301000E+003, 6.4094181E+001
 1.9401000E+003, 6.3139771E+001
 1.9501000E+003, 6.2210451E+001
 1.9601000E+003, 6.1305222E+001
 1.9701000E+003, 6.0423326E+001
 1.9801000E+003, 5.9564044E+001
 1.9901000E+003, 5.8726429E+001
 2.0001000E+003, 5.7909919E+001
 2.0101000E+003, 5.7113660E+001
 2.0201000E+003, 5.6337246E+001
 2.0301000E+003, 5.5579955E+001
 2.0401000E+003, 5.4841219E+001
 2.0501000E+003, 5.4120312E+001
 2.0601000E+003, 5.3416980E+001
 2.0701000E+003, 5.2730480E+001
 2.0801000E+003, 5.2060414E+001
 2.0901000E+003, 5.1406093E+001
 2.1000000E+003, 5.0770538E+001
