s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,mol/mol,mol/mol,mol/mol,mol/mol
 1.350E+02, 6.800E+02, 3.232E+02, 7.488E+02, 3.479E+02, 5.476E+02, 7.079E+02, 4.233E+02, 7.788E+02, 4.475E+02, 6.143E+02, 2.045E+01, 2.001E+01, 2.000E+01, 2.023E+01, 2.000E+01, 2.000E+01, 6.674E+02, 3.217E+02, 7.362E+02, 3.474E+02, 5.308E+02, 7.045E+02, 6.923E+02, 7.998E+02, 8.044E+02, 7.803E+02, 3.940E+02, 3.939E+02, 4.184E+02, 4.180E+02, 6.595E+02, 4.901E+02, 3.170E+02, 7.833E+02, 7.938E+02, 4.515E+02, 4.487E+02, 9.686E+02, 9.774E+02, 8.129E+02, 7.721E+02, 6.769E+02, 2.178E+02, 1.525E+02, 1.608E+02, 6.486E-03, 1.763E-02, 1.347E-02, 1.994E-01
 1.500E+02, 6.941E+02, 3.665E+02, 7.753E+02, 3.972E+02, 5.840E+02, 6.906E+02, 4.459E+02, 7.777E+02, 4.694E+02, 6.211E+02, 2.077E+01, 2.002E+01, 2.000E+01, 2.039E+01, 2.001E+01, 2.000E+01, 6.904E+02, 3.640E+02, 7.629E+02, 3.968E+02, 5.710E+02, 7.131E+02, 6.883E+02, 7.924E+02, 7.979E+02, 7.901E+02, 4.362E+02, 4.371E+02, 4.664E+02, 4.646E+02, 6.722E+02, 5.322E+02, 3.600E+02, 7.831E+02, 7.898E+02, 4.757E+02, 4.720E+02, 9.627E+02, 9.433E+02, 8.381E+02, 8.074E+02, 6.028E+02, 2.244E+02, 1.638E+02, 1.704E+02, 6.708E-03, 1.055E-02, 9.431E-03, 2.063E-01
 1.650E+02, 6.916E+02, 3.985E+02, 7.757E+02, 4.319E+02, 6.055E+02, 6.810E+02, 4.529E+02, 7.659E+02, 4.775E+02, 6.278E+02, 2.122E+01, 2.003E+01, 2.000E+01, 2.062E+01, 2.001E+01, 2.000E+01, 7.021E+02, 3.955E+02, 7.732E+02, 4.321E+02, 5.925E+02, 7.110E+02, 6.818E+02, 7.980E+02, 7.970E+02, 7.875E+02, 4.636E+02, 4.634E+02, 4.953E+02, 4.924E+02, 6.799E+02, 5.458E+02, 3.927E+02, 7.764E+02, 7.706E+02, 4.851E+02, 4.796E+02, 8.987E+02, 9.471E+02, 8.116E+02, 7.572E+02, 6.388E+02, 2.239E+02, 1.639E+02, 1.710E+02, 3.137E-04, 9.400E-03, 1.353E-02, 2.038E-01
 1.800E+02, 6.970E+02, 4.269E+02, 7.940E+02, 4.668E+02, 6.277E+02, 7.010E+02, 4.815E+02, 8.181E+02, 5.214E+02, 6.613E+02, 2.182E+01, 2.005E+01, 2.000E+01, 2.094E+01, 2.003E+01, 2.000E+01, 7.111E+02, 4.253E+02, 7.995E+02, 4.680E+02, 6.151E+02, 7.302E+02, 6.916E+02, 8.439E+02, 8.402E+02, 8.028E+02, 4.900E+02, 4.867E+02, 5.263E+02, 5.220E+02, 6.851E+02, 5.568E+02, 4.227E+02, 8.355E+02, 8.232E+02, 5.290E+02, 5.220E+02, 9.636E+02, 9.934E+02, 8.392E+02, 7.383E+02, 6.190E+02, 2.585E+02, 1.817E+02, 1.888E+02, 1.776E-03, 1.702E-02, 1.880E-02, 2.032E-01
 1.950E+02, 7.118E+02, 4.646E+02, 8.299E+02, 5.159E+02, 6.679E+02, 7.186E+02, 5.211E+02, 8.350E+02, 5.647E+02, 7.078E+02, 2.257E+01, 2.008E+01, 2.000E+01, 2.135E+01, 2.004E+01, 2.000E+01, 7.336E+02, 4.646E+02, 8.442E+02, 5.189E+02, 6.670E+02, 7.602E+02, 7.121E+02, 8.807E+02, 8.482E+02, 8.241E+02, 5.262E+02, 5.202E+02, 5.737E+02, 5.660E+02, 7.051E+02, 5.962E+02, 4.581E+02, 8.812E+02, 8.387E+02, 5.766E+02, 5.656E+02, 9.851E+02, 1.006E+03, 8.651E+02, 8.260E+02, 7.262E+02, 3.046E+02, 2.118E+02, 2.147E+02, 2.403E-03, 2.542E-02, 2.386E-02, 2.067E-01
 2.100E+02, 7.227E+02, 4.967E+02, 8.509E+02, 5.515E+02, 6.930E+02, 7.219E+02, 5.315E+02, 8.515E+02, 5.796E+02, 7.012E+02, 2.349E+01, 2.012E+01, 2.000E+01, 2.186E+01, 2.006E+01, 2.000E+01, 7.495E+02, 4.968E+02, 8.592E+02, 5.555E+02, 6.915E+02, 7.431E+02, 7.210E+02, 8.755E+02, 8.558E+02, 8.194E+02, 5.535E+02, 5.463E+02, 6.028E+02, 5.944E+02, 7.204E+02, 6.319E+02, 4.886E+02, 8.637E+02, 8.583E+02, 5.882E+02, 5.815E+02, 9.544E+02, 1.017E+03, 8.601E+02, 8.534E+02, 7.794E+02, 2.981E+02, 2.154E+02, 2.208E+02, 9.658E-04, 1.963E-02, 7.543E-03, 2.018E-01
 2.250E+02, 7.202E+02, 5.125E+02, 8.416E+02, 5.683E+02, 6.923E+02, 7.162E+02, 5.305E+02, 8.367E+02, 5.771E+02, 6.917E+02, 2.457E+01, 2.017E+01, 2.001E+01, 2.248E+01, 2.009E+01, 2.000E+01, 7.425E+02, 5.137E+02, 8.549E+02, 5.731E+02, 6.979E+02, 7.409E+02, 7.145E+02, 8.818E+02, 8.628E+02, 8.164E+02, 5.653E+02, 5.577E+02, 6.143E+02, 6.061E+02, 7.158E+02, 6.327E+02, 5.065E+02, 8.520E+02, 8.498E+02, 5.893E+02, 5.821E+02, 9.567E+02, 9.903E+02, 8.874E+02, 7.917E+02, 7.248E+02, 2.979E+02, 2.160E+02, 2.218E+02, 6.023E-03, 6.842E-03, 1.186E-02, 2.014E-01
 2.400E+02, 7.259E+02, 5.296E+02, 8.518E+02, 5.906E+02, 7.048E+02, 7.279E+02, 5.529E+02, 8.579E+02, 6.109E+02, 7.234E+02, 2.582E+01, 2.024E+01, 2.001E+01, 2.321E+01, 2.013E+01, 2.001E+01, 7.542E+02, 5.334E+02, 8.787E+02, 5.962E+02, 7.123E+02, 7.648E+02, 7.395E+02, 9.037E+02, 8.741E+02, 8.275E+02, 5.818E+02, 5.706E+02, 6.341E+02, 6.246E+02, 7.240E+02, 6.448E+02, 5.234E+02, 9.080E+02, 8.697E+02, 6.230E+02, 6.122E+02, 9.879E+02, 1.037E+03, 8.986E+02, 8.062E+02, 7.241E+02, 3.510E+02, 2.348E+02, 2.378E+02, 1.120E-02, 3.878E-02, 5.736E-02, 2.003E-01
 2.550E+02, 7.420E+02, 5.517E+02, 8.813E+02, 6.142E+02, 7.267E+02, 7.641E+02, 5.750E+02, 8.924E+02, 6.281E+02, 7.463E+02, 2.723E+01, 2.032E+01, 2.002E+01, 2.407E+01, 2.017E+01, 2.001E+01, 7.674E+02, 5.576E+02, 8.959E+02, 6.214E+02, 7.263E+02, 7.823E+02, 7.589E+02, 8.901E+02, 8.977E+02, 8.406E+02, 6.011E+02, 5.899E+02, 6.559E+02, 6.464E+02, 7.412E+02, 6.722E+02, 5.434E+02, 8.986E+02, 9.011E+02, 6.420E+02, 6.381E+02, 9.256E+02, 9.872E+02, 9.172E+02, 7.759E+02, 6.478E+02, 3.500E+02, 2.418E+02, 2.468E+02, 1.171E-04, 2.739E-03, 2.131E-02, 2.062E-01
 2.700E+02, 7.669E+02, 5.670E+02, 9.002E+02, 6.312E+02, 7.420E+02, 7.762E+02, 5.789E+02, 9.047E+02, 6.399E+02, 7.539E+02, 2.881E+01, 2.042E+01, 2.002E+01, 2.505E+01, 2.023E+01, 2.001E+01, 7.594E+02, 5.715E+02, 8.849E+02, 6.360E+02, 7.329E+02, 7.509E+02, 7.768E+02, 8.975E+02, 9.166E+02, 8.512E+02, 6.123E+02, 6.051E+02, 6.659E+02, 6.621E+02, 7.431E+02, 6.806E+02, 5.617E+02, 8.823E+02, 9.087E+02, 6.440E+02, 6.513E+02, 9.572E+02, 1.017E+03, 9.250E+02, 8.277E+02, 7.182E+02, 3.465E+02, 2.443E+02, 2.510E+02, 1.826E-04, 3.335E-03, 3.197E-02, 1.964E-01
 2.850E+02, 7.746E+02, 5.803E+02, 9.244E+02, 6.563E+02, 7.522E+02, 7.762E+02, 5.971E+02, 9.370E+02, 6.772E+02, 7.857E+02, 3.055E+01, 2.055E+01, 2.003E+01, 2.615E+01, 2.030E+01, 2.002E+01, 7.574E+02, 5.826E+02, 9.046E+02, 6.558E+02, 7.443E+02, 7.633E+02, 7.746E+02, 9.258E+02, 9.298E+02, 8.482E+02, 6.208E+02, 6.167E+02, 6.850E+02, 6.860E+02, 7.421E+02, 6.822E+02, 5.766E+02, 9.303E+02, 9.514E+02, 6.752E+02, 6.825E+02, 1.024E+03, 1.072E+03, 1.016E+03, 8.840E+02, 8.106E+02, 3.982E+02, 2.709E+02, 2.750E+02, 4.171E-03, 7.750E-03, 2.247E-02, 1.745E-01
 3.000E+02, 7.858E+02, 6.014E+02, 9.341E+02, 6.817E+02, 7.737E+02, 7.973E+02, 6.214E+02, 9.318E+02, 6.901E+02, 7.929E+02, 3.243E+01, 2.069E+01, 2.004E+01, 2.738E+01, 2.039E+01, 2.002E+01, 7.806E+02, 6.029E+02, 9.249E+02, 6.816E+02, 7.695E+02, 7.939E+02, 7.888E+02, 9.178E+02, 9.264E+02, 8.528E+02, 6.400E+02, 6.366E+02, 7.080E+02, 7.080E+02, 7.647E+02, 7.091E+02, 5.957E+02, 9.356E+02, 9.448E+02, 6.955E+02, 6.979E+02, 9.487E+02, 9.862E+02, 1.015E+03, 8.781E+02, 7.355E+02, 3.942E+02, 2.846E+02, 2.888E+02, 1.141E-03, 2.495E-03, 3.146E-02, 2.060E-01
 3.150E+02, 7.873E+02, 6.109E+02, 9.254E+02, 6.860E+02, 7.755E+02, 7.722E+02, 6.115E+02, 9.138E+02, 6.750E+02, 7.736E+02, 3.446E+01, 2.086E+01, 2.006E+01, 2.872E+01, 2.049E+01, 2.003E+01, 7.956E+02, 6.115E+02, 9.186E+02, 6.865E+02, 7.695E+02, 7.818E+02, 7.725E+02, 9.077E+02, 9.138E+02, 8.453E+02, 6.476E+02, 6.438E+02, 7.085E+02, 7.092E+02, 7.690E+02, 7.074E+02, 6.049E+02, 9.070E+02, 9.094E+02, 6.842E+02, 6.842E+02, 9.054E+02, 9.576E+02, 9.447E+02, 8.561E+02, 7.343E+02, 3.612E+02, 2.699E+02, 2.773E+02, 1.131E-03, 9.436E-04, 9.529E-03, 1.932E-01
 3.300E+02, 7.776E+02, 6.115E+02, 9.347E+02, 6.890E+02, 7.634E+02, 7.825E+02, 6.127E+02, 9.469E+02, 6.883E+02, 7.653E+02, 3.663E+01, 2.105E+01, 2.007E+01, 3.020E+01, 2.061E+01, 2.004E+01, 7.903E+02, 6.122E+02, 9.234E+02, 6.885E+02, 7.702E+02, 7.835E+02, 7.802E+02, 9.362E+02, 9.388E+02, 8.478E+02, 6.476E+02, 6.422E+02, 7.104E+02, 7.116E+02, 7.646E+02, 6.943E+02, 6.074E+02, 9.326E+02, 9.496E+02, 6.928E+02, 6.931E+02, 9.807E+02, 1.030E+03, 9.711E+02, 8.931E+02, 7.076E+02, 4.153E+02, 2.783E+02, 2.823E+02, 4.348E-03, 9.292E-03, 1.341E-02, 1.851E-01
 3.450E+02, 7.818E+02, 6.193E+02, 9.462E+02, 6.946E+02, 7.658E+02, 7.789E+02, 6.266E+02, 9.409E+02, 6.895E+02, 7.801E+02, 3.893E+01, 2.127E+01, 2.009E+01, 3.178E+01, 2.074E+01, 2.005E+01, 7.914E+02, 6.199E+02, 9.178E+02, 6.938E+02, 7.697E+02, 8.061E+02, 7.818E+02, 9.188E+02, 9.364E+02, 8.516E+02, 6.534E+02, 6.498E+02, 7.144E+02, 7.173E+02, 7.728E+02, 7.095E+02, 6.141E+02, 9.303E+02, 9.470E+02, 6.955E+02, 6.996E+02, 9.852E+02, 1.032E+03, 9.717E+02, 8.105E+02, 6.477E+02, 4.145E+02, 2.841E+02, 2.900E+02, 2.548E-03, 4.552E-03, 2.152E-02, 2.048E-01
 3.600E+02, 7.770E+02, 6.248E+02, 9.293E+02, 6.956E+02, 7.710E+02, 7.721E+02, 6.247E+02, 9.211E+02, 6.878E+02, 7.820E+02, 4.136E+01, 2.152E+01, 2.012E+01, 3.349E+01, 2.090E+01, 2.007E+01, 7.920E+02, 6.268E+02, 9.212E+02, 6.960E+02, 7.715E+02, 7.817E+02, 7.740E+02, 9.251E+02, 9.322E+02, 8.407E+02, 6.581E+02, 6.554E+02, 7.148E+02, 7.158E+02, 7.770E+02, 7.172E+02, 6.202E+02, 9.305E+02, 9.286E+02, 6.997E+02, 6.979E+02, 9.422E+02, 1.023E+03, 9.453E+02, 7.809E+02, 6.672E+02, 3.777E+02, 2.784E+02, 2.856E+02, 3.201E-03, 4.021E-03, 2.605E-02, 2.050E-01
 3.750E+02, 7.766E+02, 6.279E+02, 9.402E+02, 7.029E+02, 7.796E+02, 7.861E+02, 6.327E+02, 9.509E+02, 7.079E+02, 7.997E+02, 4.391E+01, 2.179E+01, 2.015E+01, 3.530E+01, 2.107E+01, 2.008E+01, 7.883E+02, 6.305E+02, 9.336E+02, 7.037E+02, 7.737E+02, 7.987E+02, 7.795E+02, 9.501E+02, 9.563E+02, 8.590E+02, 6.621E+02, 6.573E+02, 7.230E+02, 7.243E+02, 7.708E+02, 7.102E+02, 6.242E+02, 9.521E+02, 9.628E+02, 7.128E+02, 7.156E+02, 9.668E+02, 1.032E+03, 9.327E+02, 8.893E+02, 8.502E+02, 4.055E+02, 2.905E+02, 2.951E+02, 2.912E-04, 2.344E-02, 1.882E-02, 1.721E-01
 3.900E+02, 7.857E+02, 6.359E+02, 9.537E+02, 7.147E+02, 7.788E+02, 7.906E+02, 6.435E+02, 9.588E+02, 7.178E+02, 7.869E+02, 4.656E+01, 2.209E+01, 2.018E+01, 3.723E+01, 2.127E+01, 2.010E+01, 7.987E+02, 6.395E+02, 9.370E+02, 7.130E+02, 7.743E+02, 8.202E+02, 8.061E+02, 9.375E+02, 9.447E+02, 8.504E+02, 6.720E+02, 6.652E+02, 7.320E+02, 7.358E+02, 7.892E+02, 7.260E+02, 6.309E+02, 9.525E+02, 9.674E+02, 7.192E+02, 7.263E+02, 9.987E+02, 1.065E+03, 9.834E+02, 9.236E+02, 7.685E+02, 4.109E+02, 2.954E+02, 3.039E+02, 1.776E-04, 4.293E-03, 1.454E-02, 2.040E-01
 4.050E+02, 7.842E+02, 6.412E+02, 9.464E+02, 7.217E+02, 7.808E+02, 7.822E+02, 6.457E+02, 9.458E+02, 7.236E+02, 7.986E+02, 4.932E+01, 2.242E+01, 2.022E+01, 3.925E+01, 2.149E+01, 2.013E+01, 7.997E+02, 6.475E+02, 9.287E+02, 7.170E+02, 7.787E+02, 7.936E+02, 7.953E+02, 9.374E+02, 9.433E+02, 8.407E+02, 6.773E+02, 6.703E+02, 7.340E+02, 7.406E+02, 7.899E+02, 7.332E+02, 6.387E+02, 9.430E+02, 9.633E+02, 7.259E+02, 7.330E+02, 9.639E+02, 1.021E+03, 9.866E+02, 8.768E+02, 7.366E+02, 4.029E+02, 3.008E+02, 3.082E+02, 4.524E-03, 9.573E-03, 3.350E-02, 2.041E-01
 4.200E+02, 7.904E+02, 6.488E+02, 9.572E+02, 7.330E+02, 7.940E+02, 8.098E+02, 6.571E+02, 9.634E+02, 7.363E+02, 8.138E+02, 5.216E+01, 2.279E+01, 2.026E+01, 4.137E+01, 2.173E+01, 2.016E+01, 8.047E+02, 6.528E+02, 9.473E+02, 7.274E+02, 7.891E+02, 8.142E+02, 8.009E+02, 9.435E+02, 9.507E+02, 8.519E+02, 6.806E+02, 6.773E+02, 7.454E+02, 7.514E+02, 7.891E+02, 7.334E+02, 6.449E+02, 9.556E+02, 9.757E+02, 7.361E+02, 7.434E+02, 9.817E+02, 1.033E+03, 1.007E+03, 9.627E+02, 8.010E+02, 4.311E+02, 3.187E+02, 3.200E+02, 3.405E-03, 2.579E-02, 5.985E-03, 1.972E-01
 4.350E+02, 8.052E+02, 6.539E+02, 9.546E+02, 7.301E+02, 7.934E+02, 8.115E+02, 6.574E+02, 9.552E+02, 7.189E+02, 8.035E+02, 5.510E+01, 2.318E+01, 2.031E+01, 4.358E+01, 2.200E+01, 2.019E+01, 8.089E+02, 6.552E+02, 9.338E+02, 7.253E+02, 7.804E+02, 8.254E+02, 8.193E+02, 9.108E+02, 9.417E+02, 8.552E+02, 6.826E+02, 6.819E+02, 7.407E+02, 7.478E+02, 8.052E+02, 7.450E+02, 6.486E+02, 9.211E+02, 9.620E+02, 7.183E+02, 7.311E+02, 9.394E+02, 1.007E+03, 9.752E+02, 8.469E+02, 8.208E+02, 4.001E+02, 3.047E+02, 3.085E+02, 1.487E-04, 7.739E-03, 3.871E-02, 2.061E-01
 4.500E+02, 7.983E+02, 6.513E+02, 9.446E+02, 7.202E+02, 7.907E+02, 7.935E+02, 6.465E+02, 9.461E+02, 7.119E+02, 7.982E+02, 5.810E+01, 2.360E+01, 2.037E+01, 4.588E+01, 2.229E+01, 2.022E+01, 7.947E+02, 6.518E+02, 8.973E+02, 7.149E+02, 7.698E+02, 7.834E+02, 7.985E+02, 8.990E+02, 9.582E+02, 8.662E+02, 6.787E+02, 6.787E+02, 7.268E+02, 7.393E+02, 7.956E+02, 7.318E+02, 6.482E+02, 8.966E+02, 9.520E+02, 7.082E+02, 7.257E+02, 9.331E+02, 9.974E+02, 9.320E+02, 8.036E+02, 7.667E+02, 4.051E+02, 2.886E+02, 2.955E+02, 2.904E-04, 3.754E-03, 2.239E-02, 1.943E-01
 4.650E+02, 8.015E+02, 6.506E+02, 9.715E+02, 7.287E+02, 7.956E+02, 8.167E+02, 6.588E+02, 9.896E+02, 7.416E+02, 8.172E+02, 6.118E+01, 2.406E+01, 2.043E+01, 4.825E+01, 2.260E+01, 2.026E+01, 7.934E+02, 6.494E+02, 9.169E+02, 7.224E+02, 7.749E+02, 7.994E+02, 8.249E+02, 9.472E+02, 9.817E+02, 8.732E+02, 6.759E+02, 6.796E+02, 7.351E+02, 7.488E+02, 7.813E+02, 7.206E+02, 6.504E+02, 9.722E+02, 9.846E+02, 7.368E+02, 7.487E+02, 1.064E+03, 1.098E+03, 1.022E+03, 9.002E+02, 7.702E+02, 4.425E+02, 3.092E+02, 3.132E+02, 3.533E-04, 1.942E-03, 6.381E-03, 1.988E-01
 4.800E+02, 8.167E+02, 6.667E+02, 9.698E+02, 7.420E+02, 8.078E+02, 8.294E+02, 6.824E+02, 9.620E+02, 7.445E+02, 8.232E+02, 6.432E+01, 2.455E+01, 2.050E+01, 5.070E+01, 2.295E+01, 2.031E+01, 8.047E+02, 6.617E+02, 9.371E+02, 7.359E+02, 7.930E+02, 8.218E+02, 8.376E+02, 9.363E+02, 9.511E+02, 8.703E+02, 6.890E+02, 6.958E+02, 7.493E+02, 7.613E+02, 7.972E+02, 7.453E+02, 6.659E+02, 9.679E+02, 9.705E+02, 7.441E+02, 7.539E+02, 9.789E+02, 1.023E+03, 1.025E+03, 9.293E+02, 7.267E+02, 4.292E+02, 3.177E+02, 3.238E+02, 7.125E-04, 4.321E-03, 2.665E-02, 2.057E-01
