s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"PT-1","PT-2","PT-3","PT-4","PT-5","AST-1","AST-2","AST-3","AST-4","AST-5","Gas-1","Gas-2","Gas-3","Gas-4","Gas-5","Steel-1","Steel-2","Steel-3","Steel-4","Steel-5"
 8.401E+02, 6.645E+02, 4.892E+02, 3.111E+02, 1.569E+02, 9.446E+01, 6.264E+02, 4.372E+02, 2.554E+02, 1.514E+02, 1.043E+02, 6.865E+02, 4.713E+02, 2.910E+02, 2.164E+02, 1.669E+02, 5.296E+02, 3.790E+02, 1.713E+02, 7.003E+01, 4.431E+01
 8.701E+02, 6.827E+02, 4.984E+02, 3.055E+02, 1.578E+02, 9.438E+01, 6.644E+02, 4.627E+02, 2.885E+02, 1.618E+02, 1.078E+02, 7.493E+02, 5.275E+02, 3.559E+02, 2.365E+02, 1.734E+02, 5.311E+02, 3.830E+02, 1.748E+02, 7.102E+01, 4.490E+01
 9.000E+02, 6.468E+02, 4.924E+02, 3.095E+02, 1.583E+02, 9.497E+01, 5.895E+02, 4.054E+02, 2.327E+02, 1.326E+02, 1.003E+02, 6.439E+02, 4.435E+02, 2.858E+02, 2.099E+02, 1.651E+02, 5.384E+02, 3.878E+02, 1.797E+02, 7.227E+01, 4.543E+01
 9.300E+02, 6.658E+02, 4.831E+02, 2.868E+02, 1.496E+02, 9.273E+01, 7.169E+02, 5.388E+02, 2.846E+02, 1.385E+02, 9.675E+01, 7.973E+02, 5.887E+02, 3.202E+02, 2.025E+02, 1.551E+02, 5.475E+02, 3.945E+02, 1.858E+02, 7.426E+01, 4.634E+01
 9.601E+02, 7.024E+02, 5.498E+02, 3.063E+02, 1.526E+02, 9.457E+01, 7.250E+02, 5.511E+02, 3.106E+02, 1.644E+02, 1.204E+02, 7.700E+02, 5.658E+02, 3.400E+02, 2.387E+02, 1.873E+02, 5.548E+02, 4.011E+02, 1.907E+02, 7.620E+01, 4.729E+01
 9.900E+02, 6.878E+02, 5.610E+02, 3.469E+02, 1.640E+02, 9.730E+01, 6.578E+02, 5.217E+02, 3.691E+02, 2.193E+02, 1.351E+02, 7.310E+02, 5.931E+02, 4.401E+02, 3.097E+02, 2.210E+02, 5.565E+02, 4.074E+02, 1.943E+02, 7.767E+01, 4.808E+01
 1.020E+03, 6.895E+02, 5.470E+02, 3.374E+02, 1.644E+02, 9.918E+01, 7.072E+02, 5.455E+02, 3.224E+02, 1.737E+02, 1.199E+02, 8.022E+02, 6.274E+02, 3.684E+02, 2.556E+02, 2.015E+02, 5.474E+02, 4.095E+02, 1.981E+02, 7.902E+01, 4.889E+01
 1.050E+03, 6.964E+02, 5.546E+02, 3.385E+02, 1.621E+02, 9.750E+01, 6.909E+02, 5.334E+02, 3.279E+02, 1.666E+02, 9.941E+01, 7.590E+02, 5.947E+02, 3.792E+02, 2.518E+02, 1.538E+02, 5.472E+02, 4.159E+02, 2.029E+02, 8.019E+01, 4.940E+01
 1.080E+03, 7.046E+02, 5.664E+02, 3.524E+02, 1.678E+02, 9.835E+01, 7.027E+02, 5.111E+02, 3.094E+02, 1.746E+02, 1.165E+02, 7.821E+02, 5.752E+02, 3.946E+02, 2.596E+02, 1.894E+02, 5.499E+02, 4.213E+02, 2.075E+02, 8.153E+01, 5.000E+01
 1.110E+03, 7.104E+02, 5.338E+02, 3.307E+02, 1.619E+02, 9.751E+01, 7.205E+02, 4.870E+02, 2.766E+02, 1.428E+02, 1.085E+02, 7.931E+02, 5.248E+02, 3.436E+02, 2.267E+02, 1.797E+02, 5.538E+02, 4.265E+02, 2.113E+02, 8.285E+01, 5.067E+01
