s,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
 1.8001413E+001, 3.0185739E+001, 2.8509127E+001, 3.4710023E+001, 2.1634568E+001, 5.7919809E+000, 3.5746689E+001, 1.8864371E+001, 9.6565000E+000, 3.6041560E+000, 2.3685168E+001, 1.3425058E+001, 7.7887615E+000, 2.7837021E+000, 1.5310240E+001, 9.6181784E+000, 6.4552090E+000, 2.5390908E+000, 9.9956076E+000, 6.4891273E+000, 4.3841450E+000, 2.1281179E+000, 6.0667918E+000, 4.6290329E+000, 3.3516037E+000, 1.5172527E+000, 4.0786169E+000, 3.1012212E+000, 2.0923611E+000, 1.1096470E+000, 8.7773426E-001, 8.7980061E-001, 7.6789482E-001, 6.0990829E-001, 4.5469893E-001, 3.1608983E-001
 2.0000574E+001, 3.8325793E+001, 2.4582420E+001, 3.3713219E+001, 2.2299387E+001, 5.6187299E+000, 3.5849745E+001, 2.2685623E+001, 1.2724397E+001, 4.4341134E+000, 2.3141263E+001, 1.5676992E+001, 1.1624887E+001, 5.4175207E+000, 1.1875843E+001, 9.3268034E+000, 7.6417291E+000, 4.3295401E+000, 7.0502990E+000, 5.5328737E+000, 5.0725199E+000, 2.9246054E+000, 4.2653848E+000, 3.6368684E+000, 3.1775207E+000, 1.7964455E+000, 2.6083533E+000, 2.4555365E+000, 2.3502824E+000, 1.3018226E+000, 9.0149088E-001, 9.2641372E-001, 7.9759526E-001, 6.1748723E-001, 4.5376459E-001, 3.0978790E-001
 2.2000522E+001, 2.7699829E+001, 2.3930859E+001, 3.2333838E+001, 2.0980957E+001, 5.4570104E+000, 3.4575547E+001, 2.1228513E+001, 1.1049855E+001, 3.6230866E+000, 2.3937412E+001, 1.4220934E+001, 9.3330772E+000, 3.7193479E+000, 1.5446514E+001, 1.0207901E+001, 7.3402418E+000, 3.9415501E+000, 1.0107629E+001, 7.5072161E+000, 5.8303631E+000, 3.2537339E+000, 6.4901005E+000, 4.8991921E+000, 3.9716674E+000, 2.0147355E+000, 4.2320777E+000, 3.2653259E+000, 2.5313335E+000, 1.2935254E+000, 8.8658812E-001, 8.9665015E-001, 7.9512342E-001, 6.3826963E-001, 4.7721805E-001, 3.3356063E-001
 2.4000138E+001, 3.3928573E+001, 2.4534872E+001, 3.1663191E+001, 2.0457308E+001, 5.3449879E+000, 3.3506459E+001, 2.3015482E+001, 1.3051720E+001, 4.4275001E+000, 2.1940651E+001, 1.6310145E+001, 1.1622778E+001, 5.3261674E+000, 1.4020558E+001, 1.0449905E+001, 8.4987638E+000, 4.9974542E+000, 8.6820775E+000, 6.7702258E+000, 5.2740738E+000, 3.5340289E+000, 5.4493823E+000, 4.1345651E+000, 3.0778384E+000, 1.8325716E+000, 3.7058767E+000, 2.5817293E+000, 2.1819422E+000, 1.3667827E+000, 9.1763176E-001, 9.3847001E-001, 8.3199567E-001, 6.6566714E-001, 5.0025141E-001, 3.4966534E-001
 2.6001319E+001, 2.3697352E+001, 2.3010729E+001, 3.0814310E+001, 1.9432396E+001, 5.6146620E+000, 3.4114452E+001, 2.1725036E+001, 1.1258646E+001, 4.3580927E+000, 2.4263641E+001, 1.6203244E+001, 1.0706162E+001, 4.6111235E+000, 1.1456545E+001, 9.2904512E+000, 7.5767882E+000, 3.9879655E+000, 6.0091164E+000, 4.9786697E+000, 4.5004535E+000, 2.7608614E+000, 2.9462235E+000, 2.9786193E+000, 2.5707546E+000, 1.7519381E+000, 1.9492858E+000, 1.8503996E+000, 1.6436475E+000, 1.2430421E+000, 9.3931833E-001, 9.8006016E-001, 8.7206446E-001, 6.9149935E-001, 5.1139252E-001, 3.4937127E-001
 2.8000641E+001, 3.3041583E+001, 2.4476055E+001, 3.2219801E+001, 2.2410061E+001, 5.3558445E+000, 3.2937073E+001, 2.0767630E+001, 1.4593421E+001, 4.6349387E+000, 2.2219075E+001, 1.5703443E+001, 1.1500873E+001, 6.5901604E+000, 1.2597503E+001, 1.0368155E+001, 8.7517872E+000, 5.5226617E+000, 7.6161273E+000, 6.2389783E+000, 5.3370849E+000, 3.4728577E+000, 4.5956353E+000, 3.9145211E+000, 3.1893116E+000, 2.0454470E+000, 3.0404598E+000, 2.7219843E+000, 1.9877768E+000, 1.3681159E+000, 9.4411539E-001, 9.8064774E-001, 8.8313897E-001, 7.1088311E-001, 5.2416983E-001, 3.5799344E-001
 3.0001678E+001, 4.2721777E+001, 2.5849089E+001, 3.2993685E+001, 2.1415344E+001, 5.7687813E+000, 3.5711965E+001, 2.2459727E+001, 1.3418695E+001, 4.9441546E+000, 2.3788237E+001, 1.6325617E+001, 1.1493016E+001, 4.2875616E+000, 1.4691537E+001, 1.0658384E+001, 8.6799990E+000, 3.5273984E+000, 9.0055693E+000, 6.1641166E+000, 4.7026955E+000, 2.4707187E+000, 5.3802119E+000, 3.6713382E+000, 2.7512272E+000, 1.5066379E+000, 3.5246499E+000, 2.5381107E+000, 1.9933714E+000, 9.7317133E-001, 9.6896781E-001, 9.8863302E-001, 8.6979777E-001, 6.8740465E-001, 5.0590124E-001, 3.4814440E-001
 3.2000222E+001, 3.1707176E+001, 2.4123107E+001, 3.1829151E+001, 2.1225909E+001, 5.7148040E+000, 3.4366118E+001, 2.2266578E+001, 1.4231788E+001, 5.4153413E+000, 2.1410824E+001, 1.5356366E+001, 1.1630688E+001, 6.9750648E+000, 1.1991838E+001, 8.7029547E+000, 6.1607918E+000, 3.8977255E+000, 7.6229012E+000, 5.6505867E+000, 4.3421714E+000, 2.1014502E+000, 4.6042809E+000, 3.3911446E+000, 2.8235318E+000, 1.8443651E+000, 2.8714330E+000, 2.1744045E+000, 1.8501385E+000, 1.1644625E+000, 9.8037794E-001, 1.0226419E+000, 9.0207650E-001, 7.0763977E-001, 5.2297831E-001, 3.5874124E-001
 3.4000746E+001, 3.3795565E+001, 2.3087987E+001, 3.3544097E+001, 2.0148812E+001, 5.5773377E+000, 3.5354027E+001, 2.4793842E+001, 1.4107999E+001, 4.9464937E+000, 2.6003663E+001, 1.7734549E+001, 1.2392428E+001, 5.0248038E+000, 1.7725853E+001, 1.1900586E+001, 8.6894660E+000, 3.9962233E+000, 1.0704204E+001, 7.7398076E+000, 5.8663034E+000, 2.7941133E+000, 6.1095886E+000, 4.6022442E+000, 3.4599693E+000, 1.9472899E+000, 3.8270105E+000, 2.9157809E+000, 2.3034664E+000, 1.3744444E+000, 9.9831672E-001, 1.0346255E+000, 9.1384522E-001, 7.2632683E-001, 5.3595057E-001, 3.6946310E-001
 3.6000688E+001, 4.0460666E+001, 2.2185817E+001, 3.0523859E+001, 2.0584591E+001, 5.8461867E+000, 3.3505112E+001, 2.2805093E+001, 1.3546546E+001, 4.7406199E+000, 2.3971786E+001, 1.7724018E+001, 1.2784121E+001, 5.3756550E+000, 1.2473041E+001, 9.8108234E+000, 7.6509834E+000, 4.3604563E+000, 7.4003073E+000, 5.5023038E+000, 4.5956517E+000, 2.8053775E+000, 4.6352367E+000, 3.5861344E+000, 2.9805458E+000, 1.8732229E+000, 3.1015175E+000, 2.6553669E+000, 2.3456562E+000, 1.3753765E+000, 9.8994270E-001, 1.0440262E+000, 9.3837858E-001, 7.4721614E-001, 5.5407471E-001, 3.7839147E-001
 3.8000385E+001, 3.9623093E+001, 2.2361516E+001, 3.2111041E+001, 2.1644787E+001, 5.3931295E+000, 3.3663678E+001, 2.1611461E+001, 1.4217819E+001, 4.5971531E+000, 2.3564700E+001, 1.6470371E+001, 1.2400636E+001, 6.6447638E+000, 1.4979397E+001, 1.1294386E+001, 9.1798998E+000, 5.6826631E+000, 8.7969756E+000, 6.2645156E+000, 4.7426234E+000, 3.1360328E+000, 4.8070824E+000, 3.4999670E+000, 2.7786206E+000, 1.5783652E+000, 3.1691907E+000, 2.3041460E+000, 2.0359975E+000, 1.1472949E+000, 9.9219148E-001, 1.0421237E+000, 9.4967119E-001, 7.6978199E-001, 5.6990277E-001, 3.9310159E-001
 4.0001945E+001, 2.8557716E+001, 2.3007503E+001, 3.4529741E+001, 2.0343574E+001, 5.3615439E+000, 3.6105456E+001, 2.3780438E+001, 1.2963165E+001, 4.2329758E+000, 2.5916971E+001, 1.7051136E+001, 1.0957418E+001, 3.9253287E+000, 1.6929224E+001, 1.0981051E+001, 7.8363208E+000, 3.2147036E+000, 1.0481497E+001, 6.4358381E+000, 4.4735380E+000, 2.4735321E+000, 6.0226280E+000, 4.0389967E+000, 2.9319234E+000, 1.6743479E+000, 3.6954081E+000, 2.8524615E+000, 2.3061213E+000, 1.4713894E+000, 1.0177583E+000, 1.0596255E+000, 9.4330537E-001, 7.5552355E-001, 5.6322433E-001, 3.8769940E-001
 4.2000700E+001, 3.2012371E+001, 2.2757853E+001, 3.2314563E+001, 2.0500855E+001, 5.4800133E+000, 3.7122519E+001, 2.2288008E+001, 1.3470043E+001, 4.6396442E+000, 2.8147285E+001, 1.7117269E+001, 1.2423615E+001, 5.8416802E+000, 1.8768951E+001, 1.0736415E+001, 7.9757253E+000, 4.1243115E+000, 1.1509481E+001, 6.2755706E+000, 4.8950041E+000, 2.5595875E+000, 6.5569723E+000, 4.0545107E+000, 3.0195024E+000, 1.5847172E+000, 4.3410510E+000, 3.0313619E+000, 2.1823235E+000, 1.3121700E+000, 1.0041819E+000, 1.0591374E+000, 9.4703708E-001, 7.4648803E-001, 5.5589334E-001, 3.8200727E-001
 4.4001279E+001, 3.6539249E+001, 2.3757463E+001, 3.4294473E+001, 2.1551354E+001, 5.7436917E+000, 3.5821563E+001, 2.2778213E+001, 1.2082316E+001, 4.6406891E+000, 2.6139482E+001, 1.8423046E+001, 1.1995412E+001, 5.1273699E+000, 1.7970576E+001, 1.1266018E+001, 8.0136143E+000, 4.6693290E+000, 1.1641750E+001, 7.7937870E+000, 5.8992929E+000, 3.0386501E+000, 7.2208186E+000, 5.1528132E+000, 3.9603903E+000, 2.1068337E+000, 4.9358161E+000, 3.6781386E+000, 2.5809419E+000, 1.4283364E+000, 1.0443130E+000, 1.0812395E+000, 9.6399050E-001, 7.7710269E-001, 5.7975134E-001, 4.0136904E-001
 4.6000692E+001, 3.8375251E+001, 2.4238607E+001, 3.2163493E+001, 2.0067134E+001, 5.9724940E+000, 3.6127180E+001, 2.3323126E+001, 1.4110064E+001, 4.8036393E+000, 2.6956057E+001, 1.7630920E+001, 1.2714682E+001, 5.7768809E+000, 1.7206197E+001, 1.2134486E+001, 8.3406747E+000, 3.9413088E+000, 9.8762414E+000, 7.0669239E+000, 4.7841888E+000, 2.5600698E+000, 6.7180236E+000, 4.3686689E+000, 3.1692613E+000, 1.7379603E+000, 4.4880910E+000, 3.2318817E+000, 2.3143396E+000, 1.3167706E+000, 1.0548641E+000, 1.0978967E+000, 9.6700485E-001, 7.5720683E-001, 5.6192032E-001, 3.8890624E-001
 4.8001639E+001, 3.0755901E+001, 2.4878973E+001, 3.3280856E+001, 2.1307689E+001, 5.8978954E+000, 3.5499986E+001, 2.2849410E+001, 1.3475063E+001, 4.9961499E+000, 2.4823813E+001, 1.5922024E+001, 1.1253020E+001, 5.7941636E+000, 1.5606032E+001, 9.0016255E+000, 7.0199544E+000, 4.6836234E+000, 9.1480454E+000, 5.1489581E+000, 4.0044894E+000, 2.6807395E+000, 6.0124257E+000, 3.2575894E+000, 2.6501708E+000, 1.7095820E+000, 4.4260052E+000, 2.7693899E+000, 2.1644919E+000, 1.3460299E+000, 1.0566041E+000, 1.0973404E+000, 9.7937513E-001, 7.8400914E-001, 5.7896567E-001, 4.0088994E-001
 5.0000762E+001, 3.9274976E+001, 2.3961728E+001, 3.4920937E+001, 1.9191385E+001, 5.2379126E+000, 3.6200800E+001, 2.1538814E+001, 1.0803226E+001, 3.6906895E+000, 2.6210064E+001, 1.6487655E+001, 1.1427237E+001, 4.6795085E+000, 1.8933826E+001, 1.3624720E+001, 1.0584085E+001, 4.2433393E+000, 1.2211853E+001, 8.3449153E+000, 6.8263711E+000, 4.0510343E+000, 6.8922942E+000, 4.4079778E+000, 3.5425069E+000, 2.8900663E+000, 3.8361590E+000, 2.5797053E+000, 2.1058908E+000, 1.6426185E+000, 1.0432438E+000, 1.0885442E+000, 9.8467661E-001, 8.0896194E-001, 6.1217580E-001, 4.2429702E-001
 5.2001617E+001, 3.4304319E+001, 2.4640759E+001, 3.4316218E+001, 2.1882610E+001, 6.2073714E+000, 3.6640223E+001, 2.3074273E+001, 1.3662690E+001, 4.8112861E+000, 2.6581414E+001, 1.7128652E+001, 1.1555743E+001, 5.2579246E+000, 1.7312101E+001, 1.2088564E+001, 8.4831162E+000, 4.0741786E+000, 1.0272839E+001, 7.4297072E+000, 5.3215499E+000, 2.7345279E+000, 6.5435221E+000, 3.9307224E+000, 3.0649666E+000, 1.4889527E+000, 4.5177652E+000, 2.7515394E+000, 2.1326806E+000, 1.1140263E+000, 1.0946296E+000, 1.1433067E+000, 1.0140510E+000, 7.9525587E-001, 5.8598696E-001, 4.0025973E-001
 5.4001136E+001, 3.9723784E+001, 2.7619418E+001, 3.3834472E+001, 2.2727447E+001, 5.6945509E+000, 3.4963881E+001, 2.2161813E+001, 1.1460345E+001, 4.0329637E+000, 2.5117777E+001, 1.5027681E+001, 1.0889046E+001, 5.8498177E+000, 1.6212294E+001, 1.0461745E+001, 8.1478062E+000, 4.4196594E+000, 1.1216524E+001, 7.6480543E+000, 5.8644408E+000, 3.8093725E+000, 6.8073702E+000, 5.3267839E+000, 4.3781477E+000, 2.8012573E+000, 4.8482485E+000, 3.5615774E+000, 2.8862284E+000, 1.6357969E+000, 1.0680579E+000, 1.1078791E+000, 9.8943611E-001, 8.0342416E-001, 6.0529056E-001, 4.2434741E-001
 5.6001664E+001, 3.5981133E+001, 3.3006087E+001, 3.5307379E+001, 2.1252725E+001, 5.5391251E+000, 3.6678539E+001, 2.1102037E+001, 1.1002619E+001, 4.0067020E+000, 2.7954184E+001, 1.4727920E+001, 9.8665741E+000, 4.5987015E+000, 2.1149306E+001, 1.0707785E+001, 7.2277760E+000, 3.8765654E+000, 1.4240243E+001, 7.1333379E+000, 4.9982970E+000, 2.5717377E+000, 9.4896325E+000, 4.7580458E+000, 3.1093523E+000, 1.7671984E+000, 5.9244774E+000, 3.4795777E+000, 2.3613978E+000, 1.4480403E+000, 1.0807230E+000, 1.1160125E+000, 9.9547827E-001, 8.0798263E-001, 6.1972167E-001, 4.3754503E-001
 5.8000490E+001, 3.8639933E+001, 3.0174400E+001, 3.4865602E+001, 2.1391284E+001, 5.7072942E+000, 3.6250568E+001, 2.1470581E+001, 1.1460456E+001, 4.3126842E+000, 2.6742964E+001, 1.5374050E+001, 1.0232306E+001, 4.7496186E+000, 1.8676359E+001, 1.1083227E+001, 7.5066126E+000, 3.2315888E+000, 1.2516483E+001, 7.6848720E+000, 5.5446107E+000, 2.6474922E+000, 8.4650319E+000, 5.2823698E+000, 4.0351611E+000, 2.0352663E+000, 5.7107771E+000, 4.0617635E+000, 3.2483065E+000, 1.7459015E+000, 1.0961340E+000, 1.1275335E+000, 1.0047820E+000, 8.1398158E-001, 6.1529008E-001, 4.3190552E-001
 6.0001084E+001, 4.8969729E+001, 3.1367017E+001, 3.3053579E+001, 2.0322892E+001, 5.4017802E+000, 3.4438226E+001, 2.1943389E+001, 1.3146266E+001, 4.8063454E+000, 2.3755000E+001, 1.5767390E+001, 1.1218274E+001, 6.8574106E+000, 1.5779407E+001, 9.4576137E+000, 6.6750767E+000, 3.4740761E+000, 1.0698575E+001, 6.5168336E+000, 4.3783549E+000, 2.0962554E+000, 6.9836567E+000, 4.3405431E+000, 3.0704246E+000, 1.4886701E+000, 4.7723171E+000, 3.0953907E+000, 2.2481020E+000, 1.2297546E+000, 1.0976232E+000, 1.1517929E+000, 1.0331903E+000, 8.3255803E-001, 6.2982056E-001, 4.4125724E-001
 6.2001030E+001, 3.3028029E+001, 2.9014312E+001, 3.4436650E+001, 2.2246553E+001, 5.8114306E+000, 3.7357629E+001, 2.1113910E+001, 1.1930893E+001, 4.5006892E+000, 2.7836365E+001, 1.6708420E+001, 1.0290902E+001, 3.9375812E+000, 1.8938868E+001, 1.2125890E+001, 8.4945433E+000, 3.3079361E+000, 1.2330641E+001, 8.4327717E+000, 5.6385092E+000, 2.3382896E+000, 7.9943174E+000, 5.7158535E+000, 4.0472960E+000, 1.8439594E+000, 5.2921702E+000, 3.8167127E+000, 2.9664691E+000, 1.3993234E+000, 1.1228490E+000, 1.1604397E+000, 1.0307968E+000, 8.2473789E-001, 6.1869912E-001, 4.3061680E-001
 6.4000166E+001, 5.2843109E+001, 2.8527552E+001, 3.4137278E+001, 2.4192856E+001, 5.8364259E+000, 3.5461314E+001, 2.1155667E+001, 1.1486758E+001, 4.4917149E+000, 2.8743670E+001, 1.5390097E+001, 9.4413002E+000, 3.9019219E+000, 2.1799583E+001, 1.0602219E+001, 6.6556941E+000, 2.7385059E+000, 1.4903243E+001, 7.5242594E+000, 4.7358223E+000, 2.3829227E+000, 9.6176727E+000, 5.7370737E+000, 3.5426161E+000, 2.0021209E+000, 6.4935031E+000, 3.6707489E+000, 2.6306409E+000, 1.2576528E+000, 1.1297668E+000, 1.1733550E+000, 1.0504114E+000, 8.5562961E-001, 6.5078312E-001, 4.5767075E-001
 6.6001804E+001, 2.7196495E+001, 3.1556494E+001, 3.3595272E+001, 2.1330846E+001, 5.3915729E+000, 3.5265954E+001, 2.1818104E+001, 1.1521695E+001, 4.8657941E+000, 2.6357299E+001, 1.5934778E+001, 9.8266761E+000, 3.7597582E+000, 1.9238086E+001, 1.1911567E+001, 7.6261537E+000, 2.9421581E+000, 1.4248992E+001, 8.6179497E+000, 6.1644686E+000, 2.8161018E+000, 9.1321357E+000, 6.1053660E+000, 4.2081843E+000, 2.0834836E+000, 5.6839128E+000, 4.5177788E+000, 3.4052305E+000, 1.6252339E+000, 1.1287451E+000, 1.1771014E+000, 1.0587750E+000, 8.6617823E-001, 6.5769892E-001, 4.5978801E-001
 6.8000797E+001, 2.8536452E+001, 3.0156423E+001, 3.1487016E+001, 2.0255897E+001, 5.2403916E+000, 3.4129530E+001, 2.0688207E+001, 1.2904310E+001, 4.2758646E+000, 2.7297621E+001, 1.6091304E+001, 9.9906576E+000, 4.1418170E+000, 1.8362318E+001, 1.3258031E+001, 9.0772275E+000, 4.0019312E+000, 1.2394379E+001, 9.4598337E+000, 7.7707537E+000, 4.0020699E+000, 8.0686527E+000, 6.1667395E+000, 5.0493669E+000, 3.2541851E+000, 4.5102711E+000, 3.9565824E+000, 3.2673181E+000, 1.9838678E+000, 1.1178819E+000, 1.1752376E+000, 1.0722681E+000, 8.9209085E-001, 6.9376364E-001, 4.9093959E-001
 7.0000246E+001, 4.1459734E+001, 3.0510335E+001, 3.3786588E+001, 2.0635283E+001, 5.6288976E+000, 3.5208226E+001, 2.2692640E+001, 1.2224133E+001, 4.1789509E+000, 2.8965899E+001, 1.7529482E+001, 1.1570385E+001, 4.1271622E+000, 2.0624988E+001, 1.3293148E+001, 9.7871349E+000, 4.0617488E+000, 1.4709099E+001, 9.6095038E+000, 7.4142044E+000, 3.9404182E+000, 9.2850683E+000, 6.5056255E+000, 4.8640716E+000, 2.9613100E+000, 6.6779227E+000, 4.4517670E+000, 3.2498673E+000, 1.9667692E+000, 1.1429658E+000, 1.1937018E+000, 1.0825793E+000, 8.8808705E-001, 6.8358701E-001, 4.8608669E-001
 7.2001832E+001, 3.4227538E+001, 3.1025090E+001, 3.0219755E+001, 2.2166447E+001, 6.1407058E+000, 3.3626430E+001, 2.1695147E+001, 1.5301832E+001, 6.8316422E+000, 2.5581065E+001, 1.5919389E+001, 1.2875407E+001, 8.2708705E+000, 1.6371212E+001, 1.0340273E+001, 8.2170016E+000, 4.5332850E+000, 1.0817764E+001, 6.5524878E+000, 4.7502841E+000, 2.7938704E+000, 7.0746329E+000, 4.5877071E+000, 3.2139308E+000, 1.7117705E+000, 4.8542040E+000, 2.8418615E+000, 2.0617101E+000, 1.3852578E+000, 1.1873336E+000, 1.2580322E+000, 1.1305507E+000, 9.0172142E-001, 6.7555590E-001, 4.6635883E-001
