s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
 9.0000061E+001, 3.1727199E+001, 5.6459878E+001, 5.0949941E+001, 1.3502072E+001, 6.2342547E+001, 4.7867694E+001, 2.0777800E+001, 8.1768262E+000, 5.4778430E+001, 4.4388918E+001, 2.0431394E+001, 1.0146998E+001, 5.2686030E+001, 4.2426171E+001, 2.2008894E+001, 1.1583116E+001, 5.2979171E+001, 3.8590423E+001, 2.1507805E+001, 1.1624783E+001, 5.0275076E+001, 3.6068985E+001, 2.0837658E+001, 1.1139407E+001, 4.6128645E+001, 3.3200427E+001, 1.8373665E+001, 9.9423087E+000, 2.0320128E+000, 2.6773361E+000, 2.8393700E+000, 2.6449716E+000, 2.4197466E+000, 2.2935770E+000
 1.0000040E+002, 3.3341609E+001, 5.6536326E+001, 5.2752539E+001, 1.4501679E+001, 6.3005178E+001, 4.9179464E+001, 2.2198178E+001, 8.0746055E+000, 5.5475443E+001, 4.7885888E+001, 2.4963605E+001, 1.0922322E+001, 5.3354479E+001, 4.7865077E+001, 2.4958667E+001, 1.2569358E+001, 5.4182756E+001, 4.6224730E+001, 2.4752284E+001, 1.2494137E+001, 5.4575006E+001, 4.3889336E+001, 2.3760073E+001, 1.2944881E+001, 5.3445439E+001, 3.9819477E+001, 2.2869657E+001, 1.2890007E+001, 2.1928408E+000, 2.8579117E+000, 3.0623045E+000, 2.8974551E+000, 2.7206322E+000, 2.5821208E+000
 1.1000063E+002, 3.6069632E+001, 5.5239451E+001, 5.4087122E+001, 1.4166900E+001, 6.0803751E+001, 4.9784015E+001, 2.3652651E+001, 8.9917503E+000, 5.4115665E+001, 4.9229863E+001, 2.4782488E+001, 1.1026804E+001, 5.3040492E+001, 4.8744841E+001, 2.5985419E+001, 1.2959693E+001, 5.5480283E+001, 4.9523638E+001, 2.7226579E+001, 1.3172361E+001, 5.8311840E+001, 5.0584132E+001, 2.7671354E+001, 1.4445119E+001, 6.0270770E+001, 4.8336594E+001, 2.7728880E+001, 1.5343841E+001, 2.3473464E+000, 3.0079943E+000, 3.2161523E+000, 3.1353605E+000, 3.0167440E+000, 2.9553164E+000
 1.2000045E+002, 3.6112216E+001, 5.8120982E+001, 5.4742263E+001, 1.4731816E+001, 6.1931815E+001, 5.0127058E+001, 2.4172847E+001, 8.4172393E+000, 5.4086833E+001, 5.0767852E+001, 2.5752593E+001, 1.1017676E+001, 5.4671328E+001, 5.2847087E+001, 3.0551143E+001, 1.3797874E+001, 5.7677439E+001, 5.5367811E+001, 3.3754013E+001, 1.6911551E+001, 6.0273713E+001, 5.7528049E+001, 3.4655247E+001, 1.9219721E+001, 6.1852176E+001, 5.6929954E+001, 3.4297978E+001, 1.8760494E+001, 2.5006804E+000, 3.2099374E+000, 3.4319080E+000, 3.4316673E+000, 3.3212050E+000, 3.2533241E+000
 1.3000038E+002, 3.7710400E+001, 5.9475878E+001, 5.4513214E+001, 1.5612830E+001, 6.2223786E+001, 5.0771627E+001, 2.5740023E+001, 9.9870547E+000, 5.5333096E+001, 5.1513071E+001, 2.8972375E+001, 1.3102039E+001, 5.5319608E+001, 5.4692298E+001, 3.4330058E+001, 1.7255487E+001, 5.8348353E+001, 5.8996581E+001, 3.8103184E+001, 1.9180750E+001, 6.2284516E+001, 6.1585446E+001, 4.0440974E+001, 2.1443370E+001, 6.3886134E+001, 6.2834400E+001, 3.9384518E+001, 2.0417207E+001, 2.6868279E+000, 3.4331344E+000, 3.7284614E+000, 3.7807326E+000, 3.6474718E+000, 3.6020523E+000
 1.4000069E+002, 4.0410807E+001, 5.7656262E+001, 5.5416907E+001, 1.5793926E+001, 6.1985393E+001, 5.0844735E+001, 2.7544575E+001, 9.6730985E+000, 5.4847819E+001, 5.1912906E+001, 3.0720865E+001, 1.3746780E+001, 5.5284308E+001, 5.5854924E+001, 3.8184345E+001, 1.8498859E+001, 5.9536116E+001, 5.9676279E+001, 4.5236116E+001, 2.3742213E+001, 6.4285131E+001, 6.4766984E+001, 5.0044356E+001, 2.6691425E+001, 6.6893818E+001, 6.7593905E+001, 5.0220207E+001, 2.6322974E+001, 2.8690828E+000, 3.6825672E+000, 4.0039768E+000, 4.1399838E+000, 4.0147974E+000, 4.0090672E+000
 1.5000007E+002, 4.2725807E+001, 6.1019436E+001, 5.5896060E+001, 1.6293165E+001, 6.2739074E+001, 5.1118540E+001, 2.7626754E+001, 9.7271550E+000, 5.5395057E+001, 5.2424103E+001, 3.2215452E+001, 1.3645089E+001, 5.7352522E+001, 5.7044870E+001, 4.2351687E+001, 1.9931183E+001, 6.1864009E+001, 6.1501241E+001, 5.0825410E+001, 2.6364909E+001, 6.6804287E+001, 6.6709218E+001, 5.6249720E+001, 3.0590779E+001, 6.9346602E+001, 7.0600789E+001, 5.8359027E+001, 3.3184059E+001, 3.0078956E+000, 3.8714419E+000, 4.2195257E+000, 4.4257122E+000, 4.2949561E+000, 4.3606049E+000
 1.6000053E+002, 4.7412396E+001, 5.8534675E+001, 5.4638118E+001, 1.7010549E+001, 6.2097594E+001, 5.2154322E+001, 3.1321690E+001, 1.0625946E+001, 5.6113592E+001, 5.4353048E+001, 3.5428907E+001, 1.4242211E+001, 5.6906160E+001, 5.8274737E+001, 4.4613804E+001, 2.0437025E+001, 6.2120286E+001, 6.3475611E+001, 5.4318369E+001, 2.7974555E+001, 6.7213121E+001, 6.8016077E+001, 6.1331539E+001, 3.6263466E+001, 7.0082485E+001, 7.1551978E+001, 6.4406454E+001, 4.0329708E+001, 3.1192299E+000, 4.0737314E+000, 4.4814958E+000, 4.7680123E+000, 4.5565125E+000, 4.6273100E+000
 1.7000005E+002, 5.2501064E+001, 5.7031460E+001, 5.5281870E+001, 1.6503499E+001, 6.1875447E+001, 5.2063283E+001, 3.2110770E+001, 1.0170825E+001, 5.6237074E+001, 5.4298533E+001, 3.7031086E+001, 1.5010724E+001, 5.7432457E+001, 5.7823903E+001, 4.7198372E+001, 2.2521939E+001, 6.0950545E+001, 6.2462533E+001, 5.7455604E+001, 3.1843760E+001, 6.6215890E+001, 6.7774877E+001, 6.4023532E+001, 4.2230188E+001, 6.8859387E+001, 7.0540726E+001, 6.6380756E+001, 4.6714766E+001, 3.2354712E+000, 4.2601457E+000, 4.7242515E+000, 5.1445097E+000, 4.9208585E+000, 4.9989105E+000
 1.8000001E+002, 5.7033896E+001, 5.8587153E+001, 5.6911490E+001, 1.6951530E+001, 6.1723427E+001, 5.2386356E+001, 3.6429724E+001, 1.2391447E+001, 5.6692810E+001, 5.4949413E+001, 4.1618109E+001, 1.7566927E+001, 5.7922895E+001, 5.9087751E+001, 5.0731137E+001, 2.5520326E+001, 6.2716131E+001, 6.4106544E+001, 5.8855845E+001, 3.5107985E+001, 6.7578738E+001, 6.8464942E+001, 6.4772388E+001, 4.5865487E+001, 6.9992735E+001, 7.1865096E+001, 6.7542485E+001, 5.1961920E+001, 3.3651910E+000, 4.4364375E+000, 4.9526974E+000, 5.4166933E+000, 5.1494218E+000, 5.2300245E+000
 1.9000079E+002, 6.1987232E+001, 5.8427327E+001, 5.6691462E+001, 1.7241104E+001, 6.2039911E+001, 5.3569738E+001, 3.7225420E+001, 1.1757957E+001, 5.5543420E+001, 5.5424254E+001, 4.2724888E+001, 1.7832743E+001, 5.7714652E+001, 6.0017753E+001, 5.4683982E+001, 2.8160636E+001, 6.4520090E+001, 6.6187387E+001, 6.3632317E+001, 4.1405136E+001, 6.9890815E+001, 7.1946194E+001, 6.8244932E+001, 5.6210102E+001, 7.2518244E+001, 7.4862452E+001, 7.1275584E+001, 6.1316365E+001, 3.5400669E+000, 4.7122668E+000, 5.3174443E+000, 5.9890647E+000, 5.7547291E+000, 5.8752417E+000
 2.0000026E+002, 6.6436700E+001, 5.7284404E+001, 5.6401152E+001, 1.7730755E+001, 6.0617013E+001, 5.3453813E+001, 3.8398814E+001, 1.1896054E+001, 5.6501175E+001, 5.5830695E+001, 4.5720817E+001, 1.7728831E+001, 5.8949929E+001, 5.9734628E+001, 5.4677219E+001, 2.9653509E+001, 6.4570252E+001, 6.6444036E+001, 6.2109868E+001, 4.5514423E+001, 6.9671509E+001, 7.1646878E+001, 6.8882732E+001, 5.9529508E+001, 7.2826502E+001, 7.4084654E+001, 7.1036772E+001, 6.3634337E+001, 3.5988558E+000, 4.8084321E+000, 5.4504168E+000, 6.1875320E+000, 5.9510893E+000, 6.0755899E+000
 2.1000064E+002, 6.9095112E+001, 5.8508763E+001, 5.7144244E+001, 1.8658718E+001, 6.0618715E+001, 5.3312349E+001, 4.1982585E+001, 1.3559169E+001, 5.6078030E+001, 5.6010968E+001, 4.6650236E+001, 2.0293130E+001, 5.8730757E+001, 6.0831424E+001, 5.5838299E+001, 3.2716912E+001, 6.4970010E+001, 6.7334883E+001, 6.3820675E+001, 4.8365200E+001, 7.1453708E+001, 7.3043763E+001, 7.0306693E+001, 6.0795528E+001, 7.5331950E+001, 7.7316110E+001, 7.4457201E+001, 6.6717146E+001, 3.7540881E+000, 5.0174209E+000, 5.6901329E+000, 6.5474839E+000, 6.3833244E+000, 6.5688637E+000
 2.2000073E+002, 7.0637371E+001, 5.6261397E+001, 5.6427904E+001, 1.8209850E+001, 5.9395254E+001, 5.3288503E+001, 4.1747680E+001, 1.2944328E+001, 5.5234836E+001, 5.5032236E+001, 4.7459648E+001, 1.9628152E+001, 5.8542693E+001, 6.0297047E+001, 5.5468477E+001, 3.3493084E+001, 6.4640972E+001, 6.6873652E+001, 6.3015390E+001, 5.0571696E+001, 7.0711396E+001, 7.2556993E+001, 6.9735148E+001, 6.0914051E+001, 7.3604826E+001, 7.5240567E+001, 7.2203382E+001, 6.6837476E+001, 3.7170510E+000, 4.9951434E+000, 5.6850482E+000, 6.5921685E+000, 6.4345689E+000, 6.6294536E+000
 2.3000014E+002, 7.2142990E+001, 5.7157975E+001, 5.6403265E+001, 1.8179211E+001, 5.9855748E+001, 5.4086534E+001, 4.4231629E+001, 1.2925022E+001, 5.6384360E+001, 5.5969612E+001, 4.8190453E+001, 2.0689608E+001, 5.8924076E+001, 6.0199872E+001, 5.5049234E+001, 3.4588350E+001, 6.4189818E+001, 6.5639099E+001, 6.1647647E+001, 5.0407633E+001, 6.9702778E+001, 7.1486583E+001, 6.8427808E+001, 6.0430462E+001, 7.3208679E+001, 7.6203836E+001, 7.3294738E+001, 6.5491759E+001, 3.7422298E+000, 5.0303478E+000, 5.7041083E+000, 6.6064844E+000, 6.4367424E+000, 6.6840590E+000
 2.4000044E+002, 7.3400990E+001, 5.8143949E+001, 5.6789318E+001, 1.8049463E+001, 5.9445296E+001, 5.2868735E+001, 4.5158142E+001, 1.3925602E+001, 5.6025766E+001, 5.4859931E+001, 4.9531141E+001, 2.2891544E+001, 5.9753591E+001, 6.1131871E+001, 5.6585163E+001, 3.8035098E+001, 6.6119426E+001, 6.7827046E+001, 6.4125150E+001, 5.4120591E+001, 7.2320582E+001, 7.4515511E+001, 7.0372054E+001, 6.3556542E+001, 7.5893821E+001, 7.8486486E+001, 7.4972104E+001, 6.8314630E+001, 3.8812668E+000, 5.2535771E+000, 5.9985992E+000, 7.0952299E+000, 7.0803356E+000, 7.3728239E+000
 2.5000069E+002, 7.4004437E+001, 5.7857699E+001, 5.6329597E+001, 1.8417733E+001, 6.0074184E+001, 5.4052382E+001, 4.6439943E+001, 1.5699014E+001, 5.6538029E+001, 5.6763304E+001, 5.1515894E+001, 2.5827040E+001, 6.0407687E+001, 6.2344019E+001, 5.8681311E+001, 4.1362369E+001, 6.7396621E+001, 6.9634000E+001, 6.5749517E+001, 5.6258358E+001, 7.3244402E+001, 7.6133878E+001, 7.2555011E+001, 6.5056725E+001, 7.6768996E+001, 7.9259829E+001, 7.5990300E+001, 6.9881864E+001, 4.0283661E+000, 5.4655777E+000, 6.2943147E+000, 7.4697637E+000, 7.4739394E+000, 7.7093374E+000
 2.6000013E+002, 7.4500672E+001, 5.7800689E+001, 5.6473947E+001, 1.9587341E+001, 5.9884177E+001, 5.4266075E+001, 4.7007187E+001, 1.5365385E+001, 5.6143067E+001, 5.6911135E+001, 5.1532402E+001, 2.4994487E+001, 5.9277614E+001, 6.2028508E+001, 5.8458223E+001, 4.2172621E+001, 6.5692327E+001, 6.8489500E+001, 6.5896970E+001, 5.8013137E+001, 7.2540118E+001, 7.6280237E+001, 7.3093526E+001, 6.5898291E+001, 7.6444719E+001, 7.9849264E+001, 7.7130648E+001, 7.0347915E+001, 4.0581551E+000, 5.5311814E+000, 6.3720600E+000, 7.6217176E+000, 7.7565389E+000, 8.0877457E+000
 2.7000073E+002, 7.3976960E+001, 5.7921604E+001, 5.6059150E+001, 1.9232367E+001, 6.0112135E+001, 5.4843566E+001, 4.7193602E+001, 1.5826819E+001, 5.6534378E+001, 5.6746584E+001, 5.2239585E+001, 2.7337654E+001, 6.0317227E+001, 6.2649883E+001, 5.9154395E+001, 4.5265395E+001, 6.7017092E+001, 6.9340033E+001, 6.6195976E+001, 5.9079995E+001, 7.2063146E+001, 7.5275892E+001, 7.2485097E+001, 6.5829573E+001, 7.5193313E+001, 7.9180927E+001, 7.5274083E+001, 6.9343993E+001, 4.1171642E+000, 5.6161301E+000, 6.4708669E+000, 7.7122668E+000, 7.8422142E+000, 8.1249859E+000
 2.8000028E+002, 7.4268886E+001, 5.9171091E+001, 5.7177590E+001, 2.0268110E+001, 6.0949754E+001, 5.4713877E+001, 4.8840662E+001, 1.6932317E+001, 5.6944622E+001, 5.6242830E+001, 5.2835591E+001, 2.9469854E+001, 6.0645824E+001, 6.2559991E+001, 5.9926568E+001, 4.7397259E+001, 6.7543998E+001, 7.0520940E+001, 6.7503954E+001, 6.0552055E+001, 7.4066217E+001, 7.8541656E+001, 7.5634467E+001, 6.9584780E+001, 7.8049784E+001, 8.2231134E+001, 7.9040914E+001, 7.4179645E+001, 4.2954955E+000, 5.8496185E+000, 6.7748836E+000, 8.1647720E+000, 8.4204796E+000, 8.7659954E+000
 2.9000084E+002, 7.4810602E+001, 5.9018059E+001, 5.6384670E+001, 2.0533452E+001, 6.1598209E+001, 5.4842733E+001, 4.7947716E+001, 1.6009011E+001, 5.7376474E+001, 5.7315303E+001, 5.2547139E+001, 2.9994797E+001, 6.1164429E+001, 6.2501213E+001, 5.9170593E+001, 4.9395631E+001, 6.7942503E+001, 7.0281248E+001, 6.7273721E+001, 6.0026717E+001, 7.4367531E+001, 7.7551862E+001, 7.3984630E+001, 6.7836051E+001, 7.7612455E+001, 8.1696856E+001, 7.8534926E+001, 7.2396959E+001, 4.3291313E+000, 5.9118203E+000, 6.8433158E+000, 8.2705255E+000, 8.5694805E+000, 8.9309188E+000
 3.0000000E+002, 7.5432500E+001, 5.8672888E+001, 5.6975530E+001, 1.9956848E+001, 6.2270346E+001, 5.4467514E+001, 4.8275717E+001, 1.7897827E+001, 5.7741207E+001, 5.7524530E+001, 5.2415972E+001, 3.0483803E+001, 6.1404035E+001, 6.3730862E+001, 6.0239055E+001, 4.9862635E+001, 6.8241297E+001, 7.1391080E+001, 6.7872570E+001, 6.0318756E+001, 7.4647122E+001, 7.8163806E+001, 7.4829794E+001, 6.7848281E+001, 7.7833577E+001, 8.1350737E+001, 7.8273502E+001, 7.2583249E+001, 4.3981381E+000, 5.9726953E+000, 6.9024737E+000, 8.3820180E+000, 8.7320222E+000, 9.0950941E+000
