s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
 9.0000125E+001, 7.5225320E+001, 6.1796074E+001, 5.6627313E+001, 3.5122845E+001, 6.2444665E+001, 5.7305761E+001, 5.4901217E+001, 1.5696803E+001, 5.8585010E+001, 6.0438693E+001, 5.4700323E+001, 2.0628595E+001, 6.2813740E+001, 6.3984228E+001, 5.9548674E+001, 2.5147526E+001, 6.6362347E+001, 6.8081543E+001, 6.3404077E+001, 3.0565634E+001, 6.8532925E+001, 6.9905312E+001, 6.4548952E+001, 3.3282734E+001, 6.8401738E+001, 7.0888398E+001, 6.2686988E+001, 3.4042887E+001, 2.9739447E+000, 3.7206307E+000, 4.0050874E+000, 3.9421150E+000, 3.7240097E+000, 3.9024368E+000
 1.0000035E+002, 9.3930137E+001, 6.2935698E+001, 5.9165922E+001, 4.5256791E+001, 6.3887512E+001, 5.9701459E+001, 5.5837021E+001, 2.3219072E+001, 5.9135099E+001, 6.1039737E+001, 5.9744735E+001, 2.4356472E+001, 6.2763295E+001, 6.4657200E+001, 6.3559132E+001, 3.2357289E+001, 6.6543291E+001, 6.7379623E+001, 6.5218357E+001, 3.9456670E+001, 6.8830582E+001, 7.0295028E+001, 6.9259223E+001, 4.5226193E+001, 6.9816781E+001, 7.2566089E+001, 7.0201749E+001, 4.8013658E+001, 3.2359065E+000, 4.1593109E+000, 4.4376760E+000, 4.5192105E+000, 4.1545138E+000, 4.3992445E+000
 1.1000010E+002, 9.0831278E+001, 6.4652247E+001, 5.9327085E+001, 5.7013910E+001, 6.3120952E+001, 5.8179538E+001, 5.5062815E+001, 3.1275363E+001, 5.9566931E+001, 6.0217247E+001, 5.8987441E+001, 3.0594612E+001, 6.3756828E+001, 6.5156383E+001, 6.3122418E+001, 3.6914200E+001, 6.7830767E+001, 7.0384079E+001, 6.7849856E+001, 4.7231503E+001, 6.9991477E+001, 7.2897066E+001, 7.0461465E+001, 5.5080979E+001, 7.0825957E+001, 7.3613944E+001, 7.0959640E+001, 5.7576425E+001, 3.4095042E+000, 4.4085760E+000, 4.7506919E+000, 5.0257042E+000, 4.5352074E+000, 4.7856998E+000
 1.2000003E+002, 8.7313322E+001, 6.0824807E+001, 5.8903446E+001, 5.9801582E+001, 6.5144286E+001, 5.9083450E+001, 5.5264615E+001, 3.7429378E+001, 6.0973245E+001, 6.1931129E+001, 5.9538322E+001, 3.6352956E+001, 6.5229138E+001, 6.5675661E+001, 6.3035539E+001, 4.4002201E+001, 6.8165215E+001, 6.9668499E+001, 6.6516837E+001, 5.7072348E+001, 7.0301191E+001, 7.3559907E+001, 7.0177569E+001, 6.6360605E+001, 7.0939621E+001, 7.4853496E+001, 7.2283128E+001, 6.8998698E+001, 3.6152407E+000, 4.6745272E+000, 5.0914916E+000, 5.5139876E+000, 4.9247040E+000, 5.1966161E+000
 1.3000018E+002, 8.7171698E+001, 6.3277757E+001, 5.8701977E+001, 6.2298434E+001, 6.3884962E+001, 5.9135398E+001, 5.5964105E+001, 4.4151722E+001, 6.0483483E+001, 6.2086473E+001, 5.9885120E+001, 4.5650489E+001, 6.4375225E+001, 6.6362494E+001, 6.4066975E+001, 5.5286804E+001, 6.7778886E+001, 7.1142497E+001, 6.8376455E+001, 6.6188805E+001, 7.0480956E+001, 7.3787338E+001, 7.1779079E+001, 7.0388578E+001, 7.1116937E+001, 7.4582603E+001, 7.3072883E+001, 7.0434237E+001, 3.8166227E+000, 4.9786038E+000, 5.4597049E+000, 6.0625486E+000, 5.4089658E+000, 5.6386638E+000
 1.4000032E+002, 8.5418416E+001, 6.0537273E+001, 5.8616857E+001, 6.3194229E+001, 6.3783302E+001, 5.8975836E+001, 5.6556928E+001, 5.0123301E+001, 6.0607070E+001, 6.1406963E+001, 6.0175145E+001, 5.2435942E+001, 6.4782590E+001, 6.6769584E+001, 6.4245109E+001, 6.1334378E+001, 6.8407547E+001, 7.1037879E+001, 6.8878541E+001, 6.5700915E+001, 7.0639149E+001, 7.4065550E+001, 7.1931101E+001, 6.7958654E+001, 7.0764996E+001, 7.5148501E+001, 7.3581601E+001, 7.0306009E+001, 3.9839816E+000, 5.2154393E+000, 5.7601630E+000, 6.6030376E+000, 6.0084216E+000, 6.2738351E+000
 1.5000001E+002, 8.2952880E+001, 5.9219688E+001, 5.8139235E+001, 6.4523150E+001, 6.4525402E+001, 5.8812230E+001, 5.6307652E+001, 5.3463542E+001, 6.1776452E+001, 6.2138217E+001, 5.9910272E+001, 5.7884541E+001, 6.6715308E+001, 6.8191787E+001, 6.4343276E+001, 6.2765639E+001, 6.9935210E+001, 7.3047795E+001, 6.8789226E+001, 6.5473273E+001, 7.1975338E+001, 7.5515749E+001, 7.2771179E+001, 6.9188880E+001, 7.2071334E+001, 7.6190780E+001, 7.4291135E+001, 7.0619226E+001, 4.1607103E+000, 5.3950490E+000, 6.1067228E+000, 7.0996874E+000, 6.6045193E+000, 6.8018082E+000
 1.6000024E+002, 8.3046819E+001, 6.2657417E+001, 5.9060090E+001, 6.6323987E+001, 6.4813691E+001, 5.8485440E+001, 5.7523935E+001, 5.5126532E+001, 6.1893528E+001, 6.1298392E+001, 6.0133626E+001, 5.9124610E+001, 6.6026093E+001, 6.7353461E+001, 6.5083928E+001, 6.2484486E+001, 6.9025373E+001, 7.2985068E+001, 6.9857041E+001, 6.7565751E+001, 7.1870694E+001, 7.6613547E+001, 7.4148331E+001, 7.1370802E+001, 7.2998246E+001, 7.8414792E+001, 7.6964625E+001, 7.4022728E+001, 4.3836265E+000, 5.7240394E+000, 6.4699747E+000, 7.6985456E+000, 7.3369804E+000, 7.5932862E+000
 1.7000027E+002, 8.2089082E+001, 5.9431080E+001, 5.8404310E+001, 6.6408535E+001, 6.4153369E+001, 5.9734715E+001, 5.6284572E+001, 5.4970685E+001, 6.2603898E+001, 6.3919112E+001, 5.9573749E+001, 5.8081027E+001, 6.7791486E+001, 6.9178889E+001, 6.5217211E+001, 6.2234550E+001, 7.1874549E+001, 7.4343381E+001, 6.9896668E+001, 6.6614757E+001, 7.3520263E+001, 7.8428777E+001, 7.3201077E+001, 6.9890055E+001, 7.3389426E+001, 7.9226671E+001, 7.4971092E+001, 7.1823567E+001, 4.4805742E+000, 5.8929258E+000, 6.7327296E+000, 8.0832062E+000, 7.8622536E+000, 8.0910761E+000
 1.8000002E+002, 8.1671092E+001, 5.9426772E+001, 5.8338840E+001, 6.6599483E+001, 6.4584080E+001, 5.9771879E+001, 5.7265953E+001, 5.5898021E+001, 6.3342620E+001, 6.5039735E+001, 6.1372404E+001, 5.8488837E+001, 6.7867289E+001, 7.0034225E+001, 6.6294002E+001, 6.1550838E+001, 7.0720683E+001, 7.4438790E+001, 7.0767144E+001, 6.6295754E+001, 7.2869125E+001, 7.8345232E+001, 7.5589856E+001, 7.0110974E+001, 7.3377343E+001, 8.0064829E+001, 7.6675879E+001, 7.1774810E+001, 4.6512142E+000, 6.1619682E+000, 7.0810670E+000, 8.5925505E+000, 8.4811562E+000, 8.7104534E+000
 1.9000006E+002, 8.0808564E+001, 6.0215827E+001, 5.8733091E+001, 6.7165173E+001, 6.4884972E+001, 6.0685987E+001, 5.6902595E+001, 5.4883872E+001, 6.2705551E+001, 6.4493631E+001, 6.2034413E+001, 5.7489318E+001, 6.7734837E+001, 6.9038020E+001, 6.6871961E+001, 6.2352085E+001, 7.2064318E+001, 7.5393028E+001, 7.1757478E+001, 6.7279283E+001, 7.4901059E+001, 7.9837780E+001, 7.5861930E+001, 7.1985221E+001, 7.5484672E+001, 8.2045684E+001, 7.8626922E+001, 7.4611819E+001, 4.8053606E+000, 6.3293701E+000, 7.3548019E+000, 9.0897377E+000, 9.1376066E+000, 9.2787051E+000
 2.0000039E+002, 8.0288523E+001, 6.0776618E+001, 5.8367712E+001, 6.6137899E+001, 6.4205547E+001, 5.8801250E+001, 5.6880284E+001, 5.2772906E+001, 6.3144185E+001, 6.4015088E+001, 6.1441502E+001, 5.8302628E+001, 6.8104925E+001, 6.9981534E+001, 6.7203734E+001, 6.1962536E+001, 7.1335904E+001, 7.5607368E+001, 7.3334287E+001, 6.7693671E+001, 7.3650560E+001, 7.9723756E+001, 7.7381114E+001, 7.2997677E+001, 7.4167319E+001, 8.1852204E+001, 7.9962244E+001, 7.5467270E+001, 4.9174250E+000, 6.5416018E+000, 7.5945900E+000, 9.4765191E+000, 9.6406881E+000, 9.7687493E+000
 2.1000020E+002, 8.0068276E+001, 5.9735294E+001, 5.9331853E+001, 6.5706118E+001, 6.4321298E+001, 5.8927561E+001, 5.6321773E+001, 5.2898413E+001, 6.2847970E+001, 6.3524460E+001, 6.1519821E+001, 5.6569705E+001, 6.7869037E+001, 6.9089420E+001, 6.8047111E+001, 6.1821570E+001, 7.1342585E+001, 7.5363834E+001, 7.2464749E+001, 6.7802141E+001, 7.1927361E+001, 7.9333374E+001, 7.5876979E+001, 7.1984453E+001, 7.1932107E+001, 8.0290456E+001, 7.7535731E+001, 7.4701023E+001, 4.9127975E+000, 6.5738890E+000, 7.7160040E+000, 9.6793077E+000, 9.8221109E+000, 9.8171561E+000
 2.2000001E+002, 7.9797292E+001, 6.2926875E+001, 5.8733527E+001, 6.4890246E+001, 6.5328950E+001, 5.9310437E+001, 5.7272102E+001, 5.4812870E+001, 6.4573782E+001, 6.4927770E+001, 6.2623389E+001, 5.9753989E+001, 6.9412291E+001, 7.1116732E+001, 6.9497590E+001, 6.5178967E+001, 7.3000308E+001, 7.6721005E+001, 7.4752287E+001, 7.0155642E+001, 7.5037862E+001, 8.1610453E+001, 7.8513419E+001, 7.4761305E+001, 7.4625501E+001, 8.3885620E+001, 8.1228495E+001, 7.6855442E+001, 5.1954878E+000, 6.9818175E+000, 8.1800004E+000, 1.0372257E+001, 1.0550623E+001, 1.0465008E+001
 2.3000005E+002, 7.9617337E+001, 6.1261578E+001, 5.9540511E+001, 6.5209398E+001, 6.5502123E+001, 5.9808303E+001, 5.7813381E+001, 5.5858474E+001, 6.5639574E+001, 6.4726014E+001, 6.3748067E+001, 5.9967390E+001, 6.9334553E+001, 7.1026385E+001, 6.9306986E+001, 6.4537835E+001, 7.2493046E+001, 7.7053600E+001, 7.6027679E+001, 7.1911507E+001, 7.4885321E+001, 8.2985681E+001, 8.0622706E+001, 7.7350127E+001, 7.5624574E+001, 8.5431079E+001, 8.2260866E+001, 7.9462145E+001, 5.3871710E+000, 7.2929253E+000, 8.4796397E+000, 1.0865907E+001, 1.1069761E+001, 1.0956078E+001
