s,%,%,%,%,%,%,%,m/s,m/s
Time,Sensor #1,Sensor #2,Sensor #3,Sensor #4,Sensor #5,Sensor #6,Sensor #7,TOPD_V,BOTTOMD_V
 3.480E+03, 3.218E+01, 3.531E+01, 3.885E+01, 4.060E+01, 4.163E+01, 4.216E+01, 4.240E+01, 4.964E-01, 3.613E-01
 3.540E+03, 3.278E+01, 3.587E+01, 3.936E+01, 4.109E+01, 4.211E+01, 4.264E+01, 4.288E+01, 4.976E-01, 3.601E-01
 3.600E+03, 3.338E+01, 3.642E+01, 3.985E+01, 4.156E+01, 4.258E+01, 4.312E+01, 4.337E+01, 4.977E-01, 3.577E-01
 3.660E+03, 3.403E+01, 3.657E+01, 3.974E+01, 4.152E+01, 4.277E+01, 4.335E+01, 4.364E+01, 2.145E-01,-2.148E-01
 3.720E+03, 3.452E+01, 3.642E+01, 3.918E+01, 4.103E+01, 4.257E+01, 4.327E+01, 4.359E+01, 2.145E-01,-2.146E-01
 3.780E+03, 3.486E+01, 3.635E+01, 3.878E+01, 4.062E+01, 4.232E+01, 4.315E+01, 4.352E+01, 2.134E-01,-2.134E-01
 3.840E+03, 3.511E+01, 3.632E+01, 3.849E+01, 4.027E+01, 4.207E+01, 4.301E+01, 4.344E+01, 2.123E-01,-2.123E-01
 3.900E+03, 3.526E+01, 3.632E+01, 3.827E+01, 3.999E+01, 4.182E+01, 4.286E+01, 4.334E+01, 2.113E-01,-2.113E-01
 3.960E+03, 3.541E+01, 3.632E+01, 3.811E+01, 3.975E+01, 4.159E+01, 4.270E+01, 4.323E+01, 2.107E-01,-2.107E-01
 4.020E+03, 3.555E+01, 3.633E+01, 3.798E+01, 3.955E+01, 4.138E+01, 4.253E+01, 4.311E+01, 2.103E-01,-2.103E-01
 4.080E+03, 3.563E+01, 3.634E+01, 3.788E+01, 3.938E+01, 4.119E+01, 4.237E+01, 4.298E+01, 2.099E-01,-2.099E-01
 4.140E+03, 3.568E+01, 3.635E+01, 3.779E+01, 3.923E+01, 4.101E+01, 4.221E+01, 4.284E+01, 2.095E-01,-2.096E-01
 4.200E+03, 3.572E+01, 3.635E+01, 3.772E+01, 3.910E+01, 4.085E+01, 4.205E+01, 4.271E+01, 2.092E-01,-2.092E-01
 4.260E+03, 3.574E+01, 3.635E+01, 3.765E+01, 3.899E+01, 4.069E+01, 4.189E+01, 4.256E+01, 2.089E-01,-2.089E-01
 4.320E+03, 3.575E+01, 3.634E+01, 3.760E+01, 3.888E+01, 4.055E+01, 4.174E+01, 4.242E+01, 2.084E-01,-2.084E-01
 4.380E+03, 3.575E+01, 3.633E+01, 3.754E+01, 3.879E+01, 4.042E+01, 4.160E+01, 4.228E+01, 2.081E-01,-2.081E-01
 4.440E+03, 3.574E+01, 3.631E+01, 3.749E+01, 3.870E+01, 4.029E+01, 4.146E+01, 4.213E+01, 2.078E-01,-2.078E-01
 4.500E+03, 3.573E+01, 3.628E+01, 3.743E+01, 3.861E+01, 4.017E+01, 4.132E+01, 4.199E+01, 2.076E-01,-2.076E-01
 4.560E+03, 3.571E+01, 3.626E+01, 3.738E+01, 3.853E+01, 4.006E+01, 4.119E+01, 4.185E+01, 2.073E-01,-2.073E-01
 4.620E+03, 3.568E+01, 3.622E+01, 3.733E+01, 3.845E+01, 3.995E+01, 4.106E+01, 4.171E+01, 2.070E-01,-2.070E-01
 4.680E+03, 3.565E+01, 3.619E+01, 3.727E+01, 3.838E+01, 3.984E+01, 4.093E+01, 4.158E+01, 2.068E-01,-2.068E-01
 4.740E+03, 3.562E+01, 3.615E+01, 3.722E+01, 3.830E+01, 3.973E+01, 4.081E+01, 4.144E+01, 2.064E-01,-2.064E-01
 4.800E+03, 3.558E+01, 3.611E+01, 3.717E+01, 3.822E+01, 3.963E+01, 4.068E+01, 4.131E+01, 2.063E-01,-2.063E-01
 4.860E+03, 3.554E+01, 3.607E+01, 3.711E+01, 3.815E+01, 3.953E+01, 4.057E+01, 4.118E+01, 2.060E-01,-2.060E-01
 4.920E+03, 3.550E+01, 3.603E+01, 3.705E+01, 3.808E+01, 3.943E+01, 4.045E+01, 4.106E+01, 2.058E-01,-2.058E-01
 4.980E+03, 3.545E+01, 3.598E+01, 3.700E+01, 3.800E+01, 3.934E+01, 4.033E+01, 4.093E+01, 2.055E-01,-2.055E-01
 5.040E+03, 3.541E+01, 3.593E+01, 3.694E+01, 3.793E+01, 3.924E+01, 4.022E+01, 4.081E+01, 2.052E-01,-2.052E-01
 5.100E+03, 3.536E+01, 3.588E+01, 3.688E+01, 3.786E+01, 3.915E+01, 4.011E+01, 4.069E+01, 2.050E-01,-2.050E-01
 5.160E+03, 3.531E+01, 3.583E+01, 3.682E+01, 3.778E+01, 3.906E+01, 4.001E+01, 4.057E+01, 2.047E-01,-2.047E-01
