s,%,%,%,%,%,%,%,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","TOPD_V","BOTTOMD_V"
 3.840E+03, 2.609E+01, 2.955E+01, 3.467E+01, 4.006E+01, 4.740E+01, 5.323E+01, 5.690E+01, 2.141E-01,-2.139E-01
 3.900E+03, 2.675E+01, 2.995E+01, 3.485E+01, 4.006E+01, 4.710E+01, 5.260E+01, 5.601E+01, 2.139E-01,-2.138E-01
 3.960E+03, 2.738E+01, 3.033E+01, 3.502E+01, 4.003E+01, 4.677E+01, 5.199E+01, 5.518E+01, 2.136E-01,-2.135E-01
 4.020E+03, 2.797E+01, 3.069E+01, 3.519E+01, 3.999E+01, 4.644E+01, 5.140E+01, 5.442E+01, 2.134E-01,-2.133E-01
 4.080E+03, 2.853E+01, 3.104E+01, 3.534E+01, 3.994E+01, 4.610E+01, 5.083E+01, 5.370E+01, 2.130E-01,-2.130E-01
 4.140E+03, 2.905E+01, 3.136E+01, 3.547E+01, 3.988E+01, 4.577E+01, 5.029E+01, 5.302E+01, 2.128E-01,-2.128E-01
 4.200E+03, 2.954E+01, 3.166E+01, 3.560E+01, 3.981E+01, 4.545E+01, 4.977E+01, 5.238E+01, 2.128E-01,-2.128E-01
 4.260E+03, 3.000E+01, 3.195E+01, 3.571E+01, 3.974E+01, 4.514E+01, 4.927E+01, 5.177E+01, 2.126E-01,-2.125E-01
 4.320E+03, 3.043E+01, 3.222E+01, 3.581E+01, 3.967E+01, 4.484E+01, 4.880E+01, 5.119E+01, 2.124E-01,-2.124E-01
 4.380E+03, 3.082E+01, 3.249E+01, 3.590E+01, 3.959E+01, 4.455E+01, 4.835E+01, 5.064E+01, 2.120E-01,-2.119E-01
 4.440E+03, 3.119E+01, 3.274E+01, 3.599E+01, 3.951E+01, 4.427E+01, 4.791E+01, 5.011E+01, 2.119E-01,-2.119E-01
 4.500E+03, 3.153E+01, 3.297E+01, 3.607E+01, 3.944E+01, 4.400E+01, 4.750E+01, 4.961E+01, 2.115E-01,-2.115E-01
 4.560E+03, 3.184E+01, 3.319E+01, 3.614E+01, 3.936E+01, 4.374E+01, 4.710E+01, 4.914E+01, 2.114E-01,-2.114E-01
 4.620E+03, 3.213E+01, 3.339E+01, 3.620E+01, 3.929E+01, 4.349E+01, 4.672E+01, 4.868E+01, 2.113E-01,-2.113E-01
 4.680E+03, 3.240E+01, 3.358E+01, 3.626E+01, 3.921E+01, 4.325E+01, 4.635E+01, 4.824E+01, 2.110E-01,-2.110E-01
 4.740E+03, 3.265E+01, 3.375E+01, 3.631E+01, 3.914E+01, 4.301E+01, 4.601E+01, 4.782E+01, 2.109E-01,-2.109E-01
 4.800E+03, 3.288E+01, 3.391E+01, 3.635E+01, 3.907E+01, 4.279E+01, 4.567E+01, 4.742E+01, 2.108E-01,-2.108E-01
 4.860E+03, 3.309E+01, 3.405E+01, 3.639E+01, 3.900E+01, 4.258E+01, 4.535E+01, 4.704E+01, 2.108E-01,-2.108E-01
 4.920E+03, 3.328E+01, 3.419E+01, 3.643E+01, 3.893E+01, 4.237E+01, 4.504E+01, 4.667E+01, 2.107E-01,-2.107E-01
 4.980E+03, 3.346E+01, 3.432E+01, 3.646E+01, 3.887E+01, 4.218E+01, 4.475E+01, 4.631E+01, 2.104E-01,-2.104E-01
 5.040E+03, 3.359E+01, 3.443E+01, 3.648E+01, 3.880E+01, 4.199E+01, 4.446E+01, 4.597E+01, 2.103E-01,-2.103E-01
 5.100E+03, 3.373E+01, 3.454E+01, 3.651E+01, 3.873E+01, 4.180E+01, 4.419E+01, 4.565E+01, 2.099E-01,-2.099E-01
 5.160E+03, 3.387E+01, 3.463E+01, 3.653E+01, 3.867E+01, 4.163E+01, 4.393E+01, 4.533E+01, 2.098E-01,-2.098E-01
 5.220E+03, 3.399E+01, 3.471E+01, 3.654E+01, 3.861E+01, 4.146E+01, 4.368E+01, 4.503E+01, 2.097E-01,-2.097E-01
 5.280E+03, 3.410E+01, 3.479E+01, 3.655E+01, 3.854E+01, 4.129E+01, 4.343E+01, 4.474E+01, 2.096E-01,-2.096E-01
 5.340E+03, 3.419E+01, 3.485E+01, 3.656E+01, 3.848E+01, 4.113E+01, 4.320E+01, 4.447E+01, 2.093E-01,-2.093E-01
 5.400E+03, 3.427E+01, 3.492E+01, 3.657E+01, 3.842E+01, 4.098E+01, 4.298E+01, 4.420E+01, 2.090E-01,-2.090E-01
 5.460E+03, 3.434E+01, 3.497E+01, 3.657E+01, 3.835E+01, 4.083E+01, 4.276E+01, 4.394E+01, 2.088E-01,-2.088E-01
 5.520E+03, 3.440E+01, 3.502E+01, 3.657E+01, 3.829E+01, 4.068E+01, 4.255E+01, 4.369E+01, 2.087E-01,-2.087E-01
 5.580E+03, 3.445E+01, 3.506E+01, 3.656E+01, 3.823E+01, 4.054E+01, 4.235E+01, 4.345E+01, 2.085E-01,-2.085E-01
 5.640E+03, 3.450E+01, 3.509E+01, 3.655E+01, 3.817E+01, 4.041E+01, 4.215E+01, 4.322E+01, 2.083E-01,-2.083E-01
 5.700E+03, 3.453E+01, 3.512E+01, 3.654E+01, 3.811E+01, 4.027E+01, 4.196E+01, 4.300E+01, 2.079E-01,-2.079E-01
 5.760E+03, 3.457E+01, 3.514E+01, 3.653E+01, 3.805E+01, 4.015E+01, 4.178E+01, 4.278E+01, 2.075E-01,-2.074E-01
 5.820E+03, 3.459E+01, 3.516E+01, 3.651E+01, 3.799E+01, 4.002E+01, 4.160E+01, 4.257E+01, 2.074E-01,-2.074E-01
 5.880E+03, 3.461E+01, 3.517E+01, 3.649E+01, 3.792E+01, 3.990E+01, 4.143E+01, 4.237E+01, 2.071E-01,-2.071E-01
 5.940E+03, 3.462E+01, 3.517E+01, 3.646E+01, 3.786E+01, 3.978E+01, 4.127E+01, 4.218E+01, 2.069E-01,-2.069E-01
 6.000E+03, 3.462E+01, 3.517E+01, 3.644E+01, 3.780E+01, 3.966E+01, 4.111E+01, 4.199E+01, 2.068E-01,-2.068E-01
 6.060E+03, 3.463E+01, 3.517E+01, 3.641E+01, 3.773E+01, 3.955E+01, 4.095E+01, 4.181E+01, 2.063E-01,-2.063E-01
 6.120E+03, 3.462E+01, 3.516E+01, 3.637E+01, 3.767E+01, 3.944E+01, 4.080E+01, 4.163E+01, 2.064E-01,-2.064E-01
