s,%,%,%,%,%,%,%,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","TOPD_V","BOTTOMD_V"
 2.940E+03, 2.651E+01, 3.008E+01, 3.404E+01, 3.596E+01, 3.710E+01, 3.768E+01, 3.794E+01, 3.490E-01, 1.821E-01
 3.000E+03, 2.715E+01, 3.067E+01, 3.460E+01, 3.651E+01, 3.763E+01, 3.819E+01, 3.844E+01, 3.507E-01, 1.803E-01
 3.060E+03, 2.780E+01, 3.127E+01, 3.516E+01, 3.704E+01, 3.814E+01, 3.869E+01, 3.895E+01, 3.525E-01, 1.786E-01
 3.120E+03, 2.844E+01, 3.187E+01, 3.572E+01, 3.758E+01, 3.865E+01, 3.919E+01, 3.944E+01, 3.543E-01, 1.767E-01
 3.180E+03, 2.907E+01, 3.246E+01, 3.624E+01, 3.808E+01, 3.915E+01, 3.969E+01, 3.995E+01, 3.560E-01, 1.750E-01
 3.240E+03, 2.970E+01, 3.304E+01, 3.676E+01, 3.857E+01, 3.964E+01, 4.020E+01, 4.046E+01, 3.578E-01, 1.733E-01
 3.300E+03, 3.032E+01, 3.361E+01, 3.726E+01, 3.906E+01, 4.014E+01, 4.071E+01, 4.097E+01, 3.595E-01, 1.715E-01
 3.360E+03, 3.094E+01, 3.417E+01, 3.777E+01, 3.955E+01, 4.065E+01, 4.122E+01, 4.148E+01, 3.614E-01, 1.697E-01
 3.420E+03, 3.155E+01, 3.472E+01, 3.828E+01, 4.005E+01, 4.114E+01, 4.171E+01, 4.198E+01, 3.633E-01, 1.678E-01
 3.480E+03, 3.215E+01, 3.527E+01, 3.880E+01, 4.055E+01, 4.164E+01, 4.220E+01, 4.245E+01, 3.652E-01, 1.659E-01
 3.540E+03, 3.275E+01, 3.582E+01, 3.931E+01, 4.106E+01, 4.213E+01, 4.268E+01, 4.292E+01, 3.669E-01, 1.642E-01
 3.600E+03, 3.334E+01, 3.638E+01, 3.983E+01, 4.156E+01, 4.261E+01, 4.314E+01, 4.339E+01, 3.680E-01, 1.613E-01
 3.660E+03, 3.396E+01, 3.646E+01, 3.968E+01, 4.151E+01, 4.279E+01, 4.336E+01, 4.363E+01, 2.075E-01,-2.074E-01
 3.720E+03, 3.432E+01, 3.617E+01, 3.902E+01, 4.096E+01, 4.257E+01, 4.328E+01, 4.359E+01, 2.062E-01,-2.063E-01
 3.780E+03, 3.451E+01, 3.600E+01, 3.854E+01, 4.049E+01, 4.230E+01, 4.316E+01, 4.352E+01, 2.045E-01,-2.045E-01
 3.840E+03, 3.473E+01, 3.590E+01, 3.817E+01, 4.008E+01, 4.202E+01, 4.301E+01, 4.343E+01, 2.034E-01,-2.034E-01
 3.900E+03, 3.485E+01, 3.582E+01, 3.788E+01, 3.974E+01, 4.174E+01, 4.284E+01, 4.333E+01, 2.037E-01,-2.037E-01
 3.960E+03, 3.493E+01, 3.577E+01, 3.765E+01, 3.944E+01, 4.148E+01, 4.266E+01, 4.322E+01, 2.029E-01,-2.029E-01
 4.020E+03, 3.494E+01, 3.573E+01, 3.747E+01, 3.920E+01, 4.123E+01, 4.248E+01, 4.309E+01, 2.021E-01,-2.021E-01
 4.080E+03, 3.492E+01, 3.567E+01, 3.733E+01, 3.899E+01, 4.101E+01, 4.230E+01, 4.296E+01, 2.014E-01,-2.014E-01
 4.140E+03, 3.487E+01, 3.561E+01, 3.720E+01, 3.880E+01, 4.080E+01, 4.212E+01, 4.281E+01, 2.012E-01,-2.012E-01
 4.200E+03, 3.482E+01, 3.554E+01, 3.708E+01, 3.864E+01, 4.061E+01, 4.194E+01, 4.266E+01, 2.008E-01,-2.008E-01
 4.260E+03, 3.475E+01, 3.546E+01, 3.696E+01, 3.848E+01, 4.043E+01, 4.177E+01, 4.250E+01, 2.000E-01,-2.000E-01
