s,%,%,%,%,%,%,%,m/s,m/s,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","U TOPD_V","U BOTTOMD_V","B TOPD_V","B BOTTOMD_V"
 4.260E+03, 2.088E+00, 2.922E+00, 4.309E+00, 5.777E+00, 8.447E+00, 1.207E+01, 1.648E+01, 5.303E-01, 4.887E-01,-3.831E-01,-3.873E-01
 4.320E+03, 2.124E+00, 2.965E+00, 4.359E+00, 5.832E+00, 8.506E+00, 1.213E+01, 1.654E+01, 5.319E-01, 4.903E-01,-3.847E-01,-3.890E-01
 4.380E+03, 2.158E+00, 3.007E+00, 4.408E+00, 5.886E+00, 8.563E+00, 1.219E+01, 1.660E+01, 5.336E-01, 4.919E-01,-3.863E-01,-3.906E-01
 4.440E+03, 2.193E+00, 3.048E+00, 4.457E+00, 5.938E+00, 8.620E+00, 1.225E+01, 1.666E+01, 5.352E-01, 4.934E-01,-3.878E-01,-3.922E-01
 4.500E+03, 2.226E+00, 3.089E+00, 4.504E+00, 5.990E+00, 8.676E+00, 1.230E+01, 1.672E+01, 5.367E-01, 4.950E-01,-3.893E-01,-3.938E-01
 4.560E+03, 2.259E+00, 3.129E+00, 4.551E+00, 6.041E+00, 8.731E+00, 1.236E+01, 1.677E+01, 5.382E-01, 4.965E-01,-3.908E-01,-3.953E-01
 4.620E+03, 2.292E+00, 3.168E+00, 4.597E+00, 6.091E+00, 8.784E+00, 1.241E+01, 1.683E+01, 5.397E-01, 4.979E-01,-3.923E-01,-3.968E-01
 4.680E+03, 2.324E+00, 3.207E+00, 4.642E+00, 6.140E+00, 8.837E+00, 1.247E+01, 1.688E+01, 5.412E-01, 4.993E-01,-3.937E-01,-3.983E-01
 4.740E+03, 2.355E+00, 3.245E+00, 4.687E+00, 6.189E+00, 8.889E+00, 1.252E+01, 1.693E+01, 5.426E-01, 5.007E-01,-3.951E-01,-3.997E-01
 4.800E+03, 2.386E+00, 3.282E+00, 4.731E+00, 6.236E+00, 8.939E+00, 1.257E+01, 1.698E+01, 5.440E-01, 5.021E-01,-3.964E-01,-4.011E-01
 4.860E+03, 2.416E+00, 3.319E+00, 4.773E+00, 6.283E+00, 8.989E+00, 1.262E+01, 1.703E+01, 5.454E-01, 5.034E-01,-3.978E-01,-4.025E-01
 4.920E+03, 2.446E+00, 3.355E+00, 4.816E+00, 6.328E+00, 9.038E+00, 1.267E+01, 1.708E+01, 5.467E-01, 5.047E-01,-3.991E-01,-4.038E-01
 4.980E+03, 2.475E+00, 3.390E+00, 4.857E+00, 6.373E+00, 9.085E+00, 1.272E+01, 1.712E+01, 5.480E-01, 5.060E-01,-4.003E-01,-4.051E-01
 5.040E+03, 2.504E+00, 3.425E+00, 4.898E+00, 6.417E+00, 9.132E+00, 1.277E+01, 1.717E+01, 5.493E-01, 5.073E-01,-4.016E-01,-4.064E-01
 5.100E+03, 2.532E+00, 3.459E+00, 4.937E+00, 6.461E+00, 9.178E+00, 1.281E+01, 1.721E+01, 5.505E-01, 5.085E-01,-4.028E-01,-4.076E-01
 5.160E+03, 2.560E+00, 3.493E+00, 4.977E+00, 6.503E+00, 9.223E+00, 1.286E+01, 1.726E+01, 5.518E-01, 5.097E-01,-4.040E-01,-4.089E-01
 5.220E+03, 2.587E+00, 3.526E+00, 5.015E+00, 6.545E+00, 9.267E+00, 1.290E+01, 1.730E+01, 5.529E-01, 5.108E-01,-4.051E-01,-4.101E-01
 5.280E+03, 2.614E+00, 3.558E+00, 5.053E+00, 6.585E+00, 9.311E+00, 1.295E+01, 1.734E+01, 5.541E-01, 5.120E-01,-4.063E-01,-4.112E-01
 5.340E+03, 2.640E+00, 3.590E+00, 5.090E+00, 6.626E+00, 9.353E+00, 1.299E+01, 1.738E+01, 5.552E-01, 5.131E-01,-4.074E-01,-4.124E-01
 5.400E+03, 2.666E+00, 3.621E+00, 5.126E+00, 6.665E+00, 9.394E+00, 1.303E+01, 1.742E+01, 5.564E-01, 5.142E-01,-4.085E-01,-4.135E-01
 5.460E+03, 2.691E+00, 3.651E+00, 5.162E+00, 6.703E+00, 9.435E+00, 1.307E+01, 1.746E+01, 5.575E-01, 5.153E-01,-4.095E-01,-4.146E-01
 5.520E+03, 2.716E+00, 3.681E+00, 5.197E+00, 6.741E+00, 9.475E+00, 1.311E+01, 1.750E+01, 5.585E-01, 5.163E-01,-4.106E-01,-4.157E-01
 5.580E+03, 2.740E+00, 3.711E+00, 5.231E+00, 6.778E+00, 9.514E+00, 1.315E+01, 1.754E+01, 5.596E-01, 5.173E-01,-4.116E-01,-4.167E-01
 5.640E+03, 2.764E+00, 3.740E+00, 5.265E+00, 6.815E+00, 9.553E+00, 1.319E+01, 1.757E+01, 5.606E-01, 5.183E-01,-4.126E-01,-4.177E-01
 5.700E+03, 2.787E+00, 3.768E+00, 5.298E+00, 6.850E+00, 9.590E+00, 1.323E+01, 1.761E+01, 5.616E-01, 5.193E-01,-4.136E-01,-4.188E-01
 5.760E+03, 2.810E+00, 3.796E+00, 5.331E+00, 6.885E+00, 9.627E+00, 1.326E+01, 1.764E+01, 5.626E-01, 5.203E-01,-4.145E-01,-4.197E-01
 5.820E+03, 2.832E+00, 3.823E+00, 5.362E+00, 6.920E+00, 9.663E+00, 1.330E+01, 1.768E+01, 5.635E-01, 5.212E-01,-4.155E-01,-4.207E-01
 5.880E+03, 2.854E+00, 3.850E+00, 5.394E+00, 6.953E+00, 9.699E+00, 1.333E+01, 1.771E+01, 5.645E-01, 5.221E-01,-4.164E-01,-4.217E-01
 5.940E+03, 2.876E+00, 3.876E+00, 5.424E+00, 6.986E+00, 9.733E+00, 1.337E+01, 1.775E+01, 5.654E-01, 5.230E-01,-4.173E-01,-4.226E-01
 6.000E+03, 2.897E+00, 3.902E+00, 5.454E+00, 7.019E+00, 9.768E+00, 1.340E+01, 1.778E+01, 5.663E-01, 5.239E-01,-4.182E-01,-4.235E-01
 6.060E+03, 2.918E+00, 3.927E+00, 5.484E+00, 7.051E+00, 9.801E+00, 1.344E+01, 1.781E+01, 5.672E-01, 5.248E-01,-4.190E-01,-4.244E-01
 6.120E+03, 2.938E+00, 3.952E+00, 5.512E+00, 7.082E+00, 9.834E+00, 1.347E+01, 1.784E+01, 5.681E-01, 5.256E-01,-4.199E-01,-4.252E-01
 6.180E+03, 2.958E+00, 3.976E+00, 5.541E+00, 7.112E+00, 9.866E+00, 1.350E+01, 1.787E+01, 5.689E-01, 5.265E-01,-4.207E-01,-4.261E-01
 6.240E+03, 2.978E+00, 4.000E+00, 5.568E+00, 7.142E+00, 9.898E+00, 1.353E+01, 1.790E+01, 5.697E-01, 5.273E-01,-4.215E-01,-4.269E-01
 6.300E+03, 2.997E+00, 4.023E+00, 5.596E+00, 7.171E+00, 9.929E+00, 1.356E+01, 1.793E+01, 5.705E-01, 5.281E-01,-4.223E-01,-4.277E-01
 6.360E+03, 3.016E+00, 4.046E+00, 5.622E+00, 7.200E+00, 9.959E+00, 1.360E+01, 1.796E+01, 5.713E-01, 5.288E-01,-4.230E-01,-4.285E-01
 6.420E+03, 3.034E+00, 4.069E+00, 5.648E+00, 7.228E+00, 9.989E+00, 1.362E+01, 1.799E+01, 5.721E-01, 5.296E-01,-4.238E-01,-4.293E-01
 6.480E+03, 3.052E+00, 4.091E+00, 5.674E+00, 7.256E+00, 1.002E+01, 1.365E+01, 1.802E+01, 5.729E-01, 5.303E-01,-4.245E-01,-4.301E-01
 6.540E+03, 3.070E+00, 4.112E+00, 5.699E+00, 7.283E+00, 1.005E+01, 1.368E+01, 1.805E+01, 5.736E-01, 5.311E-01,-4.253E-01,-4.308E-01
 6.600E+03, 3.087E+00, 4.133E+00, 5.724E+00, 7.310E+00, 1.007E+01, 1.371E+01, 1.807E+01, 5.744E-01, 5.318E-01,-4.260E-01,-4.316E-01
 6.660E+03, 3.104E+00, 4.154E+00, 5.748E+00, 7.336E+00, 1.010E+01, 1.374E+01, 1.810E+01, 5.751E-01, 5.325E-01,-4.267E-01,-4.323E-01
 6.720E+03, 3.120E+00, 4.174E+00, 5.772E+00, 7.362E+00, 1.013E+01, 1.377E+01, 1.812E+01, 5.758E-01, 5.332E-01,-4.274E-01,-4.330E-01
 6.780E+03, 3.137E+00, 4.194E+00, 5.795E+00, 7.387E+00, 1.016E+01, 1.379E+01, 1.815E+01, 5.764E-01, 5.338E-01,-4.280E-01,-4.337E-01
 6.840E+03, 3.152E+00, 4.213E+00, 5.818E+00, 7.411E+00, 1.018E+01, 1.382E+01, 1.817E+01, 5.771E-01, 5.345E-01,-4.287E-01,-4.343E-01
 6.900E+03, 3.168E+00, 4.232E+00, 5.840E+00, 7.435E+00, 1.021E+01, 1.384E+01, 1.820E+01, 5.778E-01, 5.351E-01,-4.293E-01,-4.350E-01
 6.960E+03, 3.183E+00, 4.251E+00, 5.862E+00, 7.459E+00, 1.023E+01, 1.387E+01, 1.822E+01, 5.784E-01, 5.357E-01,-4.299E-01,-4.356E-01
 7.020E+03, 3.198E+00, 4.269E+00, 5.883E+00, 7.482E+00, 1.026E+01, 1.389E+01, 1.824E+01, 5.790E-01, 5.363E-01,-4.305E-01,-4.362E-01
 7.080E+03, 3.213E+00, 4.287E+00, 5.904E+00, 7.505E+00, 1.028E+01, 1.391E+01, 1.826E+01, 5.796E-01, 5.369E-01,-4.311E-01,-4.368E-01
 7.140E+03, 3.227E+00, 4.305E+00, 5.925E+00, 7.527E+00, 1.030E+01, 1.394E+01, 1.828E+01, 5.802E-01, 5.375E-01,-4.317E-01,-4.374E-01
 7.200E+03, 3.241E+00, 4.322E+00, 5.945E+00, 7.549E+00, 1.033E+01, 1.396E+01, 1.830E+01, 5.808E-01, 5.381E-01,-4.322E-01,-4.380E-01
 7.260E+03, 3.255E+00, 4.339E+00, 5.965E+00, 7.570E+00, 1.035E+01, 1.398E+01, 1.832E+01, 5.813E-01, 5.386E-01,-4.328E-01,-4.386E-01
 7.320E+03, 3.268E+00, 4.355E+00, 5.984E+00, 7.591E+00, 1.037E+01, 1.400E+01, 1.834E+01, 5.819E-01, 5.392E-01,-4.333E-01,-4.391E-01
 7.380E+03, 3.282E+00, 4.372E+00, 6.003E+00, 7.611E+00, 1.039E+01, 1.402E+01, 1.836E+01, 5.824E-01, 5.397E-01,-4.339E-01,-4.397E-01
 7.440E+03, 3.294E+00, 4.387E+00, 6.022E+00, 7.631E+00, 1.041E+01, 1.404E+01, 1.838E+01, 5.830E-01, 5.402E-01,-4.344E-01,-4.402E-01
 7.500E+03, 3.307E+00, 4.403E+00, 6.040E+00, 7.651E+00, 1.043E+01, 1.406E+01, 1.840E+01, 5.835E-01, 5.407E-01,-4.349E-01,-4.407E-01
 7.560E+03, 3.319E+00, 4.418E+00, 6.057E+00, 7.670E+00, 1.045E+01, 1.408E+01, 1.842E+01, 5.840E-01, 5.412E-01,-4.354E-01,-4.413E-01
 7.620E+03, 3.331E+00, 4.433E+00, 6.075E+00, 7.689E+00, 1.047E+01, 1.410E+01, 1.844E+01, 5.845E-01, 5.417E-01,-4.359E-01,-4.418E-01
 7.680E+03, 3.343E+00, 4.447E+00, 6.092E+00, 7.707E+00, 1.049E+01, 1.412E+01, 1.845E+01, 5.850E-01, 5.422E-01,-4.363E-01,-4.423E-01
 7.740E+03, 3.355E+00, 4.462E+00, 6.109E+00, 7.725E+00, 1.051E+01, 1.414E+01, 1.847E+01, 5.855E-01, 5.427E-01,-4.368E-01,-4.427E-01
 7.800E+03, 3.366E+00, 4.476E+00, 6.125E+00, 7.743E+00, 1.053E+01, 1.416E+01, 1.849E+01, 5.859E-01, 5.431E-01,-4.372E-01,-4.432E-01
 7.860E+03, 3.377E+00, 4.489E+00, 6.141E+00, 7.760E+00, 1.055E+01, 1.418E+01, 1.850E+01, 5.864E-01, 5.436E-01,-4.377E-01,-4.436E-01
 7.920E+03, 3.388E+00, 4.503E+00, 6.156E+00, 7.777E+00, 1.056E+01, 1.419E+01, 1.852E+01, 5.868E-01, 5.440E-01,-4.381E-01,-4.441E-01
 7.980E+03, 3.399E+00, 4.516E+00, 6.172E+00, 7.793E+00, 1.058E+01, 1.421E+01, 1.854E+01, 5.872E-01, 5.444E-01,-4.385E-01,-4.445E-01
 8.040E+03, 3.409E+00, 4.529E+00, 6.187E+00, 7.810E+00, 1.060E+01, 1.423E+01, 1.855E+01, 5.877E-01, 5.448E-01,-4.390E-01,-4.450E-01
 8.100E+03, 3.419E+00, 4.541E+00, 6.201E+00, 7.825E+00, 1.062E+01, 1.424E+01, 1.857E+01, 5.881E-01, 5.452E-01,-4.394E-01,-4.454E-01
 8.160E+03, 3.429E+00, 4.553E+00, 6.216E+00, 7.841E+00, 1.063E+01, 1.426E+01, 1.858E+01, 5.885E-01, 5.456E-01,-4.398E-01,-4.458E-01
 8.220E+03, 3.439E+00, 4.565E+00, 6.230E+00, 7.856E+00, 1.065E+01, 1.427E+01, 1.859E+01, 5.889E-01, 5.460E-01,-4.401E-01,-4.462E-01
 8.280E+03, 3.448E+00, 4.577E+00, 6.244E+00, 7.871E+00, 1.066E+01, 1.429E+01, 1.861E+01, 5.893E-01, 5.464E-01,-4.405E-01,-4.466E-01
 8.340E+03, 3.458E+00, 4.589E+00, 6.257E+00, 7.885E+00, 1.068E+01, 1.430E+01, 1.862E+01, 5.897E-01, 5.468E-01,-4.409E-01,-4.470E-01
 8.400E+03, 3.467E+00, 4.600E+00, 6.270E+00, 7.900E+00, 1.069E+01, 1.432E+01, 1.864E+01, 5.900E-01, 5.471E-01,-4.413E-01,-4.473E-01
