s,kW/m2,kW/m2,kW/m2,kW/m2,W/m2/K,kW/m2,kg/m2/s,C,C,C,m2
 6.4000181E+001, 1.7851744E+001, 1.4652894E+001, 1.3941242E+001, 3.9105025E+000, 1.1447615E+001, 1.5506025E-002, 1.4932402E-002, 5.9815050E+001, 6.4565171E+001, 0.0000000E+000, 7.0700000E-002
 6.6000355E+001, 1.8531694E+001, 1.5058639E+001, 1.4347603E+001, 4.1840908E+000, 1.1612507E+001, 1.6096630E-002, 1.5323585E-002, 5.9789609E+001, 6.4768807E+001, 0.0000000E+000, 7.0700000E-002
 6.8000442E+001, 1.8384716E+001, 1.4723057E+001, 1.4012836E+001, 4.3718800E+000, 1.1732121E+001, 1.5968964E-002, 1.5353451E-002, 5.9742326E+001, 6.4737948E+001, 0.0000000E+000, 7.0700000E-002
 7.0000305E+001, 1.8575604E+001, 1.5169406E+001, 1.4458602E+001, 4.1170024E+000, 1.1633937E+001, 1.6134770E-002, 1.5262921E-002, 5.9691349E+001, 6.4774806E+001, 0.0000000E+000, 7.0700000E-002
 7.2000325E+001, 1.8294699E+001, 1.5122934E+001, 1.4410825E+001, 3.8838737E+000, 1.1446173E+001, 1.5890776E-002, 1.5147848E-002, 5.9833995E+001, 6.4758760E+001, 0.0000000E+000, 7.0700000E-002
 7.4000121E+001, 1.8598231E+001, 1.5125987E+001, 1.4414304E+001, 4.1839268E+000, 1.1601351E+001, 1.6154423E-002, 1.5528398E-002, 5.9884992E+001, 6.4772583E+001, 0.0000000E+000, 7.0700000E-002
 7.6000297E+001, 1.8001088E+001, 1.4648384E+001, 1.3936951E+001, 4.0641371E+000, 1.1497504E+001, 1.5635745E-002, 1.4973577E-002, 5.9846509E+001, 6.4681877E+001, 0.0000000E+000, 7.0700000E-002
 7.8000072E+001, 1.8049004E+001, 1.4779715E+001, 1.4068285E+001, 3.9807189E+000, 1.1450664E+001, 1.5677365E-002, 1.4878692E-002, 5.9790035E+001, 6.4690378E+001, 0.0000000E+000, 7.0700000E-002
 8.0000292E+001, 1.8010461E+001, 1.4691091E+001, 1.3979822E+001, 4.0306388E+000, 1.1514316E+001, 1.5643886E-002, 1.4954612E-002, 5.9784781E+001, 6.4702409E+001, 0.0000000E+000, 7.0700000E-002
 8.2000035E+001, 1.8523091E+001, 1.5148241E+001, 1.4436828E+001, 4.0862628E+000, 1.1542767E+001, 1.6089157E-002, 1.5276819E-002, 5.9822112E+001, 6.4666975E+001, 0.0000000E+000, 7.0700000E-002
 8.4000399E+001, 1.8289552E+001, 1.4924504E+001, 1.4212698E+001, 4.0768539E+000, 1.1516170E+001, 1.5886304E-002, 1.5305081E-002, 5.9908600E+001, 6.4632658E+001, 0.0000000E+000, 7.0700000E-002
 8.6000064E+001, 1.8349931E+001, 1.4935606E+001, 1.4224389E+001, 4.1255422E+000, 1.1563336E+001, 1.5938750E-002, 1.5199691E-002, 5.9807344E+001, 6.4749668E+001, 0.0000000E+000, 7.0700000E-002
 8.8000235E+001, 1.8810057E+001, 1.5508408E+001, 1.4796494E+001, 4.0135625E+000, 1.1578666E+001, 1.6338415E-002, 1.5488771E-002, 5.9769168E+001, 6.4703150E+001, 0.0000000E+000, 7.0700000E-002
 9.0000078E+001, 1.8490546E+001, 1.5293994E+001, 1.4581697E+001, 3.9088492E+000, 1.1499553E+001, 1.6060888E-002, 1.5320621E-002, 5.9809942E+001, 6.4660903E+001, 0.0000000E+000, 7.0700000E-002
 9.2000198E+001, 1.8365329E+001, 1.5179911E+001, 1.4467546E+001, 3.8977833E+000, 1.1512552E+001, 1.5952125E-002, 1.5178323E-002, 5.9769357E+001, 6.4711030E+001, 0.0000000E+000, 7.0700000E-002
 9.4000409E+001, 1.8398575E+001, 1.4914381E+001, 1.4202595E+001, 4.1959800E+000, 1.1623840E+001, 1.5981003E-002, 1.5314649E-002, 5.9826837E+001, 6.4776691E+001, 0.0000000E+000, 7.0700000E-002
 9.6000369E+001, 1.8350744E+001, 1.5035084E+001, 1.4323233E+001, 4.0275108E+000, 1.1514739E+001, 1.5939456E-002, 1.5203921E-002, 5.9821865E+001, 6.4770930E+001, 0.0000000E+000, 7.0700000E-002
 9.8000054E+001, 1.7682556E+001, 1.4839019E+001, 1.4126099E+001, 3.5564578E+000, 1.1187332E+001, 1.5359068E-002, 1.4594329E-002, 5.9896926E+001, 6.4576027E+001, 0.0000000E+000, 7.0700000E-002
 1.0000033E+002, 1.7910643E+001, 1.4636357E+001, 1.3924433E+001, 3.9862105E+000, 1.1523935E+001, 1.5557185E-002, 1.4920159E-002, 5.9768464E+001, 6.4558010E+001, 0.0000000E+000, 7.0700000E-002
 1.0200029E+002, 1.8169700E+001, 1.4940645E+001, 1.4228256E+001, 3.9414434E+000, 1.1399522E+001, 1.5782201E-002, 1.5132955E-002, 5.9959264E+001, 6.4644071E+001, 0.0000000E+000, 7.0700000E-002
 1.0400001E+002, 1.7926999E+001, 1.4913189E+001, 1.4201091E+001, 3.7259076E+000, 1.1361595E+001, 1.5571391E-002, 1.4714782E-002, 5.9725276E+001, 6.4620602E+001, 0.0000000E+000, 7.0700000E-002
 1.0600045E+002, 1.7783054E+001, 1.4788611E+001, 1.4076162E+001, 3.7068919E+000, 1.1350501E+001, 1.5446361E-002, 1.4690746E-002, 5.9785830E+001, 6.4485660E+001, 0.0000000E+000, 7.0700000E-002
 1.0800030E+002, 1.8342770E+001, 1.5168437E+001, 1.4455836E+001, 3.8869335E+000, 1.1445755E+001, 1.5932530E-002, 1.5245404E-002, 5.9880056E+001, 6.4623159E+001, 0.0000000E+000, 7.0700000E-002
 1.1000005E+002, 1.8517139E+001, 1.5066212E+001, 1.4354414E+001, 4.1627251E+000, 1.1600341E+001, 1.6083987E-002, 1.5336143E-002, 5.9819495E+001, 6.4820917E+001, 0.0000000E+000, 7.0700000E-002
 1.1200040E+002, 1.7654584E+001, 1.4391425E+001, 1.3680072E+001, 3.9745121E+000, 1.1529452E+001, 1.5334772E-002, 1.4739225E-002, 5.9681673E+001, 6.4497867E+001, 0.0000000E+000, 7.0700000E-002
 1.1400026E+002, 1.7913178E+001, 1.4824541E+001, 1.4112615E+001, 3.8005636E+000, 1.1394399E+001, 1.5559387E-002, 1.4680694E-002, 5.9747594E+001, 6.4581981E+001, 0.0000000E+000, 7.0700000E-002
 1.1600029E+002, 1.8404572E+001, 1.5044303E+001, 1.4332490E+001, 4.0720822E+000, 1.1548147E+001, 1.5986212E-002, 1.5248744E-002, 5.9819581E+001, 6.4701464E+001, 0.0000000E+000, 7.0700000E-002
 1.1800033E+002, 1.8669262E+001, 1.5134651E+001, 1.4422812E+001, 4.2464505E+000, 1.1663513E+001, 1.6216121E-002, 1.5594325E-002, 5.9856385E+001, 6.4814951E+001, 0.0000000E+000, 7.0700000E-002
 1.2000000E+002, 1.8139629E+001, 1.4778082E+001, 1.4066654E+001, 4.0729755E+000, 1.1614444E+001, 1.5756082E-002, 1.5080347E-002, 5.9687484E+001, 6.4612642E+001, 0.0000000E+000, 7.0700000E-002
