s,kW/m2,kW/m2,kW/m2,kW/m2,W/m2/K,kW/m2,kg/m2/s,C,C,C,m2
 3.2000320E+001, 2.0792086E+001, 1.5036383E+001, 1.4324253E+001, 6.4678331E+000, 8.2732984E+000, 1.8060006E-002, 1.7309164E-002, 6.1400613E+001, 6.4722119E+001, 5.6672969E+001, 7.1600000E-002
 3.4000113E+001, 2.0686860E+001, 1.5000905E+001, 1.4288528E+001, 6.3983324E+000, 8.2543750E+000, 1.7968607E-002, 1.7179282E-002, 6.1331836E+001, 6.5236174E+001, 5.7453580E+001, 7.1600000E-002
 3.6000794E+001, 2.1139336E+001, 1.5322770E+001, 1.4610855E+001, 6.5284808E+000, 8.3309507E+000, 1.8361627E-002, 1.7507741E-002, 6.1333618E+001, 6.4943211E+001, 5.7619648E+001, 7.1600000E-002
 3.8000805E+001, 2.0748353E+001, 1.4990579E+001, 1.4278669E+001, 6.4696834E+000, 8.3225207E+000, 1.8022019E-002, 1.7271229E-002, 6.1258373E+001, 6.4002218E+001, 5.7294921E+001, 7.1600000E-002
 4.0000234E+001, 2.0844801E+001, 1.5131364E+001, 1.4419192E+001, 6.4256088E+000, 8.2890478E+000, 1.8105794E-002, 1.7261574E-002, 6.1289565E+001, 6.4422813E+001, 5.7172107E+001, 7.1600000E-002
 4.2000107E+001, 2.0527443E+001, 1.4904701E+001, 1.4192508E+001, 6.3349351E+000, 8.2393650E+000, 1.7830137E-002, 1.7047596E-002, 6.1276945E+001, 6.5362760E+001, 5.6568338E+001, 7.1600000E-002
 4.4000736E+001, 2.0787913E+001, 1.5069812E+001, 1.4357344E+001, 6.4305696E+000, 8.2711438E+000, 1.8056382E-002, 1.7279345E-002, 6.1333017E+001, 6.4149735E+001, 5.6125915E+001, 7.1600000E-002
 4.6000635E+001, 2.0799853E+001, 1.5069546E+001, 1.4357351E+001, 6.4425020E+000, 8.2782976E+000, 1.8066753E-002, 1.7258013E-002, 6.1326912E+001, 6.4426881E+001, 5.6658397E+001, 7.1600000E-002
 4.8000958E+001, 2.0777853E+001, 1.5049926E+001, 1.4337400E+001, 6.4404534E+000, 8.2710204E+000, 1.8047643E-002, 1.7323070E-002, 6.1364339E+001, 6.3962641E+001, 5.7113179E+001, 7.1600000E-002
 5.0000909E+001, 2.0981671E+001, 1.5174699E+001, 1.4462385E+001, 6.5192854E+000, 8.3109334E+000, 1.8224679E-002, 1.7442633E-002, 6.1355900E+001, 6.4379325E+001, 5.7276302E+001, 7.1600000E-002
 5.2000964E+001, 2.1107053E+001, 1.5437677E+001, 1.4724876E+001, 6.3821771E+000, 8.2510648E+000, 1.8333586E-002, 1.7487855E-002, 6.1382150E+001, 6.4677825E+001, 5.7573377E+001, 7.1600000E-002
 5.4000517E+001, 2.0509326E+001, 1.4865073E+001, 1.4152372E+001, 6.3569537E+000, 8.2291218E+000, 1.7814400E-002, 1.7091320E-002, 6.1328975E+001, 6.5204704E+001, 5.7297751E+001, 7.1600000E-002
 5.6000384E+001, 2.1167107E+001, 1.5403543E+001, 1.4690778E+001, 6.4763283E+000, 8.2772550E+000, 1.8385749E-002, 1.7602095E-002, 6.1423965E+001, 6.5073764E+001, 5.7064244E+001, 7.1600000E-002
 5.8000598E+001, 2.1289463E+001, 1.5492417E+001, 1.4779725E+001, 6.5097382E+000, 8.3169141E+000, 1.8492028E-002, 1.7693998E-002, 6.1382793E+001, 6.6146100E+001, 5.7810610E+001, 7.1600000E-002
 6.0000458E+001, 2.0620622E+001, 1.5038972E+001, 1.4326174E+001, 6.2944488E+000, 8.2222434E+000, 1.7911073E-002, 1.7133224E-002, 6.1299995E+001, 6.4516532E+001, 5.7301047E+001, 7.1600000E-002
 6.2000716E+001, 2.1117657E+001, 1.5350073E+001, 1.4637187E+001, 6.4804703E+000, 8.2910137E+000, 1.8342797E-002, 1.7565619E-002, 6.1400627E+001, 6.4286964E+001, 5.7095163E+001, 7.1600000E-002
 6.4000590E+001, 2.0957061E+001, 1.5197181E+001, 1.4484488E+001, 6.4725739E+000, 8.2865969E+000, 1.8203304E-002, 1.7461577E-002, 6.1371811E+001, 6.3863807E+001, 5.7243774E+001, 7.1600000E-002
 6.6001161E+001, 2.0813691E+001, 1.5150098E+001, 1.4437167E+001, 6.3765239E+000, 8.2425806E+000, 1.8078772E-002, 1.7263955E-002, 6.1354024E+001, 6.4783345E+001, 5.7693274E+001, 7.1600000E-002
 6.8000207E+001, 2.0336140E+001, 1.4769469E+001, 1.4056464E+001, 6.2796760E+000, 8.1810756E+000, 1.7663971E-002, 1.7012174E-002, 6.1359013E+001, 6.6112935E+001, 5.6699276E+001, 7.1600000E-002
 7.0000673E+001, 2.0508151E+001, 1.4852015E+001, 1.4139216E+001, 6.3689353E+000, 8.2320300E+000, 1.7813380E-002, 1.7083722E-002, 6.1314254E+001, 6.4729795E+001, 5.6926727E+001, 7.1600000E-002
 7.2000736E+001, 2.0677157E+001, 1.5004966E+001, 1.4292298E+001, 6.3848594E+000, 8.2476770E+000, 1.7960179E-002, 1.7183638E-002, 6.1343469E+001, 6.4900395E+001, 5.7361059E+001, 7.1600000E-002
 7.4000560E+001, 2.0598371E+001, 1.4890522E+001, 1.4177675E+001, 6.4206966E+000, 8.2437280E+000, 1.7891745E-002, 1.7127930E-002, 6.1344382E+001, 6.4023354E+001, 5.7749014E+001, 7.1600000E-002
 7.6000615E+001, 2.0582974E+001, 1.4917075E+001, 1.4204306E+001, 6.3786684E+000, 8.2347693E+000, 1.7878371E-002, 1.7094533E-002, 6.1344806E+001, 6.4316264E+001, 5.6017610E+001, 7.1600000E-002
 7.8000106E+001, 2.0602380E+001, 1.4985807E+001, 1.4272769E+001, 6.3296107E+000, 8.2101003E+000, 1.7895227E-002, 1.7144071E-002, 6.1364013E+001, 6.4163598E+001, 5.6178346E+001, 7.1600000E-002
 8.0000260E+001, 2.1059380E+001, 1.5313054E+001, 1.4599926E+001, 6.4594540E+000, 8.2557146E+000, 1.8292178E-002, 1.7467475E-002, 6.1429539E+001, 6.5843040E+001, 5.6826075E+001, 7.1600000E-002
 8.2000746E+001, 2.0745317E+001, 1.5042790E+001, 1.4329748E+001, 6.4155688E+000, 8.2427856E+000, 1.8019383E-002, 1.7319553E-002, 6.1407878E+001, 6.4831560E+001, 5.6923770E+001, 7.1600000E-002
 8.4000702E+001, 2.0579469E+001, 1.4768528E+001, 1.4055820E+001, 6.5236488E+000, 8.3004321E+000, 1.7875327E-002, 1.7164470E-002, 6.1334209E+001, 6.4407062E+001, 5.7541076E+001, 7.1600000E-002
 8.6000748E+001, 2.0991620E+001, 1.5262567E+001, 1.4549656E+001, 6.4419637E+000, 8.2597742E+000, 1.8233321E-002, 1.7374744E-002, 6.1391089E+001, 6.4351737E+001, 5.7551039E+001, 7.1600000E-002
 8.8000435E+001, 2.0622134E+001, 1.4993059E+001, 1.4279860E+001, 6.3422746E+000, 8.2093165E+000, 1.7912386E-002, 1.7129197E-002, 6.1374227E+001, 6.3767026E+001, 5.7038781E+001, 7.1600000E-002
 9.0000140E+001, 2.0321416E+001, 1.4692633E+001, 1.3979517E+001, 6.3418987E+000, 8.2051363E+000, 1.7651182E-002, 1.6915388E-002, 6.1358286E+001, 6.4113362E+001, 5.6487398E+001, 7.1600000E-002
 9.2000029E+001, 2.0776995E+001, 1.5044837E+001, 1.4331865E+001, 6.4451295E+000, 8.2600351E+000, 1.8046897E-002, 1.7260633E-002, 6.1384921E+001, 6.3797497E+001, 5.7236094E+001, 7.1600000E-002
 9.4000110E+001, 2.0951761E+001, 1.5224669E+001, 1.4511456E+001, 6.4403041E+000, 8.2661472E+000, 1.8198699E-002, 1.7442563E-002, 6.1410988E+001, 6.4180546E+001, 5.6344793E+001, 7.1600000E-002
 9.6000453E+001, 2.0781508E+001, 1.5109108E+001, 1.4395905E+001, 6.3856030E+000, 8.2372593E+000, 1.8050818E-002, 1.7232044E-002, 6.1376442E+001, 6.4155874E+001, 5.7276527E+001, 7.1600000E-002
 9.8000604E+001, 2.0519039E+001, 1.4916531E+001, 1.4203273E+001, 6.3157652E+000, 8.2034459E+000, 1.7822837E-002, 1.7073058E-002, 6.1360144E+001, 6.5807289E+001, 5.6594792E+001, 7.1600000E-002
 1.0000081E+002, 2.0722064E+001, 1.5071192E+001, 1.4357808E+001, 6.3642557E+000, 8.2219711E+000, 1.7999184E-002, 1.7209993E-002, 6.1394376E+001, 6.4947557E+001, 5.6796859E+001, 7.1600000E-002
 1.0200050E+002, 2.0922100E+001, 1.5157756E+001, 1.4444620E+001, 6.4774801E+000, 8.2837042E+000, 1.8172936E-002, 1.7392474E-002, 6.1400502E+001, 6.3664261E+001, 5.6311309E+001, 7.1600000E-002
 1.0400016E+002, 2.0822003E+001, 1.5105363E+001, 1.4392006E+001, 6.4299970E+000, 8.2617686E+000, 1.8085992E-002, 1.7328348E-002, 6.1400392E+001, 6.4204973E+001, 5.7014860E+001, 7.1600000E-002
 1.0600067E+002, 2.1002087E+001, 1.5311594E+001, 1.4598231E+001, 6.4038559E+000, 8.2456227E+000, 1.8242413E-002, 1.7379750E-002, 6.1411395E+001, 6.4901108E+001, 5.7013341E+001, 7.1600000E-002
 1.0800066E+002, 2.0733374E+001, 1.5078588E+001, 1.4365124E+001, 6.3682495E+000, 8.2416652E+000, 1.8009008E-002, 1.7301565E-002, 6.1389841E+001, 6.4259867E+001, 5.6754972E+001, 7.1600000E-002
 1.1000072E+002, 2.0602504E+001, 1.4825001E+001, 1.4111819E+001, 6.4906848E+000, 8.2678773E+000, 1.7895335E-002, 1.7131960E-002, 6.1397680E+001, 6.3850935E+001, 5.6453336E+001, 7.1600000E-002
 1.1200053E+002, 2.1138791E+001, 1.5420054E+001, 1.4706557E+001, 6.4322340E+000, 8.2575026E+000, 1.8361154E-002, 1.7517305E-002, 6.1457605E+001, 6.4330937E+001, 5.6899911E+001, 7.1600000E-002
 1.1400037E+002, 2.0882680E+001, 1.5246588E+001, 1.4532919E+001, 6.3497609E+000, 8.2318108E+000, 1.8138695E-002, 1.7323110E-002, 6.1397141E+001, 6.3965352E+001, 5.7773040E+001, 7.1600000E-002
 1.1600039E+002, 2.0695447E+001, 1.5096725E+001, 1.4383039E+001, 6.3124071E+000, 8.2014899E+000, 1.7976065E-002, 1.7181568E-002, 6.1412621E+001, 6.4241940E+001, 5.7639786E+001, 7.1600000E-002
 1.1800045E+002, 2.0672932E+001, 1.5070556E+001, 1.4356848E+001, 6.3160835E+000, 8.2147576E+000, 1.7956508E-002, 1.7158649E-002, 6.1374201E+001, 6.3987127E+001, 5.7721141E+001, 7.1600000E-002
 1.2000000E+002, 2.0507520E+001, 1.4937254E+001, 1.4223645E+001, 6.2838751E+000, 8.1921866E+000, 1.7812832E-002, 1.7009433E-002, 6.1366389E+001, 6.4180634E+001, 5.7575534E+001, 7.1600000E-002
