s,kW/m2,kW/m2,kW/m2,kW/m2,W/m2/K,kW/m2,kg/m2/s,C,C,C,m2
 5.8000323E+001, 1.5231164E+001, 1.3177700E+001, 1.2454540E+001, 2.7766244E+000, 4.0513878E+000, 1.3229789E-002, 1.2560477E-002, 6.2193104E+001, 6.4374182E+001, 5.9017556E+001, 7.0800000E-002
 6.0000968E+001, 1.5671906E+001, 1.3491998E+001, 1.2768888E+001, 2.9030181E+000, 4.0988287E+000, 1.3612618E-002, 1.2835254E-002, 6.2284384E+001, 6.4395781E+001, 5.9112678E+001, 7.0800000E-002
 6.2000929E+001, 1.4517009E+001, 1.2572466E+001, 1.1849681E+001, 2.6673275E+000, 4.0104914E+000, 1.2609474E-002, 1.2033762E-002, 6.2030403E+001, 6.4301971E+001, 5.8438981E+001, 7.0800000E-002
 6.4001062E+001, 1.4833789E+001, 1.2929402E+001, 1.2206792E+001, 2.6269968E+000, 3.9940782E+000, 1.2884629E-002, 1.2177160E-002, 6.2021022E+001, 6.4425574E+001, 5.8200651E+001, 7.0800000E-002
 6.6002570E+001, 1.4995523E+001, 1.2995403E+001, 1.2272812E+001, 2.7227112E+000, 4.0313250E+000, 1.3025111E-002, 1.2317343E-002, 6.2079418E+001, 6.4355902E+001, 5.8082246E+001, 7.0800000E-002
 6.8001054E+001, 1.5403601E+001, 1.3330702E+001, 1.2607886E+001, 2.7957146E+000, 4.0579452E+000, 1.3379568E-002, 1.2656333E-002, 6.2174735E+001, 6.4428627E+001, 5.8780375E+001, 7.0800000E-002
 7.0000689E+001, 1.4618103E+001, 1.2640078E+001, 1.1917406E+001, 2.7006964E+000, 4.0218541E+000, 1.2697284E-002, 1.2022270E-002, 6.2025812E+001, 6.4332042E+001, 5.8696411E+001, 7.0800000E-002
 7.2001483E+001, 1.5092379E+001, 1.3098215E+001, 1.2375292E+001, 2.7170869E+000, 4.0306697E+000, 1.3109240E-002, 1.2384895E-002, 6.2115647E+001, 6.4392835E+001, 5.8885638E+001, 7.0800000E-002
 7.4001437E+001, 1.5125143E+001, 1.3092110E+001, 1.2369319E+001, 2.7558242E+000, 4.0431368E+000, 1.3137699E-002, 1.2430717E-002, 6.2145563E+001, 6.4356711E+001, 5.8677856E+001, 7.0800000E-002
 7.6001967E+001, 1.4982723E+001, 1.2996338E+001, 1.2273429E+001, 2.7092934E+000, 4.0266352E+000, 1.3013993E-002, 1.2340755E-002, 6.2087412E+001, 6.4394349E+001, 5.8257914E+001, 7.0800000E-002
 7.8000571E+001, 1.5158281E+001, 1.3121015E+001, 1.2398078E+001, 2.7602028E+000, 4.0459336E+000, 1.3166483E-002, 1.2434884E-002, 6.2121109E+001, 6.4375689E+001, 5.8343213E+001, 7.0800000E-002
 8.0001304E+001, 1.5505367E+001, 1.3434746E+001, 1.2711607E+001, 2.7937604E+000, 4.0577638E+000, 1.3467962E-002, 1.2757922E-002, 6.2225280E+001, 6.4399368E+001, 5.8934850E+001, 7.0800000E-002
 8.2000378E+001, 1.5385738E+001, 1.3212646E+001, 1.2489533E+001, 2.8962053E+000, 4.0985425E+000, 1.3364052E-002, 1.2642593E-002, 6.2239664E+001, 6.4357845E+001, 5.8719140E+001, 7.0800000E-002
 8.4000629E+001, 1.4851326E+001, 1.2856851E+001, 1.2134025E+001, 2.7173008E+000, 4.0285355E+000, 1.2899862E-002, 1.2253910E-002, 6.2079794E+001, 6.4384940E+001, 5.8501266E+001, 7.0800000E-002
 8.6000974E+001, 1.6058744E+001, 1.3880374E+001, 1.3156937E+001, 2.9018070E+000, 4.0995535E+000, 1.3948625E-002, 1.3085023E-002, 6.2301345E+001, 6.4344453E+001, 5.8781052E+001, 7.0800000E-002
 8.8000751E+001, 1.5821251E+001, 1.3685542E+001, 1.2961975E+001, 2.8592761E+000, 4.0836414E+000, 1.3742338E-002, 1.3091710E-002, 6.2326843E+001, 6.4424741E+001, 5.9021696E+001, 7.0800000E-002
 9.0001693E+001, 1.5606148E+001, 1.3471022E+001, 1.2747842E+001, 2.8583052E+000, 4.0825555E+000, 1.3555500E-002, 1.2773983E-002, 6.2235463E+001, 6.4344229E+001, 5.8713228E+001, 7.0800000E-002
 9.2000826E+001, 1.6157165E+001, 1.3858100E+001, 1.3134372E+001, 3.0227930E+000, 4.1448431E+000, 1.4034114E-002, 1.3289059E-002, 6.2392939E+001, 6.4416654E+001, 5.9967635E+001, 7.0800000E-002
 9.4001099E+001, 1.6341892E+001, 1.4024715E+001, 1.3300912E+001, 3.0409801E+000, 4.1523720E+000, 1.4194568E-002, 1.3412379E-002, 6.2452896E+001, 6.4379265E+001, 5.9817822E+001, 7.0800000E-002
 9.6000091E+001, 1.5805176E+001, 1.3657349E+001, 1.2933583E+001, 2.8715933E+000, 4.0892444E+000, 1.3728376E-002, 1.3068459E-002, 6.2317095E+001, 6.4426297E+001, 5.9266893E+001, 7.0800000E-002
 9.8001097E+001, 1.5476371E+001, 1.3462117E+001, 1.2738714E+001, 2.7376573E+000, 4.0378586E+000, 1.3442776E-002, 1.2740469E-002, 6.2213499E+001, 6.4377959E+001, 5.8517359E+001, 7.0800000E-002
 1.0000154E+002, 1.4987087E+001, 1.2981730E+001, 1.2258684E+001, 2.7284026E+000, 4.0329378E+000, 1.3017783E-002, 1.2359884E-002, 6.2090646E+001, 6.4381328E+001, 5.8629838E+001, 7.0800000E-002
 1.0200095E+002, 1.6717187E+001, 1.4492266E+001, 1.3768484E+001, 2.9487031E+000, 4.1184113E+000, 1.4520549E-002, 1.3642090E-002, 6.2423450E+001, 6.4410431E+001, 5.9245988E+001, 7.0800000E-002
 1.0400115E+002, 1.5962811E+001, 1.3797533E+001, 1.3073956E+001, 2.8888547E+000, 4.0954141E+000, 1.3865297E-002, 1.3170536E-002, 6.2320180E+001, 6.4413135E+001, 5.9077349E+001, 7.0800000E-002
 1.0600059E+002, 1.6008410E+001, 1.3827223E+001, 1.3103568E+001, 2.9048420E+000, 4.1008330E+000, 1.3904905E-002, 1.3143788E-002, 6.2323779E+001, 6.4377141E+001, 5.8940170E+001, 7.0800000E-002
 1.0800182E+002, 1.5582435E+001, 1.3489443E+001, 1.2765971E+001, 2.8164641E+000, 4.0676297E+000, 1.3534903E-002, 1.2860752E-002, 6.2248792E+001, 6.4396446E+001, 5.8663672E+001, 7.0800000E-002
 1.1000146E+002, 1.5604099E+001, 1.3540308E+001, 1.2817032E+001, 2.7870677E+000, 4.0554963E+000, 1.3553721E-002, 1.2772097E-002, 6.2196284E+001, 6.4369135E+001, 5.8816797E+001, 7.0800000E-002
 1.1200092E+002, 1.6083512E+001, 1.3929444E+001, 1.3205629E+001, 2.8778830E+000, 4.0898851E+000, 1.3970139E-002, 1.3255341E-002, 6.2346492E+001, 6.4423972E+001, 5.8944960E+001, 7.0800000E-002
 1.1400097E+002, 1.5786265E+001, 1.3670760E+001, 1.2947114E+001, 2.8391509E+000, 4.0766952E+000, 1.3711950E-002, 1.2940322E-002, 6.2284311E+001, 6.4386953E+001, 5.9600626E+001, 7.0800000E-002
 1.1600003E+002, 1.7172192E+001, 1.4750324E+001, 1.4026045E+001, 3.1461470E+000, 4.1917472E+000, 1.4915766E-002, 1.4106715E-002, 6.2596236E+001, 6.4435893E+001, 5.9631046E+001, 7.0800000E-002
 1.1800041E+002, 1.7034791E+001, 1.4614933E+001, 1.3890527E+001, 3.1442642E+000, 4.1901324E+000, 1.4796419E-002, 1.4010010E-002, 6.2602615E+001, 6.4368144E+001, 6.0240192E+001, 7.0800000E-002
 1.2000000E+002, 1.7020071E+001, 1.4594729E+001, 1.3870356E+001, 3.1497149E+000, 4.1926624E+000, 1.4783634E-002, 1.4050164E-002, 6.2604829E+001, 6.4415721E+001, 5.9824514E+001, 7.0800000E-002
