s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
 9.0003881E+000, 9.0396308E+000, 0.0000000E+000,-2.5026486E+000,-7.4723199E+000,-9.7498187E-003, 3.9659565E-003, 0.0000000E+000,-3.3175853E-002,-9.4930574E-001,-9.7429746E-001, 3.2112000E-001, 0.0000000E+000, 1.7712113E-004, 0.0000000E+000, 0.0000000E+000, 3.0247057E-002, 0.0000000E+000, 2.1951869E-005
 1.0000624E+001, 9.0799558E+000, 0.0000000E+000,-2.4190675E+000,-5.7515309E+000,-8.0887374E-003, 4.1500025E-003, 0.0000000E+000,-3.2976295E-002, 9.1050178E-001, 8.7244232E-001, 3.2112000E-001, 0.0000000E+000, 1.7712114E-004, 0.0000000E+000, 0.0000000E+000, 3.8888398E-002, 0.0000000E+000, 2.1951871E-005
 1.1000532E+001, 9.0637912E+000, 0.0000000E+000,-2.3565712E+000,-6.3960210E+000,-1.4594677E-002, 4.3004242E-003, 0.0000000E+000,-3.2700928E-002, 3.0594146E-001, 2.6820382E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.7528471E-002, 0.0000000E+000, 2.1951871E-005
 1.2000850E+001, 9.0743845E+000, 0.0000000E+000,-2.2887992E+000,-6.4597442E+000,-1.2981453E-002, 4.4176201E-003, 0.0000000E+000,-3.2182886E-002, 3.1809868E-001, 2.8509436E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 5.6170040E-002, 0.0000000E+000, 2.1951872E-005
 1.3000330E+001, 9.0495992E+000, 0.0000000E+000,-2.2223230E+000,-6.5247307E+000,-1.1726533E-002, 4.5019702E-003, 0.0000000E+000,-3.1722864E-002, 2.9712586E-001, 2.6359807E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 6.4808725E-002, 0.0000000E+000, 2.1951872E-005
 1.4000668E+001, 9.0646214E+000, 0.0000000E+000,-2.1565968E+000,-7.0290069E+000,-1.2324616E-002, 4.5404440E-003, 0.0000000E+000,-3.1205372E-002,-1.1924164E-001,-1.5997186E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 7.3447927E-002, 0.0000000E+000, 2.1951872E-005
 1.5000628E+001, 9.0444174E+000, 0.0000000E+000,-2.0905036E+000,-6.6442103E+000,-1.2182708E-002, 4.5603673E-003, 0.0000000E+000,-3.0756989E-002, 3.0722460E-001, 2.7132426E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 8.2089834E-002, 0.0000000E+000, 2.1951872E-005
 1.6000780E+001, 9.0644401E+000, 0.0000000E+000,-2.0489667E+000,-6.9298544E+000,-1.2321313E-002, 4.5710247E-003, 0.0000000E+000,-3.0298598E-002, 9.3892676E-002, 4.7570104E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 9.0729655E-002, 0.0000000E+000, 2.1951872E-005
 1.7000229E+001, 9.0359188E+000, 0.0000000E+000,-2.0145290E+000,-7.4142814E+000,-1.1149788E-002, 4.5525424E-003, 0.0000000E+000,-2.9868678E-002,-4.0322352E-001,-4.2935754E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 9.9368535E-002, 0.0000000E+000, 2.1951872E-005
 1.8000357E+001, 9.0704246E+000, 0.0000000E+000,-1.9613295E+000,-6.9326193E+000,-1.1209271E-002, 4.5356129E-003, 0.0000000E+000,-2.9328564E-002, 1.7415111E-001, 1.4047353E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.0800650E-001, 0.0000000E+000, 2.1951872E-005
 1.9000782E+001, 9.0612694E+000, 0.0000000E+000,-1.8727553E+000,-7.2909506E+000,-1.2132378E-002, 4.4951675E-003, 0.0000000E+000,-2.8948321E-002,-1.1814519E-001,-1.3902197E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.1664879E-001, 0.0000000E+000, 2.1951872E-005
 2.0000843E+001, 9.0723628E+000, 0.0000000E+000,-1.8235860E+000,-7.3131487E+000,-1.2086815E-002, 4.4537033E-003, 0.0000000E+000,-2.8608133E-002,-7.1225741E-002,-1.0061317E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.2529109E-001, 0.0000000E+000, 2.1951872E-005
 2.1000481E+001, 9.0779838E+000, 0.0000000E+000,-1.7665853E+000,-7.3833990E+000,-1.1479149E-002, 4.4165646E-003, 0.0000000E+000,-2.8270339E-002,-8.3674378E-002,-1.0733344E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.3392965E-001, 0.0000000E+000, 2.1951872E-005
 2.2000610E+001, 9.0587131E+000, 0.0000000E+000,-1.7134337E+000,-7.4377072E+000,-9.7096109E-003, 4.3508941E-003, 0.0000000E+000,-2.7609228E-002,-1.0188439E-001,-1.2539569E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.4256867E-001, 0.0000000E+000, 2.1951872E-005
 2.3000835E+001, 9.0488696E+000, 0.0000000E+000,-1.6449844E+000,-7.5784221E+000,-9.7691642E-003, 4.2836415E-003, 0.0000000E+000,-2.7149612E-002,-1.6581889E-001,-2.0717198E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.5120970E-001, 0.0000000E+000, 2.1951872E-005
 2.4000340E+001, 9.0050529E+000, 0.0000000E+000,-1.5678126E+000,-7.5127021E+000,-9.5389908E-003, 4.1921603E-003, 0.0000000E+000,-2.6864249E-002,-9.9032415E-002,-1.0767296E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.5984887E-001, 0.0000000E+000, 2.1951872E-005
 2.5000488E+001, 9.0700574E+000, 0.0000000E+000,-1.5025194E+000,-7.4306210E+000,-9.6543502E-003, 4.0755787E-003, 0.0000000E+000,-2.6479018E-002, 1.3321229E-001, 1.0485920E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.6848709E-001, 0.0000000E+000, 2.1951872E-005
 2.6000555E+001, 9.0272217E+000, 0.0000000E+000,-1.4153459E+000,-7.6404911E+000,-8.9022756E-003, 3.9297649E-003, 0.0000000E+000,-2.6008306E-002,-3.1016833E-002,-5.9596154E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.7712801E-001, 0.0000000E+000, 2.1951872E-005
 2.7000151E+001, 9.0374860E+000, 0.0000000E+000,-1.3717339E+000,-7.9481542E+000,-9.0053570E-003, 3.8265226E-003, 0.0000000E+000,-2.5625359E-002,-2.8989102E-001,-3.1320638E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.8576651E-001, 0.0000000E+000, 2.1951872E-005
 2.8000322E+001, 9.0776415E+000, 0.0000000E+000,-1.2796863E+000,-7.2776185E+000,-7.7961496E-003, 3.7348713E-003, 0.0000000E+000,-2.5403329E-002, 5.3213424E-001, 4.9087205E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 1.9440581E-001, 0.0000000E+000, 2.1951872E-005
 2.9000788E+001, 9.0286470E+000, 0.0000000E+000,-1.2154600E+000,-7.9906726E+000,-7.9166168E-003, 3.6109920E-003, 0.0000000E+000,-2.5165892E-002,-1.6461220E-001,-2.0695714E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.0304864E-001, 0.0000000E+000, 2.1951872E-005
 3.0000154E+001, 8.8790905E+000, 0.0000000E+000,-1.1201377E+000,-7.8064251E+000,-7.7099145E-003, 3.3955163E-003, 0.0000000E+000,-2.4904819E-002,-3.7698217E-002,-7.6691491E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.1168758E-001, 0.0000000E+000, 2.1951872E-005
 3.1000605E+001, 8.9252927E+000, 0.0000000E+000,-1.0711507E+000,-8.0708853E+000,-5.7410559E-003, 3.1267124E-003, 0.0000000E+000,-2.4583312E-002,-1.9512428E-001,-2.4394089E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.2032711E-001, 0.0000000E+000, 2.1951872E-005
 3.2000603E+001, 8.9658131E+000, 0.0000000E+000,-9.9825797E-001,-7.7637902E+000,-5.1625355E-003, 2.9729476E-003, 0.0000000E+000,-2.4503463E-002, 2.1028882E-001, 1.7707184E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.2896888E-001, 0.0000000E+000, 2.1951872E-005
 3.3000118E+001, 9.0228953E+000, 0.0000000E+000,-9.5146936E-001,-8.2680582E+000,-5.4373724E-003, 2.8740173E-003, 0.0000000E+000,-2.4003948E-002,-1.8328741E-001,-2.2319959E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.3760757E-001, 0.0000000E+000, 2.1951872E-005
 3.4000397E+001, 8.8773282E+000, 0.0000000E+000,-8.8372973E-001,-8.0574660E+000,-6.1401053E-003, 2.7143915E-003, 0.0000000E+000,-2.3810527E-002,-3.9763587E-002,-9.1103759E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.4624629E-001, 0.0000000E+000, 2.1951872E-005
 3.5000641E+001, 8.9156249E+000, 0.0000000E+000,-8.0388716E-001,-7.6544592E+000,-4.0154185E-003, 2.5957403E-003, 0.0000000E+000,-2.4012935E-002, 4.8463541E-001, 4.3184588E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.5488842E-001, 0.0000000E+000, 2.1951872E-005
 3.6000404E+001, 8.9440909E+000, 0.0000000E+000,-7.3262903E-001,-8.4601338E+000,-4.9834824E-003, 2.5352951E-003, 0.0000000E+000,-2.3118966E-002,-2.2665300E-001,-2.7423908E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.6352869E-001, 0.0000000E+000, 2.1951872E-005
 3.7000351E+001, 8.8795647E+000, 0.0000000E+000,-6.5758703E-001,-8.3252493E+000,-4.6881122E-003, 2.3709340E-003, 0.0000000E+000,-2.3626464E-002,-9.6230865E-002,-1.2921523E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.7216683E-001, 0.0000000E+000, 2.1951872E-005
 3.8000664E+001, 8.7945599E+000, 0.0000000E+000,-5.8965962E-001,-8.3727508E+000,-3.8561294E-003, 2.1619857E-003, 0.0000000E+000,-2.2990964E-002,-1.4283671E-001,-1.9253559E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.8080851E-001, 0.0000000E+000, 2.1951872E-005
 3.9000050E+001, 8.7228620E+000, 0.0000000E+000,-5.2314884E-001,-8.3457923E+000,-3.6395643E-003, 1.9687107E-003, 0.0000000E+000,-2.2652424E-002,-1.3452780E-001,-1.7040241E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.8944725E-001, 0.0000000E+000, 2.1951872E-005
 4.0000614E+001, 8.6673149E+000, 0.0000000E+000,-4.6932037E-001,-8.4968955E+000,-2.9070247E-003, 1.8886095E-003, 0.0000000E+000,-1.9736409E-002,-2.7784722E-001,-3.1965586E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.9808651E-001, 0.0000000E+000, 2.1951872E-005
 4.1000244E+001, 8.5616222E+000, 0.0000000E+000,-3.7472150E-001,-8.0978168E+000,-2.9911511E-003, 1.7153219E-003, 0.0000000E+000,-8.2011151E-003, 1.1325174E-001, 7.9607020E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.0672748E-001, 0.0000000E+000, 2.1951872E-005
 4.2000648E+001, 8.7522605E+000, 0.0000000E+000,-3.1516101E-001,-8.3168015E+000,-3.5164210E-003, 1.6502232E-003, 0.0000000E+000,-1.5335594E-003, 1.6400742E-001, 1.1689819E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.1536753E-001, 0.0000000E+000, 2.1951872E-005
 4.3000744E+001, 8.6354173E+000, 0.0000000E+000,-2.3384177E-001,-8.1648643E+000,-4.7240557E-003, 1.6008619E-003, 0.0000000E+000,-1.1855161E-003, 2.5442782E-001, 2.3240249E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.2401015E-001, 0.0000000E+000, 2.1951872E-005
 4.4000240E+001, 8.2394553E+000, 0.0000000E+000,-1.6263528E-001,-8.1744206E+000,-3.9439482E-003, 1.6307382E-003, 0.0000000E+000,-1.0586203E-003,-9.8437046E-002,-1.0097244E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.3264788E-001, 0.0000000E+000, 2.1951872E-005
 4.5001099E+001, 7.9247861E+000, 0.0000000E+000,-1.0230621E-001,-7.7310160E+000,-2.6610582E-003, 1.5530457E-003, 0.0000000E+000,-8.6458627E-004, 8.3226352E-002, 8.9491313E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.4129084E-001, 0.0000000E+000, 2.1951872E-005
 4.6001385E+001, 6.7830054E+000, 0.0000000E+000,-6.6072158E-002,-7.2901323E+000,-2.1000362E-003, 1.4768374E-003, 0.0000000E+000,-8.1269277E-004,-5.7930058E-001,-5.7463489E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.4993707E-001, 0.0000000E+000, 2.1951872E-005
 4.7000214E+001, 4.9080237E+000, 0.0000000E+000,-3.0145847E-002,-7.2810994E+000,-1.0035280E-003, 1.2295051E-003, 0.0000000E+000,-1.3188834E-003,-2.4116875E+000,-2.4043144E+000, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.5857455E-001, 0.0000000E+000, 2.1951872E-005
 4.8000149E+001, 2.6205146E+000, 0.0000000E+000,-7.4677818E-003,-3.2394613E+000,-1.4215977E-004, 1.3976021E-003, 0.0000000E+000,-8.6369310E-004,-6.4586671E-001,-6.2602282E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.6721161E-001, 0.0000000E+000, 2.1951872E-005
 4.9004539E+001, 1.3469063E+000, 0.0000000E+000,-1.4503478E-003,-1.8392421E+000, 3.8251129E-004, 1.2081362E-003, 0.0000000E+000,-4.4299378E-005,-4.8202567E-001,-4.9223983E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.7587583E-001, 0.0000000E+000, 2.1951872E-005
 5.0002762E+001, 4.0196588E-002, 0.0000000E+000, 3.4254373E-004,-1.0701474E-001, 3.6545396E-004, 1.2630606E-003, 0.0000000E+000,-3.4455875E-005,-6.2873335E-002,-6.4881552E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.8453388E-001, 0.0000000E+000, 2.1951872E-005
 5.1000835E+001, 1.8513897E-004, 0.0000000E+000, 3.5768587E-004,-4.3881389E-003, 2.9585752E-004, 1.2563080E-003, 0.0000000E+000,-4.2360613E-005,-1.2959197E-002,-2.3355091E-003, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.9315804E-001, 0.0000000E+000, 2.1951872E-005
 5.2001793E+001, 0.0000000E+000, 0.0000000E+000, 3.4793294E-004, 2.5633776E-003, 3.2099484E-004, 1.2712183E-003, 0.0000000E+000,-3.6740208E-005, 5.5682651E-003, 4.4667836E-003, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.0179275E-001, 0.0000000E+000, 2.1951872E-005
 5.3000225E+001, 0.0000000E+000, 0.0000000E+000, 3.4464733E-004, 1.0119770E-003, 3.9499929E-004, 1.3031198E-003, 0.0000000E+000,-2.4921021E-005,-1.1676769E-002, 3.0298225E-003, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.1042993E-001, 0.0000000E+000, 2.1951872E-005
 5.4003998E+001, 0.0000000E+000, 0.0000000E+000, 3.4081501E-004, 1.6287586E-003, 3.9671751E-004, 1.2636719E-003, 0.0000000E+000,-3.1548568E-005, 4.7504995E-003, 3.5984144E-003, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.1907899E-001, 0.0000000E+000, 2.1951872E-005
 5.5001122E+001, 0.0000000E+000, 0.0000000E+000, 3.3771083E-004, 5.5360927E-003, 4.3238499E-004, 1.2101698E-003, 0.0000000E+000,-2.7203018E-005,-1.9170301E-002, 7.4891553E-003, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.2772379E-001, 0.0000000E+000, 2.1951872E-005
 5.6003944E+001, 0.0000000E+000, 0.0000000E+000, 3.3641214E-004, 1.0336586E-002, 4.9915465E-004, 1.2742938E-003, 0.0000000E+000,-2.6800916E-005,-6.5736360E-003, 1.2419646E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.3636299E-001, 0.0000000E+000, 2.1951872E-005
 5.7001923E+001, 0.0000000E+000, 0.0000000E+000, 3.3468437E-004, 1.0802717E-002, 5.1822792E-004, 1.1687731E-003, 0.0000000E+000,-2.4354174E-005,-8.8881919E-003, 1.2800049E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.4500597E-001, 0.0000000E+000, 2.1951872E-005
 5.8004745E+001, 0.0000000E+000, 0.0000000E+000, 3.2664110E-004, 1.5093431E-002, 5.2381677E-004, 1.2423554E-003, 0.0000000E+000,-2.6584429E-005, 2.1213080E-003, 1.7159660E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.5364996E-001, 0.0000000E+000, 2.1951872E-005
 5.9002720E+001, 0.0000000E+000, 0.0000000E+000, 3.1842047E-004, 1.6375139E-002, 4.9844112E-004, 1.1164251E-003, 0.0000000E+000,-2.2529035E-005, 5.3538797E-004, 1.8285897E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.6229289E-001, 0.0000000E+000, 2.1951872E-005
 6.0000698E+001, 0.0000000E+000, 0.0000000E+000, 3.0623177E-004, 1.7031391E-002, 5.0170218E-004, 1.1740730E-003, 0.0000000E+000,-3.4121411E-005, 2.0787999E-003, 1.8979277E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.7091536E-001, 0.0000000E+000, 2.1951872E-005
 6.1001770E+001, 0.0000000E+000, 0.0000000E+000, 2.9939949E-004, 1.5379085E-002, 5.0180370E-004, 1.1582621E-003, 0.0000000E+000,-2.1597472E-005,-3.7134091E-003, 1.7316953E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.7955070E-001, 0.0000000E+000, 2.1951872E-005
 6.2000549E+001, 0.0000000E+000, 0.0000000E+000, 2.9308001E-004, 1.6164707E-002, 4.8378114E-004, 1.1016287E-003, 0.0000000E+000,-2.6318495E-005, 1.4004623E-003, 1.8016878E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.8819071E-001, 0.0000000E+000, 2.1951872E-005
 6.3004192E+001, 0.0000000E+000, 0.0000000E+000, 2.8636051E-004, 1.4505304E-002, 4.5791446E-004, 1.0036193E-003, 0.0000000E+000,-3.0132359E-005,-1.8374386E-003, 1.6223066E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.9683909E-001, 0.0000000E+000, 2.1951872E-005
 6.4000458E+001, 0.0000000E+000, 0.0000000E+000, 2.7940040E-004, 1.5795835E-002, 4.6070574E-004, 1.0253420E-003, 0.0000000E+000,-3.8881034E-005, 7.5602767E-004, 1.7522402E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 5.0548009E-001, 0.0000000E+000, 2.1951872E-005
 6.5000000E+001, 0.0000000E+000, 0.0000000E+000, 2.7306826E-004, 1.4165631E-002, 4.6996018E-004, 1.0524752E-003, 0.0000000E+000,-3.5993410E-005,-2.3640369E-003, 1.5925142E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 5.1410058E-001, 0.0000000E+000, 2.1951872E-005
