s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_NITROGEN,MLR_INT PROD,MLR_ETH PROD
 5.3007877E+001, 0.0000000E+000, 1.2820717E-004, 6.5592019E-003, 4.6135437E-003, 2.3053242E-003, 0.0000000E+000,-4.0356677E-004,-9.7961688E-004, 1.3202710E-002, 3.2112000E-001, 2.5132864E-004, 4.1051586E-001, 0.0000000E+000, 0.0000000E+000
 5.4004040E+001, 0.0000000E+000, 9.3245053E-005, 6.0731214E-003, 4.5901651E-003, 2.2897506E-003, 0.0000000E+000,-3.9049311E-004,-1.8345523E-003, 1.2655789E-002, 3.2112000E-001, 2.5132864E-004, 4.1914154E-001, 0.0000000E+000, 0.0000000E+000
 5.5000198E+001, 0.0000000E+000, 8.1995365E-005, 7.2691275E-003, 4.4211870E-003, 2.2466346E-003, 0.0000000E+000,-3.7465675E-004,-6.6058261E-004, 1.3644288E-002, 3.2112000E-001, 2.5132864E-004, 4.2775355E-001, 0.0000000E+000, 0.0000000E+000
 5.6008812E+001, 0.0000000E+000, 6.9930859E-005, 5.6136652E-003, 4.3388504E-003, 2.1921149E-003, 0.0000000E+000,-3.7942229E-004,-2.5243666E-003, 1.1835139E-002, 3.2112000E-001, 2.5132864E-004, 4.3641333E-001, 0.0000000E+000, 0.0000000E+000
 5.7007992E+001, 0.0000000E+000, 6.7333676E-005, 8.4916535E-003, 4.2396456E-003, 2.2602853E-003, 0.0000000E+000,-4.0582629E-004,-4.8587430E-005, 1.4653092E-002, 3.2112000E-001, 2.5132864E-004, 4.4508185E-001, 0.0000000E+000, 0.0000000E+000
 5.8005142E+001, 0.0000000E+000, 6.8415667E-005, 6.3329011E-003, 4.0787854E-003, 2.2190947E-003, 0.0000000E+000,-4.0041821E-004,-2.3171105E-003, 1.2298779E-002, 3.2112000E-001, 2.5132864E-004, 4.5370493E-001, 0.0000000E+000, 0.0000000E+000
 5.9002293E+001, 0.0000000E+000, 6.6632778E-005, 1.0044563E-002, 3.9741681E-003, 2.1878231E-003, 0.0000000E+000,-3.9758918E-004, 1.3537215E-003, 1.5875598E-002, 3.2112000E-001, 2.5132864E-004, 4.6232112E-001, 0.0000000E+000, 0.0000000E+000
 6.0010521E+001, 0.0000000E+000, 3.8176836E-005, 9.1296954E-003, 3.8467941E-003, 2.0845297E-003, 0.0000000E+000,-3.9083565E-004, 6.6626721E-004, 1.4708360E-002, 3.2112000E-001, 2.5132864E-004, 4.7098245E-001, 0.0000000E+000, 0.0000000E+000
 6.1007671E+001, 0.0000000E+000, 1.3796385E-005, 9.4876694E-003, 3.6832338E-003, 1.9546462E-003, 0.0000000E+000,-4.0664424E-004, 1.0614253E-003, 1.4732702E-002, 3.2112000E-001, 2.5132864E-004, 4.7964710E-001, 0.0000000E+000, 0.0000000E+000
 6.2004818E+001, 0.0000000E+000, 9.3544794E-006, 6.8698674E-003, 3.5461912E-003, 1.9157380E-003, 0.0000000E+000,-3.8556786E-004,-1.9143985E-003, 1.1955583E-002, 3.2112000E-001, 2.5132864E-004, 4.8826205E-001, 0.0000000E+000, 0.0000000E+000
 6.3001968E+001, 0.0000000E+000,-1.4135581E-006, 9.0654996E-003, 3.4551665E-003, 1.8936206E-003, 0.0000000E+000,-4.4475120E-004,-2.7187878E-004, 1.3968122E-002, 3.2112000E-001, 2.5132864E-004, 4.9687574E-001, 0.0000000E+000, 0.0000000E+000
 6.4000702E+001, 0.0000000E+000, 6.0748550E-007, 7.4751756E-003, 3.4032687E-003, 1.9267807E-003, 0.0000000E+000,-4.3452362E-004,-1.9384622E-003, 1.2371309E-002, 3.2112000E-001, 2.5132864E-004, 5.0549775E-001, 0.0000000E+000, 0.0000000E+000
 6.5000000E+001, 0.0000000E+000,-1.6260455E-005, 1.0134198E-002, 3.3296832E-003, 1.7971092E-003, 0.0000000E+000,-3.8922575E-004, 7.0787936E-005, 1.4855504E-002, 3.2112000E-001, 2.5132864E-004, 5.1412680E-001, 0.0000000E+000, 0.0000000E+000
