cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
 4.0000000E+000, 5.9941621E+002, 6.5324690E+002, 7.0300199E+002, 7.0760467E+002, 6.7301223E+002, 6.1445798E+002, 3.2377626E+002, 3.4222780E+002, 3.4957877E+002, 3.3624758E+002, 3.1960921E+002, 2.8357030E+002,-5.6538462E+000, 5.4657624E-002, 7.9064167E-002, 1.0304182E-001, 1.1640800E-001, 1.1296908E-001, 1.0997649E-001, 7.5208611E-002, 8.5305881E-002, 8.7000570E-002, 8.5317731E-002, 7.8771064E-002, 7.4631431E-002
 4.5000000E+000, 5.2033516E+002, 6.0672778E+002, 6.5123162E+002, 6.6492366E+002, 6.3473295E+002, 5.9356347E+002, 2.7983844E+002, 3.3706956E+002, 3.4091434E+002, 3.3290841E+002, 3.0814680E+002, 2.7938696E+002,-5.1153846E+000, 6.9846976E-002, 9.6740818E-002, 1.1923706E-001, 1.2589871E-001, 1.2117994E-001, 1.1586139E-001, 8.0186811E-002, 8.8673378E-002, 8.8623863E-002, 8.5859060E-002, 7.9825446E-002, 7.4971564E-002
 5.0000000E+000, 4.5990279E+002, 5.4976806E+002, 6.0506805E+002, 6.2830373E+002, 6.0273132E+002, 5.7646470E+002, 2.4578612E+002, 3.1245043E+002, 3.2969653E+002, 3.2955595E+002, 2.9882995E+002, 2.7872228E+002,-4.5769231E+000, 8.7774075E-002, 1.1390059E-001, 1.3394282E-001, 1.3374335E-001, 1.2963989E-001, 1.2157523E-001, 8.3005275E-002, 8.9685426E-002, 8.7944813E-002, 8.5664535E-002, 7.9705724E-002, 7.5688149E-002
 5.5000000E+000, 4.1174911E+002, 5.0076921E+002, 5.5120799E+002, 5.9367740E+002, 5.7347492E+002, 5.5218024E+002, 2.1229355E+002, 2.9337812E+002, 3.0121446E+002, 3.2222744E+002, 2.9238605E+002, 2.6245616E+002,-4.0384615E+000, 1.0874876E-001, 1.3218227E-001, 1.4597039E-001, 1.4177357E-001, 1.3777329E-001, 1.2755953E-001, 8.6213925E-002, 8.8915107E-002, 8.5855970E-002, 8.4475077E-002, 7.8470148E-002, 7.5380046E-002
 6.0000000E+000, 3.7052942E+002, 4.6455745E+002, 5.1374832E+002, 5.5608172E+002, 5.4200117E+002, 5.2794898E+002, 1.7157960E+002, 2.7897556E+002, 2.9032992E+002, 3.0837554E+002, 2.8112044E+002, 2.4954623E+002,-3.5000000E+000, 1.5799108E-001, 1.6357492E-001, 1.6581706E-001, 1.6008305E-001, 1.5113726E-001, 1.3949490E-001, 8.6258549E-002, 8.6041136E-002, 8.0914679E-002, 8.2292481E-002, 7.6039921E-002, 7.3273193E-002
 6.5000000E+000, 3.3827791E+002, 4.3636581E+002, 4.8493521E+002, 5.2324012E+002, 5.1002173E+002, 5.0418462E+002, 1.3234179E+002, 2.6168988E+002, 2.7571712E+002, 2.9583911E+002, 2.6169521E+002, 2.3428579E+002,-2.9615385E+000, 1.8620971E-001, 1.8090068E-001, 1.7658792E-001, 1.6694211E-001, 1.5602249E-001, 1.4346126E-001, 8.0533857E-002, 8.3776433E-002, 7.8768341E-002, 8.1263688E-002, 7.5555156E-002, 7.2703806E-002
 7.0000000E+000, 3.3827791E+002, 4.3636581E+002, 4.8493521E+002, 5.2324012E+002, 5.1002173E+002, 5.0418462E+002, 1.3234179E+002, 2.6168988E+002, 2.7571712E+002, 2.9583911E+002, 2.6169521E+002, 2.3428579E+002,-2.4230769E+000, 2.1557223E-001, 2.0028115E-001, 1.8749686E-001, 1.7272176E-001, 1.5981147E-001, 1.4645162E-001, 7.2282251E-002, 8.0579781E-002, 7.8041860E-002, 7.9860119E-002, 7.4728124E-002, 7.2337601E-002
 7.5000000E+000, 3.0742747E+002, 3.8959898E+002, 4.2929057E+002, 4.7005690E+002, 4.6741241E+002, 4.6324697E+002, 7.9088291E+001, 2.2144499E+002, 2.5009487E+002, 2.6741512E+002, 2.4186079E+002, 2.1004949E+002,-1.8846154E+000, 2.4039118E-001, 2.1811739E-001, 1.9699899E-001, 1.7801325E-001, 1.6282008E-001, 1.4940185E-001, 6.1268586E-002, 7.3992586E-002, 7.7207231E-002, 7.8571460E-002, 7.5270215E-002, 7.1642295E-002
 8.0000000E+000, 2.9976650E+002, 3.6625728E+002, 4.0672535E+002, 4.4605371E+002, 4.4828080E+002, 4.4371748E+002, 3.4095550E+001, 1.8955549E+002, 2.3912969E+002, 2.5050697E+002, 2.3115556E+002, 1.9446887E+002,-1.3461538E+000, 2.6052200E-001, 2.3157961E-001, 2.0451435E-001, 1.8238658E-001, 1.6596864E-001, 1.5140635E-001, 4.6873083E-002, 6.6792924E-002, 7.5871776E-002, 7.8094479E-002, 7.5664916E-002, 7.0923214E-002
 8.5000000E+000, 2.9575057E+002, 3.4260050E+002, 3.8608605E+002, 4.2113675E+002, 4.2658263E+002, 4.2319482E+002, 6.3731907E+000, 1.5492051E+002, 2.1766125E+002, 2.2622087E+002, 2.1149525E+002, 1.7550141E+002,-8.0769231E-001, 2.7314649E-001, 2.4043237E-001, 2.0841554E-001, 1.8572509E-001, 1.6930973E-001, 1.5302453E-001, 3.4554719E-002, 6.1857103E-002, 7.5034771E-002, 7.6793136E-002, 7.5339999E-002, 7.0142762E-002
 9.0000000E+000, 2.9495238E+002, 3.2289050E+002, 3.6280334E+002, 3.9837506E+002, 4.0895139E+002, 4.0642937E+002, 3.1308992E-001, 1.1658472E+002, 1.8344112E+002, 2.0794827E+002, 2.0121318E+002, 1.6474167E+002,-2.6923077E-001, 2.7890383E-001, 2.4509841E-001, 2.1003269E-001, 1.8840915E-001, 1.7255888E-001, 1.5493848E-001, 2.8907049E-002, 5.7735137E-002, 7.3034098E-002, 7.5652314E-002, 7.4243702E-002, 7.0222345E-002
 9.5000000E+000, 2.9486626E+002, 3.0785822E+002, 3.4411671E+002, 3.7782709E+002, 3.9497847E+002, 3.9072647E+002, 5.1966911E-002, 7.2198943E+001, 1.5879445E+002, 1.9121646E+002, 1.9092086E+002, 1.5047242E+002, 2.6923077E-001, 2.7977187E-001, 2.4547058E-001, 2.1115823E-001, 1.9001869E-001, 1.7423089E-001, 1.5575154E-001, 2.9907790E-002, 5.7052436E-002, 7.1130093E-002, 7.5574447E-002, 7.3394946E-002, 7.0532098E-002
 1.0000000E+001, 2.9481130E+002, 2.9956872E+002, 3.3109480E+002, 3.6053648E+002, 3.7729044E+002, 3.7644114E+002, 4.5374542E-002, 3.6538050E+001, 1.3823855E+002, 1.7251397E+002, 1.6589034E+002, 1.3956688E+002, 8.0769231E-001, 2.7491541E-001, 2.4245494E-001, 2.1069398E-001, 1.9063799E-001, 1.7484362E-001, 1.5580874E-001, 3.7709720E-002, 6.0352010E-002, 7.1426923E-002, 7.6106923E-002, 7.2915447E-002, 7.0729523E-002
 1.0500000E+001, 2.9476005E+002, 2.9604613E+002, 3.1738356E+002, 3.4434962E+002, 3.5588744E+002, 3.6284456E+002, 4.1964530E-002, 9.9516824E+000, 1.0331844E+002, 1.4659116E+002, 1.3311722E+002, 1.2447835E+002, 1.3461538E+000, 2.6310619E-001, 2.3345988E-001, 2.0770496E-001, 1.8994785E-001, 1.7393784E-001, 1.5490913E-001, 5.1705808E-002, 6.6660639E-002, 7.2542338E-002, 7.6648777E-002, 7.3748599E-002, 7.1180894E-002
 1.1000000E+001, 2.9471579E+002, 2.9521284E+002, 3.0680868E+002, 3.2749902E+002, 3.3496901E+002, 3.5034387E+002, 3.8714720E-002, 8.1913084E-001, 6.9262311E+001, 1.0967180E+002, 1.0073193E+002, 1.0606812E+002, 1.8846154E+000, 2.4497057E-001, 2.1887959E-001, 2.0197260E-001, 1.8717064E-001, 1.7176088E-001, 1.5287532E-001, 6.4257582E-002, 7.3791721E-002, 7.5554036E-002, 7.6527500E-002, 7.4712060E-002, 7.2408793E-002
 1.1500000E+001, 2.9468681E+002, 2.9510801E+002, 2.9957648E+002, 3.1005205E+002, 3.1959158E+002, 3.3776225E+002, 3.5704253E-002, 5.6935414E-002, 3.2229567E+001, 5.8062136E+001, 7.4734217E+001, 8.5349963E+001, 2.4230769E+000, 2.2166466E-001, 2.0186461E-001, 1.9334537E-001, 1.8224365E-001, 1.6673102E-001, 1.5001670E-001, 7.3987746E-002, 8.0342342E-002, 7.9105552E-002, 7.7320600E-002, 7.6057465E-002, 7.3788460E-002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.9615385E+000, 1.9279362E-001, 1.8348861E-001, 1.8256024E-001, 1.7476198E-001, 1.6095723E-001, 1.4608483E-001, 8.1954557E-002, 8.3386475E-002, 8.2116847E-002, 7.8952352E-002, 7.7710128E-002, 7.5548858E-002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.5000000E+000, 1.6449589E-001, 1.6458772E-001, 1.6932835E-001, 1.6608924E-001, 1.5617999E-001, 1.4132620E-001, 8.6493192E-002, 8.5589066E-002, 8.3979539E-002, 8.1360278E-002, 7.8992678E-002, 7.6472849E-002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.0384615E+000, 1.1386164E-001, 1.3021474E-001, 1.4186309E-001, 1.4603606E-001, 1.4232187E-001, 1.3014398E-001, 8.2548375E-002, 8.8232512E-002, 8.5660958E-002, 8.3877480E-002, 8.1085691E-002, 7.6871583E-002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.5769231E+000, 9.2011181E-002, 1.1411486E-001, 1.2742692E-001, 1.3407227E-001, 1.3224464E-001, 1.2364445E-001, 7.8783438E-002, 8.8499217E-002, 8.6507154E-002, 8.6615842E-002, 8.2979896E-002, 7.7544567E-002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 5.1153846E+000, 7.1293917E-002, 9.6837255E-002, 1.1431924E-001, 1.2338247E-001, 1.2308690E-001, 1.1759265E-001, 7.5116428E-002, 8.6770288E-002, 8.6672104E-002, 8.8158227E-002, 8.3513762E-002, 7.8120186E-002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 5.6538462E+000, 5.2158335E-002, 8.0350022E-002, 1.0015695E-001, 1.1298809E-001, 1.1317628E-001, 1.1107490E-001, 6.9457180E-002, 8.5285311E-002, 8.5844612E-002, 8.8715151E-002, 8.2746310E-002, 7.7556493E-002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 6.1923077E+000, 3.5102617E-002, 6.6177973E-002, 8.7485429E-002, 1.0168522E-001, 1.0241990E-001, 1.0373185E-001, 6.0056645E-002, 8.4176441E-002, 8.6497915E-002, 8.8798917E-002, 8.2905910E-002, 7.6760438E-002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 6.7307692E+000, 2.0932439E-002, 5.4772452E-002, 7.7084156E-002, 9.1049983E-002, 9.2481640E-002, 9.6326884E-002, 4.7309508E-002, 8.2738417E-002, 8.6089315E-002, 8.8392598E-002, 8.2064050E-002, 7.6201231E-002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 7.2692308E+000, 1.0547505E-002, 4.5524048E-002, 6.6761822E-002, 8.1112117E-002, 8.3998989E-002, 8.8571320E-002, 3.6057354E-002, 7.9244818E-002, 8.4640877E-002, 8.7376636E-002, 8.0960573E-002, 7.4978920E-002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 7.8076923E+000, 5.4092588E-003, 3.7048841E-002, 5.5634023E-002, 7.2391925E-002, 7.6430714E-002, 8.1858170E-002, 2.7492455E-002, 7.3342798E-002, 8.2093019E-002, 8.6558097E-002, 7.9774889E-002, 7.4129999E-002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 8.3461538E+000, 2.6521811E-003, 2.8745517E-002, 4.5033835E-002, 6.3359494E-002, 6.8825458E-002, 7.4466132E-002, 1.7044604E-002, 6.5490317E-002, 7.8357795E-002, 8.3539629E-002, 7.8072932E-002, 7.1720580E-002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 8.8846154E+000, 6.4823884E-004, 1.9843487E-002, 3.6641676E-002, 5.4361105E-002, 6.0915031E-002, 6.6725394E-002, 5.0681381E-003, 5.4816198E-002, 7.3429868E-002, 7.9316324E-002, 7.6455810E-002, 6.9086221E-002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.4230769E+000, 3.1999492E-005, 1.1919608E-002, 2.8238573E-002, 4.5651717E-002, 5.2919296E-002, 5.9150136E-002, 2.6856375E-004, 4.2288563E-002, 6.4995837E-002, 7.4950311E-002, 7.4211829E-002, 6.5589896E-002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.9615385E+000, 8.0578316E-007, 6.0022308E-003, 2.0468929E-002, 3.6785788E-002, 4.6787746E-002, 5.2239245E-002, 6.5025029E-006, 2.9102227E-002, 5.5800180E-002, 6.9401759E-002, 7.1542454E-002, 6.3163620E-002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.0500000E+001, 3.1890633E-010, 5.7057620E-004, 9.5278692E-003, 2.2272037E-002, 3.1981296E-002, 3.8445762E-002, 2.3213994E-009, 6.2306780E-003, 3.8227201E-002, 5.5477680E-002, 5.7193112E-002, 5.5353640E-002
