s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_EHTYLENE,MLR_PILOT FUEL
 3.1000374E+001, 9.0884714E+000,-1.0299595E+000,-8.0496954E+000,-3.3800168E-002, 5.1717816E-003, 0.0000000E+000,-3.4206029E-002,-3.4711526E-002,-5.4017901E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.2032514E-001, 0.0000000E+000, 2.1951872E-005
 3.2000191E+001, 9.0278223E+000,-9.5987720E-001,-7.8695076E+000,-3.1724087E-002, 5.0471489E-003, 0.0000000E+000,-2.5767725E-002, 1.7591607E-001, 1.4599277E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.2896412E-001, 0.0000000E+000, 2.1951872E-005
 3.3000069E+001, 8.9927386E+000,-8.9752065E-001,-8.2605902E+000,-2.7946363E-002, 4.9205188E-003, 0.0000000E+000,-1.9580514E-002,-1.8747667E-001,-2.0797855E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.3760299E-001, 0.0000000E+000, 2.1951872E-005
 3.4000221E+001, 9.0029888E+000,-8.3246072E-001,-8.0315276E+000,-2.4709666E-002, 4.7301645E-003, 0.0000000E+000,-1.3117649E-002, 1.2142466E-001, 1.0590324E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.4624337E-001, 0.0000000E+000, 2.1951872E-005
 3.5000069E+001, 8.9227095E+000,-7.5528787E-001,-8.1491257E+000,-2.2814397E-002, 4.5702997E-003, 0.0000000E+000,-9.2309164E-003, 1.4637815E-002,-9.1790916E-003, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.5488316E-001, 0.0000000E+000, 2.1951872E-005
 3.6000076E+001, 8.9236779E+000,-6.8900243E-001,-8.1748151E+000,-2.0479469E-002, 4.3876981E-003, 0.0000000E+000,-6.3418427E-003, 6.2403429E-002, 3.7426776E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.6352250E-001, 0.0000000E+000, 2.1951872E-005
 3.7000011E+001, 9.0510636E+000,-6.4459890E-001,-8.7597705E+000,-1.9220478E-002, 4.2143957E-003, 0.0000000E+000,-4.1793075E-003,-3.4512633E-001,-3.7249124E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.7216211E-001, 0.0000000E+000, 2.1951872E-005
 3.8000172E+001, 8.9888006E+000,-5.6924274E-001,-8.0215192E+000,-1.6830514E-002, 4.0868476E-003, 0.0000000E+000,-2.8189977E-003, 3.9630338E-001, 3.8247607E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.8080275E-001, 0.0000000E+000, 2.1951872E-005
 3.9000088E+001, 8.9750780E+000,-5.2827816E-001,-8.3509553E+000,-1.5490354E-002, 3.9896509E-003, 0.0000000E+000,-2.3624845E-003, 1.0430192E-001, 8.1981327E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.8944329E-001, 0.0000000E+000, 2.1951872E-005
 4.0000366E+001, 8.9944318E+000,-4.6489751E-001,-8.2254306E+000,-1.3980177E-002, 3.8421783E-003, 0.0000000E+000,-2.1877808E-003, 3.2235378E-001, 2.9177787E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 2.9808389E-001, 0.0000000E+000, 2.1951872E-005
 4.1000328E+001, 8.7647237E+000,-3.9407387E-001,-8.6389707E+000,-1.1526947E-002, 3.7287110E-003, 0.0000000E+000,-1.8330887E-003,-2.6199262E-001,-2.7795215E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.0672517E-001, 0.0000000E+000, 2.1951872E-005
 4.2000290E+001, 8.5732003E+000,-3.2184630E-001,-9.0242595E+000,-9.7241366E-003, 3.5508862E-003, 0.0000000E+000,-1.5173262E-003,-7.5195721E-001,-7.8059599E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.1536496E-001, 0.0000000E+000, 2.1951872E-005
