cm,kW,kW,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
 1.7812500E+001, 8.6592582E+000, 1.2905673E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.0500000E+000, 1.1300510E+000, 5.3257849E-001, 4.0215868E-001, 2.4752171E-001, 1.4846654E-001, 4.0432789E-001, 2.3316627E-001, 1.3994789E-001, 8.7316096E-002, 4.7849675E-002
 1.9687500E+001, 8.0014682E+000, 1.2160620E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.0000000E-002, 2.1678869E+000, 1.9699318E+000, 1.5957454E+000, 4.4139207E-001, 1.7880299E-001, 1.6448636E-001, 2.5454612E-001, 4.4113156E-001, 1.7215451E-001, 5.3903508E-002
 2.1562500E+001, 7.3858811E+000, 1.1452602E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.0500000E+000, 1.1346635E+000, 5.1954256E-001, 3.8034464E-001, 2.3674708E-001, 1.4936819E-001, 3.8392100E-001, 2.1857394E-001, 1.2979194E-001, 9.1824876E-002, 4.9989580E-002
 2.3437500E+001, 6.8558354E+000, 1.1230228E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.1000000E+000, 2.7485304E-001, 1.8651652E-001, 1.5596903E-001, 1.3761856E-001, 1.1516325E-001, 5.7979636E-002, 6.8205411E-002, 6.3077770E-002, 5.6578470E-002, 4.1732885E-002
 2.5312500E+001, 6.3635773E+000, 1.1100313E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 6.1500000E+000, 5.5081357E-002, 6.5058041E-002, 7.2226731E-002, 8.4182995E-002, 8.3668894E-002, 2.2536552E-002, 4.0509032E-002, 4.1350745E-002, 4.1917019E-002, 3.6340199E-002
 2.7187500E+001, 5.8363578E+000, 1.1110676E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 8.2000000E+000, 6.7324173E-003, 1.7690828E-002, 2.7840508E-002, 4.6381296E-002, 5.5205880E-002, 2.7444052E-003, 2.2444992E-002, 2.7967620E-002, 3.3128721E-002, 3.2167792E-002
 2.9062500E+001, 5.2874254E+000, 1.1369085E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.0250000E+001, 4.4245627E-004, 4.3285842E-003, 8.6695816E-003, 1.9449862E-002, 2.7264907E-002, 1.5989715E-004, 1.2029253E-002, 1.7179863E-002, 2.1448673E-002, 2.3160237E-002
 3.0937500E+001, 4.7047952E+000, 1.1635965E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.2300000E+001, 1.7400484E-005, 1.1261076E-004, 7.2782929E-004, 4.2677067E-003, 8.8197469E-003, 8.1060204E-006, 3.0812133E-004, 1.5910648E-003, 5.6317992E-003, 8.6075364E-003
 3.2812500E+001, 4.1073574E+000, 1.1769411E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.4350000E+001, 1.7400484E-005, 1.1261076E-004, 7.2782929E-004, 4.2677067E-003, 8.8197469E-003, 8.1060204E-006, 3.0812133E-004, 1.5910648E-003, 5.6317992E-003, 8.6075364E-003
 3.4687500E+001, 3.5144153E+000, 1.1552748E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.6400000E+001, 6.6581482E-007, 2.5694461E-006, 2.1177289E-005, 2.8890936E-004, 1.0826859E-003, 4.1625412E-007, 3.9064322E-006, 4.3325541E-005, 4.7592425E-004, 1.2434840E-003
 3.6562500E+001, 2.9542949E+000, 1.0887492E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.8450000E+001, 6.6581482E-007, 2.5694461E-006, 2.1177289E-005, 2.8890936E-004, 1.0826859E-003, 4.1625412E-007, 3.9064322E-006, 4.3325541E-005, 4.7592425E-004, 1.2434840E-003
 3.8437500E+001, 2.4566618E+000, 9.9763366E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.0500000E+001, 1.3007493E-008, 4.3840428E-008, 3.1882258E-007, 6.0402621E-006, 4.2167707E-005, 1.0662229E-008, 4.9196620E-008, 5.1389310E-007, 7.5121324E-006, 3.8886140E-005
 4.0312500E+001, 2.0310450E+000, 8.9184671E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.2187500E+001, 1.6677600E+000, 7.7965511E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.4062500E+001, 1.3734859E+000, 6.7206494E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.5937500E+001, 1.1345627E+000, 5.7351375E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.7812500E+001, 9.4253376E-001, 4.8939754E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.9687500E+001, 7.8500934E-001, 4.1644409E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.1562500E+001, 6.5659834E-001, 3.5302251E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.3437500E+001, 5.5777679E-001, 3.0313615E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.5312500E+001, 4.7611620E-001, 2.5740373E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.7187500E+001, 4.0841611E-001, 2.1854948E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.9062500E+001, 3.5369850E-001, 1.8765168E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.0937500E+001, 3.0862995E-001, 1.6247247E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.2812500E+001, 2.7153243E-001, 1.4157069E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.4687500E+001, 2.4016563E-001, 1.2355875E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.6562500E+001, 2.1418798E-001, 1.0871028E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.8437500E+001, 1.9174049E-001, 9.6163561E-002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.0312500E+001, 1.7371267E-001, 8.6356735E-002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.2187500E+001, 1.5725084E-001, 7.7569434E-002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.4062500E+001, 1.4423669E-001, 7.0377471E-002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.5937500E+001, 1.3159136E-001, 6.3158952E-002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.7812500E+001, 1.2279479E-001, 5.7290679E-002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.9687500E+001, 1.1243630E-001, 5.1504011E-002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 8.1562500E+001, 1.0350031E-001, 4.5800727E-002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
