s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPYLENE,MLR_ETHYLENE,MLR_NITROGEN,MLR_PROP PROD,MLR_INT PROD,MLR_ETH PROD
 3.0000166E+001, 1.0905506E+001,-1.3656068E+000,-9.4398562E+000,-3.8600746E-002, 8.7821320E-003, 0.0000000E+000,-3.2039481E-002, 1.0172694E-001, 3.8184936E-002, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 2.1168588E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.1000103E+001, 1.0889220E+001,-1.2888348E+000,-9.9753123E+000,-3.1620410E-002, 8.4114720E-003, 0.0000000E+000,-3.1591030E-002,-3.7219945E-001,-4.2972740E-001, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 2.2032481E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.2000626E+001, 1.0901220E+001,-1.1715091E+000,-9.4763423E+000,-2.8415525E-002, 8.0837947E-003, 0.0000000E+000,-3.1849896E-002, 2.6324572E-001, 2.0118687E-001, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 2.2896689E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.3000927E+001, 1.0803864E+001,-1.0697776E+000,-9.3220680E+000,-2.5829895E-002, 7.6638344E-003, 0.0000000E+000,-3.1785638E-002, 4.0874951E-001, 3.6206646E-001, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 2.3761078E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.4000233E+001, 1.0759600E+001,-9.9867850E-001,-1.0036528E+001,-2.3151765E-002, 7.2343230E-003, 0.0000000E+000,-3.0819499E-002,-2.7477812E-001,-3.2234333E-001, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 2.4624895E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.5000778E+001, 1.0802248E+001,-9.2499474E-001,-1.0017346E+001,-1.9256413E-002, 6.9068270E-003, 0.0000000E+000,-3.1312404E-002,-1.2751195E-001,-1.8375395E-001, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 2.5488825E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.6000820E+001, 1.0716340E+001,-8.3135369E-001,-1.0157759E+001,-1.7644416E-002, 6.5985820E-003, 0.0000000E+000,-3.1054056E-002,-2.6710064E-001,-3.1487228E-001, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 2.6353090E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.7000385E+001, 1.0817109E+001,-7.6295004E-001,-9.6483241E+000,-1.3955770E-002, 6.0942194E-003, 0.0000000E+000,-3.1453222E-002, 4.1244914E-001, 3.6652023E-001, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 2.7216924E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.8000908E+001, 1.0555504E+001,-6.4062812E-001,-9.5606683E+000,-1.3444093E-002, 5.6340693E-003, 0.0000000E+000,-3.1489725E-002, 3.6168044E-001, 3.1490803E-001, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 2.8080979E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9000019E+001, 1.0716415E+001,-5.7295260E-001,-1.0904417E+001,-1.5806001E-002, 5.2868418E-003, 0.0000000E+000,-3.1382866E-002,-7.6429313E-001,-8.0285673E-001, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 2.8944769E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0000683E+001, 1.0811213E+001,-4.8876692E-001,-1.0033562E+001,-1.1914740E-002, 5.1076320E-003, 0.0000000E+000,-3.1633905E-002, 2.9501452E-001, 2.5044329E-001, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 2.9808724E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.1000607E+001, 9.9405169E+000,-3.5765567E-001,-1.0295969E+001,-9.9017713E-003, 4.6161460E-003, 0.0000000E+000,-2.5060621E-002,-7.1400496E-001,-7.4345443E-001, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 3.0672984E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.2000202E+001, 9.6871096E+000,-2.7542565E-001,-8.7436262E+000,-3.1442810E-003, 3.9456808E-003, 0.0000000E+000,-4.8107953E-003, 6.8903901E-001, 6.6404844E-001, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 3.1536777E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.3000973E+001, 8.3155063E+000,-1.7816192E-001,-8.2415272E+000, 9.1839027E-004, 3.1061348E-003, 0.0000000E+000,-1.8863458E-003,-9.1033698E-002,-1.0204459E-001, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 3.2401008E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.4000248E+001, 5.5518107E+000,-8.0901517E-002,-7.3583151E+000, 1.5186608E-003, 1.8890924E-003, 0.0000000E+000,-2.3190012E-003,-1.8977721E+000,-1.8863171E+000, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 3.3265093E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.5000130E+001, 4.0889731E+000,-3.4626292E-002,-4.7482759E+000, 1.7624959E-003, 1.2307130E-003, 0.0000000E+000,-2.5962120E-003,-7.1230319E-001,-6.9353207E-001, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 3.4128836E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.6000935E+001, 4.3642926E+000,-2.6492606E-002,-4.9570347E+000, 1.7537878E-003, 9.4352191E-004, 0.0000000E+000,-1.5663502E-003,-6.3165398E-001,-6.1810379E-001, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 3.4993183E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.7002491E+001, 3.9566846E+000,-1.2386959E-002,-5.1359805E+000, 2.4118020E-003, 9.3864937E-004, 0.0000000E+000,-2.5583356E-004,-1.1985961E+000,-1.1885882E+000, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 3.5858521E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.8005608E+001, 8.0868957E-001,-1.8773391E-003,-1.3112097E+000, 2.0128818E-003, 6.8950810E-004, 0.0000000E+000,-2.5313017E-004,-5.1236795E-001,-5.0194822E-001, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 3.6725228E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.9002644E+001, 2.2062736E-002,-7.9905186E-004,-5.4340439E-002, 1.4587151E-003, 5.3392373E-004, 0.0000000E+000,-4.6698031E-004,-4.5444361E-002,-3.1551097E-002, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 3.7590106E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0000290E+001, 0.0000000E+000,-7.7466281E-004, 1.9859336E-002, 1.3774247E-003, 4.9564184E-004, 0.0000000E+000,-4.9100096E-004, 6.7019035E-003, 2.0466739E-002, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 3.8452041E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.1002831E+001, 0.0000000E+000,-8.5742269E-004, 2.0702885E-002, 1.5300382E-003, 5.8455255E-004, 0.0000000E+000,-5.2614275E-004, 9.1403416E-003, 2.1433910E-002, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 3.9316245E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.2001930E+001, 0.0000000E+000,-8.7958507E-004, 1.5401198E-002, 1.4606848E-003, 5.3955781E-004, 0.0000000E+000,-5.8974641E-004, 4.6135384E-003, 1.5932109E-002, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 4.0180737E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.3000866E+001, 0.0000000E+000,-8.6566713E-004, 6.7264107E-003, 1.1546760E-003, 4.5450757E-004, 0.0000000E+000,-6.4848409E-004,-4.9641774E-003, 6.8214431E-003, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 4.1043870E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.4005856E+001, 0.0000000E+000,-8.0741480E-004, 9.2243027E-003, 1.0534794E-003, 3.9604208E-004, 0.0000000E+000,-7.2906245E-004,-3.2230117E-003, 9.1373469E-003, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 4.1909491E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.5004787E+001, 0.0000000E+000,-7.6006871E-004, 7.8238727E-003, 1.2613735E-003, 5.4763443E-004, 0.0000000E+000,-8.4856283E-004,-4.0196608E-003, 8.0242491E-003, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 4.2775163E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.6003723E+001, 0.0000000E+000,-7.4973864E-004, 1.0498824E-002, 1.5438036E-003, 6.0465124E-004, 0.0000000E+000,-6.2807854E-004,-1.0062003E-003, 1.1269461E-002, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 4.3638394E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.7002659E+001, 0.0000000E+000,-7.2089300E-004, 1.2481013E-002, 1.4525684E-003, 5.8867784E-004, 0.0000000E+000,-6.9373652E-004, 7.0884381E-004, 1.3107630E-002, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 4.4501283E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.8003323E+001, 0.0000000E+000,-6.6264187E-004, 6.5620407E-003, 1.2020449E-003, 4.8311262E-004, 0.0000000E+000,-7.4634726E-004,-5.9415926E-003, 6.8382091E-003, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 4.5365010E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.9005871E+001, 0.0000000E+000,-6.4396097E-004, 2.9946523E-003, 1.0158908E-003, 4.4927809E-004, 0.0000000E+000,-7.0981263E-004,-9.8264883E-003, 3.1060476E-003, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 4.6230558E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0005154E+001, 0.0000000E+000,-6.1231116E-004, 9.8710723E-003, 8.1104576E-004, 3.8974202E-004, 0.0000000E+000,-8.9118522E-004,-3.5535917E-003, 9.5683637E-003, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 4.7095253E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.1004436E+001, 0.0000000E+000,-5.4186439E-004, 1.5433500E-002, 7.9785064E-004, 3.9478575E-004, 0.0000000E+000,-1.0170768E-003, 1.6192673E-003, 1.5067196E-002, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 4.7958772E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.2002834E+001, 0.0000000E+000,-4.8329231E-004, 9.6024515E-003, 8.2053986E-004, 3.7927518E-004, 0.0000000E+000,-7.8623304E-004,-3.9185827E-003, 9.5327412E-003, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 4.8821508E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.3000580E+001, 0.0000000E+000,-4.0787887E-004, 1.2545010E-002, 8.7525467E-004, 3.7385816E-004, 0.0000000E+000,-8.8155195E-004,-1.0440803E-003, 1.2504692E-002, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 4.9683818E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.4003685E+001, 0.0000000E+000,-3.7599162E-004, 3.9261378E-003, 9.5006175E-004, 4.1461373E-004, 0.0000000E+000,-7.7291235E-004,-9.4964365E-003, 4.1419093E-003, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 5.0548140E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.5000000E+001, 0.0000000E+000,-3.8641305E-004, 1.1713753E-002, 1.0160309E-003, 5.1405684E-004, 0.0000000E+000,-8.6557466E-004,-1.7661343E-003, 1.1991853E-002, 3.2112000E-001, 2.4245587E-004, 2.1951872E-005, 5.1411904E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
