s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 5.700E+02, 4.889E+02,-2.119E+02,-2.674E+02, 4.064E+00, 0.000E+00, 0.000E+00,-5.847E+00, 9.690E+00, 7.846E+00, 0.000E+00, 1.377E-02, 0.000E+00, 0.000E+00
 5.800E+02, 4.740E+02,-2.039E+02,-2.733E+02, 5.220E+00, 0.000E+00, 0.000E+00,-5.861E+00,-2.786E+00,-3.814E+00, 0.000E+00, 1.396E-02, 0.000E+00, 0.000E+00
 5.900E+02, 4.790E+02,-2.048E+02,-2.741E+02, 5.449E+00, 0.000E+00, 0.000E+00,-6.172E+00,-3.084E-01,-5.726E-01, 0.000E+00, 1.422E-02, 0.000E+00, 0.000E+00
 6.000E+02, 4.480E+02,-1.949E+02,-2.412E+02, 6.192E+00, 0.000E+00, 0.000E+00,-6.430E+00, 1.269E+01, 1.166E+01, 0.000E+00, 1.449E-02, 0.000E+00, 0.000E+00
 6.100E+02, 4.715E+02,-2.000E+02,-2.631E+02, 6.787E+00, 0.000E+00, 0.000E+00,-6.380E+00, 1.009E+01, 8.833E+00, 0.000E+00, 1.458E-02, 0.000E+00, 0.000E+00
 6.200E+02, 4.785E+02,-1.985E+02,-2.624E+02, 5.560E+00, 0.000E+00, 0.000E+00,-6.550E+00, 1.770E+01, 1.665E+01, 0.000E+00, 1.466E-02, 0.000E+00, 0.000E+00
 6.300E+02, 5.855E+02,-2.179E+02,-3.533E+02, 5.544E+00, 0.000E+00, 0.000E+00,-6.542E+00, 1.390E+01, 1.323E+01, 0.000E+00, 1.485E-02, 0.000E+00, 0.000E+00
 6.400E+02, 6.078E+02,-2.159E+02,-3.948E+02, 4.929E+00, 0.000E+00, 0.000E+00,-6.603E+00,-3.429E+00,-4.552E+00, 0.000E+00, 1.509E-02, 0.000E+00, 0.000E+00
 6.500E+02, 6.822E+02,-2.393E+02,-4.226E+02, 5.394E+00, 0.000E+00, 0.000E+00,-6.633E+00, 1.823E+01, 1.909E+01, 0.000E+00, 1.537E-02, 0.000E+00, 0.000E+00
 6.600E+02, 6.529E+02,-2.362E+02,-4.242E+02, 6.323E+00, 0.000E+00, 0.000E+00,-6.773E+00,-7.521E+00,-7.896E+00, 0.000E+00, 1.558E-02, 0.000E+00, 0.000E+00
 6.700E+02, 6.242E+02,-2.227E+02,-4.030E+02, 5.554E+00, 0.000E+00, 0.000E+00,-6.693E+00,-2.399E+00,-2.673E+00, 0.000E+00, 1.565E-02, 0.000E+00, 0.000E+00
 6.800E+02, 6.453E+02,-2.284E+02,-4.172E+02, 6.566E+00, 0.000E+00, 0.000E+00,-6.792E+00,-1.670E+00,-6.056E-01, 0.000E+00, 1.599E-02, 0.000E+00, 0.000E+00
 6.900E+02, 6.560E+02,-2.323E+02,-4.141E+02, 6.063E+00, 0.000E+00, 0.000E+00,-6.812E+00, 9.507E+00, 8.757E+00, 0.000E+00, 1.614E-02, 0.000E+00, 0.000E+00
 7.000E+02, 6.641E+02,-2.265E+02,-4.187E+02, 6.152E+00, 0.000E+00, 0.000E+00,-6.825E+00, 1.839E+01, 1.821E+01, 0.000E+00, 1.636E-02, 0.000E+00, 0.000E+00
