s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 7.800E+02, 9.693E+02,-3.731E+02,-5.901E+02, 3.624E+01, 0.000E+00, 0.000E+00,-2.820E+01, 1.588E+01, 1.402E+01, 3.110E-02, 3.110E-02
 7.900E+02, 9.912E+02,-3.644E+02,-6.463E+02, 3.585E+01, 0.000E+00, 0.000E+00,-2.782E+01,-7.938E+00,-1.143E+01, 3.063E-02, 3.063E-02
 8.000E+02, 9.303E+02,-3.581E+02,-5.863E+02, 3.606E+01, 0.000E+00, 0.000E+00,-2.831E+01,-2.918E+00,-6.281E+00, 3.114E-02, 3.114E-02
 8.100E+02, 9.165E+02,-3.466E+02,-5.747E+02, 3.657E+01, 0.000E+00, 0.000E+00,-2.960E+01, 5.839E+00, 2.157E+00, 3.254E-02, 3.254E-02
 8.200E+02, 9.822E+02,-3.681E+02,-5.860E+02, 3.431E+01, 0.000E+00, 0.000E+00,-3.740E+01, 3.018E+01, 2.502E+01, 4.108E-02, 4.108E-02
 8.300E+02, 1.019E+03,-3.593E+02,-6.035E+02, 3.446E+01, 0.000E+00, 0.000E+00,-4.580E+01, 4.834E+01, 4.488E+01, 5.022E-02, 5.022E-02
 8.400E+02, 1.058E+03,-3.713E+02,-6.164E+02, 3.311E+01, 0.000E+00, 0.000E+00,-4.733E+01, 5.842E+01, 5.606E+01, 5.181E-02, 5.181E-02
 8.500E+02, 1.069E+03,-3.463E+02,-6.749E+02, 3.253E+01, 0.000E+00, 0.000E+00,-4.751E+01, 3.640E+01, 3.309E+01, 5.198E-02, 5.198E-02
 8.600E+02, 1.061E+03,-2.986E+02,-6.975E+02, 3.375E+01, 0.000E+00, 0.000E+00,-4.707E+01, 5.417E+01, 5.201E+01, 5.149E-02, 5.149E-02
 8.700E+02, 1.209E+03,-3.530E+02,-8.111E+02, 3.109E+01, 0.000E+00, 0.000E+00,-4.715E+01, 3.274E+01, 2.908E+01, 5.153E-02, 5.153E-02
 8.800E+02, 1.237E+03,-3.573E+02,-8.351E+02, 3.078E+01, 0.000E+00, 0.000E+00,-4.692E+01, 3.073E+01, 2.840E+01, 5.128E-02, 5.128E-02
 8.900E+02, 1.484E+03,-4.448E+02,-1.016E+03, 2.826E+01, 0.000E+00, 0.000E+00,-4.707E+01, 5.717E+00, 3.803E+00, 5.144E-02, 5.144E-02
 9.000E+02, 1.550E+03,-4.595E+02,-1.068E+03, 2.868E+01, 0.000E+00, 0.000E+00,-4.744E+01, 4.972E+00, 3.790E+00, 5.180E-02, 5.180E-02
 9.100E+02, 1.508E+03,-4.268E+02,-1.055E+03, 2.867E+01, 0.000E+00, 0.000E+00,-4.741E+01, 8.992E+00, 6.836E+00, 5.179E-02, 5.179E-02
 9.200E+02, 1.491E+03,-4.170E+02,-1.059E+03, 2.819E+01, 0.000E+00, 0.000E+00,-4.737E+01,-2.259E+00,-3.682E+00, 5.176E-02, 5.176E-02
