s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_TOLUENE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 3.500E+02, 9.928E+02, 0.000E+00,-4.762E+02,-4.851E+02, 1.427E+01, 0.000E+00, 0.000E+00,-1.537E+01, 3.160E+01, 3.043E+01, 0.000E+00, 3.380E-02, 0.000E+00, 0.000E+00
 3.600E+02, 9.616E+02, 0.000E+00,-4.353E+02,-4.886E+02, 1.381E+01, 0.000E+00, 0.000E+00,-1.619E+01, 3.625E+01, 3.533E+01, 0.000E+00, 3.457E-02, 0.000E+00, 0.000E+00
 3.700E+02, 9.364E+02, 0.000E+00,-3.961E+02,-5.398E+02, 1.360E+01, 0.000E+00, 0.000E+00,-1.629E+01,-1.101E+00,-2.231E+00, 0.000E+00, 3.428E-02, 0.000E+00, 0.000E+00
 3.800E+02, 9.157E+02, 0.000E+00,-3.648E+02,-5.302E+02, 1.547E+01, 0.000E+00, 0.000E+00,-1.673E+01, 2.009E+01, 1.944E+01, 0.000E+00, 3.445E-02, 0.000E+00, 0.000E+00
 3.900E+02, 9.814E+02, 0.000E+00,-3.786E+02,-5.898E+02, 1.664E+01, 0.000E+00, 0.000E+00,-1.654E+01, 1.333E+01, 1.309E+01, 0.000E+00, 3.431E-02, 0.000E+00, 0.000E+00
 4.000E+02, 1.208E+03, 0.000E+00,-4.418E+02,-7.632E+02, 1.514E+01, 0.000E+00, 0.000E+00,-1.669E+01, 2.437E+00, 1.787E+00, 0.000E+00, 3.450E-02, 0.000E+00, 0.000E+00
 4.100E+02, 1.296E+03, 0.000E+00,-4.537E+02,-8.175E+02, 1.585E+01, 0.000E+00, 0.000E+00,-1.662E+01, 2.388E+01, 2.406E+01, 0.000E+00, 3.441E-02, 0.000E+00, 0.000E+00
 4.200E+02, 1.318E+03, 0.000E+00,-4.582E+02,-8.557E+02, 1.386E+01, 0.000E+00, 0.000E+00,-1.665E+01, 1.659E+00, 1.255E+00, 0.000E+00, 3.440E-02, 0.000E+00, 0.000E+00
 4.300E+02, 1.338E+03, 0.000E+00,-4.554E+02,-8.845E+02, 1.463E+01, 0.000E+00, 0.000E+00,-1.657E+01,-3.295E+00,-3.632E+00, 0.000E+00, 3.413E-02, 0.000E+00, 0.000E+00
 4.400E+02, 1.352E+03, 0.000E+00,-4.512E+02,-8.912E+02, 1.614E+01, 0.000E+00, 0.000E+00,-1.648E+01, 9.244E+00, 9.198E+00, 0.000E+00, 3.419E-02, 0.000E+00, 0.000E+00
