s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPYLENE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 3.500E+02, 2.715E+01, 0.000E+00,-3.381E+00,-1.288E+01,-4.661E+00, 2.790E-02, 0.000E+00, 0.000E+00, 6.251E+00, 6.255E+00, 0.000E+00, 5.941E-04, 0.000E+00, 0.000E+00
 3.601E+02, 2.780E+01, 0.000E+00,-3.516E+00,-1.342E+01,-4.836E+00, 2.863E-02, 0.000E+00, 0.000E+00, 6.019E+00, 6.061E+00, 0.000E+00, 6.059E-04, 0.000E+00, 0.000E+00
 3.700E+02, 2.949E+01, 0.000E+00,-3.682E+00,-1.414E+01,-4.887E+00, 3.030E-02, 0.000E+00, 0.000E+00, 6.769E+00, 6.812E+00, 0.000E+00, 6.441E-04, 0.000E+00, 0.000E+00
 3.800E+02, 3.234E+01, 0.000E+00,-3.928E+00,-1.454E+01,-5.216E+00, 3.331E-02, 0.000E+00, 0.000E+00, 8.665E+00, 8.686E+00, 0.000E+00, 7.076E-04, 0.000E+00, 0.000E+00
 3.900E+02, 3.519E+01, 0.000E+00,-4.228E+00,-1.555E+01,-5.399E+00, 3.616E-02, 0.000E+00, 0.000E+00, 1.000E+01, 1.005E+01, 0.000E+00, 7.713E-04, 0.000E+00, 0.000E+00
 4.000E+02, 3.823E+01, 0.000E+00,-4.625E+00,-1.654E+01,-5.575E+00, 3.917E-02, 0.000E+00, 0.000E+00, 1.146E+01, 1.153E+01, 0.000E+00, 8.350E-04, 0.000E+00, 0.000E+00
 4.100E+02, 4.106E+01, 0.000E+00,-5.096E+00,-1.813E+01,-5.951E+00, 4.202E-02, 0.000E+00, 0.000E+00, 1.190E+01, 1.193E+01, 0.000E+00, 8.987E-04, 0.000E+00, 0.000E+00
 4.200E+02, 4.416E+01, 0.000E+00,-5.627E+00,-1.860E+01,-6.294E+00, 4.479E-02, 0.000E+00, 0.000E+00, 1.362E+01, 1.368E+01, 0.000E+00, 9.625E-04, 0.000E+00, 0.000E+00
 4.300E+02, 4.702E+01, 0.000E+00,-6.249E+00,-2.017E+01,-6.540E+00, 4.782E-02, 0.000E+00, 0.000E+00, 1.408E+01, 1.411E+01, 0.000E+00, 1.026E-03, 0.000E+00, 0.000E+00
 4.400E+02, 4.990E+01, 0.000E+00,-6.914E+00,-2.215E+01,-6.879E+00, 5.077E-02, 0.000E+00, 0.000E+00, 1.397E+01, 1.401E+01, 0.000E+00, 1.090E-03, 0.000E+00, 0.000E+00
 4.500E+02, 5.279E+01, 0.000E+00,-7.650E+00,-2.351E+01,-7.295E+00, 5.339E-02, 0.000E+00, 0.000E+00, 1.435E+01, 1.439E+01, 0.000E+00, 1.153E-03, 0.000E+00, 0.000E+00
 4.600E+02, 5.582E+01, 0.000E+00,-8.357E+00,-2.488E+01,-7.612E+00, 5.611E-02, 0.000E+00, 0.000E+00, 1.498E+01, 1.502E+01, 0.000E+00, 1.217E-03, 0.000E+00, 0.000E+00
 4.700E+02, 5.870E+01, 0.000E+00,-9.284E+00,-2.672E+01,-7.968E+00, 5.909E-02, 0.000E+00, 0.000E+00, 1.473E+01, 1.479E+01, 0.000E+00, 1.281E-03, 0.000E+00, 0.000E+00
 4.800E+02, 6.142E+01, 0.000E+00,-1.015E+01,-2.869E+01,-8.078E+00, 6.223E-02, 0.000E+00, 0.000E+00, 1.454E+01, 1.456E+01, 0.000E+00, 1.345E-03, 0.000E+00, 0.000E+00
 4.900E+02, 6.450E+01, 0.000E+00,-1.101E+01,-3.088E+01,-8.497E+00, 6.467E-02, 0.000E+00, 0.000E+00, 1.412E+01, 1.418E+01, 0.000E+00, 1.408E-03, 0.000E+00, 0.000E+00
 5.000E+02, 6.735E+01, 0.000E+00,-1.207E+01,-3.142E+01,-8.724E+00, 6.747E-02, 0.000E+00, 0.000E+00, 1.516E+01, 1.521E+01, 0.000E+00, 1.472E-03, 0.000E+00, 0.000E+00
 5.100E+02, 7.045E+01, 0.000E+00,-1.317E+01,-3.459E+01,-8.869E+00, 7.054E-02, 0.000E+00, 0.000E+00, 1.383E+01, 1.390E+01, 0.000E+00, 1.536E-03, 0.000E+00, 0.000E+00
 5.200E+02, 7.306E+01, 0.000E+00,-1.433E+01,-3.491E+01,-9.008E+00, 7.324E-02, 0.000E+00, 0.000E+00, 1.485E+01, 1.489E+01, 0.000E+00, 1.599E-03, 0.000E+00, 0.000E+00
 5.300E+02, 7.616E+01, 0.000E+00,-1.550E+01,-3.694E+01,-9.184E+00, 7.599E-02, 0.000E+00, 0.000E+00, 1.455E+01, 1.461E+01, 0.000E+00, 1.663E-03, 0.000E+00, 0.000E+00
 5.400E+02, 7.884E+01, 0.000E+00,-1.658E+01,-4.080E+01,-9.077E+00, 7.864E-02, 0.000E+00, 0.000E+00, 1.248E+01, 1.246E+01, 0.000E+00, 1.727E-03, 0.000E+00, 0.000E+00
 5.500E+02, 8.197E+01, 0.000E+00,-1.787E+01,-4.044E+01,-9.417E+00, 8.153E-02, 0.000E+00, 0.000E+00, 1.425E+01, 1.432E+01, 0.000E+00, 1.791E-03, 0.000E+00, 0.000E+00
 5.600E+02, 8.503E+01, 0.000E+00,-1.915E+01,-4.341E+01,-9.298E+00, 8.383E-02, 0.000E+00, 0.000E+00, 1.323E+01, 1.326E+01, 0.000E+00, 1.854E-03, 0.000E+00, 0.000E+00
 5.700E+02, 8.779E+01, 0.000E+00,-2.054E+01,-4.403E+01,-9.206E+00, 8.695E-02, 0.000E+00, 0.000E+00, 1.399E+01, 1.410E+01, 0.000E+00, 1.918E-03, 0.000E+00, 0.000E+00
 5.800E+02, 9.076E+01, 0.000E+00,-2.183E+01,-4.667E+01,-9.078E+00, 8.961E-02, 0.000E+00, 0.000E+00, 1.324E+01, 1.327E+01, 0.000E+00, 1.982E-03, 0.000E+00, 0.000E+00
 5.900E+02, 9.362E+01, 0.000E+00,-2.336E+01,-4.969E+01,-9.436E+00, 9.221E-02, 0.000E+00, 0.000E+00, 1.115E+01, 1.123E+01, 0.000E+00, 2.045E-03, 0.000E+00, 0.000E+00
 6.000E+02, 9.649E+01, 0.000E+00,-2.487E+01,-5.033E+01,-9.219E+00, 9.478E-02, 0.000E+00, 0.000E+00, 1.217E+01, 1.217E+01, 0.000E+00, 2.109E-03, 0.000E+00, 0.000E+00
 6.100E+02, 9.938E+01, 0.000E+00,-2.637E+01,-5.322E+01,-8.900E+00, 9.797E-02, 0.000E+00, 0.000E+00, 1.089E+01, 1.098E+01, 0.000E+00, 2.173E-03, 0.000E+00, 0.000E+00
 6.200E+02, 1.024E+02, 0.000E+00,-2.794E+01,-5.388E+01,-8.789E+00, 1.000E-01, 0.000E+00, 0.000E+00, 1.182E+01, 1.190E+01, 0.000E+00, 2.236E-03, 0.000E+00, 0.000E+00
 6.300E+02, 1.054E+02, 0.000E+00,-2.937E+01,-5.625E+01,-8.577E+00, 1.032E-01, 0.000E+00, 0.000E+00, 1.125E+01, 1.128E+01, 0.000E+00, 2.300E-03, 0.000E+00, 0.000E+00
