s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ISOPROPANOL,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 4.300E+02, 1.477E+03,-4.898E+02,-9.791E+02, 1.654E+01, 4.542E-01, 0.000E+00, 0.000E+00, 2.435E+01, 2.544E+01, 0.000E+00, 5.080E-02, 0.000E+00, 0.000E+00
 4.400E+02, 1.632E+03,-5.381E+02,-1.101E+03, 1.624E+01, 4.340E-01, 0.000E+00, 0.000E+00, 9.025E+00, 9.268E+00, 0.000E+00, 5.112E-02, 0.000E+00, 0.000E+00
 4.500E+02, 1.486E+03,-4.908E+02,-1.012E+03, 1.628E+01, 4.411E-01, 0.000E+00, 0.000E+00, 2.790E-02, 2.645E-01, 0.000E+00, 5.143E-02, 0.000E+00, 0.000E+00
 4.600E+02, 1.612E+03,-5.207E+02,-1.111E+03, 1.778E+01, 4.531E-01, 0.000E+00, 0.000E+00,-1.681E+00,-1.004E+00, 0.000E+00, 5.175E-02, 0.000E+00, 0.000E+00
 4.700E+02, 1.649E+03,-5.389E+02,-1.148E+03, 1.626E+01, 4.126E-01, 0.000E+00, 0.000E+00,-2.152E+01,-2.120E+01, 0.000E+00, 4.906E-02, 0.000E+00, 0.000E+00
 4.800E+02, 1.522E+03,-5.148E+02,-1.036E+03, 1.651E+01, 4.517E-01, 0.000E+00, 0.000E+00,-1.165E+01,-1.124E+01, 0.000E+00, 4.338E-02, 0.000E+00, 0.000E+00
 4.900E+02, 1.432E+03,-4.919E+02,-9.622E+02, 1.829E+01, 4.191E-01, 0.000E+00, 0.000E+00,-4.292E+00,-3.379E+00, 0.000E+00, 3.771E-02, 0.000E+00, 0.000E+00
 5.000E+02, 1.391E+03,-4.992E+02,-9.367E+02, 1.802E+01, 3.818E-01, 0.000E+00, 0.000E+00,-2.645E+01,-2.649E+01, 0.000E+00, 3.204E-02, 0.000E+00, 0.000E+00
 5.100E+02, 1.355E+03,-5.058E+02,-8.936E+02, 1.819E+01, 3.909E-01, 0.000E+00, 0.000E+00,-2.619E+01,-2.588E+01, 0.000E+00, 2.637E-02, 0.000E+00, 0.000E+00
 5.200E+02, 1.200E+03,-4.759E+02,-7.845E+02, 1.955E+01, 3.773E-01, 0.000E+00, 0.000E+00,-4.032E+01,-4.025E+01, 0.000E+00, 2.146E-02, 0.000E+00, 0.000E+00
 5.300E+02, 1.049E+03,-4.468E+02,-6.440E+02, 2.122E+01, 3.791E-01, 0.000E+00, 0.000E+00,-1.982E+01,-2.028E+01, 0.000E+00, 2.119E-02, 0.000E+00, 0.000E+00
 5.400E+02, 9.137E+02,-4.067E+02,-5.561E+02, 2.122E+01, 3.571E-01, 0.000E+00, 0.000E+00,-2.699E+01,-2.744E+01, 0.000E+00, 2.168E-02, 0.000E+00, 0.000E+00
 5.500E+02, 9.185E+02,-4.094E+02,-5.456E+02, 2.143E+01, 3.837E-01, 0.000E+00, 0.000E+00,-1.432E+01,-1.475E+01, 0.000E+00, 2.217E-02, 0.000E+00, 0.000E+00
 5.600E+02, 8.466E+02,-3.841E+02,-5.006E+02, 2.171E+01, 3.912E-01, 0.000E+00, 0.000E+00,-1.560E+01,-1.592E+01, 0.000E+00, 2.267E-02, 0.000E+00, 0.000E+00
