s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
 1.700E+02, 9.399E+02, 9.210E+02, 8.417E+02, 6.921E+02, 1.241E+02, 1.299E+02, 1.497E+02, 2.322E+02, 5.402E+02, 2.211E+02, 1.477E+02, 1.297E+02, 1.238E+02, 9.668E+01, 6.492E+01, 9.094E+01, 5.865E+01, 1.850E+02, 3.321E+01, 1.675E+02, 9.130E+01, 9.692E+01, 7.297E+01
 1.800E+02, 9.505E+02, 9.306E+02, 8.515E+02, 7.059E+02, 1.284E+02, 1.356E+02, 1.578E+02, 2.458E+02, 5.506E+02, 2.309E+02, 1.535E+02, 1.344E+02, 1.281E+02, 1.003E+02, 6.692E+01, 9.458E+01, 5.984E+01, 1.902E+02, 3.379E+01, 1.727E+02, 9.489E+01, 1.005E+02, 7.513E+01
 1.900E+02, 9.542E+02, 9.341E+02, 8.614E+02, 7.231E+02, 1.303E+02, 1.375E+02, 1.587E+02, 2.452E+02, 5.622E+02, 2.371E+02, 1.565E+02, 1.371E+02, 1.310E+02, 1.038E+02, 6.772E+01, 9.797E+01, 6.086E+01, 1.949E+02, 3.432E+01, 1.773E+02, 9.838E+01, 1.040E+02, 7.687E+01
 2.000E+02, 9.522E+02, 9.299E+02, 8.660E+02, 7.389E+02, 1.299E+02, 1.355E+02, 1.555E+02, 2.395E+02, 5.753E+02, 2.477E+02, 1.627E+02, 1.414E+02, 1.346E+02, 1.069E+02, 6.855E+01, 1.011E+02, 6.165E+01, 1.993E+02, 3.490E+01, 1.817E+02, 1.017E+02, 1.073E+02, 7.901E+01
 2.100E+02, 9.469E+02, 9.354E+02, 8.649E+02, 7.229E+02, 1.308E+02, 1.371E+02, 1.579E+02, 2.474E+02, 5.765E+02, 2.371E+02, 1.609E+02, 1.413E+02, 1.351E+02, 1.101E+02, 6.977E+01, 1.044E+02, 6.214E+01, 2.038E+02, 3.541E+01, 1.862E+02, 1.047E+02, 1.102E+02, 8.093E+01
 2.200E+02, 9.458E+02, 9.336E+02, 8.629E+02, 7.221E+02, 1.321E+02, 1.389E+02, 1.619E+02, 2.504E+02, 5.763E+02, 2.317E+02, 1.582E+02, 1.407E+02, 1.350E+02, 1.131E+02, 7.027E+01, 1.074E+02, 6.270E+01, 2.076E+02, 3.591E+01, 1.902E+02, 1.075E+02, 1.130E+02, 8.237E+01
 2.300E+02, 9.435E+02, 9.306E+02, 8.679E+02, 7.358E+02, 1.334E+02, 1.395E+02, 1.613E+02, 2.521E+02, 5.881E+02, 2.360E+02, 1.607E+02, 1.422E+02, 1.363E+02, 1.155E+02, 7.068E+01, 1.098E+02, 6.317E+01, 2.106E+02, 3.630E+01, 1.934E+02, 1.101E+02, 1.154E+02, 8.339E+01
 2.400E+02, 9.520E+02, 9.388E+02, 8.677E+02, 7.325E+02, 1.337E+02, 1.397E+02, 1.610E+02, 2.532E+02, 5.936E+02, 2.351E+02, 1.574E+02, 1.398E+02, 1.344E+02, 1.179E+02, 7.142E+01, 1.123E+02, 6.382E+01, 2.136E+02, 3.677E+01, 1.966E+02, 1.125E+02, 1.178E+02, 8.489E+01
 2.500E+02, 9.475E+02, 9.254E+02, 8.426E+02, 6.978E+02, 1.355E+02, 1.426E+02, 1.643E+02, 2.573E+02, 5.786E+02, 2.328E+02, 1.569E+02, 1.391E+02, 1.339E+02, 1.204E+02, 7.229E+01, 1.149E+02, 6.496E+01, 2.166E+02, 3.724E+01, 1.998E+02, 1.150E+02, 1.203E+02, 8.622E+01
 2.600E+02, 9.501E+02, 9.308E+02, 8.395E+02, 6.872E+02, 1.379E+02, 1.451E+02, 1.676E+02, 2.607E+02, 5.642E+02, 2.256E+02, 1.555E+02, 1.371E+02, 1.322E+02, 1.225E+02, 7.263E+01, 1.170E+02, 6.475E+01, 2.194E+02, 3.772E+01, 2.026E+02, 1.171E+02, 1.223E+02, 8.773E+01
 2.700E+02, 9.415E+02, 9.244E+02, 8.426E+02, 6.984E+02, 1.364E+02, 1.436E+02, 1.656E+02, 2.558E+02, 5.667E+02, 2.173E+02, 1.512E+02, 1.353E+02, 1.312E+02, 1.242E+02, 7.263E+01, 1.188E+02, 6.461E+01, 2.211E+02, 3.806E+01, 2.045E+02, 1.184E+02, 1.236E+02, 8.837E+01
 2.800E+02, 9.411E+02, 9.219E+02, 8.495E+02, 7.134E+02, 1.354E+02, 1.426E+02, 1.647E+02, 2.538E+02, 5.726E+02, 2.225E+02, 1.528E+02, 1.357E+02, 1.306E+02, 1.256E+02, 7.265E+01, 1.202E+02, 6.470E+01, 2.220E+02, 3.830E+01, 2.056E+02, 1.196E+02, 1.247E+02, 8.865E+01
 2.900E+02, 9.478E+02, 9.328E+02, 8.515E+02, 6.986E+02, 1.333E+02, 1.402E+02, 1.616E+02, 2.417E+02, 5.523E+02, 2.220E+02, 1.501E+02, 1.334E+02, 1.284E+02, 1.265E+02, 7.241E+01, 1.211E+02, 6.497E+01, 2.222E+02, 3.865E+01, 2.058E+02, 1.206E+02, 1.257E+02, 8.911E+01
 3.000E+02, 9.287E+02, 8.945E+02, 7.865E+02, 6.294E+02, 1.289E+02, 1.352E+02, 1.544E+02, 2.280E+02, 5.022E+02, 2.110E+02, 1.469E+02, 1.307E+02, 1.257E+02, 1.266E+02, 7.102E+01, 1.212E+02, 6.386E+01, 2.212E+02, 3.882E+01, 2.048E+02, 1.207E+02, 1.259E+02, 8.867E+01
 3.100E+02, 8.535E+02, 7.531E+02, 6.254E+02, 4.921E+02, 1.176E+02, 1.212E+02, 1.337E+02, 1.904E+02, 4.163E+02, 1.812E+02, 1.329E+02, 1.203E+02, 1.171E+02, 1.245E+02, 6.600E+01, 1.191E+02, 5.976E+01, 2.159E+02, 3.829E+01, 1.996E+02, 1.187E+02, 1.239E+02, 8.457E+01
 3.200E+02, 5.049E+02, 4.195E+02, 3.451E+02, 2.806E+02, 9.754E+01, 9.809E+01, 1.032E+02, 1.350E+02, 2.845E+02, 1.317E+02, 1.047E+02, 9.873E+01, 9.849E+01, 1.195E+02, 5.767E+01, 1.145E+02, 5.291E+01, 2.032E+02, 3.683E+01, 1.884E+02, 1.141E+02, 1.189E+02, 7.737E+01
 3.300E+02, 2.948E+02, 2.484E+02, 2.114E+02, 1.806E+02, 8.020E+01, 7.965E+01, 7.830E+01, 9.642E+01, 2.024E+02, 9.639E+01, 8.312E+01, 8.087E+01, 8.131E+01, 1.141E+02, 5.341E+01, 1.097E+02, 4.935E+01, 1.903E+02, 3.593E+01, 1.771E+02, 1.094E+02, 1.136E+02, 7.306E+01
 3.400E+02, 1.947E+02, 1.651E+02, 1.410E+02, 1.232E+02, 6.639E+01, 6.455E+01, 6.265E+01, 7.404E+01, 1.545E+02, 7.338E+01, 6.493E+01, 6.594E+01, 6.763E+01, 1.094E+02, 5.090E+01, 1.054E+02, 4.724E+01, 1.794E+02, 3.533E+01, 1.674E+02, 1.051E+02, 1.089E+02, 7.009E+01
 3.500E+02, 1.352E+02, 1.138E+02, 9.809E+01, 8.743E+01, 5.581E+01, 5.441E+01, 5.243E+01, 5.970E+01, 1.198E+02, 5.858E+01, 5.285E+01, 5.458E+01, 5.651E+01, 1.051E+02, 4.915E+01, 1.015E+02, 4.581E+01, 1.698E+02, 3.488E+01, 1.590E+02, 1.013E+02, 1.047E+02, 6.773E+01
 3.600E+02, 9.890E+01, 8.267E+01, 7.241E+01, 6.695E+01, 4.836E+01, 4.651E+01, 4.463E+01, 4.955E+01, 9.610E+01, 4.904E+01, 4.505E+01, 4.642E+01, 4.861E+01, 1.013E+02, 4.767E+01, 9.793E+01, 4.468E+01, 1.614E+02, 3.451E+01, 1.514E+02, 9.774E+01, 1.008E+02, 6.577E+01
 3.700E+02, 7.852E+01, 6.463E+01, 5.710E+01, 5.386E+01, 4.292E+01, 4.104E+01, 3.943E+01, 4.355E+01, 7.994E+01, 4.236E+01, 3.964E+01, 4.090E+01, 4.319E+01, 9.769E+01, 4.658E+01, 9.466E+01, 4.370E+01, 1.538E+02, 3.418E+01, 1.446E+02, 9.450E+01, 9.729E+01, 6.411E+01
 3.800E+02, 6.537E+01, 5.342E+01, 4.784E+01, 4.598E+01, 3.924E+01, 3.739E+01, 3.606E+01, 3.937E+01, 6.694E+01, 3.855E+01, 3.624E+01, 3.690E+01, 3.908E+01, 9.441E+01, 4.553E+01, 9.165E+01, 4.282E+01, 1.470E+02, 3.390E+01, 1.385E+02, 9.151E+01, 9.403E+01, 6.263E+01
 3.900E+02, 5.806E+01, 4.736E+01, 4.273E+01, 4.135E+01, 3.617E+01, 3.451E+01, 3.351E+01, 3.669E+01, 5.788E+01, 3.608E+01, 3.422E+01, 3.470E+01, 3.629E+01, 9.137E+01, 4.464E+01, 8.884E+01, 4.204E+01, 1.408E+02, 3.363E+01, 1.329E+02, 8.873E+01, 9.102E+01, 6.133E+01
 4.001E+02, 5.501E+01, 4.477E+01, 3.997E+01, 3.812E+01, 3.389E+01, 3.261E+01, 3.198E+01, 3.466E+01, 5.320E+01, 3.388E+01, 3.251E+01, 3.298E+01, 3.464E+01, 8.854E+01, 4.387E+01, 8.623E+01, 4.135E+01, 1.351E+02, 3.339E+01, 1.278E+02, 8.612E+01, 8.820E+01, 6.015E+01
 4.100E+02, 5.399E+01, 4.371E+01, 3.870E+01, 3.650E+01, 3.268E+01, 3.155E+01, 3.116E+01, 3.338E+01, 4.941E+01, 3.296E+01, 3.137E+01, 3.160E+01, 3.301E+01, 8.589E+01, 4.312E+01, 8.377E+01, 4.071E+01, 1.299E+02, 3.316E+01, 1.231E+02, 8.368E+01, 8.558E+01, 5.908E+01
 4.200E+02, 5.262E+01, 4.247E+01, 3.763E+01, 3.552E+01, 3.219E+01, 3.083E+01, 3.056E+01, 3.251E+01, 4.716E+01, 3.231E+01, 3.057E+01, 3.063E+01, 3.211E+01, 8.342E+01, 4.240E+01, 8.146E+01, 4.013E+01, 1.251E+02, 3.294E+01, 1.187E+02, 8.140E+01, 8.312E+01, 5.810E+01
 4.300E+02, 5.416E+01, 4.308E+01, 3.738E+01, 3.483E+01, 3.182E+01, 3.035E+01, 3.016E+01, 3.194E+01, 4.508E+01, 3.165E+01, 2.998E+01, 2.986E+01, 3.141E+01, 8.109E+01, 4.177E+01, 7.929E+01, 3.962E+01, 1.207E+02, 3.274E+01, 1.146E+02, 7.924E+01, 8.082E+01, 5.720E+01
 4.400E+02, 5.407E+01, 4.287E+01, 3.729E+01, 3.457E+01, 3.110E+01, 2.974E+01, 2.979E+01, 3.150E+01, 4.386E+01, 3.117E+01, 2.938E+01, 2.926E+01, 3.088E+01, 7.889E+01, 4.120E+01, 7.724E+01, 3.912E+01, 1.165E+02, 3.256E+01, 1.109E+02, 7.720E+01, 7.864E+01, 5.637E+01
 4.500E+02, 5.314E+01, 4.187E+01, 3.648E+01, 3.383E+01, 3.067E+01, 2.953E+01, 2.957E+01, 3.139E+01, 4.245E+01, 3.091E+01, 2.912E+01, 2.880E+01, 3.028E+01, 7.682E+01, 4.065E+01, 7.531E+01, 3.864E+01, 1.126E+02, 3.238E+01, 1.073E+02, 7.528E+01, 7.659E+01, 5.560E+01
 4.600E+02, 5.167E+01, 4.051E+01, 3.530E+01, 3.283E+01, 3.034E+01, 2.902E+01, 2.908E+01, 3.098E+01, 4.111E+01, 3.065E+01, 2.882E+01, 2.833E+01, 2.947E+01, 7.486E+01, 4.011E+01, 7.347E+01, 3.825E+01, 1.090E+02, 3.221E+01, 1.040E+02, 7.347E+01, 7.464E+01, 5.487E+01
 4.700E+02, 4.986E+01, 3.945E+01, 3.429E+01, 3.189E+01, 3.002E+01, 2.856E+01, 2.884E+01, 3.041E+01, 4.015E+01, 3.022E+01, 2.854E+01, 2.820E+01, 2.924E+01, 7.301E+01, 3.963E+01, 7.173E+01, 3.779E+01, 1.056E+02, 3.204E+01, 1.008E+02, 7.173E+01, 7.279E+01, 5.419E+01
 4.801E+02, 4.873E+01, 3.896E+01, 3.405E+01, 3.156E+01, 2.977E+01, 2.822E+01, 2.842E+01, 2.993E+01, 3.924E+01, 2.991E+01, 2.836E+01, 2.798E+01, 2.896E+01, 7.125E+01, 3.915E+01, 7.007E+01, 3.733E+01, 1.024E+02, 3.189E+01, 9.789E+01, 7.007E+01, 7.104E+01, 5.356E+01
 4.900E+02, 4.969E+01, 3.892E+01, 3.369E+01, 3.125E+01, 2.923E+01, 2.795E+01, 2.800E+01, 2.955E+01, 3.849E+01, 2.966E+01, 2.795E+01, 2.763E+01, 2.856E+01, 6.957E+01, 3.879E+01, 6.850E+01, 3.694E+01, 9.934E+01, 3.174E+01, 9.513E+01, 6.850E+01, 6.937E+01, 5.297E+01
 5.000E+02, 4.941E+01, 3.890E+01, 3.374E+01, 3.118E+01, 2.892E+01, 2.768E+01, 2.777E+01, 2.950E+01, 3.797E+01, 2.952E+01, 2.775E+01, 2.754E+01, 2.841E+01, 6.798E+01, 3.835E+01, 6.700E+01, 3.655E+01, 9.649E+01, 3.159E+01, 9.251E+01, 6.700E+01, 6.779E+01, 5.241E+01
