m,m/s,m/s,m,m/s,m/s
NaN,NaN,NaN, 6.2817483E+000,-1.1060421E-001, 1.9506412E-001
NaN,NaN,NaN, 6.3442657E+000,-1.1118568E-001, 1.9267212E-001
NaN,NaN,NaN, 6.4067832E+000,-1.1149584E-001, 1.9017692E-001
NaN,NaN,NaN, 6.4693007E+000,-1.1157534E-001, 1.8776613E-001
NaN,NaN,NaN, 6.5318182E+000,-1.1150973E-001, 1.8521814E-001
NaN,NaN,NaN, 6.5943357E+000,-1.1171282E-001, 1.8279419E-001
NaN,NaN,NaN, 6.6568531E+000,-1.1184158E-001, 1.8036963E-001
NaN,NaN,NaN, 6.7193706E+000,-1.1150340E-001, 1.7810572E-001
NaN,NaN,NaN, 6.7818881E+000,-1.1104554E-001, 1.7585191E-001
NaN,NaN,NaN, 6.8444056E+000,-1.1003976E-001, 1.7332087E-001
NaN,NaN,NaN, 6.9069231E+000,-1.0877607E-001, 1.7047686E-001
NaN,NaN,NaN, 6.9694406E+000,-1.0726702E-001, 1.6703595E-001
NaN,NaN,NaN, 7.0319580E+000,-1.0538073E-001, 1.6337048E-001
NaN,NaN,NaN, 7.0944755E+000,-1.0302745E-001, 1.5886104E-001
NaN,NaN,NaN, 7.1569930E+000,-1.0098330E-001, 1.5402014E-001
NaN,NaN,NaN, 7.2195105E+000,-9.8669614E-002, 1.4934722E-001
NaN,NaN,NaN, 7.2820280E+000,-9.6153309E-002, 1.4362748E-001
NaN,NaN,NaN, 7.3445455E+000,-9.3601602E-002, 1.3770579E-001
NaN,NaN,NaN, 7.4070629E+000,-9.0848492E-002, 1.3153587E-001
NaN,NaN,NaN, 7.4695804E+000,-8.8715469E-002, 1.2491298E-001
NaN,NaN,NaN, 7.5320979E+000,-8.6109821E-002, 1.1676898E-001
NaN,NaN,NaN, 7.5946154E+000,-8.2723317E-002, 1.0856414E-001
NaN,NaN,NaN, 7.6571329E+000,-7.8810300E-002, 1.0088236E-001
NaN,NaN,NaN, 7.7196503E+000,-7.4202841E-002, 9.1567394E-002
NaN,NaN,NaN, 7.7821678E+000,-6.9626173E-002, 8.2395910E-002
NaN,NaN,NaN, 7.8446853E+000,-6.3560864E-002, 7.3191064E-002
NaN,NaN,NaN, 7.9072028E+000,-5.8016665E-002, 6.3265103E-002
NaN,NaN,NaN, 7.9697203E+000,-5.2767732E-002, 5.4976483E-002
NaN,NaN,NaN, 8.0322378E+000,-4.7201020E-002, 4.4477862E-002
NaN,NaN,NaN, 8.0947552E+000,-4.0681019E-002, 3.1013864E-002
NaN,NaN,NaN, 8.1572727E+000,-3.3317974E-002, 1.5191257E-002
NaN,NaN,NaN, 8.2197902E+000,-2.6875257E-002, 5.0688590E-004
NaN,NaN,NaN, 8.2823077E+000,-1.7611967E-002,-1.4701625E-002
NaN,NaN,NaN, 8.3448252E+000,-1.0248203E-002,-2.8757547E-002
NaN,NaN,NaN, 8.4073427E+000, 5.5837431E-003,-4.2937129E-002
NaN,NaN,NaN, 8.4698601E+000, 1.8344619E-002,-5.4667846E-002
NaN,NaN,NaN, 8.5323776E+000, 3.8095295E-002,-6.2250166E-002
NaN,NaN,NaN, 8.5948951E+000, 4.3826574E-002,-6.6287799E-002
NaN,NaN,NaN, 8.6574126E+000, 7.0668151E-002,-6.6848527E-002
NaN,NaN,NaN, 8.7199301E+000, 8.6408382E-002,-5.9995802E-002
NaN,NaN,NaN, 8.7824476E+000, 1.0472893E-001,-5.2786225E-002
NaN,NaN,NaN, 8.8449650E+000, 1.5128027E-001,-4.0719010E-002
NaN,NaN,NaN, 8.9074825E+000, 1.7105797E-001,-1.9944970E-002
NaN,NaN,NaN, 8.9700000E+000, 2.3414532E-001,-1.2216931E-006
