m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,
-1.4711864E-001, 2.7955204E+007,-1.4711864E-001, 8.6088463E-005,-1.4711864E-001, 8.7737528E-005,-1.4711864E-001, 8.9009443E-005,-1.4711864E-001,-9.7617247E-001,-1.4711864E-001,-1.6230423E+000,-1.4711864E-001,-1.5553813E-002,-1.4711864E-001, 3.0900634E+007,-1.4711864E-001, 9.9132323E-005,-1.4711864E-001, 1.0091177E-004,-1.4711864E-001, 1.0192386E-004,-1.4711864E-001,-6.3062149E-001,-1.4711864E-001,-7.9365309E-001,-1.4711864E-001,-1.1699650E-002
-1.3762712E-001, 3.6950332E+007,-1.3762712E-001, 8.4944627E-005,-1.3762712E-001, 8.6554162E-005,-1.3762712E-001, 8.7806928E-005,-1.3762712E-001,-1.0791098E+000,-1.3762712E-001,-1.7528898E+000,-1.3762712E-001,-2.0245610E-002,-1.3762712E-001, 5.3281555E+007,-1.3762712E-001, 8.9051997E-005,-1.3762712E-001, 9.6207144E-005,-1.3762712E-001, 9.8044342E-005,-1.3762712E-001,-5.8407907E-001,-1.3762712E-001,-7.7082293E-001,-1.3762712E-001,-1.7326936E-002
-1.2813559E-001, 4.7827261E+007,-1.2813559E-001, 8.3604245E-005,-1.2813559E-001, 8.5223569E-005,-1.2813559E-001, 8.6465912E-005,-1.2813559E-001,-1.2375956E+000,-1.2813559E-001,-1.9477785E+000,-1.2813559E-001,-2.8856567E-002,-1.2813559E-001, 9.1204137E+007,-1.2813559E-001, 7.6266812E-005,-1.2813559E-001, 9.0245410E-005,-1.2813559E-001, 9.3298081E-005,-1.2813559E-001,-7.0658130E-001,-1.2813559E-001,-8.5371815E-001,-1.2813559E-001,-2.2022991E-002
-1.1864407E-001, 5.8358114E+007,-1.1864407E-001, 8.0553608E-005,-1.1864407E-001, 8.2618269E-005,-1.1864407E-001, 8.4064157E-005,-1.1864407E-001,-1.1992316E+000,-1.1864407E-001,-1.9257842E+000,-1.1864407E-001,-3.0922296E-002,-1.1864407E-001, 1.4103958E+008,-1.1864407E-001, 6.9480160E-005,-1.1864407E-001, 8.5611994E-005,-1.1864407E-001, 8.9231332E-005,-1.1864407E-001,-9.9600765E-001,-1.1864407E-001,-9.9907474E-001,-1.1864407E-001,-3.3225608E-002
-1.0915254E-001, 1.0170839E+008,-1.0915254E-001, 7.3125035E-005,-1.0915254E-001, 7.7016011E-005,-1.0915254E-001, 7.8893599E-005,-1.0915254E-001,-1.2056197E+000,-1.0915254E-001,-1.8394986E+000,-1.0915254E-001,-4.0676449E-002,-1.0915254E-001, 2.0916073E+008,-1.0915254E-001, 6.1153192E-005,-1.0915254E-001, 7.9744048E-005,-1.0915254E-001, 8.4556935E-005,-1.0915254E-001,-1.4102710E+000,-1.0915254E-001,-1.2629144E+000,-1.0915254E-001,-4.7388791E-002
-9.9661017E-002, 1.6485875E+008,-9.9661017E-002, 6.6785998E-005,-9.9661017E-002, 7.2102834E-005,-9.9661017E-002, 7.4372542E-005,-9.9661017E-002,-1.3990158E+000,-9.9661017E-002,-1.9780331E+000,-9.9661017E-002,-5.6583503E-002,-9.9661017E-002, 3.3161036E+008,-9.9661017E-002, 5.1696110E-005,-9.9661017E-002, 7.1465061E-005,-9.9661017E-002, 7.7848252E-005,-9.9661017E-002,-1.8487757E+000,-9.9661017E-002,-1.6144016E+000,-9.9661017E-002,-6.4805949E-002
-9.0169492E-002, 2.4181276E+008,-9.0169492E-002, 6.0448517E-005,-9.0169492E-002, 6.7489864E-005,-9.0169492E-002, 7.0311148E-005,-9.0169492E-002,-1.6987172E+000,-9.0169492E-002,-2.2001091E+000,-9.0169492E-002,-7.3543551E-002,-9.0169492E-002, 4.3161888E+008,-9.0169492E-002, 4.7343731E-005,-9.0169492E-002, 6.5550000E-005,-9.0169492E-002, 7.2183026E-005,-9.0169492E-002,-2.3708472E+000,-9.0169492E-002,-2.0731730E+000,-9.0169492E-002,-8.3649843E-002
-8.0677966E-002, 3.6613695E+008,-8.0677966E-002, 5.4037205E-005,-8.0677966E-002, 6.2399822E-005,-8.0677966E-002, 6.5603648E-005,-8.0677966E-002,-2.2042697E+000,-8.0677966E-002,-2.5904075E+000,-8.0677966E-002,-9.7065702E-002,-8.0677966E-002, 5.1611912E+008,-8.0677966E-002, 4.3919400E-005,-8.0677966E-002, 6.1759144E-005,-8.0677966E-002, 6.8860851E-005,-8.0677966E-002,-3.0171446E+000,-8.0677966E-002,-2.6401826E+000,-8.0677966E-002,-1.0398743E-001
-7.1186441E-002, 5.3510080E+008,-7.1186441E-002, 4.7832810E-005,-7.1186441E-002, 5.7747759E-005,-7.1186441E-002, 6.1586946E-005,-7.1186441E-002,-2.9657347E+000,-7.1186441E-002,-3.1958159E+000,-7.1186441E-002,-1.3022953E-001,-7.1186441E-002, 5.7782108E+008,-7.1186441E-002, 4.1221900E-005,-7.1186441E-002, 5.8674990E-005,-7.1186441E-002, 6.6098789E-005,-7.1186441E-002,-3.6825938E+000,-7.1186441E-002,-3.1918311E+000,-7.1186441E-002,-1.1901664E-001
-6.1694915E-002, 7.0613351E+008,-6.1694915E-002, 4.1540304E-005,-6.1694915E-002, 5.2091482E-005,-6.1694915E-002, 5.6906735E-005,-6.1694915E-002,-3.9370561E+000,-6.1694915E-002,-4.1478308E+000,-6.1694915E-002,-1.5518236E-001,-6.1694915E-002, 6.3088557E+008,-6.1694915E-002, 3.8373569E-005,-6.1694915E-002, 5.3503093E-005,-6.1694915E-002, 6.0772290E-005,-6.1694915E-002,-4.5196643E+000,-6.1694915E-002,-4.0372001E+000,-6.1694915E-002,-1.2413512E-001
-5.2203390E-002, 8.4917067E+008,-5.2203390E-002, 3.7489814E-005,-5.2203390E-002, 4.7518212E-005,-5.2203390E-002, 5.2749791E-005,-5.2203390E-002,-5.0827079E+000,-5.2203390E-002,-5.2656577E+000,-5.2203390E-002,-1.7497870E-001,-5.2203390E-002, 7.3697017E+008,-5.2203390E-002, 3.6431743E-005,-5.2203390E-002, 4.9737431E-005,-5.2203390E-002, 5.6503971E-005,-5.2203390E-002,-5.3740408E+000,-5.2203390E-002,-4.9272211E+000,-5.2203390E-002,-1.4590399E-001
-4.2711864E-002, 9.4754094E+008,-4.2711864E-002, 3.4274738E-005,-4.2711864E-002, 4.3820309E-005,-4.2711864E-002, 4.9255305E-005,-4.2711864E-002,-6.3759033E+000,-4.2711864E-002,-6.5383388E+000,-4.2711864E-002,-1.9024103E-001,-4.2711864E-002, 8.0845715E+008,-4.2711864E-002, 3.4574760E-005,-4.2711864E-002, 4.6723331E-005,-4.2711864E-002, 5.3340820E-005,-4.2711864E-002,-6.1624422E+000,-4.2711864E-002,-5.7722354E+000,-4.2711864E-002,-1.5945111E-001
-3.3220339E-002, 9.9129489E+008,-3.3220339E-002, 3.1646241E-005,-3.3220339E-002, 4.0506643E-005,-3.3220339E-002, 4.6158514E-005,-3.3220339E-002,-7.5602599E+000,-3.3220339E-002,-7.8029744E+000,-3.3220339E-002,-1.8408741E-001,-3.3220339E-002, 8.8991591E+008,-3.3220339E-002, 3.3140403E-005,-3.3220339E-002, 4.4109597E-005,-3.3220339E-002, 5.0225232E-005,-3.3220339E-002,-6.8538765E+000,-3.3220339E-002,-6.4911940E+000,-3.3220339E-002,-1.7205308E-001
-2.3728814E-002, 9.8717767E+008,-2.3728814E-002, 2.9858238E-005,-2.3728814E-002, 3.7626880E-005,-2.3728814E-002, 4.2974785E-005,-2.3728814E-002,-8.5224346E+000,-2.3728814E-002,-8.7489961E+000,-2.3728814E-002,-1.6912623E-001,-2.3728814E-002, 9.3647972E+008,-2.3728814E-002, 3.1905301E-005,-2.3728814E-002, 4.1984719E-005,-2.3728814E-002, 4.7697729E-005,-2.3728814E-002,-7.4271328E+000,-2.3728814E-002,-7.0990832E+000,-2.3728814E-002,-1.6975453E-001
-1.4237288E-002, 9.7698085E+008,-1.4237288E-002, 2.8308767E-005,-1.4237288E-002, 3.5061999E-005,-1.4237288E-002, 4.0116222E-005,-1.4237288E-002,-9.1223411E+000,-1.4237288E-002,-9.3755453E+000,-1.4237288E-002,-1.4401834E-001,-1.4237288E-002, 9.6219346E+008,-1.4237288E-002, 3.0922605E-005,-1.4237288E-002, 4.0054716E-005,-1.4237288E-002, 4.5425452E-005,-1.4237288E-002,-7.8755807E+000,-1.4237288E-002,-7.6208552E+000,-1.4237288E-002,-1.6627495E-001
-4.7457627E-003, 9.7749099E+008,-4.7457627E-003, 2.7483173E-005,-4.7457627E-003, 3.3607735E-005,-4.7457627E-003, 3.8479002E-005,-4.7457627E-003,-9.3351263E+000,-4.7457627E-003,-9.6203205E+000,-4.7457627E-003,-1.3677853E-001,-4.7457627E-003, 1.0016439E+009,-4.7457627E-003, 3.0848617E-005,-4.7457627E-003, 3.9380185E-005,-4.7457627E-003, 4.4501009E-005,-4.7457627E-003,-8.0916766E+000,-4.7457627E-003,-7.8640805E+000,-4.7457627E-003,-1.7472136E-001
 4.7457627E-003, 1.0047647E+009, 4.7457627E-003, 2.7383071E-005, 4.7457627E-003, 3.3382300E-005, 4.7457627E-003, 3.8071116E-005, 4.7457627E-003,-9.3139816E+000, 4.7457627E-003,-9.5671331E+000, 4.7457627E-003,-1.3773112E-001, 4.7457627E-003, 1.0033786E+009, 4.7457627E-003, 3.0763889E-005, 4.7457627E-003, 3.9252140E-005, 4.7457627E-003, 4.4272588E-005, 4.7457627E-003,-8.0823260E+000, 4.7457627E-003,-7.8959297E+000, 4.7457627E-003,-1.7514255E-001
 1.4237288E-002, 1.0334426E+009, 1.4237288E-002, 2.8181515E-005, 1.4237288E-002, 3.4977808E-005, 1.4237288E-002, 4.0049240E-005, 1.4237288E-002,-9.1527554E+000, 1.4237288E-002,-9.4327335E+000, 1.4237288E-002,-1.5612057E-001, 1.4237288E-002, 9.7368555E+008, 1.4237288E-002, 3.0861561E-005, 1.4237288E-002, 3.9965521E-005, 1.4237288E-002, 4.5398911E-005, 1.4237288E-002,-7.9080288E+000, 1.4237288E-002,-7.6746762E+000, 1.4237288E-002,-1.6842521E-001
 2.3728814E-002, 1.0237595E+009, 2.3728814E-002, 2.9440100E-005, 2.3728814E-002, 3.7068988E-005, 2.3728814E-002, 4.2456294E-005, 2.3728814E-002,-8.6190804E+000, 2.3728814E-002,-8.9253665E+000, 2.3728814E-002,-1.7046688E-001, 2.3728814E-002, 9.4787605E+008, 2.3728814E-002, 3.1626042E-005, 2.3728814E-002, 4.1615556E-005, 2.3728814E-002, 4.7563004E-005, 2.3728814E-002,-7.4924036E+000, 2.3728814E-002,-7.1933721E+000, 2.3728814E-002,-1.7057449E-001
 3.3220339E-002, 1.0313943E+009, 3.3220339E-002, 3.1496859E-005, 3.3220339E-002, 3.9964642E-005, 3.3220339E-002, 4.5383065E-005, 3.3220339E-002,-7.5971024E+000, 3.3220339E-002,-7.8169612E+000, 3.3220339E-002,-1.8708837E-001, 3.3220339E-002, 9.0871837E+008, 3.3220339E-002, 3.2916272E-005, 3.3220339E-002, 4.4226664E-005, 3.3220339E-002, 5.0613744E-005, 3.3220339E-002,-6.8563974E+000, 3.3220339E-002,-6.4215673E+000, 3.3220339E-002,-1.7185491E-001
 4.2711864E-002, 9.8499057E+008, 4.2711864E-002, 3.4050384E-005, 4.2711864E-002, 4.3458211E-005, 4.2711864E-002, 4.8810177E-005, 4.2711864E-002,-6.3634236E+000, 4.2711864E-002,-6.5238346E+000, 4.2711864E-002,-1.9470932E-001, 4.2711864E-002, 8.3842264E+008, 4.2711864E-002, 3.4774610E-005, 4.2711864E-002, 4.7432054E-005, 4.2711864E-002, 5.3966824E-005, 4.2711864E-002,-6.0955185E+000, 4.2711864E-002,-5.5283934E+000, 4.2711864E-002,-1.6789156E-001
 5.2203390E-002, 8.5966855E+008, 5.2203390E-002, 3.7691076E-005, 5.2203390E-002, 4.7846730E-005, 5.2203390E-002, 5.2895555E-005, 5.2203390E-002,-5.0619721E+000, 5.2203390E-002,-5.1679459E+000, 5.2203390E-002,-1.7860266E-001, 5.2203390E-002, 7.7601419E+008, 5.2203390E-002, 3.6960973E-005, 5.2203390E-002, 5.0539366E-005, 5.2203390E-002, 5.7124824E-005, 5.2203390E-002,-5.2728197E+000, 5.2203390E-002,-4.7322517E+000, 5.2203390E-002,-1.5898993E-001
 6.1694915E-002, 7.4850011E+008, 6.1694915E-002, 4.1893827E-005, 6.1694915E-002, 5.2166028E-005, 6.1694915E-002, 5.6728192E-005, 6.1694915E-002,-3.9048291E+000, 6.1694915E-002,-4.0369230E+000, 6.1694915E-002,-1.6206722E-001, 6.1694915E-002, 6.7999022E+008, 6.1694915E-002, 3.8822900E-005, 6.1694915E-002, 5.4175323E-005, 6.1694915E-002, 6.1271133E-005, 6.1694915E-002,-4.3760562E+000, 6.1694915E-002,-3.8980904E+000, 6.1694915E-002,-1.3686227E-001
 7.1186441E-002, 5.6217160E+008, 7.1186441E-002, 4.7282555E-005, 7.1186441E-002, 5.7383854E-005, 7.1186441E-002, 6.1322949E-005, 7.1186441E-002,-2.9562313E+000, 7.1186441E-002,-3.1430009E+000, 7.1186441E-002,-1.3049795E-001, 7.1186441E-002, 5.8573029E+008, 7.1186441E-002, 4.1589919E-005, 7.1186441E-002, 5.9036835E-005, 7.1186441E-002, 6.6179956E-005, 7.1186441E-002,-3.5136939E+000, 7.1186441E-002,-3.0781315E+000, 7.1186441E-002,-1.1715447E-001
 8.0677966E-002, 3.2343006E+008, 8.0677966E-002, 5.5088426E-005, 8.0677966E-002, 6.3857276E-005, 8.0677966E-002, 6.7062264E-005, 8.0677966E-002,-2.2476290E+000, 8.0677966E-002,-2.6072950E+000, 8.0677966E-002,-9.1821124E-002, 8.0677966E-002, 4.8890215E+008, 8.0677966E-002, 4.5081010E-005, 8.0677966E-002, 6.3344754E-005, 8.0677966E-002, 7.0310678E-005, 8.0677966E-002,-2.8494129E+000, 8.0677966E-002,-2.4466859E+000, 8.0677966E-002,-1.0217318E-001
 9.0169492E-002, 2.0678773E+008, 9.0169492E-002, 6.2475603E-005, 9.0169492E-002, 6.9411362E-005, 9.0169492E-002, 7.1902503E-005, 9.0169492E-002,-1.7240020E+000, 9.0169492E-002,-2.1916223E+000, 9.0169492E-002,-6.8920268E-002, 9.0169492E-002, 3.9886642E+008, 9.0169492E-002, 4.7437635E-005, 9.0169492E-002, 6.6688965E-005, 9.0169492E-002, 7.3814694E-005, 9.0169492E-002,-2.3387280E+000, 9.0169492E-002,-1.9691403E+000, 9.0169492E-002,-7.5704548E-002
 9.9661017E-002, 1.4433761E+008, 9.9661017E-002, 6.7998439E-005, 9.9661017E-002, 7.3704785E-005, 9.9661017E-002, 7.5867252E-005, 9.9661017E-002,-1.3969576E+000, 9.9661017E-002,-1.9769053E+000, 9.9661017E-002,-5.3732279E-002, 9.9661017E-002, 2.9756990E+008, 9.9661017E-002, 5.0744138E-005, 9.9661017E-002, 7.2458561E-005, 9.9661017E-002, 7.9521508E-005, 9.9661017E-002,-1.8899555E+000, 9.9661017E-002,-1.5551973E+000, 9.9661017E-002,-5.6926436E-002
 1.0915254E-001, 1.0171886E+008, 1.0915254E-001, 7.3898512E-005, 1.0915254E-001, 7.7724370E-005, 1.0915254E-001, 7.9386950E-005, 1.0915254E-001,-1.2034189E+000, 1.0915254E-001,-1.8099115E+000, 1.0915254E-001,-4.2699775E-002, 1.0915254E-001, 2.1927558E+008, 1.0915254E-001, 5.4891191E-005, 1.0915254E-001, 7.8491533E-005, 1.0915254E-001, 8.4995333E-005, 1.0915254E-001,-1.3658460E+000, 1.0915254E-001,-1.1792341E+000, 1.0915254E-001,-4.1001462E-002
 1.1864407E-001, 6.4838496E+007, 1.1864407E-001, 8.0100957E-005, 1.1864407E-001, 8.1780797E-005, 1.1864407E-001, 8.3085406E-005, 1.1864407E-001,-1.1384081E+000, 1.1864407E-001,-1.8431377E+000, 1.1864407E-001,-3.1501753E-002, 1.1864407E-001, 1.7565338E+008, 1.1864407E-001, 5.7546428E-005, 1.1864407E-001, 8.1689073E-005, 1.1864407E-001, 8.8285814E-005, 1.1864407E-001,-1.1392288E+000, 1.1864407E-001,-9.9604323E-001, 1.1864407E-001,-3.2128414E-002
 1.2813559E-001, 4.8494390E+007, 1.2813559E-001, 7.7238083E-005, 1.2813559E-001, 8.4982386E-005, 1.2813559E-001, 8.6453041E-005, 1.2813559E-001,-9.4987377E-001, 1.2813559E-001,-1.8954561E+000, 1.2813559E-001,-2.6448693E-002, 1.2813559E-001, 1.2276241E+008, 1.2813559E-001, 6.0886683E-005, 1.2813559E-001, 8.6627319E-005, 1.2813559E-001, 9.2595608E-005, 1.2813559E-001,-9.5722018E-001, 1.2813559E-001,-9.2293108E-001, 1.2813559E-001,-2.3896798E-002
 1.3762712E-001, 3.9358069E+007, 1.3762712E-001, 7.3634236E-005, 1.3762712E-001, 8.7412597E-005, 1.3762712E-001, 8.8937908E-005, 1.3762712E-001,-8.6438966E-001, 1.3762712E-001,-1.8380631E+000, 1.3762712E-001,-2.1959394E-002, 1.3762712E-001, 7.2203194E+007, 1.3762712E-001, 6.6287410E-005, 1.3762712E-001, 9.3262939E-005, 1.3762712E-001, 9.8035678E-005, 1.3762712E-001,-7.8921889E-001, 1.3762712E-001,-8.8618935E-001, 1.3762712E-001,-1.7044770E-002
 1.4711864E-001, 3.7531364E+007, 1.4711864E-001, 6.9544215E-005, 1.4711864E-001, 8.7089417E-005, 1.4711864E-001, 8.9778637E-005, 1.4711864E-001,-7.0466449E-001, 1.4711864E-001,-1.6425887E+000, 1.4711864E-001,-1.6373366E-002, 1.4711864E-001, 4.8631287E+007, 1.4711864E-001, 7.2810135E-005, 1.4711864E-001, 9.7267367E-005, 1.4711864E-001, 1.0097114E-004, 1.4711864E-001,-5.4333034E-001, 1.4711864E-001,-7.9273013E-001, 1.4711864E-001,-1.2896708E-002
 1.5661017E-001, 3.7899985E+007, 1.5661017E-001, 6.8754132E-005, 1.5661017E-001, 8.6998172E-005, 1.5661017E-001, 8.9573329E-005, 1.5661017E-001,-5.6609523E-001, 1.5661017E-001,-1.3282431E+000, 1.5661017E-001,-1.2402299E-002, 1.5661017E-001, 2.5564861E+007, 1.5661017E-001, 9.1280459E-005, 1.5661017E-001, 1.0317863E-004, 1.5661017E-001, 1.0542936E-004, 1.5661017E-001,-4.9854020E-001, 1.5661017E-001,-7.8437608E-001, 1.5661017E-001,-9.6100817E-003
 1.6610169E-001, 2.3967797E+007, 1.6610169E-001, 7.3003573E-005, 1.6610169E-001, 8.8619147E-005, 1.6610169E-001, 9.0898666E-005, 1.6610169E-001,-6.5752848E-001, 1.6610169E-001,-1.3294430E+000, 1.6610169E-001,-8.4574619E-003, 1.6610169E-001, 1.7498694E+007, 1.6610169E-001, 1.0383262E-004, 1.6610169E-001, 1.0740537E-004, 1.6610169E-001, 1.0890052E-004, 1.6610169E-001,-4.7289398E-001, 1.6610169E-001,-7.9443956E-001, 1.6610169E-001,-9.0759362E-003
 1.7559322E-001, 1.4882530E+007, 1.7559322E-001, 9.0630329E-005, 1.7559322E-001, 9.1787227E-005, 1.7559322E-001, 9.2698183E-005, 1.7559322E-001,-7.4141698E-001, 1.7559322E-001,-1.1938605E+000, 1.7559322E-001,-6.7039052E-003, 1.7559322E-001, 1.3065451E+007, 1.7559322E-001, 1.0621723E-004, 1.7559322E-001, 1.0995096E-004, 1.7559322E-001, 1.1145236E-004, 1.7559322E-001,-4.1719603E-001, 1.7559322E-001,-7.8116333E-001, 1.7559322E-001,-6.7771873E-003
