m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,
n_40-x,n_40,d10_40-x,d10_40,d32_40-x,d32_40,d43_40-x,d43_40,w00_40-x,w00_40,w33_40-x,w33_40,f_40-x,f_40,n_60-x,n_60,d10_60-x,d10_60,d32_60-x,d32_60,d43_60-x,d43_60,w00_60-x,w00_60,w33_60-x,w33_60,f_60-x,f_60
-9.0169492E-002, 2.8888981E+011,-9.0169492E-002, 1.1518836E-001,-9.0169492E-002, 1.1519245E-001,-9.0169492E-002, 1.1519442E-001,-9.0169492E-002,-1.5501341E+000,-9.0169492E-002,-2.0245544E+000,-9.0169492E-002,-1.0706477E+002,-9.0169492E-002, 4.4254691E+011,-9.0169492E-002, 1.0229950E-001,-9.0169492E-002, 1.0231437E-001,-9.0169492E-002, 1.0231940E-001,-9.0169492E-002,-1.9876556E+000,-9.0169492E-002,-1.6346062E+000,-9.0169492E-002,-1.1141211E+002
-8.0677966E-002, 4.6252574E+011,-8.0677966E-002, 1.0070405E-001,-8.0677966E-002, 1.0070993E-001,-8.0677966E-002, 1.0071247E-001,-8.0677966E-002,-2.0547224E+000,-8.0677966E-002,-2.3870094E+000,-8.0677966E-002,-1.4495478E+002,-8.0677966E-002, 5.4742649E+011,-8.0677966E-002, 1.1972627E-001,-8.0677966E-002, 1.1974048E-001,-8.0677966E-002, 1.1974554E-001,-8.0677966E-002,-2.4391466E+000,-8.0677966E-002,-2.0831015E+000,-8.0677966E-002,-1.3624869E+002
-7.1186441E-002, 6.1732658E+011,-7.1186441E-002, 1.0481729E-001,-7.1186441E-002, 1.0482376E-001,-7.1186441E-002, 1.0482664E-001,-7.1186441E-002,-2.6826620E+000,-7.1186441E-002,-2.9543885E+000,-7.1186441E-002,-1.8953654E+002,-7.1186441E-002, 6.6975465E+011,-7.1186441E-002, 1.6385549E-001,-7.1186441E-002, 1.6387054E-001,-7.1186441E-002, 1.6387599E-001,-7.1186441E-002,-2.9681696E+000,-7.1186441E-002,-2.4820693E+000,-7.1186441E-002,-1.5649814E+002
-6.1694915E-002, 7.9528059E+011,-6.1694915E-002, 1.2232682E-001,-6.1694915E-002, 1.2233380E-001,-6.1694915E-002, 1.2233715E-001,-6.1694915E-002,-3.6142143E+000,-6.1694915E-002,-3.8020032E+000,-6.1694915E-002,-2.2729467E+002,-6.1694915E-002, 8.8172391E+011,-6.1694915E-002, 1.7692479E-001,-6.1694915E-002, 1.7693936E-001,-6.1694915E-002, 1.7694532E-001,-6.1694915E-002,-3.6939682E+000,-6.1694915E-002,-3.1192265E+000,-6.1694915E-002,-1.7444719E+002
-5.2203390E-002, 1.0410879E+012,-5.2203390E-002, 1.5215204E-001,-5.2203390E-002, 1.5215978E-001,-5.2203390E-002, 1.5216372E-001,-5.2203390E-002,-4.5813657E+000,-5.2203390E-002,-4.7387672E+000,-5.2203390E-002,-2.5246668E+002,-5.2203390E-002, 1.1169353E+012,-5.2203390E-002, 1.9238718E-001,-5.2203390E-002, 1.9240095E-001,-5.2203390E-002, 1.9240694E-001,-5.2203390E-002,-4.3969511E+000,-5.2203390E-002,-3.7444373E+000,-5.2203390E-002,-1.9504439E+002
-4.2711864E-002, 1.5496589E+012,-4.2711864E-002, 1.3359304E-001,-4.2711864E-002, 1.3360205E-001,-4.2711864E-002, 1.3360665E-001,-4.2711864E-002,-6.0132785E+000,-4.2711864E-002,-6.0966405E+000,-4.2711864E-002,-3.0251728E+002,-4.2711864E-002, 1.4502111E+012,-4.2711864E-002, 1.8428495E-001,-4.2711864E-002, 1.8429818E-001,-4.2711864E-002, 1.8430411E-001,-4.2711864E-002,-5.2439441E+000,-4.2711864E-002,-4.5644870E+000,-4.2711864E-002,-2.1659941E+002
-3.3220339E-002, 2.7253761E+012,-3.3220339E-002, 8.4124879E-002,-3.3220339E-002, 8.4134683E-002,-3.3220339E-002, 8.4139982E-002,-3.3220339E-002,-7.6513698E+000,-3.3220339E-002,-7.7352596E+000,-3.3220339E-002,-3.8489669E+002,-3.3220339E-002, 2.2151784E+012,-3.3220339E-002, 1.6620789E-001,-3.3220339E-002, 1.6621989E-001,-3.3220339E-002, 1.6622574E-001,-3.3220339E-002,-6.1521618E+000,-3.3220339E-002,-5.6677241E+000,-3.3220339E-002,-2.8542869E+002
-2.3728814E-002, 4.0312780E+012,-2.3728814E-002, 5.9790009E-002,-2.3728814E-002, 5.9799522E-002,-2.3728814E-002, 5.9805253E-002,-2.3728814E-002,-8.3790250E+000,-2.3728814E-002,-8.5803055E+000,-2.3728814E-002,-4.1125068E+002,-2.3728814E-002, 3.1664714E+012,-2.3728814E-002, 1.1615494E-001,-2.3728814E-002, 1.1616630E-001,-2.3728814E-002, 1.1617234E-001,-2.3728814E-002,-7.0042384E+000,-2.3728814E-002,-6.6409596E+000,-2.3728814E-002,-3.4122721E+002
-1.4237288E-002, 4.9634633E+012,-1.4237288E-002, 3.4622577E-002,-1.4237288E-002, 3.4631448E-002,-1.4237288E-002, 3.4637172E-002,-1.4237288E-002,-8.8474171E+000,-1.4237288E-002,-9.0702918E+000,-1.4237288E-002,-4.0377731E+002,-1.4237288E-002, 3.9095465E+012,-1.4237288E-002, 7.3009893E-002,-1.4237288E-002, 7.3020814E-002,-1.4237288E-002, 7.3026716E-002,-1.4237288E-002,-7.6907042E+000,-1.4237288E-002,-7.4094083E+000,-1.4237288E-002,-3.7322521E+002
-4.7457627E-003, 5.3359997E+012,-4.7457627E-003, 3.1543521E-002,-4.7457627E-003, 3.1551694E-002,-4.7457627E-003, 3.1556952E-002,-4.7457627E-003,-8.9768035E+000,-4.7457627E-003,-9.1576784E+000,-4.7457627E-003,-3.7478324E+002,-4.7457627E-003, 4.2239080E+012,-4.7457627E-003, 5.8373556E-002,-4.7457627E-003, 5.8384193E-002,-4.7457627E-003, 5.8389925E-002,-4.7457627E-003,-7.9324867E+000,-4.7457627E-003,-7.7083890E+000,-4.7457627E-003,-4.0551628E+002
