s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Time,"SPK_1","TC_1_1","TC_1_2","TC_1_3","TC_1_4","TC_1_5","SPK_2","TC_2_1","TC_2_2","TC_2_3","TC_2_4","TC_2_5","SPK_3","TC_3_1","TC_3_2","TC_3_3","TC_3_4","TC_3_5","SPK_4","TC_4_1","TC_4_2","TC_4_3","TC_4_4","TC_4_5","Acts"
 2.000E+02, 6.908E+01, 1.016E+02, 1.041E+02, 1.078E+02, 1.039E+02, 6.334E+01, 6.706E+01, 9.876E+01, 1.047E+02, 1.071E+02, 1.067E+02, 6.667E+01, 7.668E+01, 1.040E+02, 1.122E+02, 1.044E+02, 8.559E+01, 6.693E+01, 7.409E+01, 9.650E+01, 1.064E+02, 1.058E+02, 8.723E+01, 6.046E+01, 0.000E+00
 2.040E+02, 7.044E+01, 9.880E+01, 1.050E+02, 1.090E+02, 1.060E+02, 6.661E+01, 6.882E+01, 1.074E+02, 1.100E+02, 1.118E+02, 1.061E+02, 7.001E+01, 7.831E+01, 9.764E+01, 1.040E+02, 9.955E+01, 8.630E+01, 6.806E+01, 7.570E+01, 1.020E+02, 1.063E+02, 1.038E+02, 9.058E+01, 6.396E+01, 0.000E+00
 2.080E+02, 7.204E+01, 1.032E+02, 1.074E+02, 1.089E+02, 1.044E+02, 6.725E+01, 7.069E+01, 1.094E+02, 1.101E+02, 1.109E+02, 1.108E+02, 6.651E+01, 7.954E+01, 1.016E+02, 1.077E+02, 1.038E+02, 8.694E+01, 6.857E+01, 7.773E+01, 1.090E+02, 1.131E+02, 1.092E+02, 9.885E+01, 6.610E+01, 0.000E+00
 2.120E+02, 7.341E+01, 1.032E+02, 1.079E+02, 1.110E+02, 1.088E+02, 7.149E+01, 7.208E+01, 1.036E+02, 1.075E+02, 1.159E+02, 1.165E+02, 7.018E+01, 8.155E+01, 1.135E+02, 1.198E+02, 1.105E+02, 8.826E+01, 7.246E+01, 7.964E+01, 1.095E+02, 1.142E+02, 1.115E+02, 9.603E+01, 6.687E+01, 0.000E+00
 2.160E+02, 7.481E+01, 1.116E+02, 1.124E+02, 1.161E+02, 1.109E+02, 6.747E+01, 7.345E+01, 1.089E+02, 1.141E+02, 1.165E+02, 1.116E+02, 6.885E+01, 8.357E+01, 1.118E+02, 1.185E+02, 1.123E+02, 9.277E+01, 7.345E+01, 8.159E+01, 1.101E+02, 1.238E+02, 1.186E+02, 9.474E+01, 6.695E+01, 0.000E+00
 2.200E+02, 7.695E+01, 1.188E+02, 1.200E+02, 1.198E+02, 1.148E+02, 7.154E+01, 7.536E+01, 1.132E+02, 1.159E+02, 1.203E+02, 1.180E+02, 7.206E+01, 8.571E+01, 1.148E+02, 1.272E+02, 1.243E+02, 1.020E+02, 7.295E+01, 8.362E+01, 1.139E+02, 1.166E+02, 1.138E+02, 1.007E+02, 6.900E+01, 0.000E+00
 2.240E+02, 7.925E+01, 1.221E+02, 1.232E+02, 1.225E+02, 1.154E+02, 7.233E+01, 7.739E+01, 1.167E+02, 1.219E+02, 1.246E+02, 1.155E+02, 7.235E+01, 8.797E+01, 1.227E+02, 1.285E+02, 1.222E+02, 9.784E+01, 7.401E+01, 8.552E+01, 1.112E+02, 1.209E+02, 1.190E+02, 1.001E+02, 7.226E+01, 0.000E+00
 2.280E+02, 8.126E+01, 1.166E+02, 1.232E+02, 1.274E+02, 1.239E+02, 7.290E+01, 7.969E+01, 1.235E+02, 1.250E+02, 1.259E+02, 1.250E+02, 7.094E+01, 9.047E+01, 1.318E+02, 1.249E+02, 1.091E+02, 9.247E+01, 7.575E+01, 8.738E+01, 1.186E+02, 1.237E+02, 1.187E+02, 9.934E+01, 7.189E+01, 0.000E+00
 2.320E+02, 8.347E+01, 1.277E+02, 1.270E+02, 1.252E+02, 1.231E+02, 7.710E+01, 8.215E+01, 1.290E+02, 1.311E+02, 1.300E+02, 1.221E+02, 7.407E+01, 9.355E+01, 1.361E+02, 1.427E+02, 1.239E+02, 9.421E+01, 7.728E+01, 8.939E+01, 1.245E+02, 1.348E+02, 1.340E+02, 1.069E+02, 7.483E+01, 0.000E+00
 2.360E+02, 8.602E+01, 1.287E+02, 1.310E+02, 1.318E+02, 1.232E+02, 7.846E+01, 8.451E+01, 1.243E+02, 1.278E+02, 1.301E+02, 1.286E+02, 7.742E+01, 9.670E+01, 1.310E+02, 1.370E+02, 1.189E+02, 9.336E+01, 8.063E+01, 9.173E+01, 1.252E+02, 1.285E+02, 1.233E+02, 1.153E+02, 7.573E+01, 0.000E+00
