s,m/s,
Time,Ub,FORCE X
 2.4700386E+000, 6.3095895E+000, 7.9940873E-003
 2.4800717E+000, 6.3058481E+000, 1.3425981E-002
 2.4900397E+000, 6.3297171E+000, 9.6422808E-003
 2.5000619E+000, 6.2825048E+000, 8.1117403E-003
 2.5100780E+000, 6.2965985E+000, 9.2011931E-003
 2.5200212E+000, 6.2836668E+000, 9.4234183E-003
 2.5301228E+000, 6.2648134E+000, 2.8539480E-003
 2.5400690E+000, 6.2442419E+000, 7.1477191E-003
 2.5500685E+000, 6.2866246E+000, 5.4274180E-003
 2.5600334E+000, 6.1866701E+000,-7.4258598E-003
 2.5701058E+000, 6.0627913E+000,-1.7922318E-002
 2.5800261E+000, 6.0229080E+000,-1.6638702E-002
 2.5900543E+000, 6.0051219E+000,-1.8123391E-002
 2.6000715E+000, 6.0806010E+000,-5.2673245E-003
 2.6100016E+000, 6.1506939E+000,-6.3219869E-003
 2.6200930E+000, 6.1330716E+000,-9.2423159E-003
 2.6300495E+000, 6.1162505E+000,-8.3998051E-003
 2.6400483E+000, 6.1014645E+000,-9.4819724E-003
 2.6500158E+000, 6.1441708E+000,-3.0310711E-003
 2.6600422E+000, 6.2022079E+000, 6.3577228E-003
 2.6700451E+000, 6.3205767E+000, 1.3190475E-002
 2.6800807E+000, 6.3625350E+000, 1.7894065E-002
 2.6900731E+000, 6.3363678E+000, 1.2845447E-002
 2.7000414E+000, 6.3007468E+000, 6.1281838E-003
 2.7100556E+000, 6.2706899E+000, 1.2330221E-002
 2.7201155E+000, 6.3735501E+000, 1.9766072E-002
 2.7300539E+000, 6.3749435E+000, 1.6082249E-002
 2.7400700E+000, 6.3268150E+000, 1.0805421E-002
 2.7500380E+000, 6.3688053E+000, 2.1959733E-002
 2.7600831E+000, 6.4281738E+000, 2.1931050E-002
 2.7700848E+000, 6.3870553E+000, 1.3635623E-002
 2.7800337E+000, 6.2826795E+000, 3.6773353E-003
 2.7900837E+000, 6.1711335E+000,-1.0522160E-002
 2.8000047E+000, 6.0681535E+000,-1.1837923E-002
 2.8100307E+000, 6.0640321E+000,-1.4090045E-002
 2.8200898E+000, 6.0701544E+000,-1.1848600E-002
 2.8300804E+000, 6.0725379E+000,-1.3786533E-002
