s,status,status
Time,"Act1","Act2"
 1.8713191E+002,-1,-1
 1.8746873E+002,-1,-1
 1.8780624E+002,-1,-1
 1.8814851E+002,-1,-1
 1.8849077E+002,-1,-1
 1.8882671E+002,-1,-1
 1.8916397E+002,-1,-1
 1.8950890E+002,-1,-1
 1.8984869E+002,-1,-1
 1.9018158E+002,-1,-1
 1.9052370E+002,-1,-1
 1.9086284E+002,-1,-1
 1.9120332E+002,-1,-1
 1.9153989E+002,-1,-1
 1.9187575E+002,-1,-1
 1.9222087E+002,-1,-1
 1.9256065E+002,-1,-1
 1.9289525E+002,-1,-1
 1.9323900E+002,-1,-1
 1.9357253E+002,-1,-1
 1.9391283E+002,-1,-1
 1.9425406E+002,-1,-1
 1.9459029E+002,-1,-1
 1.9493002E+002,-1,-1
 1.9526974E+002,-1,-1
 1.9561015E+002,-1,-1
 1.9594572E+002,-1,-1
 1.9628384E+002,-1,-1
 1.9662671E+002,-1,-1
 1.9696330E+002,-1,-1
 1.9730481E+002,-1,-1
 1.9764270E+002,-1,-1
 1.9797696E+002,-1,-1
 1.9831927E+002,-1,-1
 1.9866078E+002,-1,-1
 1.9900081E+002,-1,-1
 1.9933847E+002,-1,-1
 1.9967952E+002,-1,-1
 2.0001784E+002,-1,-1
 2.0034990E+002,-1,-1
 2.0068907E+002,-1,-1
 2.0103259E+002,-1,-1
 2.0136632E+002,-1,-1
 2.0170764E+002,-1,-1
 2.0204721E+002,-1,-1
 2.0238753E+002,-1,-1
 2.0272243E+002,-1,-1
 2.0306476E+002,-1,-1
 2.0340701E+002,-1,-1
 2.0373965E+002,-1,-1
 2.0408575E+002,-1,-1
 2.0442209E+002,-1,-1
 2.0475841E+002,-1,-1
 2.0510121E+002,-1,-1
 2.0543402E+002,-1,-1
 2.0577751E+002,-1,-1
 2.0611243E+002,-1,-1
 2.0645409E+002,-1,-1
 2.0679575E+002,-1,-1
 2.0713739E+002,-1,-1
 2.0747462E+002,-1,-1
 2.0781082E+002,-1,-1
 2.0814946E+002,-1,-1
 2.0848787E+002,-1,-1
 2.0882857E+002,-1,-1
 2.0917128E+002,-1,-1
 2.0950478E+002,-1,-1
 2.0984286E+002,-1,-1
 2.1018112E+002,-1,-1
 2.1052065E+002,-1,-1
 2.1086221E+002,-1,-1
 2.1120523E+002,-1,-1
 2.1154407E+002,-1,-1
 2.1187900E+002,-1,-1
 2.1221738E+002,-1,-1
 2.1255597E+002,-1,-1
 2.1289522E+002,-1,-1
 2.1323679E+002,-1,-1
 2.1357603E+002,-1,-1
 2.1391528E+002,-1,-1
 2.1425453E+002,-1,-1
 2.1459372E+002,-1,-1
 2.1493135E+002,-1,-1
 2.1527003E+002,-1,-1
 2.1561217E+002,-1,-1
 2.1594734E+002,-1,-1
 2.1628651E+002,-1,-1
 2.1662836E+002,-1,-1
 2.1696544E+002,-1,-1
 2.1730206E+002,-1,-1
 2.1764314E+002,-1,-1
 2.1797786E+002,-1,-1
 2.1832387E+002,-1,-1
 2.1865988E+002,-1,-1
 2.1900160E+002,-1,-1
 2.1933417E+002,-1,-1
 2.1967769E+002,-1,-1
 2.2001103E+002,-1,-1
 2.2035359E+002,-1,-1
 2.2069531E+002,-1,-1
 2.2102922E+002,-1,-1
 2.2137463E+002,-1,-1
 2.2170808E+002,-1,-1
 2.2204561E+002,-1,-1
 2.2238736E+002,-1,-1
 2.2272437E+002,-1,-1
 2.2306696E+002,-1,-1
 2.2340738E+002,-1,-1
 2.2374260E+002,-1,-1
 2.2407961E+002,-1,-1
 2.2442154E+002,-1,-1
 2.2476520E+002,-1,-1
 2.2509813E+002,-1,-1
 2.2544098E+002,-1,-1
 2.2577695E+002,-1,-1
 2.2612027E+002,-1,-1
 2.2645889E+002,-1,-1
 2.2679572E+002,-1,-1
 2.2713544E+002,-1,-1
 2.2747075E+002,-1,-1
 2.2781500E+002,-1,-1
 2.2814899E+002,-1,-1
 2.2849135E+002,-1,-1
 2.2882869E+002,-1,-1
 2.2916716E+002,-1,-1
 2.2950925E+002,-1,-1
 2.2984248E+002,-1,-1
 2.3018184E+002,-1,-1
 2.3052045E+002,-1,-1
 2.3086079E+002,-1,-1
 2.3120358E+002,-1,-1
 2.3153870E+002,-1,-1
 2.3188043E+002,-1,-1
 2.3221523E+002,-1,-1
 2.3255898E+002,-1,-1
 2.3289813E+002,-1,-1
 2.3323871E+002,-1,-1
 2.3357869E+002,-1,-1
 2.3391258E+002,-1,-1
 2.3425421E+002,-1,-1
 2.3459302E+002,-1,-1
 2.3492827E+002,-1,-1
 2.3526883E+002,-1,-1
 2.3560966E+002,-1,-1
 2.3594861E+002,-1,-1
 2.3628366E+002,-1,-1
 2.3662378E+002,-1,-1
 2.3696500E+002,-1,-1
 2.3730582E+002,-1,-1
 2.3764224E+002,-1,-1
 2.3798317E+002,-1,-1
 2.3832153E+002,-1,-1
 2.3866255E+002,-1,-1
 2.3899887E+002,-1,-1
 2.3933817E+002,-1,-1
 2.3967543E+002,-1,-1
 2.4001215E+002,-1,-1
 2.4035298E+002,-1,-1
 2.4069405E+002,-1,-1
 2.4102994E+002,-1,-1
 2.4137204E+002,-1,-1
 2.4171288E+002,-1,-1
 2.4204903E+002,-1,-1
 2.4239030E+002,-1,-1
 2.4272523E+002,-1,-1
 2.4306306E+002,-1,-1
 2.4340739E+002,-1,-1
 2.4374422E+002,-1,-1
 2.4408327E+002,-1,-1
 2.4442186E+002,-1,-1
 2.4476006E+002,-1,-1
 2.4510008E+002,-1,-1
 2.4543777E+002,-1,-1
 2.4577812E+002,-1,-1
 2.4611710E+002,-1,-1
 2.4645523E+002,-1,-1
 2.4679716E+002,-1,-1
 2.4713470E+002,-1,-1
 2.4747359E+002,-1,-1
 2.4781177E+002,-1,-1
 2.4815121E+002,-1,-1
 2.4848895E+002,-1,-1
 2.4882909E+002,-1,-1
 2.4916951E+002,-1,-1
 2.4950992E+002,-1,-1
 2.4984764E+002,-1,-1
 2.5018263E+002,-1,-1
 2.5052698E+002,-1,-1
 2.5086598E+002,-1,-1
 2.5120425E+002,-1,-1
 2.5154324E+002,-1,-1
 2.5188155E+002,-1,-1
 2.5222084E+002,-1,-1
 2.5255539E+002,-1,-1
 2.5289421E+002,-1, 1
 2.5323393E+002,-1, 1
 2.5357399E+002,-1, 1
 2.5391322E+002,-1, 1
 2.5425418E+002,-1, 1
 2.5459267E+002,-1, 1
 2.5493460E+002,-1, 1
 2.5527306E+002,-1, 1
 2.5560973E+002,-1, 1
 2.5594560E+002,-1, 1
 2.5629053E+002,-1, 1
 2.5662820E+002,-1, 1
