cm,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
 5.9000000E+001, 5.3214569E+002, 1.5895717E-001, 2.6861573E-002, 3.4142061E-003, 1.6995097E-003, 4.9177031E-002, 2.6129128E-003, 7.5720018E-001, 3.0796156E-005
 6.1000000E+001, 4.9916985E+002, 1.6311467E-001, 2.4901400E-002, 2.7153159E-003, 1.2727385E-003, 4.5726974E-002, 2.0780479E-003, 7.6012928E-001, 2.4493071E-005
 6.3000000E+001, 4.7813930E+002, 1.6551392E-001, 2.3748963E-002, 2.3363815E-003, 1.0801001E-003, 4.3722241E-002, 1.7880471E-003, 7.6175736E-001, 2.1061459E-005
 6.5000000E+001, 4.5712035E+002, 1.6774874E-001, 2.2646928E-002, 2.0259746E-003, 9.2490580E-004, 4.1844048E-002, 1.5504908E-003, 7.6321297E-001, 1.8263069E-005
 6.7000000E+001, 4.4685673E+002, 1.6887208E-001, 2.2081012E-002, 1.8896287E-003, 8.4790704E-004, 4.0896872E-002, 1.4461444E-003, 7.6392351E-001, 1.7046967E-005
 6.9000000E+001, 4.1749845E+002, 1.7200375E-001, 2.0498818E-002, 1.5212196E-003, 6.1261810E-004, 3.8258487E-002, 1.1641987E-003, 7.6590642E-001, 1.3749292E-005
 7.1000000E+001, 3.9868605E+002, 1.7396299E-001, 1.9515104E-002, 1.2776814E-003, 4.7945619E-004, 3.6607124E-002, 9.7781741E-004, 7.6715085E-001, 1.1550140E-005
 7.3000000E+001, 3.8124774E+002, 1.7580186E-001, 1.8579267E-002, 1.0650203E-003, 3.7886181E-004, 3.5050263E-002, 8.1506653E-004, 7.6828551E-001, 9.6294883E-006
 7.4990000E+001, 3.7202329E+002, 1.7671616E-001, 1.8104027E-002, 9.7375180E-004, 3.3887687E-004, 3.4272152E-002, 7.4521822E-004, 7.6882773E-001, 8.8039248E-006
 7.7000000E+001, 3.4604588E+002, 1.7933815E-001, 1.6739458E-002, 7.1493137E-004, 2.2367938E-004, 3.2040380E-002, 5.4714135E-004, 7.7038005E-001, 6.4597867E-006
 7.9000000E+001, 3.2980299E+002, 1.8094878E-001, 1.5897491E-002, 5.5890774E-004, 1.6897694E-004, 3.0665987E-002, 4.2773551E-004, 7.7131945E-001, 5.0425520E-006
 8.1000000E+001, 3.1393285E+002, 1.8244064E-001, 1.5110025E-002, 4.2468981E-004, 1.2960128E-004, 2.9389281E-002, 3.2501771E-004, 7.7217111E-001, 3.8260640E-006
 8.3000000E+001, 3.0627753E+002, 1.8312061E-001, 1.4747734E-002, 3.6772778E-004, 1.1855829E-004, 2.8805457E-002, 2.8142432E-004, 7.7255015E-001, 3.3100386E-006
 8.5000000E+001, 2.8124770E+002, 1.8521637E-001, 1.3601637E-002, 2.4089645E-004, 8.5420892E-005, 2.6998649E-002, 1.8435953E-004, 7.7366720E-001, 2.1663336E-006
 8.7000000E+001, 2.6731956E+002, 1.8638170E-001, 1.2951662E-002, 1.9147332E-004, 6.6933564E-005, 2.5990885E-002, 1.4653571E-004, 7.7426646E-001, 1.7230211E-006
 8.9000000E+001, 2.6124212E+002, 1.8689619E-001, 1.2660594E-002, 1.7651786E-004, 5.8579066E-005, 2.5544989E-002, 1.3509020E-004, 7.7452404E-001, 1.5896383E-006
 9.1000000E+001, 2.4598842E+002, 1.8817093E-001, 1.1948162E-002, 1.2537038E-004, 3.5732210E-005, 2.4442679E-002, 9.5946720E-005, 7.7517834E-001, 1.1272532E-006
 9.3000000E+001, 2.4073084E+002, 1.8860758E-001, 1.1703081E-002, 1.0874413E-004, 3.2047564E-005, 2.4064178E-002, 8.3222549E-005, 7.7539868E-001, 9.7616548E-007
 9.5000000E+001, 2.2785026E+002, 1.8973074E-001, 1.1071774E-002, 6.7264767E-005, 2.3639451E-005, 2.3090201E-002, 5.1478138E-005, 7.7596338E-001, 6.0043222E-007
 9.7000000E+001, 2.2013780E+002, 1.9037127E-001, 1.0706148E-002, 5.2774167E-005, 1.9485495E-005, 2.2533275E-002, 4.0388393E-005, 7.7627547E-001, 4.7082093E-007
 9.9000000E+001, 2.1622195E+002, 1.9069639E-001, 1.0519189E-002, 4.7511267E-005, 1.8286395E-005, 2.2250105E-002, 3.6360664E-005, 7.7643108E-001, 4.2360226E-007
