cm,K,K,cm,K,K,K,K,K,K,K,K,K,K
 2.2500000E+001, 1.2144955E+003, 2.2515183E+002, 1.2879310E+001, 9.9647399E+002, 3.7234015E+002, 8.1066021E+002, 3.9138428E+002, 6.8268784E+002, 3.3400745E+002, 5.9207091E+002, 2.5729655E+002, 5.2181879E+002, 1.9449044E+002
 2.4500000E+001, 1.2231064E+003, 2.2500688E+002, 1.4913793E+001, 9.2040438E+002, 3.8346583E+002, 7.3380229E+002, 3.8419769E+002, 6.4243548E+002, 3.2168857E+002, 5.6979884E+002, 2.5144285E+002, 5.0978385E+002, 1.8909899E+002
 2.6500000E+001, 1.2289459E+003, 2.2644526E+002, 1.6948276E+001, 8.3444524E+002, 3.7150094E+002, 6.6902118E+002, 3.7099106E+002, 6.0384519E+002, 3.0506049E+002, 5.4736474E+002, 2.4441712E+002, 4.9798181E+002, 1.8242038E+002
 2.8500000E+001, 1.2330780E+003, 2.2940277E+002, 1.8982759E+001, 7.4880975E+002, 3.6309925E+002, 6.1778723E+002, 3.4966213E+002, 5.6970660E+002, 2.8914519E+002, 5.2815731E+002, 2.3692048E+002, 4.8637033E+002, 1.7783975E+002
 3.0500000E+001, 1.2370217E+003, 2.3286970E+002, 2.1017241E+001, 6.7823216E+002, 3.5090515E+002, 5.7153893E+002, 3.2401033E+002, 5.4017662E+002, 2.7216394E+002, 5.0745419E+002, 2.2527140E+002, 4.7412981E+002, 1.7229826E+002
 3.2500000E+001, 1.2413277E+003, 2.3621488E+002, 2.3051724E+001, 6.1945531E+002, 3.3170238E+002, 5.3218491E+002, 2.9846532E+002, 5.1117834E+002, 2.5264006E+002, 4.8884466E+002, 2.1484982E+002, 4.6091543E+002, 1.6469476E+002
 3.4500000E+001, 1.2447798E+003, 2.3859030E+002, 2.5086207E+001, 5.6836952E+002, 3.0734726E+002, 5.0272605E+002, 2.7869577E+002, 4.8845892E+002, 2.3721962E+002, 4.7224998E+002, 2.0289007E+002, 4.4755695E+002, 1.5775368E+002
 3.6500000E+001, 1.2463522E+003, 2.4137984E+002, 2.7120690E+001, 5.3216964E+002, 2.9377262E+002, 4.7956487E+002, 2.6105909E+002, 4.7014622E+002, 2.2800499E+002, 4.5640138E+002, 1.9097043E+002, 4.3516423E+002, 1.4892874E+002
 3.8500000E+001, 1.2458292E+003, 2.4547179E+002, 2.9155172E+001, 5.0112243E+002, 2.6484009E+002, 4.6220038E+002, 2.4421072E+002, 4.5339290E+002, 2.1705394E+002, 4.4082355E+002, 1.7943942E+002, 4.2460654E+002, 1.4138863E+002
 4.0500000E+001, 1.2444001E+003, 2.5001650E+002, 3.1189655E+001, 4.7625753E+002, 2.4524344E+002, 4.4635911E+002, 2.3072533E+002, 4.3838505E+002, 2.0602161E+002, 4.2297195E+002, 1.6073907E+002, 4.1327691E+002, 1.3260270E+002
 4.2500000E+001, 1.2417434E+003, 2.5525807E+002, 3.3224138E+001, 4.5239214E+002, 2.2997313E+002, 4.2905004E+002, 2.1434159E+002, 4.2337690E+002, 1.9316884E+002, 4.0537814E+002, 1.4278508E+002, 4.0030145E+002, 1.2030842E+002
 4.4500000E+001, 1.2380566E+003, 2.6185659E+002, 3.5258621E+001, 4.3159825E+002, 2.1759466E+002, 4.1075501E+002, 1.9789069E+002, 4.0774311E+002, 1.8038552E+002, 3.9018214E+002, 1.2893718E+002, 3.8901797E+002, 1.0932727E+002
 4.6500000E+001, 1.2336937E+003, 2.6867472E+002, 3.7293103E+001, 4.1029806E+002, 2.0274690E+002, 3.9150473E+002, 1.7552199E+002, 3.9367268E+002, 1.6986541E+002, 3.7756342E+002, 1.1426087E+002, 3.7758641E+002, 9.9768179E+001
 4.8500000E+001, 1.2283152E+003, 2.7496815E+002, 3.9327586E+001, 3.9142793E+002, 1.8514645E+002, 3.7198592E+002, 1.5100954E+002, 3.7934810E+002, 1.5642270E+002, 3.6524946E+002, 1.0187445E+002, 3.6768078E+002, 9.2260023E+001
 5.0500000E+001, 1.2210327E+003, 2.8059940E+002, 4.1362069E+001, 3.7114808E+002, 1.5400234E+002, 3.5566256E+002, 1.3061025E+002, 3.6622618E+002, 1.4293490E+002, 3.5461739E+002, 9.1896615E+001, 3.5835328E+002, 8.4755550E+001
 5.2500000E+001, 1.2119061E+003, 2.8674807E+002, 4.3396552E+001, 3.5285323E+002, 1.2267700E+002, 3.4109639E+002, 1.1026436E+002, 3.5296024E+002, 1.2428923E+002, 3.4549071E+002, 8.5107221E+001, 3.5072319E+002, 8.1114981E+001
 5.4500000E+001, 1.2014061E+003, 2.9341693E+002, 4.5431034E+001, 3.3580128E+002, 9.5499313E+001, 3.2860538E+002, 9.2376357E+001, 3.4053533E+002, 1.0599505E+002, 3.3797646E+002, 7.8844447E+001, 3.4345995E+002, 7.4998392E+001
 5.6500000E+001, 1.1903604E+003, 3.0009264E+002, 4.7465517E+001, 3.2059489E+002, 6.8664831E+001, 3.1979667E+002, 7.6399921E+001, 3.2963533E+002, 9.0249582E+001, 3.3217657E+002, 7.4425291E+001, 3.3614272E+002, 6.5878631E+001
 5.8500000E+001, 1.1780825E+003, 3.0660564E+002, 4.9500000E+001, 3.1151194E+002, 5.1243880E+001, 3.1323952E+002, 5.8254725E+001, 3.2152736E+002, 8.0450374E+001, 3.2648675E+002, 6.8751275E+001, 3.2982301E+002, 5.9475627E+001
 6.0500000E+001, 1.1664088E+003, 3.1290246E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.2500000E+001, 1.1543812E+003, 3.1912904E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.4500000E+001, 1.1418634E+003, 3.2543538E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.6500000E+001, 1.1288618E+003, 3.3180601E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.8500000E+001, 1.1159194E+003, 3.3784766E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.0500000E+001, 1.1033836E+003, 3.4265268E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.2500000E+001, 1.0911362E+003, 3.4663710E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.4500000E+001, 1.0791932E+003, 3.4954475E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.6500000E+001, 1.0676755E+003, 3.5208379E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.8500000E+001, 1.0560057E+003, 3.5355973E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 8.0500000E+001, 1.0446163E+003, 3.5463617E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 8.2500000E+001, 1.0327989E+003, 3.5507984E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 8.4500000E+001, 1.0209520E+003, 3.5568735E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 8.6500000E+001, 1.0089451E+003, 3.5629575E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 8.8500000E+001, 9.9686518E+002, 3.5694420E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 9.0500000E+001, 9.8405863E+002, 3.5749435E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 9.2500000E+001, 9.7040727E+002, 3.5766926E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 9.4500000E+001, 9.5633003E+002, 3.5717644E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 9.6500000E+001, 9.4199562E+002, 3.5637192E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 9.8500000E+001, 9.2796320E+002, 3.5545407E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.0050000E+002, 9.1402321E+002, 3.5410114E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.0250000E+002, 9.0012142E+002, 3.5223682E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.0450000E+002, 8.8619592E+002, 3.4935219E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.0650000E+002, 8.7301895E+002, 3.4660174E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.0850000E+002, 8.5963089E+002, 3.4291694E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.1050000E+002, 8.4647338E+002, 3.3932552E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.1250000E+002, 8.3248171E+002, 3.3472144E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.1450000E+002, 8.1909219E+002, 3.3093246E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.1650000E+002, 8.0528768E+002, 3.2607163E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.1850000E+002, 7.9238936E+002, 3.2147967E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.2050000E+002, 7.7915445E+002, 3.1594632E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.2250000E+002, 7.6641398E+002, 3.1046728E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.2450000E+002, 7.5391615E+002, 3.0510965E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.2650000E+002, 7.4193239E+002, 3.0005667E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.2850000E+002, 7.3015292E+002, 2.9484514E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.3050000E+002, 7.1895313E+002, 2.9014710E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.3250000E+002, 7.0846628E+002, 2.8573152E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.3450000E+002, 6.9864767E+002, 2.8157585E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.3650000E+002, 6.8974281E+002, 2.7745472E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.3850000E+002, 6.8063840E+002, 2.7200811E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.4050000E+002, 6.7251668E+002, 2.6687166E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.4250000E+002, 6.6429958E+002, 2.6160048E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.4450000E+002, 6.5665450E+002, 2.5682198E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.4650000E+002, 6.4911503E+002, 2.5162469E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.4850000E+002, 6.4224635E+002, 2.4701721E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.5050000E+002, 6.3514060E+002, 2.4201511E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.5250000E+002, 6.2839370E+002, 2.3765828E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.5450000E+002, 6.2152789E+002, 2.3314294E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.5650000E+002, 6.1529550E+002, 2.2910482E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.5850000E+002, 6.0905491E+002, 2.2448484E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.6050000E+002, 6.0333940E+002, 2.2021154E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.6250000E+002, 5.9753045E+002, 2.1557680E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.6450000E+002, 5.9204484E+002, 2.1144307E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.6650000E+002, 5.8634628E+002, 2.0686745E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.6850000E+002, 5.8097490E+002, 2.0262702E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.7050000E+002, 5.7535838E+002, 1.9799985E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.7250000E+002, 5.6988963E+002, 1.9341177E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.7450000E+002, 5.6429212E+002, 1.8872307E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.7650000E+002, 5.5902600E+002, 1.8448985E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.7850000E+002, 5.5385689E+002, 1.8009911E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.8050000E+002, 5.4933090E+002, 1.7642825E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.8250000E+002, 5.4488023E+002, 1.7276721E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.8450000E+002, 5.4078866E+002, 1.6963832E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.8650000E+002, 5.3673314E+002, 1.6619123E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.8850000E+002, 5.3294321E+002, 1.6319369E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.9050000E+002, 5.2919327E+002, 1.5995467E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.9250000E+002, 5.2547657E+002, 1.5727080E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.9450000E+002, 5.2156186E+002, 1.5437810E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.9650000E+002, 5.1774104E+002, 1.5156226E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.9850000E+002, 5.1404462E+002, 1.4859682E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.0050000E+002, 5.1051764E+002, 1.4580394E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.0250000E+002, 5.0735819E+002, 1.4299680E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.0450000E+002, 5.0449075E+002, 1.4079193E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.0650000E+002, 5.0176366E+002, 1.3825181E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.0850000E+002, 4.9939863E+002, 1.3625862E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.1050000E+002, 4.9707189E+002, 1.3392839E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
