cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,cm,kW/m2,kW/m2,cm,kW/m2,cm,kW/m2
 4.9000000E+001, 7.2210136E+002, 1.6796171E-001, 2.2686284E-002, 3.9731770E-004, 6.6771507E-005, 4.8284004E-002, 3.9731770E-004, 7.6020660E-001, 0.0000000E+000,NaN,NaN,NaN, 6.1016949E+001, 2.4284892E-001,NaN,NaN
 5.1000000E+001, 6.7285335E+002, 1.7328614E-001, 1.9867288E-002, 1.9917276E-004, 3.3285586E-005, 4.2460262E-002, 1.9917276E-004, 7.6395468E-001, 0.0000000E+000,NaN,NaN,NaN, 6.3559322E+001, 2.3353266E-001,NaN,NaN
 5.3000000E+001, 6.5028982E+002, 1.7563412E-001, 1.8606786E-002, 1.4156975E-004, 2.3456745E-005, 3.9886981E-002, 1.4156975E-004, 7.6556552E-001, 0.0000000E+000,NaN,NaN,NaN, 6.6101695E+001, 2.2450304E-001,NaN,NaN
 5.5000000E+001, 6.3029200E+002, 1.7767769E-001, 1.7503791E-002, 1.0154537E-004, 1.6735342E-005, 3.7645556E-002, 1.0154537E-004, 7.6695314E-001, 0.0000000E+000,NaN,NaN,NaN, 6.8644068E+001, 2.1576300E-001,NaN,NaN
 5.7000000E+001, 6.3029200E+002, 1.7767769E-001, 1.7503791E-002, 1.0154537E-004, 1.6735342E-005, 3.7645556E-002, 1.0154537E-004, 7.6695314E-001, 0.0000000E+000,NaN,NaN,NaN, 7.1186441E+001, 1.9912670E-001,NaN,NaN
 5.9000000E+001, 6.1082158E+002, 1.7961322E-001, 1.6453384E-002, 7.3499552E-005, 1.1741823E-005, 3.5520997E-002, 7.3499552E-005, 7.6825366E-001, 0.0000000E+000,NaN,NaN,NaN, 7.3728814E+001, 1.9121821E-001,NaN,NaN
 6.1000000E+001, 5.7690039E+002, 1.8289300E-001, 1.4666007E-002, 3.8626559E-005, 5.9588979E-006, 3.1918599E-002, 3.8626559E-005, 7.7043919E-001, 0.0000000E+000,NaN,NaN,NaN, 7.6271186E+001, 1.8320867E-001,NaN,NaN
 6.3000000E+001, 5.6263528E+002, 1.8424563E-001, 1.3926856E-002, 2.7638399E-005, 4.3543805E-006, 3.0432274E-002, 2.7638399E-005, 7.7133561E-001, 0.0000000E+000,NaN,NaN,NaN, 7.8813559E+001, 1.7583351E-001,NaN,NaN
 6.5000000E+001, 5.4838787E+002, 1.8557976E-001, 1.3195752E-002, 2.0394086E-005, 3.1112486E-006, 2.8965729E-002, 2.0394086E-005, 7.7221486E-001, 0.0000000E+000,NaN,NaN,NaN, 8.1355932E+001, 1.6181473E-001,NaN,NaN
 6.7000000E+001, 5.4838787E+002, 1.8557976E-001, 1.3195752E-002, 2.0394086E-005, 3.1112486E-006, 2.8965729E-002, 2.0394086E-005, 7.7221486E-001, 0.0000000E+000,NaN,NaN,NaN, 8.3898305E+001, 1.5515840E-001,NaN,NaN
 6.9000000E+001, 5.2263545E+002, 1.8801244E-001, 1.1860527E-002, 1.0772137E-005, 1.6442419E-006, 2.6290943E-002, 1.0772137E-005, 7.7381290E-001, 0.0000000E+000,NaN,NaN,NaN, 8.6440678E+001, 1.4873491E-001,NaN,NaN
 7.1000000E+001, 5.1137685E+002, 1.8907487E-001, 1.1276776E-002, 7.6203956E-006, 1.2079616E-006, 2.5122591E-002, 7.6203956E-006, 7.7450932E-001, 0.0000000E+000,NaN,NaN,NaN, 8.8983051E+001, 1.4254184E-001,NaN,NaN
 7.3000000E+001, 5.0078052E+002, 1.9005392E-001, 1.0738397E-002, 5.4755325E-006, 8.6404054E-007, 2.4045807E-002, 5.4755325E-006, 7.7515006E-001, 0.0000000E+000,NaN,NaN,NaN, 9.1525424E+001, 1.3083681E-001,NaN,NaN
 7.4980000E+001, 5.0078052E+002, 1.9005392E-001, 1.0738397E-002, 5.4755325E-006, 8.6404054E-007, 2.4045807E-002, 5.4755325E-006, 7.7515006E-001, 0.0000000E+000,NaN,NaN,NaN, 9.4067797E+001, 1.2532154E-001,NaN,NaN
 7.7000000E+001, 4.8297867E+002, 1.9165911E-001, 9.8552362E-003, 2.7681251E-006, 4.5615018E-007, 2.2280249E-002, 2.7681251E-006, 7.7619941E-001, 0.0000000E+000,NaN,NaN,NaN, 9.6610169E+001, 1.2002549E-001,NaN,NaN
 7.9000000E+001, 4.7497045E+002, 1.9236983E-001, 9.4639635E-003, 1.9818921E-006, 3.3536041E-007, 2.1498452E-002, 1.9818921E-006, 7.7666345E-001, 0.0000000E+000,NaN,NaN,NaN, 9.9152542E+001, 1.1006509E-001,NaN,NaN
 8.1000000E+001, 4.6704486E+002, 1.9306636E-001, 9.0803611E-003, 1.4602734E-006, 2.4574904E-007, 2.0732228E-002, 1.4602734E-006, 7.7711788E-001, 0.0000000E+000,NaN,NaN,NaN, 1.0169492E+002, 1.0539339E-001,NaN,NaN
 8.3000000E+001, 4.6704486E+002, 1.9306636E-001, 9.0803611E-003, 1.4602734E-006, 2.4574904E-007, 2.0732228E-002, 1.4602734E-006, 7.7711788E-001, 0.0000000E+000,NaN,NaN,NaN, 1.0423729E+002, 1.0092162E-001,NaN,NaN
 8.5000000E+001, 4.5303400E+002, 1.9430542E-001, 8.3978093E-003, 7.9803965E-007, 1.3593004E-007, 1.9369135E-002, 7.9803965E-007, 7.7792590E-001, 0.0000000E+000,NaN,NaN,NaN, 1.0677966E+002, 9.6636518E-002,NaN,NaN
 8.7000000E+001, 4.4670365E+002, 1.9486478E-001, 8.0896279E-003, 5.9667798E-007, 1.0227845E-007, 1.8753776E-002, 5.9667798E-007, 7.7829052E-001, 0.0000000E+000,NaN,NaN,NaN, 1.0932203E+002, 8.8523541E-002,NaN,NaN
 8.9000000E+001, 4.4670365E+002, 1.9486478E-001, 8.0896279E-003, 5.9667798E-007, 1.0227845E-007, 1.8753776E-002, 5.9667798E-007, 7.7829052E-001, 0.0000000E+000,NaN,NaN,NaN, 1.1186441E+002, 8.4683665E-002,NaN,NaN
 9.1000000E+001, 4.3533771E+002, 1.9587075E-001, 7.5353097E-003, 3.4244946E-007, 5.8578002E-008, 1.7647054E-002, 3.4244946E-007, 7.7894614E-001, 0.0000000E+000,NaN,NaN,NaN, 1.1440678E+002, 8.1070255E-002,NaN,NaN
 9.3000000E+001, 4.3533771E+002, 1.9587075E-001, 7.5353097E-003, 3.4244946E-007, 5.8578002E-008, 1.7647054E-002, 3.4244946E-007, 7.7894614E-001, 0.0000000E+000,NaN,NaN,NaN, 1.1694915E+002, 7.7382280E-002,NaN,NaN
 9.5000000E+001, 4.2516612E+002, 1.9677841E-001, 7.0351201E-003, 1.9791561E-007, 3.3845121E-008, 1.6648486E-002, 1.9791561E-007, 7.7953756E-001, 0.0000000E+000,NaN,NaN,NaN, 1.1949153E+002, 7.0095616E-002,NaN,NaN
 9.7000000E+001, 4.2037646E+002, 1.9721114E-001, 6.7966366E-003, 1.5159094E-007, 2.5901355E-008, 1.6172405E-002, 1.5159094E-007, 7.7981949E-001, 0.0000000E+000,NaN,NaN,NaN, 1.2203390E+002, 6.6733321E-002,NaN,NaN
 9.9000000E+001, 4.2037646E+002, 1.9721114E-001, 6.7966366E-003, 1.5159094E-007, 2.5901355E-008, 1.6172405E-002, 1.5159094E-007, 7.7981949E-001, 0.0000000E+000,NaN,NaN,NaN, 1.2457627E+002, 6.3519468E-002,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.2711864E+002, 5.7490986E-002,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.2966102E+002, 5.4663718E-002,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.3220339E+002, 5.1951184E-002,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.3474576E+002, 4.9345697E-002,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.3728814E+002, 4.4428634E-002,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.3983051E+002, 4.2105598E-002,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.4237288E+002, 3.9866550E-002,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.4491525E+002, 3.7707580E-002,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.4745763E+002, 3.3616976E-002,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.5000000E+002, 3.1679985E-002,NaN,NaN
