cm,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
 7.9000000E+001, 4.0320293E+002, 1.7385919E-001, 2.3387291E-002, 3.6040780E-004, 5.3116924E-005, 3.0164510E-002, 1.8968831E-004, 7.7196472E-001, 8.0697919E-006
 8.1000000E+001, 3.8478885E+002, 1.7570617E-001, 2.2186784E-002, 2.7593421E-004, 3.8790178E-005, 2.8926107E-002, 1.4522853E-004, 7.7270485E-001, 6.1719655E-006
 8.3000000E+001, 3.8478885E+002, 1.7570617E-001, 2.2186784E-002, 2.7593421E-004, 3.8790178E-005, 2.8926107E-002, 1.4522853E-004, 7.7270485E-001, 6.1719655E-006
 8.5000000E+001, 3.5254233E+002, 1.7888411E-001, 2.0105458E-002, 1.5484392E-004, 2.0064275E-005, 2.6792055E-002, 8.1496799E-005, 7.7395292E-001, 3.4555095E-006
 8.7000000E+001, 3.3825054E+002, 1.8024731E-001, 1.9206157E-002, 1.1305677E-004, 1.3879290E-005, 2.5875365E-002, 5.9503564E-005, 7.7447811E-001, 2.5195358E-006
 8.9000000E+001, 3.3825054E+002, 1.8024731E-001, 1.9206157E-002, 1.1305677E-004, 1.3879290E-005, 2.5875365E-002, 5.9503564E-005, 7.7447811E-001, 2.5195358E-006
 9.1000000E+001, 3.1073557E+002, 1.8283158E-001, 1.7486981E-002, 5.6129285E-005, 6.8523308E-006, 2.4134696E-002, 2.9541729E-005, 7.7545094E-001, 1.2476102E-006
 9.3000000E+001, 3.1073557E+002, 1.8283158E-001, 1.7486981E-002, 5.6129285E-005, 6.8523308E-006, 2.4134696E-002, 2.9541729E-005, 7.7545094E-001, 1.2476102E-006
 9.5000000E+001, 2.8510831E+002, 1.8522046E-001, 1.5881941E-002, 2.8582852E-005, 3.5537421E-006, 2.2522708E-002, 1.5043606E-005, 7.7632604E-001, 6.3434291E-007
 9.7000000E+001, 2.7335921E+002, 1.8629635E-001, 1.5156257E-002, 2.0632219E-005, 2.6326132E-006, 2.1796190E-002, 1.0859063E-005, 7.7671587E-001, 4.5771352E-007
 9.9000000E+001, 2.7335921E+002, 1.8629635E-001, 1.5156257E-002, 2.0632219E-005, 2.6326132E-006, 2.1796190E-002, 1.0859063E-005, 7.7671587E-001, 4.5771352E-007
