cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,cm,kW/m2,kW/m2,cm,kW/m2,cm,kW/m2
 1.4250000E+001, 1.1778137E+003, 3.6689897E-002, 6.6630173E-002, 3.6889204E-002, 6.7744464E-002, 1.7207788E-001, 3.6889204E-002, 5.8307918E-001, 0.0000000E+000,NaN,NaN,NaN, 1.8750000E+001, 7.5806398E-001, 3.2753869E+001, 6.0711661E-001
 1.4750000E+001, 1.1792529E+003, 3.8759052E-002, 6.6587729E-002, 3.5758913E-002, 6.3760108E-002, 1.7088061E-001, 3.5758913E-002, 5.8849467E-001, 0.0000000E+000,NaN,NaN,NaN, 1.9419643E+001, 7.5349205E-001, 3.3346960E+001, 5.7928080E-001
 1.5250000E+001, 1.1799134E+003, 4.0978347E-002, 6.6452755E-002, 3.4596708E-002, 6.0016335E-002, 1.6946631E-001, 3.4596708E-002, 5.9389283E-001, 0.0000000E+000,NaN,NaN,NaN, 2.0089286E+001, 7.4259718E-001, 3.3940060E+001, 5.6291172E-001
 1.5750000E+001, 1.1795223E+003, 4.3323411E-002, 6.6220227E-002, 3.3433536E-002, 5.6521755E-002, 1.6785567E-001, 3.3433536E-002, 5.9921186E-001, 0.0000000E+000,NaN,NaN,NaN, 2.0758929E+001, 7.3687328E-001, 3.4533170E+001, 5.3788727E-001
 1.6250000E+001, 1.1783898E+003, 4.5779588E-002, 6.5881914E-002, 3.2301579E-002, 5.3260313E-002, 1.6606429E-001, 3.2301579E-002, 6.0441074E-001, 0.0000000E+000,NaN,NaN,NaN, 2.1428571E+001, 7.3131894E-001, 3.5126288E+001, 5.1353722E-001
 1.6750000E+001, 1.1759567E+003, 4.8449705E-002, 6.5389859E-002, 3.1196696E-002, 5.0176778E-002, 1.6399245E-001, 3.1196696E-002, 6.0959782E-001, 0.0000000E+000,NaN,NaN,NaN, 2.2098214E+001, 7.2151680E-001, 3.5719414E+001, 4.9967674E-001
 1.7250000E+001, 1.1731798E+003, 5.1152400E-002, 6.4835872E-002, 3.0132959E-002, 4.7272950E-002, 1.6183740E-001, 3.0132959E-002, 6.1463547E-001, 0.0000000E+000,NaN,NaN,NaN, 2.2767857E+001, 7.1753117E-001, 3.6312548E+001, 4.7845206E-001
 1.7750000E+001, 1.1706228E+003, 5.3822115E-002, 6.4273887E-002, 2.9096767E-002, 4.4461177E-002, 1.5969351E-001, 2.9096767E-002, 6.1955578E-001, 0.0000000E+000,NaN,NaN,NaN, 2.3437500E+001, 7.1423769E-001, 3.6905690E+001, 4.6585663E-001
 1.8250000E+001, 1.1674412E+003, 5.6560912E-002, 6.3655791E-002, 2.8074407E-002, 4.1737974E-002, 1.5745112E-001, 2.8074407E-002, 6.2444539E-001, 0.0000000E+000,NaN,NaN,NaN, 2.4107143E+001, 7.0968109E-001, 3.7498839E+001, 4.4658102E-001
 1.8750000E+001, 1.1634638E+003, 5.9343625E-002, 6.2978813E-002, 2.7099360E-002, 3.9083834E-002, 1.5513803E-001, 2.7099360E-002, 6.2925697E-001, 0.0000000E+000,NaN,NaN,NaN, 2.4776786E+001, 7.0829973E-001, 3.8091994E+001, 4.1754067E-001
 1.9250000E+001, 1.1593177E+003, 6.2120764E-002, 6.2279567E-002, 2.6141901E-002, 3.6563172E-002, 1.5279762E-001, 2.6141901E-002, 6.3395508E-001, 0.0000000E+000,NaN,NaN,NaN, 2.5446429E+001, 7.0738757E-001, 3.8685156E+001, 4.0705588E-001
 1.9750000E+001, 1.1552597E+003, 6.4804193E-002, 6.1613853E-002, 2.5197836E-002, 3.4133932E-002, 1.5053721E-001, 2.5197836E-002, 6.3851514E-001, 0.0000000E+000,NaN,NaN,NaN, 2.6116071E+001, 7.0645124E-001, 3.9278324E+001, 3.9100714E-001
 2.0250000E+001, 1.1515346E+003, 6.7353820E-002, 6.1013154E-002, 2.4235715E-002, 3.1868538E-002, 1.4838821E-001, 2.4235715E-002, 6.4290485E-001, 0.0000000E+000,NaN,NaN,NaN, 2.6785714E+001, 7.0613365E-001, 3.9871497E+001, 3.8140603E-001
 2.0750000E+001, 1.1475239E+003, 6.9917249E-002, 6.0409185E-002, 2.3244898E-002, 2.9705798E-002, 1.4620390E-001, 2.3244898E-002, 6.4727407E-001, 0.0000000E+000,NaN,NaN,NaN, 2.7455357E+001, 7.0571502E-001, 4.0464677E+001, 3.6670500E-001
 2.1250000E+001, 1.1438019E+003, 7.2419570E-002, 5.9818940E-002, 2.2254255E-002, 2.7715006E-002, 1.4404671E-001, 2.2254255E-002, 6.5149126E-001, 0.0000000E+000,NaN,NaN,NaN, 2.8125000E+001, 7.0403016E-001, 4.1057862E+001, 3.5789341E-001
 2.1750000E+001, 1.1396304E+003, 7.4942402E-002, 5.9210017E-002, 2.1259885E-002, 2.5806267E-002, 1.4184833E-001, 2.1259885E-002, 6.5567322E-001, 0.0000000E+000,NaN,NaN,NaN, 2.8794643E+001, 7.0254929E-001, 4.1651051E+001, 3.4439853E-001
 2.2250000E+001, 1.1353726E+003, 7.7430913E-002, 5.8603496E-002, 2.0260999E-002, 2.4062585E-002, 1.3964982E-001, 2.0260999E-002, 6.5973119E-001, 0.0000000E+000,NaN,NaN,NaN, 2.9464286E+001, 7.0055256E-001, 4.2244246E+001, 3.3156719E-001
 2.2750000E+001, 1.1302480E+003, 7.9990227E-002, 5.7935562E-002, 1.9287658E-002, 2.2387936E-002, 1.3735393E-001, 1.9287658E-002, 6.6375703E-001, 0.0000000E+000,NaN,NaN,NaN, 3.0133929E+001, 6.9495323E-001, 4.2837446E+001, 3.2388460E-001
 2.3250000E+001, 1.1244450E+003, 8.2548803E-002, 5.7222102E-002, 1.8360671E-002, 2.0884488E-002, 1.3501276E-001, 1.8360671E-002, 6.6761050E-001, 0.0000000E+000,NaN,NaN,NaN, 3.0803571E+001, 6.9139858E-001, 4.3430650E+001, 3.1207546E-001
 2.3750000E+001, 1.1175238E+003, 8.5150117E-002, 5.6455562E-002, 1.7467551E-002, 1.9471214E-002, 1.3259906E-001, 1.7467551E-002, 6.7138895E-001, 0.0000000E+000,NaN,NaN,NaN, 3.1473214E+001, 6.8740902E-001, 4.4023858E+001, 3.0498656E-001
 2.4250000E+001, 1.1101254E+003, 8.7701611E-002, 5.5660324E-002, 1.6643051E-002, 1.8208876E-002, 1.3019585E-001, 1.6643051E-002, 6.7494724E-001, 0.0000000E+000,NaN,NaN,NaN, 3.2142857E+001, 6.7839873E-001, 4.4617071E+001, 2.9410222E-001
 2.4750000E+001, 1.1021892E+003, 9.0244869E-002, 5.4850711E-002, 1.5839461E-002, 1.7008135E-002, 1.2778456E-001, 1.5839461E-002, 6.7843280E-001, 0.0000000E+000,NaN,NaN,NaN, 3.2812500E+001, 6.7352527E-001, 4.5210287E+001, 2.8373545E-001
 2.5250000E+001, 1.0943664E+003, 9.2717886E-002, 5.4035460E-002, 1.5091766E-002, 1.5918321E-002, 1.2541726E-001, 1.5091766E-002, 6.8172754E-001, 0.0000000E+000,NaN,NaN,NaN, 3.3482143E+001, 6.6850560E-001, 4.5803507E+001, 2.7750228E-001
 2.5750000E+001, 1.0868373E+003, 9.5080424E-002, 5.3260177E-002, 1.4372028E-002, 1.4873079E-002, 1.2315740E-001, 1.4372028E-002, 6.8488487E-001, 0.0000000E+000,NaN,NaN,NaN, 3.4151786E+001, 6.5831465E-001, 4.6396731E+001, 2.6792507E-001
 2.6250000E+001, 1.0793880E+003, 9.7367251E-002, 5.2489134E-002, 1.3705832E-002, 1.3890823E-002, 1.2095903E-001, 1.3705832E-002, 6.8788210E-001, 0.0000000E+000,NaN,NaN,NaN, 3.4821429E+001, 6.5327839E-001, 4.6989959E+001, 2.6214556E-001
 2.6750000E+001, 1.0724129E+003, 9.9553720E-002, 5.1775959E-002, 1.3026177E-002, 1.2952214E-002, 1.1886269E-001, 1.3026177E-002, 6.9080307E-001, 0.0000000E+000,NaN,NaN,NaN, 3.5491071E+001, 6.4319494E-001, 4.7583190E+001, 2.5328294E-001
 2.7250000E+001, 1.0645052E+003, 1.0183095E-001, 5.0987528E-002, 1.2379627E-002, 1.2070326E-002, 1.1664886E-001, 1.2379627E-002, 6.9370308E-001, 0.0000000E+000,NaN,NaN,NaN, 3.6160714E+001, 6.3396450E-001, 4.8176424E+001, 2.4481984E-001
 2.7750000E+001, 1.0565448E+003, 1.0411027E-001, 5.0201580E-002, 1.1714136E-002, 1.1249526E-002, 1.1442102E-001, 1.1714136E-002, 6.9658933E-001, 0.0000000E+000,NaN,NaN,NaN, 3.6830357E+001, 6.2967641E-001, 4.8769662E+001, 2.3969926E-001
 2.8250000E+001, 1.0469322E+003, 1.0656248E-001, 4.9277217E-002, 1.1112675E-002, 1.0489190E-002, 1.1198035E-001, 1.1112675E-002, 6.9946541E-001, 0.0000000E+000,NaN,NaN,NaN, 3.7500000E+001, 6.2561193E-001, 4.9362902E+001, 2.3184415E-001
 2.8750000E+001, 1.0379272E+003, 1.0891080E-001, 4.8388407E-002, 1.0539555E-002, 9.7783935E-003, 1.0963866E-001, 1.0539555E-002, 7.0220463E-001, 0.0000000E+000,NaN,NaN,NaN, 3.8169643E+001, 6.1806752E-001, 4.9956146E+001, 2.2707587E-001
 2.9250000E+001, 1.0279163E+003, 1.1134509E-001, 4.7424585E-002, 1.0010540E-002, 9.0912529E-003, 1.0719101E-001, 1.0010540E-002, 7.0492698E-001, 0.0000000E+000,NaN,NaN,NaN, 3.8839286E+001, 6.1451100E-001, 5.0549392E+001, 2.1977193E-001
 2.9750000E+001, 1.0188708E+003, 1.1362783E-001, 4.6530369E-002, 9.4968577E-003, 8.4497947E-003, 1.0489741E-001, 9.4968577E-003, 7.0750088E-001, 0.0000000E+000,NaN,NaN,NaN, 3.9508929E+001, 6.0758802E-001, 5.1142641E+001, 2.1277410E-001
 3.0250000E+001, 1.0087331E+003, 1.1594208E-001, 4.5592772E-002, 9.0240510E-003, 7.8338635E-003, 1.0255776E-001, 9.0240510E-003, 7.1002543E-001, 0.0000000E+000,NaN,NaN,NaN, 4.0178571E+001, 6.0412591E-001, 5.1735893E+001, 2.0852218E-001
 3.0750000E+001, 9.9986115E+002, 1.1807726E-001, 4.4751267E-002, 8.5458484E-003, 7.2668189E-003, 1.0040442E-001, 8.5458484E-003, 7.1240853E-001, 0.0000000E+000,NaN,NaN,NaN, 4.0848214E+001, 6.0060759E-001, 5.2329147E+001, 2.0199673E-001
 3.1250000E+001, 9.8991936E+002, 1.2019515E-001, 4.3897309E-002, 8.0995247E-003, 6.7343732E-003, 9.8257817E-002, 8.0995247E-003, 7.1471630E-001, 0.0000000E+000,NaN,NaN,NaN, 4.1517857E+001, 5.9327142E-001, 5.2922404E+001, 1.9802308E-001
 3.1750000E+001, 9.8153911E+002, 1.2212165E-001, 4.3151458E-002, 7.6396270E-003, 6.2455709E-003, 9.6313401E-002, 7.6396270E-003, 7.1688866E-001, 0.0000000E+000,NaN,NaN,NaN, 4.2187500E+001, 5.8940417E-001, 5.3515663E+001, 1.9192893E-001
 3.2250000E+001, 9.7148405E+002, 1.2410344E-001, 4.2340309E-002, 7.2342702E-003, 5.7918107E-003, 9.4292740E-002, 7.2342702E-003, 7.1900316E-001, 0.0000000E+000,NaN,NaN,NaN, 4.2857143E+001, 5.8538265E-001, 5.4108925E+001, 1.8607373E-001
 3.2750000E+001, 9.6244307E+002, 1.2603397E-001, 4.1558929E-002, 6.8229032E-003, 5.3543006E-003, 9.2325486E-002, 6.8229032E-003, 7.2108151E-001, 0.0000000E+000,NaN,NaN,NaN, 4.3526786E+001, 5.7685593E-001, 5.4702189E+001, 1.8251179E-001
 3.3250000E+001, 9.5169804E+002, 1.2805183E-001, 4.0699337E-002, 6.4577124E-003, 4.9515545E-003, 9.0247899E-002, 6.4577124E-003, 7.2313395E-001, 0.0000000E+000,NaN,NaN,NaN, 4.4196429E+001, 5.7235697E-001, 5.5295455E+001, 1.7703155E-001
 3.3750000E+001, 9.4185534E+002, 1.3004408E-001, 3.9864739E-002, 6.0681047E-003, 4.5739766E-003, 8.8195878E-002, 6.0681047E-003, 7.2518512E-001, 0.0000000E+000,NaN,NaN,NaN, 4.4866071E+001, 5.6771402E-001, 5.5888723E+001, 1.7369288E-001
 3.4250000E+001, 9.3130556E+002, 1.3197854E-001, 3.9025565E-002, 5.7355177E-003, 4.2331490E-003, 8.6191279E-002, 5.7355177E-003, 7.2710043E-001, 0.0000000E+000,NaN,NaN,NaN, 4.5535714E+001, 5.5805608E-001, 5.6481993E+001, 1.6855786E-001
 3.4750000E+001, 9.2063330E+002, 1.3393207E-001, 3.8188737E-002, 5.3748429E-003, 3.9182805E-003, 8.4163388E-002, 5.3748429E-003, 7.2904784E-001, 0.0000000E+000,NaN,NaN,NaN, 4.6205357E+001, 5.5307638E-001, 5.7075265E+001, 1.6361465E-001
 3.5250000E+001, 9.1060394E+002, 1.3574055E-001, 3.7395572E-002, 5.0717443E-003, 3.6362343E-003, 8.2279767E-002, 5.0717443E-003, 7.3080439E-001, 0.0000000E+000,NaN,NaN,NaN, 4.6875000E+001, 5.4802326E-001, 5.7668539E+001, 1.6060895E-001
 3.5750000E+001, 9.0026071E+002, 1.3759421E-001, 3.6582468E-002, 4.7560411E-003, 3.3727948E-003, 8.0343777E-002, 4.7560411E-003, 7.3259467E-001, 0.0000000E+000,NaN,NaN,NaN, 4.7544643E+001, 5.3779351E-001, 5.8261814E+001, 1.5596980E-001
 3.6250000E+001, 8.9038766E+002, 1.3923987E-001, 3.5847573E-002, 4.5004304E-003, 3.1312025E-003, 7.8623543E-002, 4.5004304E-003, 7.3415695E-001, 0.0000000E+000,NaN,NaN,NaN, 4.8214286E+001, 5.3267035E-001, 5.8855092E+001, 1.5314538E-001
 3.6750000E+001, 8.8098082E+002, 1.4086445E-001, 3.5128709E-002, 4.2317841E-003, 2.9150941E-003, 7.6922292E-002, 4.2317841E-003, 7.3570588E-001, 0.0000000E+000,NaN,NaN,NaN, 4.8883929E+001, 5.2757768E-001, 5.9448371E+001, 1.4878779E-001
 3.7250000E+001, 8.7174706E+002, 1.4235724E-001, 3.4459748E-002, 4.0013046E-003, 2.7093818E-003, 7.5358542E-002, 4.0013046E-003, 7.3711248E-001, 0.0000000E+000,NaN,NaN,NaN, 4.9553571E+001, 5.1757745E-001, 6.0039154E+001, 0.0000000E+000
 3.7750000E+001, 8.6295228E+002, 1.4381734E-001, 3.3806521E-002, 3.7703442E-003, 2.5257827E-003, 7.3825665E-002, 3.7703442E-003, 7.3848400E-001, 0.0000000E+000,NaN,NaN,NaN, 5.0223214E+001, 5.1270551E-001,NaN,NaN
 3.8250000E+001, 8.5371898E+002, 1.4524195E-001, 3.3150162E-002, 3.5772228E-003, 2.3538119E-003, 7.2324096E-002, 3.5772228E-003, 7.3977554E-001, 0.0000000E+000,NaN,NaN,NaN, 5.0892857E+001, 5.0793384E-001,NaN,NaN
 3.8750000E+001, 8.4475756E+002, 1.4665314E-001, 3.2503603E-002, 3.3764411E-003, 2.1984208E-003, 7.0834436E-002, 3.3764411E-003, 7.4105752E-001, 0.0000000E+000,NaN,NaN,NaN, 5.1562500E+001, 4.9870386E-001,NaN,NaN
 3.9250000E+001, 8.3561163E+002, 1.4802041E-001, 3.1859830E-002, 3.2123438E-003, 2.0492924E-003, 6.9386767E-002, 3.2123438E-003, 7.4225901E-001, 0.0000000E+000,NaN,NaN,NaN, 5.2232143E+001, 4.9424128E-001,NaN,NaN
 3.9750000E+001, 8.2679369E+002, 1.4936878E-001, 3.1238779E-002, 3.0231969E-003, 1.9160215E-003, 6.7959524E-002, 3.0231969E-003, 7.4347051E-001, 0.0000000E+000,NaN,NaN,NaN, 5.2901786E+001, 4.8987287E-001,NaN,NaN
 4.0250000E+001, 8.1814123E+002, 1.5063444E-001, 3.0637445E-002, 2.8797341E-003, 1.7834859E-003, 6.6617023E-002, 2.8797341E-003, 7.4456814E-001, 0.0000000E+000,NaN,NaN,NaN, 5.3571429E+001, 4.8138823E-001,NaN,NaN
 4.0750000E+001, 8.0973446E+002, 1.5186419E-001, 3.0064043E-002, 2.7177534E-003, 1.6709734E-003, 6.5311827E-002, 2.7177534E-003, 7.4565346E-001, 0.0000000E+000,NaN,NaN,NaN, 5.4241071E+001, 4.7725465E-001,NaN,NaN
 4.1250000E+001, 8.0132815E+002, 1.5305270E-001, 2.9481286E-002, 2.6122766E-003, 1.5602364E-003, 6.4044090E-002, 2.6122766E-003, 7.4663714E-001, 0.0000000E+000,NaN,NaN,NaN, 5.4910714E+001, 4.7318017E-001,NaN,NaN
 4.1750000E+001, 7.9361839E+002, 1.5416272E-001, 2.8955411E-002, 2.4799712E-003, 1.4626055E-003, 6.2863206E-002, 2.4799712E-003, 7.4759612E-001, 0.0000000E+000,NaN,NaN,NaN, 5.5580357E+001, 4.6338468E-001,NaN,NaN
 4.2250000E+001, 7.8570701E+002, 1.5527136E-001, 2.8408318E-002, 2.3864291E-003, 1.3658536E-003, 6.1678477E-002, 2.3864291E-003, 7.4850313E-001, 0.0000000E+000,NaN,NaN,NaN, 5.6250000E+001, 4.5948511E-001,NaN,NaN
 4.2750000E+001, 7.7860519E+002, 1.5629084E-001, 2.7928148E-002, 2.2611744E-003, 1.2701460E-003, 6.0595825E-002, 2.2611744E-003, 7.4939269E-001, 0.0000000E+000,NaN,NaN,NaN, 5.6919643E+001, 4.5558110E-001,NaN,NaN
 4.3250000E+001, 7.7043277E+002, 1.5740788E-001, 2.7383115E-002, 2.1538816E-003, 1.1827063E-003, 5.9401522E-002, 2.1538816E-003, 7.5031702E-001, 0.0000000E+000,NaN,NaN,NaN, 5.7589286E+001, 4.4768454E-001,NaN,NaN
 4.3750000E+001, 7.6241222E+002, 1.5848123E-001, 2.6875693E-002, 2.0230602E-003, 1.0930115E-003, 5.8258927E-002, 2.0230602E-003, 7.5124501E-001, 0.0000000E+000,NaN,NaN,NaN, 5.8258929E+001, 4.4366423E-001,NaN,NaN
 4.4250000E+001, 7.5373594E+002, 1.5962453E-001, 2.6313130E-002, 1.9197939E-003, 1.0123873E-003, 5.7033615E-002, 1.9197939E-003, 7.5217675E-001, 0.0000000E+000,NaN,NaN,NaN, 5.8928571E+001, 4.3958834E-001,NaN,NaN
