s,kW/m2,s,kW/m2,kW/m2,s,kW/m2,kW/m2,s,kW/m2,m,s,m,m
Time,"rad40","rad40_tmax","rad40_max","rad70","rad70_tmax","rad70_max","rad100","rad100_tmax","rad100_max","D_avg","D_tmax","D_max","Height"
 3.8066431E+000, 1.4530701E+001, 7.2101148E-001, 2.2279039E+002, 1.2721903E+001, 8.8703159E-001, 6.6803781E+001, 8.5689979E+000, 8.8703159E-001, 3.2190660E+001, 4.0647681E+001, 3.0307953E+000, 4.7383240E+001, 7.4601390E+001
 3.9055866E+000, 1.3438359E+001, 7.2101148E-001, 2.2279039E+002, 1.2161547E+001, 8.8703159E-001, 6.6803781E+001, 8.3246994E+000, 8.8703159E-001, 3.2190660E+001, 4.2241498E+001, 3.0307953E+000, 4.7383240E+001, 7.6212018E+001
 4.0045300E+000, 1.2533976E+001, 7.2101148E-001, 2.2279039E+002, 1.1652539E+001, 8.8703159E-001, 6.6803781E+001, 8.0898744E+000, 8.8703159E-001, 3.2190660E+001, 4.4289066E+001, 3.0307953E+000, 4.7383240E+001, 7.8022782E+001
 4.1084206E+000, 1.1738241E+001, 7.2101148E-001, 2.2279039E+002, 1.1116988E+001, 8.8703159E-001, 6.6803781E+001, 7.8050344E+000, 8.8703159E-001, 3.2190660E+001, 4.5979005E+001, 3.0307953E+000, 4.7383240E+001, 7.9993020E+001
 4.2118165E+000, 1.0820909E+001, 7.2101148E-001, 2.2279039E+002, 1.0705236E+001, 8.8703159E-001, 6.6803781E+001, 7.6975589E+000, 8.8703159E-001, 3.2190660E+001, 4.6508346E+001, 3.0307953E+000, 4.7383240E+001, 8.1886050E+001
 4.3075938E+000, 1.0191154E+001, 7.2101148E-001, 2.2279039E+002, 1.0417796E+001, 8.8703159E-001, 6.6803781E+001, 7.5967842E+000, 8.8703159E-001, 3.2190660E+001, 4.7332147E+001, 4.3075938E+000, 4.7839075E+001, 8.3617815E+001
 4.4033710E+000, 9.3643054E+000, 7.2101148E-001, 2.2279039E+002, 9.9733587E+000, 8.8703159E-001, 6.6803781E+001, 7.3493602E+000, 8.8703159E-001, 3.2190660E+001, 4.7706783E+001, 4.3315381E+000, 4.7950679E+001, 8.5095407E+001
 4.5111204E+000, 8.7987491E+000, 7.2101148E-001, 2.2279039E+002, 9.5684696E+000, 8.8703159E-001, 6.6803781E+001, 7.1319808E+000, 8.8703159E-001, 3.2190660E+001, 4.3744764E+001, 4.3315381E+000, 4.7950679E+001, 8.6467310E+001
 4.6068976E+000, 8.1599125E+000, 7.2101148E-001, 2.2279039E+002, 9.0653881E+000, 8.8703159E-001, 6.6803781E+001, 6.7892172E+000, 8.8703159E-001, 3.2190660E+001, 3.6907117E+001, 4.3315381E+000, 4.7950679E+001, 8.7804551E+001
 4.7026749E+000, 7.6577442E+000, 7.2101148E-001, 2.2279039E+002, 8.7302850E+000, 8.8703159E-001, 6.6803781E+001, 6.6896712E+000, 8.8703159E-001, 3.2190660E+001, 3.7253801E+001, 4.3315381E+000, 4.7950679E+001, 8.9091184E+001
