s,kW/m2,s,kW/m2,kW/m2,s,kW/m2,kW/m2,s,kW/m2,m,s,m,m
 1.2034434E+000, 2.6569933E+002, 9.7178805E-001, 2.8689414E+002, 8.6059261E+001, 1.1273775E+000, 8.7528315E+001, 4.3134406E+001, 1.1918222E+000, 4.3543009E+001, 0.0000000E+000, 1.2034434E+000, 0.0000000E+000, 2.3651829E+001
 1.3080340E+000, 2.4611767E+002, 9.7178805E-001, 2.8689414E+002, 8.5486055E+001, 1.1273775E+000, 8.7528315E+001, 4.2561885E+001, 1.1918222E+000, 4.3543009E+001, 9.2085975E-001, 1.3080340E+000, 1.5468463E+000, 2.4335277E+001
 1.4056520E+000, 2.2735885E+002, 9.7178805E-001, 2.8689414E+002, 8.0387637E+001, 1.1273775E+000, 8.7528315E+001, 4.0126132E+001, 1.1918222E+000, 4.3543009E+001, 2.2680901E+000, 1.4056520E+000, 3.7206680E+000, 2.5030777E+001
 1.5079184E+000, 2.0431516E+002, 9.7178805E-001, 2.8689414E+002, 7.7467044E+001, 1.1273775E+000, 8.7528315E+001, 3.8166268E+001, 1.1918222E+000, 4.3543009E+001, 6.5014498E+000, 1.5079184E+000, 1.0454921E+001, 2.5873191E+001
 1.6127415E+000, 1.8619899E+002, 9.7178805E-001, 2.8689414E+002, 7.0857232E+001, 1.1273775E+000, 8.7528315E+001, 3.4555836E+001, 1.1918222E+000, 4.3543009E+001, 1.3299030E+001, 1.6127415E+000, 1.5293075E+001, 2.6911150E+001
 1.7111729E+000, 1.6846132E+002, 9.7178805E-001, 2.8689414E+002, 6.6373410E+001, 1.1273775E+000, 8.7528315E+001, 3.2059380E+001, 1.1918222E+000, 4.3543009E+001, 1.6602989E+001, 1.7111729E+000, 1.8364677E+001, 2.8101278E+001
 1.8096044E+000, 1.5549745E+002, 9.7178805E-001, 2.8689414E+002, 6.1174209E+001, 1.1273775E+000, 8.7528315E+001, 2.9078879E+001, 1.1918222E+000, 4.3543009E+001, 1.9477013E+001, 1.8096044E+000, 2.0469143E+001, 2.9256370E+001
 1.9080358E+000, 1.4199506E+002, 9.7178805E-001, 2.8689414E+002, 5.6607133E+001, 1.1273775E+000, 8.7528315E+001, 2.7183026E+001, 1.1918222E+000, 4.3543009E+001, 2.1886147E+001, 1.9080358E+000, 2.2822005E+001, 3.0589797E+001
 2.0064672E+000, 1.3114838E+002, 9.7178805E-001, 2.8689414E+002, 5.2897568E+001, 1.1273775E+000, 8.7528315E+001, 2.4633613E+001, 1.1918222E+000, 4.3543009E+001, 2.4644913E+001, 2.0064672E+000, 2.5779346E+001, 3.1916045E+001
 2.1048986E+000, 1.2148752E+002, 9.7178805E-001, 2.8689414E+002, 4.9056421E+001, 1.1273775E+000, 8.7528315E+001, 2.3677170E+001, 1.1918222E+000, 4.3543009E+001, 2.7045461E+001, 2.1048986E+000, 2.7853898E+001, 3.3344942E+001
 2.2033301E+000, 1.1263775E+002, 9.7178805E-001, 2.8689414E+002, 4.5891754E+001, 1.1273775E+000, 8.7528315E+001, 2.1766495E+001, 1.1918222E+000, 4.3543009E+001, 2.9196028E+001, 2.2033301E+000, 2.9848335E+001, 3.4945827E+001
 2.3017615E+000, 1.0415511E+002, 9.7178805E-001, 2.8689414E+002, 4.2435431E+001, 1.1273775E+000, 8.7528315E+001, 2.1037541E+001, 1.1918222E+000, 4.3543009E+001, 3.0912088E+001, 2.3017615E+000, 3.1765680E+001, 3.6656914E+001
 2.4001929E+000, 9.6924362E+001, 9.7178805E-001, 2.8689414E+002, 4.0025974E+001, 1.1273775E+000, 8.7528315E+001, 2.0003091E+001, 1.1918222E+000, 4.3543009E+001, 3.2076781E+001, 2.4001929E+000, 3.2717359E+001, 3.8440674E+001
 2.5126860E+000, 8.8362357E+001, 9.7178805E-001, 2.8689414E+002, 3.6627594E+001, 1.1273775E+000, 8.7528315E+001, 1.8738308E+001, 1.1918222E+000, 4.3543009E+001, 3.3617059E+001, 2.5126860E+000, 3.3787053E+001, 4.0372668E+001
 2.6068198E+000, 8.1838715E+001, 9.7178805E-001, 2.8689414E+002, 3.4521588E+001, 1.1273775E+000, 8.7528315E+001, 1.7648443E+001, 1.1918222E+000, 4.3543009E+001, 3.4018234E+001, 2.6068198E+000, 3.4264606E+001, 4.2479717E+001
 2.7078526E+000, 7.3417508E+001, 9.7178805E-001, 2.8689414E+002, 3.1070915E+001, 1.1273775E+000, 8.7528315E+001, 1.5907737E+001, 1.1918222E+000, 4.3543009E+001, 3.5188355E+001, 2.7078526E+000, 3.5586947E+001, 4.4456506E+001
 2.8088854E+000, 6.7026788E+001, 9.7178805E-001, 2.8689414E+002, 2.8940850E+001, 1.1273775E+000, 8.7528315E+001, 1.4912271E+001, 1.1918222E+000, 4.3543009E+001, 3.5894873E+001, 2.8088854E+000, 3.6573550E+001, 4.6652530E+001
 2.9022248E+000, 5.9864569E+001, 9.7178805E-001, 2.8689414E+002, 2.6529410E+001, 1.1273775E+000, 8.7528315E+001, 1.3368147E+001, 1.1918222E+000, 4.3543009E+001, 3.7060808E+001, 2.9022248E+000, 3.7366896E+001, 4.8858352E+001
 3.0111548E+000, 5.3209112E+001, 9.7178805E-001, 2.8689414E+002, 2.4628307E+001, 1.1273775E+000, 8.7528315E+001, 1.2719552E+001, 1.1918222E+000, 4.3543009E+001, 3.7565649E+001, 2.9487470E+000, 3.7640269E+001, 5.1105226E+001
 3.1110072E+000, 4.7028378E+001, 9.7178805E-001, 2.8689414E+002, 2.2949569E+001, 1.1273775E+000, 8.7528315E+001, 1.1889015E+001, 1.1918222E+000, 4.3543009E+001, 3.7672696E+001, 3.1110072E+000, 3.7907225E+001, 5.3418211E+001
 3.2036245E+000, 4.1898439E+001, 9.7178805E-001, 2.8689414E+002, 2.1762380E+001, 1.1273775E+000, 8.7528315E+001, 1.1464558E+001, 1.1918222E+000, 4.3543009E+001, 3.7973612E+001, 3.1668008E+000, 3.7995936E+001, 5.5420657E+001
 3.3018211E+000, 3.7531051E+001, 9.7178805E-001, 2.8689414E+002, 2.0453417E+001, 1.1273775E+000, 8.7528315E+001, 1.1100627E+001, 1.1918222E+000, 4.3543009E+001, 3.7892691E+001, 3.1668008E+000, 3.7995936E+001, 5.7448608E+001
 3.4000177E+000, 3.3516073E+001, 9.7178805E-001, 2.8689414E+002, 1.9353680E+001, 1.1273775E+000, 8.7528315E+001, 1.0573718E+001, 1.1918222E+000, 4.3543009E+001, 3.7954646E+001, 3.3631940E+000, 3.8059666E+001, 5.9397614E+001
 3.5104889E+000, 2.9771332E+001, 9.7178805E-001, 2.8689414E+002, 1.8074920E+001, 1.1273775E+000, 8.7528315E+001, 1.0151009E+001, 1.1918222E+000, 4.3543009E+001, 3.7389162E+001, 3.3631940E+000, 3.8059666E+001, 6.1153073E+001
 3.6086856E+000, 2.6614761E+001, 9.7178805E-001, 2.8689414E+002, 1.6842044E+001, 1.1273775E+000, 8.7528315E+001, 9.7299576E+000, 1.1918222E+000, 4.3543009E+001, 3.5799584E+001, 3.3631940E+000, 3.8059666E+001, 6.2616527E+001
 3.7068822E+000, 2.3756659E+001, 9.7178805E-001, 2.8689414E+002, 1.6027717E+001, 1.1273775E+000, 8.7528315E+001, 9.3386436E+000, 1.1918222E+000, 4.3543009E+001, 3.5303897E+001, 3.3631940E+000, 3.8059666E+001, 6.4066270E+001
 3.8050788E+000, 2.1324921E+001, 9.7178805E-001, 2.8689414E+002, 1.4936026E+001, 1.1273775E+000, 8.7528315E+001, 8.9731748E+000, 1.1918222E+000, 4.3543009E+001, 3.4343149E+001, 3.3631940E+000, 3.8059666E+001, 6.5559064E+001
 3.9032754E+000, 1.9137048E+001, 9.7178805E-001, 2.8689414E+002, 1.4328833E+001, 1.1273775E+000, 8.7528315E+001, 8.5883680E+000, 1.1918222E+000, 4.3543009E+001, 3.0538947E+001, 3.3631940E+000, 3.8059666E+001, 6.6965386E+001
 4.0014721E+000, 1.7279302E+001, 9.7178805E-001, 2.8689414E+002, 1.3391188E+001, 1.1273775E+000, 8.7528315E+001, 8.3367550E+000, 1.1918222E+000, 4.3543009E+001, 3.0595622E+001, 3.3631940E+000, 3.8059666E+001, 6.8191226E+001
 4.1045785E+000, 1.5506452E+001, 9.7178805E-001, 2.8689414E+002, 1.3020837E+001, 1.1273775E+000, 8.7528315E+001, 8.0514096E+000, 1.1918222E+000, 4.3543009E+001, 3.0810516E+001, 3.3631940E+000, 3.8059666E+001, 6.9380649E+001
 4.2125948E+000, 1.4161620E+001, 9.7178805E-001, 2.8689414E+002, 1.2165865E+001, 1.1273775E+000, 8.7528315E+001, 7.7472830E+000, 1.1918222E+000, 4.3543009E+001, 3.1002557E+001, 3.3631940E+000, 3.8059666E+001, 7.0526168E+001
 4.3071090E+000, 1.2973631E+001, 9.7178805E-001, 2.8689414E+002, 1.1874673E+001, 1.1273775E+000, 8.7528315E+001, 7.5961019E+000, 1.1918222E+000, 4.3543009E+001, 3.0859927E+001, 3.3631940E+000, 3.8059666E+001, 7.1587983E+001
 4.4016233E+000, 1.2078978E+001, 9.7178805E-001, 2.8689414E+002, 1.1053905E+001, 1.1273775E+000, 8.7528315E+001, 7.1465051E+000, 1.1918222E+000, 4.3543009E+001, 3.0376019E+001, 3.3631940E+000, 3.8059666E+001, 7.2589065E+001
 4.5096396E+000, 1.1169657E+001, 9.7178805E-001, 2.8689414E+002, 1.0789089E+001, 1.1273775E+000, 8.7528315E+001, 7.0262345E+000, 1.1918222E+000, 4.3543009E+001, 2.2633293E+001, 3.3631940E+000, 3.8059666E+001, 7.3616291E+001
 4.6095546E+000, 1.0528000E+001, 9.7178805E-001, 2.8689414E+002, 1.0088479E+001, 1.1273775E+000, 8.7528315E+001, 6.6667217E+000, 1.1918222E+000, 4.3543009E+001, 8.7666580E+000, 3.3631940E+000, 3.8059666E+001, 7.4669144E+001
 4.7135203E+000, 9.8221764E+000, 9.7178805E-001, 2.8689414E+002, 9.8670989E+000, 1.1273775E+000, 8.7528315E+001, 6.5772778E+000, 1.1918222E+000, 4.3543009E+001, 1.0726700E+001, 3.3631940E+000, 3.8059666E+001, 7.5842723E+001
 4.8026338E+000, 9.3238519E+000, 9.7178805E-001, 2.8689414E+002, 9.3695276E+000, 1.1273775E+000, 8.7528315E+001, 6.4419456E+000, 1.1918222E+000, 4.3543009E+001, 1.0715112E+001, 3.3631940E+000, 3.8059666E+001, 7.7017573E+001
 4.9065994E+000, 8.8146019E+000, 9.7178805E-001, 2.8689414E+002, 9.1616828E+000, 1.1273775E+000, 8.7528315E+001, 6.3243251E+000, 1.1918222E+000, 4.3543009E+001, 9.9041873E+000, 3.3631940E+000, 3.8059666E+001, 7.8206834E+001
 5.0120503E+000, 8.2275783E+000, 9.7178805E-001, 2.8689414E+002, 8.6299165E+000, 1.1273775E+000, 8.7528315E+001, 6.0685188E+000, 1.1918222E+000, 4.3543009E+001, 9.9592967E+000, 3.3631940E+000, 3.8059666E+001, 7.9535862E+001
 5.1100751E+000, 7.7561168E+000, 9.7178805E-001, 2.8689414E+002, 8.3646496E+000, 1.1273775E+000, 8.7528315E+001, 5.8802546E+000, 1.1918222E+000, 4.3543009E+001, 9.9964264E+000, 3.3631940E+000, 3.8059666E+001, 8.0918030E+001
 5.2080999E+000, 7.2402352E+000, 9.7178805E-001, 2.8689414E+002, 7.7817651E+000, 1.1273775E+000, 8.7528315E+001, 5.6311176E+000, 1.1918222E+000, 4.3543009E+001, 9.8585927E+000, 3.3631940E+000, 3.8059666E+001, 8.2246201E+001
 5.3061247E+000, 6.8967846E+000, 9.7178805E-001, 2.8689414E+002, 7.4093650E+000, 1.1273775E+000, 8.7528315E+001, 5.2656579E+000, 1.1918222E+000, 4.3543009E+001, 9.1578139E+000, 3.3631940E+000, 3.8059666E+001, 8.3538431E+001
 5.4058306E+000, 6.6038151E+000, 9.7178805E-001, 2.8689414E+002, 6.9520159E+000, 1.1273775E+000, 8.7528315E+001, 5.1154309E+000, 1.1918222E+000, 4.3543009E+001, 9.1368593E+000, 3.3631940E+000, 3.8059666E+001, 8.4715719E+001
 5.5055366E+000, 6.3002308E+000, 9.7178805E-001, 2.8689414E+002, 6.5206334E+000, 1.1273775E+000, 8.7528315E+001, 4.7721641E+000, 1.1918222E+000, 4.3543009E+001, 9.5727149E+000, 3.3631940E+000, 3.8059666E+001, 8.5866368E+001
 5.6052426E+000, 6.1159801E+000, 9.7178805E-001, 2.8689414E+002, 6.2690232E+000, 1.1273775E+000, 8.7528315E+001, 4.6726925E+000, 1.1918222E+000, 4.3543009E+001, 9.9986624E+000, 3.3631940E+000, 3.8059666E+001, 8.6892067E+001
 5.7149191E+000, 5.8569070E+000, 9.7178805E-001, 2.8689414E+002, 5.9952280E+000, 1.1273775E+000, 8.7528315E+001, 4.4705660E+000, 1.1918222E+000, 4.3543009E+001, 1.0809378E+001, 3.3631940E+000, 3.8059666E+001, 8.7898967E+001
 5.8089276E+000, 5.8032327E+000, 9.7178805E-001, 2.8689414E+002, 5.8517359E+000, 1.1273775E+000, 8.7528315E+001, 4.4182893E+000, 1.1918222E+000, 4.3543009E+001, 1.1193131E+001, 3.3631940E+000, 3.8059666E+001, 8.8854661E+001
 5.9029361E+000, 5.6552422E+000, 9.7178805E-001, 2.8689414E+002, 5.6733684E+000, 1.1273775E+000, 8.7528315E+001, 4.3189857E+000, 1.1918222E+000, 4.3543009E+001, 1.0922697E+001, 3.3631940E+000, 3.8059666E+001, 8.9747937E+001
 6.0126126E+000, 5.5834096E+000, 9.7178805E-001, 2.8689414E+002, 5.6149795E+000, 1.1273775E+000, 8.7528315E+001, 4.2644319E+000, 1.1918222E+000, 4.3543009E+001, 9.6972252E+000, 3.3631940E+000, 3.8059666E+001, 9.0694898E+001
 6.1066211E+000, 5.4778265E+000, 9.7178805E-001, 2.8689414E+002, 5.5300234E+000, 1.1273775E+000, 8.7528315E+001, 4.3316568E+000, 1.1918222E+000, 4.3543009E+001, 8.9290789E+000, 3.3631940E+000, 3.8059666E+001, 9.1641893E+001
 6.2006296E+000, 5.3726123E+000, 9.7178805E-001, 2.8689414E+002, 5.5048873E+000, 1.1273775E+000, 8.7528315E+001, 4.2350016E+000, 1.1918222E+000, 4.3543009E+001, 8.7195578E+000, 3.3631940E+000, 3.8059666E+001, 9.2488190E+001
 6.3103062E+000, 5.2911161E+000, 9.7178805E-001, 2.8689414E+002, 5.4131865E+000, 1.1273775E+000, 8.7528315E+001, 4.3244956E+000, 1.1918222E+000, 4.3543009E+001, 8.4918073E+000, 3.3631940E+000, 3.8059666E+001, 9.3404893E+001
 6.4043147E+000, 5.1609357E+000, 9.7178805E-001, 2.8689414E+002, 5.3601811E+000, 1.1273775E+000, 8.7528315E+001, 4.2283014E+000, 1.1918222E+000, 4.3543009E+001, 9.1116809E+000, 3.3631940E+000, 3.8059666E+001, 9.4378369E+001
 6.5139912E+000, 5.0410039E+000, 9.7178805E-001, 2.8689414E+002, 5.3145323E+000, 1.1273775E+000, 8.7528315E+001, 4.2581704E+000, 1.1918222E+000, 4.3543009E+001, 1.1581790E+001, 3.3631940E+000, 3.8059666E+001, 9.5390613E+001
 6.6079997E+000, 4.8405306E+000, 9.7178805E-001, 2.8689414E+002, 5.2009740E+000, 1.1273775E+000, 8.7528315E+001, 4.1896659E+000, 1.1918222E+000, 4.3543009E+001, 1.3786911E+001, 3.3631940E+000, 3.8059666E+001, 9.6429526E+001
 6.7020082E+000, 4.7283641E+000, 9.7178805E-001, 2.8689414E+002, 5.1124715E+000, 1.1273775E+000, 8.7528315E+001, 4.1106994E+000, 1.1918222E+000, 4.3543009E+001, 1.5815170E+001, 3.3631940E+000, 3.8059666E+001, 9.7485489E+001
 6.8009118E+000, 4.6089741E+000, 9.7178805E-001, 2.8689414E+002, 4.9620391E+000, 1.1273775E+000, 8.7528315E+001, 4.0496164E+000, 1.1918222E+000, 4.3543009E+001, 1.6815533E+001, 3.3631940E+000, 3.8059666E+001, 9.8638901E+001
 6.9082435E+000, 4.4975029E+000, 9.7178805E-001, 2.8689414E+002, 4.7994652E+000, 1.1273775E+000, 8.7528315E+001, 3.8634211E+000, 1.1918222E+000, 4.3543009E+001, 1.5711060E+001, 3.3631940E+000, 3.8059666E+001, 9.9981447E+001
 7.0062052E+000, 4.4051242E+000, 9.7178805E-001, 2.8689414E+002, 4.6243535E+000, 1.1273775E+000, 8.7528315E+001, 3.7907255E+000, 1.1918222E+000, 4.3543009E+001, 1.4093563E+001, 3.3631940E+000, 3.8059666E+001, 1.0130969E+002
 7.1055664E+000, 4.3487368E+000, 9.7178805E-001, 2.8689414E+002, 4.5595190E+000, 1.1273775E+000, 8.7528315E+001, 3.6616182E+000, 1.1918222E+000, 4.3543009E+001, 1.3018275E+001, 3.3631940E+000, 3.8059666E+001, 1.0257501E+002
 7.2133244E+000, 4.2797157E+000, 9.7178805E-001, 2.8689414E+002, 4.4452474E+000, 1.1273775E+000, 8.7528315E+001, 3.6499600E+000, 1.1918222E+000, 4.3543009E+001, 1.1911467E+001, 3.3631940E+000, 3.8059666E+001, 1.0398613E+002
 7.3021471E+000, 4.2295868E+000, 9.7178805E-001, 2.8689414E+002, 4.4284623E+000, 1.1273775E+000, 8.7528315E+001, 3.5818623E+000, 1.1918222E+000, 4.3543009E+001, 1.1314254E+001, 3.3631940E+000, 3.8059666E+001, 1.0528367E+002
 7.4111340E+000, 4.1889855E+000, 9.7178805E-001, 2.8689414E+002, 4.3355105E+000, 1.1273775E+000, 8.7528315E+001, 3.5499595E+000, 1.1918222E+000, 4.3543009E+001, 1.0727396E+001, 3.3631940E+000, 3.8059666E+001, 1.0650431E+002
 7.5133092E+000, 4.0624457E+000, 9.7178805E-001, 2.8689414E+002, 4.2997354E+000, 1.1273775E+000, 8.7528315E+001, 3.4970560E+000, 1.1918222E+000, 4.3543009E+001, 6.5786074E+000, 3.3631940E+000, 3.8059666E+001, 1.0776579E+002
 7.6032234E+000, 3.9523597E+000, 9.7178805E-001, 2.8689414E+002, 4.2303075E+000, 1.1273775E+000, 8.7528315E+001, 3.4480287E+000, 1.1918222E+000, 4.3543009E+001, 5.2699068E+000, 3.3631940E+000, 3.8059666E+001, 1.0882824E+002
 7.7081233E+000, 3.7460249E+000, 9.7178805E-001, 2.8689414E+002, 4.1646624E+000, 1.1273775E+000, 8.7528315E+001, 3.4055007E+000, 1.1918222E+000, 4.3543009E+001, 4.7652442E+000, 3.3631940E+000, 3.8059666E+001, 1.0997041E+002
 7.8040318E+000, 3.6103943E+000, 9.7178805E-001, 2.8689414E+002, 4.0317723E+000, 1.1273775E+000, 8.7528315E+001, 3.3243202E+000, 1.1918222E+000, 4.3543009E+001, 4.6414907E+000, 3.3631940E+000, 3.8059666E+001, 1.1117779E+002
 7.9029374E+000, 3.4686807E+000, 9.7178805E-001, 2.8689414E+002, 3.8968606E+000, 1.1273775E+000, 8.7528315E+001, 3.2040731E+000, 1.1918222E+000, 4.3543009E+001, 2.6765556E+000, 3.3631940E+000, 3.8059666E+001, 1.1229351E+002
 8.0143787E+000, 3.3344645E+000, 9.7178805E-001, 2.8689414E+002, 3.7283507E+000, 1.1273775E+000, 8.7528315E+001, 3.0872727E+000, 1.1918222E+000, 4.3543009E+001, 0.0000000E+000, 3.3631940E+000, 3.8059666E+001, 1.1349217E+002
 8.1014386E+000, 3.1313251E+000, 9.7178805E-001, 2.8689414E+002, 3.6094752E+000, 1.1273775E+000, 8.7528315E+001, 2.9658244E+000, 1.1918222E+000, 4.3543009E+001, 0.0000000E+000, 3.3631940E+000, 3.8059666E+001, 1.1451005E+002
 8.2030085E+000, 3.0030288E+000, 9.7178805E-001, 2.8689414E+002, 3.4283858E+000, 1.1273775E+000, 8.7528315E+001, 2.8480877E+000, 1.1918222E+000, 4.3543009E+001, 0.0000000E+000, 3.3631940E+000, 3.8059666E+001, 1.1549993E+002
 8.3103825E+000, 2.7915030E+000, 9.7178805E-001, 2.8689414E+002, 3.3108459E+000, 1.1273775E+000, 8.7528315E+001, 2.7485681E+000, 1.1918222E+000, 4.3543009E+001, 0.0000000E+000, 3.3631940E+000, 3.8059666E+001, 1.1666275E+002
 8.4061484E+000, 2.6353266E+000, 9.7178805E-001, 2.8689414E+002, 3.1099820E+000, 1.1273775E+000, 8.7528315E+001, 2.6098831E+000, 1.1918222E+000, 4.3543009E+001, 0.0000000E+000, 3.3631940E+000, 3.8059666E+001, 1.1781978E+002
 8.5019143E+000, 2.5260232E+000, 9.7178805E-001, 2.8689414E+002, 3.0205635E+000, 1.1273775E+000, 8.7528315E+001, 2.5440669E+000, 1.1918222E+000, 4.3543009E+001, 0.0000000E+000, 3.3631940E+000, 3.8059666E+001, 1.1887340E+002
 8.6056607E+000, 2.3888223E+000, 9.7178805E-001, 2.8689414E+002, 2.8207111E+000, 1.1273775E+000, 8.7528315E+001, 2.3989915E+000, 1.1918222E+000, 4.3543009E+001, 0.0000000E+000, 3.3631940E+000, 3.8059666E+001, 1.1995200E+002
 8.7110032E+000, 2.3038697E+000, 9.7178805E-001, 2.8689414E+002, 2.7057886E+000, 1.1273775E+000, 8.7528315E+001, 2.2962472E+000, 1.1918222E+000, 4.3543009E+001, 0.0000000E+000, 3.3631940E+000, 3.8059666E+001, 1.2107112E+002
 8.8163457E+000, 2.2103322E+000, 9.7178805E-001, 2.8689414E+002, 2.6057330E+000, 1.1273775E+000, 8.7528315E+001, 2.2314382E+000, 1.1918222E+000, 4.3543009E+001, 0.0000000E+000, 3.3631940E+000, 3.8059666E+001, 1.2213581E+002
 8.9041312E+000, 2.1216917E+000, 9.7178805E-001, 2.8689414E+002, 2.4668246E+000, 1.1273775E+000, 8.7528315E+001, 2.1412380E+000, 1.1918222E+000, 4.3543009E+001, 0.0000000E+000, 3.3631940E+000, 3.8059666E+001, 1.2302032E+002
 9.0094737E+000, 2.0407066E+000, 9.7178805E-001, 2.8689414E+002, 2.4161007E+000, 1.1273775E+000, 8.7528315E+001, 2.0861243E+000, 1.1918222E+000, 4.3543009E+001, 0.0000000E+000, 3.3631940E+000, 3.8059666E+001, 1.2382309E+002
 9.1121224E+000, 1.9534555E+000, 9.7178805E-001, 2.8689414E+002, 2.3084753E+000, 1.1273775E+000, 8.7528315E+001, 2.0234603E+000, 1.1918222E+000, 4.3543009E+001, 0.0000000E+000, 3.3631940E+000, 3.8059666E+001, 1.2473953E+002
 9.2013024E+000, 1.8617655E+000, 9.7178805E-001, 2.8689414E+002, 2.2087089E+000, 1.1273775E+000, 8.7528315E+001, 1.9402901E+000, 1.1918222E+000, 4.3543009E+001, 0.0000000E+000, 3.3631940E+000, 3.8059666E+001, 1.2570755E+002
 9.3142637E+000, 1.7768199E+000, 9.7178805E-001, 2.8689414E+002, 2.1392202E+000, 1.1273775E+000, 8.7528315E+001, 1.8788391E+000, 1.1918222E+000, 4.3543009E+001, 0.0000000E+000, 3.3631940E+000, 3.8059666E+001, 1.2679144E+002
 9.4123617E+000, 1.6787215E+000, 9.7178805E-001, 2.8689414E+002, 2.0081030E+000, 1.1273775E+000, 8.7528315E+001, 1.7967873E+000, 1.1918222E+000, 4.3543009E+001, 0.0000000E+000, 3.3631940E+000, 3.8059666E+001, 1.2799751E+002
 9.5104597E+000, 1.6130187E+000, 9.7178805E-001, 2.8689414E+002, 1.9675376E+000, 1.1273775E+000, 8.7528315E+001, 1.7432537E+000, 1.1918222E+000, 4.3543009E+001, 0.0000000E+000, 3.3631940E+000, 3.8059666E+001, 1.2907630E+002
 9.6085577E+000, 1.5304588E+000, 9.7178805E-001, 2.8689414E+002, 1.8677177E+000, 1.1273775E+000, 8.7528315E+001, 1.6768378E+000, 1.1918222E+000, 4.3543009E+001, 0.0000000E+000, 3.3631940E+000, 3.8059666E+001, 1.3001683E+002
 9.7066557E+000, 1.4579719E+000, 9.7178805E-001, 2.8689414E+002, 1.8020733E+000, 1.1273775E+000, 8.7528315E+001, 1.6105286E+000, 1.1918222E+000, 4.3543009E+001, 0.0000000E+000, 3.3631940E+000, 3.8059666E+001, 1.3092708E+002
