s,kW/m2,m,m,m,deg
 2.3000096E+001, 3.8236943E+000, 2.1442682E+000,-7.7805737E-001, 5.4581139E+000, 3.3303137E+001
 2.4000909E+001, 3.8058595E+000, 2.9599441E+000,-2.0056896E-001, 5.5699916E+000, 3.3132706E+001
 2.5002947E+001, 3.7972144E+000, 3.3321069E+000,-4.0425446E-001, 5.5817671E+000, 3.3268064E+001
 2.6002610E+001, 3.7876469E+000, 3.3776789E+000,-8.4602647E-001, 5.6396042E+000, 3.3396829E+001
 2.7002454E+001, 3.7766929E+000, 3.4600266E+000,-1.4242540E+000, 5.6547288E+000, 3.3609466E+001
 2.8001496E+001, 3.7992245E+000, 2.7682860E+000, 5.7348873E-001, 5.6176272E+000, 3.3447734E+001
 2.9002650E+001, 3.8096799E+000, 2.6757316E+000, 1.8637027E+000, 5.6433425E+000, 3.3463399E+001
 3.0001492E+001, 3.8146252E+000, 3.6706905E+000,-1.6440334E-001, 5.6365229E+000, 3.3624260E+001
 3.1002685E+001, 3.7811544E+000, 2.9954397E+000,-2.4761811E+000, 5.6250611E+000, 3.3818164E+001
 3.2003836E+001, 3.7521701E+000, 2.6272457E+000,-2.0236673E+000, 5.6256185E+000, 3.3848065E+001
 3.3001005E+001, 3.7195442E+000, 1.8297579E+000,-9.0200842E-001, 5.6363816E+000, 3.3369932E+001
 3.4000284E+001, 3.6828161E+000, 1.9359829E+000,-2.4562126E+000, 5.6537683E+000, 3.3319817E+001
 3.5001488E+001, 3.6667306E+000, 2.6851395E+000,-5.8815592E-001, 5.6394571E+000, 3.3185147E+001
 3.6002186E+001, 3.6684075E+000, 2.8111728E+000, 5.2003272E-001, 5.6666775E+000, 3.3083426E+001
 3.7000362E+001, 3.6552731E+000, 2.4659090E+000, 1.4017578E+000, 5.6674665E+000, 3.2956820E+001
 3.8000363E+001, 3.6413819E+000, 2.8872393E+000,-3.2889380E-001, 5.6830331E+000, 3.2905588E+001
 3.9001576E+001, 3.6434204E+000, 3.2874546E+000,-1.3944765E+000, 5.6891141E+000, 3.3020803E+001
 4.0002857E+001, 3.6395845E+000, 3.0830170E+000,-2.0298732E+000, 5.6860316E+000, 3.3142031E+001
 4.1002615E+001, 3.6386583E+000, 2.5692082E+000, 3.4736832E-001, 5.6768454E+000, 3.3043070E+001
 4.2002011E+001, 3.6322809E+000, 2.6324878E+000, 2.7364005E+000, 5.7220113E+000, 3.3173416E+001
 4.3001114E+001, 3.6443592E+000, 2.7405792E+000, 2.2607532E+000, 5.7324282E+000, 3.3247509E+001
 4.4001790E+001, 3.6506250E+000, 3.0541214E+000, 1.8004440E+000, 5.7449198E+000, 3.3324421E+001
 4.5000740E+001, 3.6700891E+000, 3.3059632E+000, 1.0192543E+000, 5.7313146E+000, 3.3366721E+001
 4.6001140E+001, 3.6653196E+000, 3.5125943E+000,-9.9080216E-001, 5.7221167E+000, 3.3440558E+001
 4.7001230E+001, 3.6664498E+000, 3.3731049E+000,-1.3665749E+000, 5.7219294E+000, 3.3513837E+001
 4.8000070E+001, 3.6858587E+000, 3.3764533E+000, 2.0545529E-001, 5.6998506E+000, 3.3558791E+001
 4.9002043E+001, 3.6886954E+000, 3.2784107E+000, 1.0803991E+000, 5.7094894E+000, 3.3588598E+001
 5.0002091E+001, 3.6931540E+000, 3.2203662E+000,-7.6812461E-001, 5.6880559E+000, 3.3613013E+001
 5.1002395E+001, 3.6884544E+000, 3.0187698E+000,-1.8719747E+000, 5.6867144E+000, 3.3660764E+001
 5.2000402E+001, 3.6851194E+000, 3.2309986E+000,-8.5087779E-001, 5.6677181E+000, 3.3672430E+001
 5.3002899E+001, 3.6962653E+000, 3.2276854E+000,-9.1542206E-001, 5.6586340E+000, 3.3705046E+001
 5.4000131E+001, 3.6933377E+000, 2.5460392E+000,-4.9458724E-001, 5.6410656E+000, 3.3564474E+001
 5.5000648E+001, 3.6979095E+000, 3.1155706E+000,-6.7256673E-001, 5.6362546E+000, 3.3539712E+001
 5.6000673E+001, 3.6965794E+000, 3.2426410E+000, 4.4044184E-002, 5.6321295E+000, 3.3544126E+001
 5.7002226E+001, 3.7039515E+000, 2.9374662E+000, 1.4761007E+000, 5.6264829E+000, 3.3551096E+001
 5.8002936E+001, 3.7053632E+000, 3.0758723E+000, 4.8650220E-001, 5.6343160E+000, 3.3526910E+001
 5.9002146E+001, 3.7089966E+000, 2.9933281E+000,-4.8828600E-001, 5.6245418E+000, 3.3520338E+001
 6.0000000E+001, 3.7032401E+000, 1.9316602E+000, 3.7629476E-001, 5.6075192E+000, 3.3288581E+001
