s,kW/m2,m,m,m,deg
 2.3000671E+001, 2.1493754E+000,-1.4825492E-001, 1.8232740E-001, 9.6465647E+000, 1.1777929E+001
 2.4000473E+001, 2.1318856E+000, 3.8015648E-001,-5.0150763E-001, 9.6381230E+000, 1.1731911E+001
 2.5002885E+001, 2.1281843E+000, 4.3974406E-001,-5.6426285E-001, 9.5534099E+000, 1.1666009E+001
 2.6001787E+001, 2.1433574E+000, 6.0268867E-001,-1.1169567E+000, 9.5755816E+000, 1.1942924E+001
 2.7002469E+001, 2.1489348E+000, 7.9418206E-001,-1.5504838E+000, 9.5937014E+000, 1.2437365E+001
 2.8002051E+001, 2.1663995E+000, 3.8919303E-001, 5.2048389E-001, 9.5439931E+000, 1.2471110E+001
 2.9000407E+001, 2.1838613E+000, 4.3982140E-002, 8.0002652E-001, 9.5277910E+000, 1.2408083E+001
 3.0000381E+001, 2.1900964E+000, 2.2062942E-001,-7.2343759E-001, 9.5235646E+000, 1.2659675E+001
 3.1002632E+001, 2.1793511E+000, 2.2157477E-001,-1.3174754E+000, 9.5254260E+000, 1.2828788E+001
 3.2001273E+001, 2.1856532E+000, 2.7163458E-001,-1.8435795E-001, 9.5306521E+000, 1.2733508E+001
 3.3001683E+001, 2.1929733E+000,-3.1344935E-001, 7.4845755E-002, 9.5211754E+000, 1.2801984E+001
 3.4000325E+001, 2.1750159E+000, 2.3751025E-002,-5.0638355E-001, 9.4938936E+000, 1.2712815E+001
 3.5002553E+001, 2.1725746E+000, 2.3551261E-001,-5.0473093E-001, 9.5129205E+000, 1.2675460E+001
 3.6000698E+001, 2.1820452E+000, 5.4564875E-001, 1.0689479E+000, 9.5464795E+000, 1.2789538E+001
 3.7001674E+001, 2.1671375E+000, 1.1331944E+000, 1.7068231E+000, 9.5038693E+000, 1.3163187E+001
 3.8002169E+001, 2.1802646E+000, 8.3870040E-001, 2.9273865E-001, 9.5112283E+000, 1.3234581E+001
 3.9001017E+001, 2.1881810E+000, 6.8498656E-001,-1.4075588E+000, 9.5214998E+000, 1.3420334E+001
 4.0000338E+001, 2.1940460E+000, 1.8717744E-001,-5.9698168E-001, 9.5241617E+000, 1.3324144E+001
 4.1000754E+001, 2.2069952E+000, 4.2568908E-002, 6.3674055E-001, 9.5531319E+000, 1.3337971E+001
 4.2002261E+001, 2.1954021E+000, 2.4138576E-001, 1.2065929E+000, 9.5207433E+000, 1.3434882E+001
 4.3001485E+001, 2.2023409E+000, 4.3741038E-001,-1.1161099E-002, 9.5345349E+000, 1.3366231E+001
 4.4000843E+001, 2.1973538E+000, 1.1747020E-001, 1.8487100E-001, 9.4800775E+000, 1.3352485E+001
 4.5001756E+001, 2.2019075E+000,-4.6501603E-001, 8.6452314E-001, 9.4877720E+000, 1.3403898E+001
 4.6000221E+001, 2.1979376E+000,-2.8488570E-001, 8.6535811E-001, 9.4797355E+000, 1.3381736E+001
 4.7000555E+001, 2.2008350E+000,-9.6459538E-002, 4.4457134E-001, 9.4658210E+000, 1.3319811E+001
 4.8002142E+001, 2.1981501E+000, 2.6814834E-001, 1.0321569E+000, 9.4956414E+000, 1.3341460E+001
 4.9001530E+001, 2.1986234E+000,-1.5462578E-001, 1.4323914E+000, 9.4861321E+000, 1.3430069E+001
 5.0000543E+001, 2.1998098E+000, 2.6288329E-001,-6.2145165E-001, 9.5263919E+000, 1.3401412E+001
 5.1002334E+001, 2.1940635E+000, 6.0641220E-001,-1.4152324E+000, 9.4945378E+000, 1.3520489E+001
 5.2001897E+001, 2.1991233E+000, 5.1499162E-001,-7.8361275E-001, 9.5095133E+000, 1.3538829E+001
 5.3001709E+001, 2.2041268E+000,-3.5414544E-004,-6.0047010E-001, 9.5309042E+000, 1.3445300E+001
 5.4000195E+001, 2.2003574E+000, 1.7437656E-001,-2.6259971E-001, 9.5387023E+000, 1.3347214E+001
 5.5001792E+001, 2.1957157E+000, 3.7450008E-001,-1.1766409E+000, 9.5258231E+000, 1.3387529E+001
 5.6002066E+001, 2.1945551E+000, 2.7352587E-001,-6.4935108E-001, 9.5625033E+000, 1.3318246E+001
 5.7000049E+001, 2.1909286E+000, 3.4462939E-001, 5.4908670E-001, 9.5656344E+000, 1.3283842E+001
 5.8001202E+001, 2.1894431E+000, 8.9332720E-001,-2.9498163E-001, 9.5575327E+000, 1.3305633E+001
 5.9000685E+001, 2.1987621E+000, 1.0546491E+000,-1.0024108E+000, 9.5852469E+000, 1.3384801E+001
 6.0000000E+001, 2.2048180E+000,-1.3786713E-001, 9.3398771E-001, 9.6051696E+000, 1.3425913E+001
