m,C,m,kW
NaN,NaN, 6.7500000E+000, 3.1648668E+002
NaN,NaN, 6.8500000E+000, 3.1018590E+002
NaN,NaN, 6.9500000E+000, 3.0341879E+002
NaN,NaN, 7.0500000E+000, 2.9599214E+002
NaN,NaN, 7.1500000E+000, 2.8827397E+002
NaN,NaN, 7.2500000E+000, 2.8034125E+002
NaN,NaN, 7.3500000E+000, 2.7232957E+002
NaN,NaN, 7.4500000E+000, 2.6454249E+002
NaN,NaN, 7.5500000E+000, 2.5705060E+002
NaN,NaN, 7.6500000E+000, 2.4934747E+002
NaN,NaN, 7.7500000E+000, 2.4146335E+002
NaN,NaN, 7.8500000E+000, 2.3392823E+002
NaN,NaN, 7.9500000E+000, 2.2754298E+002
NaN,NaN, 8.0500000E+000, 2.2020132E+002
NaN,NaN, 8.1500000E+000, 2.1322359E+002
NaN,NaN, 8.2500000E+000, 2.0672848E+002
NaN,NaN, 8.3500000E+000, 2.0097985E+002
NaN,NaN, 8.4500000E+000, 1.9452876E+002
NaN,NaN, 8.5500000E+000, 1.8861602E+002
NaN,NaN, 8.6500000E+000, 1.8275461E+002
NaN,NaN, 8.7500000E+000, 1.7747741E+002
NaN,NaN, 8.8500000E+000, 1.7162248E+002
NaN,NaN, 8.9500000E+000, 1.6634528E+002
NaN,NaN, 9.0500000E+000, 1.6077873E+002
NaN,NaN, 9.1500000E+000, 1.5568781E+002
NaN,NaN, 9.2500000E+000, 1.5036939E+002
NaN,NaN, 9.3500000E+000, 1.4552401E+002
NaN,NaN, 9.4500000E+000, 1.4008643E+002
NaN,NaN, 9.5500000E+000, 1.3566711E+002
NaN,NaN, 9.6500000E+000, 1.3009225E+002
NaN,NaN, 9.7500000E+000, 1.2562907E+002
NaN,NaN, 9.8500000E+000, 1.2051073E+002
NaN,NaN, 9.9500000E+000, 1.1618722E+002
NaN,NaN, 1.0050000E+001, 1.1146087E+002
NaN,NaN, 1.0150000E+001, 1.0752126E+002
NaN,NaN, 1.0250000E+001, 1.0318846E+002
NaN,NaN, 1.0350000E+001, 9.9634901E+001
NaN,NaN, 1.0450000E+001, 9.5529727E+001
NaN,NaN, 1.0550000E+001, 9.2484124E+001
NaN,NaN, 1.0650000E+001, 8.8822075E+001
NaN,NaN, 1.0750000E+001, 8.5961749E+001
NaN,NaN, 1.0850000E+001, 8.2686041E+001
NaN,NaN, 1.0950000E+001, 8.0318238E+001
NaN,NaN, 1.1050000E+001, 7.7045076E+001
NaN,NaN, 1.1150000E+001, 7.5227794E+001
NaN,NaN, 1.1250000E+001, 7.2070624E+001
NaN,NaN, 1.1350000E+001, 7.0784340E+001
NaN,NaN, 1.1450000E+001, 6.8382855E+001
NaN,NaN, 1.1550000E+001, 6.7841460E+001
NaN,NaN, 1.1650000E+001, 6.6010861E+001
NaN,NaN, 1.1750000E+001, 6.7457647E+001
NaN,NaN, 1.1850000E+001, 6.6660968E+001
NaN,NaN, 1.1950000E+001, 7.8547799E+001
