s,kW/m2,m,m,m,deg
 2.3002433E+001, 2.1811563E+000, 1.5116149E-001,-6.7706113E-002, 9.2109742E+000, 7.4839730E+000
 2.4000021E+001, 2.2010181E+000, 1.1648231E-001,-1.9133700E-001, 9.3029879E+000, 7.3127708E+000
 2.5001758E+001, 2.1997482E+000, 2.9467645E-001,-3.7209587E-001, 9.2606487E+000, 7.4379945E+000
 2.6002619E+001, 2.2028324E+000, 9.1391092E-002,-2.4140185E-001, 9.2331808E+000, 7.4275835E+000
 2.7000196E+001, 2.2013254E+000,-1.2390941E-001,-5.8460736E-001, 9.2511090E+000, 7.4932764E+000
 2.8001429E+001, 2.2032723E+000,-3.0120928E-001, 3.2804713E-001, 9.2877100E+000, 7.5916876E+000
 2.9001317E+001, 2.2051948E+000,-1.6778002E-001, 1.0466092E+000, 9.3009690E+000, 7.8910473E+000
 3.0001195E+001, 2.2112674E+000, 1.9313155E-001,-3.6509943E-001, 9.3146746E+000, 7.9171926E+000
 3.1002280E+001, 2.2073005E+000,-5.0239993E-001,-6.4444522E-001, 9.3161926E+000, 8.0282252E+000
 3.2002394E+001, 2.2086042E+000,-2.8447445E-001,-1.5138933E-002, 9.2791727E+000, 8.0177321E+000
 3.3002214E+001, 2.2130950E+000,-1.6157712E-001, 2.6354240E-001, 9.2402905E+000, 8.0240445E+000
 3.4000718E+001, 2.2060134E+000,-1.5408147E-001,-3.1140544E-001, 9.3058672E+000, 7.9937111E+000
 3.5000515E+001, 2.2120612E+000, 8.0896925E-002, 8.5624341E-002, 9.3398659E+000, 8.0102732E+000
 3.6000525E+001, 2.2108668E+000, 9.9358475E-002, 4.3678905E-001, 9.3027070E+000, 8.0474769E+000
 3.7000244E+001, 2.2082308E+000,-3.3098402E-001, 5.8534328E-001, 9.2804824E+000, 8.0677124E+000
 3.8000960E+001, 2.2130540E+000,-1.5779090E-001,-7.8604878E-002, 9.2741928E+000, 8.1275418E+000
 3.9002625E+001, 2.2102043E+000,-1.3262752E-001,-5.6846400E-001, 9.2948284E+000, 8.1435003E+000
 4.0001704E+001, 2.2015216E+000,-3.8408712E-001, 1.6380305E-001, 9.2860361E+000, 8.1753777E+000
 4.1002593E+001, 2.2089004E+000,-3.5700711E-001, 5.1425672E-001, 9.2632223E+000, 8.2253216E+000
 4.2000900E+001, 2.2163230E+000,-1.0734183E-001, 8.6583067E-001, 9.2402918E+000, 8.3053948E+000
 4.3000395E+001, 2.2229652E+000,-4.2655149E-002,-3.7640028E-002, 9.2480582E+000, 8.2323890E+000
 4.4002446E+001, 2.2216968E+000,-1.3222947E-001,-1.4408026E-001, 9.2480700E+000, 8.1906957E+000
 4.5000613E+001, 2.2232498E+000,-1.7082220E-003, 2.3439976E-001, 9.2450484E+000, 8.1601755E+000
 4.6000637E+001, 2.2220942E+000, 9.8935200E-002, 1.0375198E-001, 9.2519113E+000, 8.0835244E+000
 4.7001099E+001, 2.2215455E+000, 2.3154277E-001, 2.6676187E-001, 9.2587979E+000, 8.0542900E+000
 4.8001044E+001, 2.2203734E+000, 3.8775176E-001, 5.2826053E-001, 9.2742312E+000, 8.0800973E+000
 4.9002041E+001, 2.2239061E+000, 3.8667446E-001, 7.5003807E-001, 9.2496821E+000, 8.1475000E+000
 5.0001109E+001, 2.2229806E+000,-2.8099735E-001, 1.8273776E-001, 9.2614015E+000, 8.0983518E+000
 5.1000894E+001, 2.2244353E+000,-1.2588398E-001, 1.2907003E-001, 9.2873836E+000, 8.0712837E+000
 5.2001971E+001, 2.2257967E+000, 4.1631217E-002, 4.9535504E-001, 9.2956696E+000, 8.0845015E+000
 5.3000318E+001, 2.2227717E+000, 2.4981142E-001, 3.3833474E-001, 9.2692739E+000, 8.0937064E+000
 5.4001650E+001, 2.2219222E+000,-8.3507419E-002, 7.3645216E-001, 9.2420892E+000, 8.1471393E+000
 5.5000792E+001, 2.2227067E+000, 5.2408294E-001, 5.8513129E-001, 9.2573239E+000, 8.2120996E+000
 5.6000517E+001, 2.2267252E+000,-2.0813490E-001, 4.8213846E-001, 9.2582873E+000, 8.2157247E+000
 5.7001516E+001, 2.2296067E+000, 3.4718957E-001, 9.1020327E-001, 9.2645834E+000, 8.3067103E+000
 5.8002000E+001, 2.2369178E+000, 1.5470880E-001, 2.8176535E-001, 9.2826801E+000, 8.3145454E+000
 5.9002169E+001, 2.2394161E+000,-8.8969938E-003, 5.5119434E-001, 9.2541894E+000, 8.3226673E+000
 6.0000000E+001, 2.2447402E+000,-2.7068582E-001, 1.1934675E+000, 9.2647984E+000, 8.4543442E+000
