s,kW/m2,m,m,m,deg
 2.3000904E+001, 5.2307468E-001, 3.0809335E-002, 1.5514959E-001, 6.8950255E+000, 6.4135128E+000
 2.4000977E+001, 5.2703332E-001, 5.3033208E-001, 1.8458660E-001, 6.8790386E+000, 6.6553145E+000
 2.5001217E+001, 5.2970051E-001, 2.9219618E-002, 3.1479161E-001, 6.8541442E+000, 6.8609830E+000
 2.6000011E+001, 5.3340656E-001,-3.1994721E-002, 2.1848752E-001, 6.7853575E+000, 6.9010288E+000
 2.7002360E+001, 5.2939553E-001, 4.7384215E-002,-1.2159608E-002, 6.8022637E+000, 6.7812291E+000
 2.8001989E+001, 5.2748501E-001,-1.1525255E-001,-1.4857798E-001, 6.8353621E+000, 6.8472466E+000
 2.9001060E+001, 5.3016582E-001,-2.5391883E-001, 1.9100110E-002, 6.8296333E+000, 6.8961781E+000
 3.0002965E+001, 5.3093959E-001,-3.6836726E-003, 1.7236006E-001, 6.8073188E+000, 6.8856578E+000
 3.1001359E+001, 5.3101313E-001,-1.2870542E-001, 2.4786313E-002, 6.8417890E+000, 6.8914964E+000
 3.2000305E+001, 5.2906421E-001, 1.9831579E-001,-1.7765692E-002, 6.8608117E+000, 6.8925308E+000
 3.3000319E+001, 5.2826856E-001, 1.5787080E-002,-6.8912931E-002, 6.8927933E+000, 6.7749970E+000
 3.4000146E+001, 5.2765432E-001,-7.1388762E-002, 6.0804621E-002, 6.9027605E+000, 6.7146442E+000
 3.5001979E+001, 5.2995978E-001,-5.9101431E-002,-4.0416747E-001, 6.8613392E+000, 6.7787528E+000
 3.6002453E+001, 5.2875875E-001,-6.7899670E-002, 1.7047004E-001, 6.9006334E+000, 6.7343759E+000
 3.7001808E+001, 5.2885991E-001, 3.2065772E-001,-1.3378724E-002, 6.8848540E+000, 6.7080280E+000
 3.8002270E+001, 5.3132443E-001,-1.7099060E-001,-1.6985681E-001, 6.8664416E+000, 6.6729263E+000
 3.9001469E+001, 5.3290698E-001, 5.2713206E-003, 3.4762573E-001, 6.8523401E+000, 6.6880649E+000
 4.0002206E+001, 5.3032857E-001, 1.0213183E-001, 3.9786398E-002, 6.8660063E+000, 6.6555522E+000
 4.1002757E+001, 5.2849949E-001, 4.5204618E-001,-1.3595214E-001, 6.8574532E+000, 6.7250468E+000
 4.2002750E+001, 5.2997827E-001, 2.0758810E-001,-3.5696274E-002, 6.8652232E+000, 6.6894706E+000
 4.3000222E+001, 5.3126605E-001, 2.6452415E-002, 6.1785714E-002, 6.8198549E+000, 6.6809570E+000
 4.4001138E+001, 5.2963985E-001,-6.1386322E-002,-2.6599828E-001, 6.8237077E+000, 6.6757025E+000
 4.5000153E+001, 5.3036576E-001, 3.2269776E-002, 5.3758514E-001, 6.8000830E+000, 6.7415544E+000
 4.6003063E+001, 5.3125481E-001, 1.3172854E-001,-4.8565622E-001, 6.7956040E+000, 6.8228251E+000
 4.7003526E+001, 5.3409243E-001, 2.8353652E-001, 3.2637078E-001, 6.7705652E+000, 6.8782833E+000
 4.8002000E+001, 5.3524688E-001,-5.2624904E-002,-4.3648459E-001, 6.7670515E+000, 6.9596087E+000
 4.9000437E+001, 5.3716872E-001, 1.9138776E-001, 4.3064924E-001, 6.7685296E+000, 7.0061799E+000
 5.0000343E+001, 5.3639491E-001, 2.4417698E-001,-7.6445404E-002, 6.7789035E+000, 7.0180823E+000
 5.1000070E+001, 5.3669718E-001, 1.4564118E-001,-1.2830014E-001, 6.7772729E+000, 6.9816563E+000
 5.2002389E+001, 5.3618854E-001, 1.7991713E-001,-3.9228316E-001, 6.7868070E+000, 7.0268391E+000
 5.3000096E+001, 5.3803241E-001, 1.4024983E-001,-2.4094402E-001, 6.7989429E+000, 6.9929691E+000
 5.4001776E+001, 5.3822263E-001, 2.2080885E-001, 2.9163935E-001, 6.7912677E+000, 6.9957288E+000
 5.5002384E+001, 5.3957760E-001,-3.4439916E-001, 1.0575809E-001, 6.7921503E+000, 7.0091787E+000
 5.6002712E+001, 5.3853550E-001,-3.4541546E-001, 7.3092489E-002, 6.7988987E+000, 7.0385083E+000
 5.7003049E+001, 5.3855927E-001,-2.6409832E-001,-1.1230811E-001, 6.8005523E+000, 7.0297978E+000
 5.8002056E+001, 5.3857006E-001,-2.9278721E-001, 2.6438242E-001, 6.7968295E+000, 7.0047220E+000
 5.9002852E+001, 5.3882753E-001, 9.8774531E-002,-2.3637073E-001, 6.8117688E+000, 6.9888484E+000
 6.0000000E+001, 5.3811528E-001,-5.9836864E-002,-7.8142785E-002, 6.8076090E+000, 6.9365207E+000
