s,kW/m2,m,m,m,deg
 2.3000105E+001, 2.4477744E+000, 5.2519875E-001, 2.6450840E-001, 9.1856278E+000, 1.1633156E+001
 2.4000760E+001, 2.4433212E+000, 4.5790488E-001,-2.2951807E-001, 9.2155298E+000, 1.1397724E+001
 2.5000626E+001, 2.4529221E+000, 6.8742559E-002, 8.4033882E-003, 9.2573015E+000, 1.1109554E+001
 2.6000601E+001, 2.4548482E+000, 4.8254437E-001,-8.8746185E-001, 9.3042637E+000, 1.1246848E+001
 2.7000030E+001, 2.4579397E+000, 3.0724630E-001,-7.1111600E-001, 9.2241050E+000, 1.1287332E+001
 2.8001594E+001, 2.4634459E+000, 4.7959460E-001, 9.8114879E-002, 9.1988741E+000, 1.1246550E+001
 2.9001988E+001, 2.4809808E+000, 3.2927091E-001, 1.1462979E+000, 9.2189495E+000, 1.1452979E+001
 3.0000476E+001, 2.5006489E+000, 4.6689259E-001,-7.1037556E-001, 9.2337054E+000, 1.1685593E+001
 3.1000468E+001, 2.4879569E+000,-1.8237224E-002,-1.1345739E+000, 9.1834851E+000, 1.1805645E+001
 3.2001330E+001, 2.4809890E+000, 9.9837412E-002,-2.3733911E-001, 9.2100308E+000, 1.1662596E+001
 3.3000495E+001, 2.4811375E+000,-6.1352388E-001, 2.1812336E-001, 9.2183592E+000, 1.1680564E+001
 3.4000118E+001, 2.4638607E+000,-2.5421221E-001,-5.3779440E-001, 9.2497819E+000, 1.1679020E+001
 3.5000701E+001, 2.4509940E+000, 5.0783122E-002, 1.1620890E-002, 9.2777375E+000, 1.1555297E+001
 3.6001003E+001, 2.4436632E+000, 2.6344830E-001, 9.9525435E-001, 9.2098821E+000, 1.1643758E+001
 3.7002595E+001, 2.4541502E+000, 4.3217726E-001, 1.7302043E+000, 9.2492692E+000, 1.1959204E+001
 3.8001023E+001, 2.4620790E+000, 6.2885924E-001, 2.3341626E-001, 9.2694949E+000, 1.2013271E+001
 3.9001615E+001, 2.4596632E+000, 2.2854242E-001,-1.1316568E+000, 9.2833281E+000, 1.2100887E+001
 4.0001798E+001, 2.4640217E+000, 5.8311640E-001,-9.9373080E-001, 9.3158166E+000, 1.2214330E+001
 4.1001863E+001, 2.4749933E+000,-3.6116991E-002, 8.9986467E-001, 9.2919762E+000, 1.2229932E+001
 4.2000530E+001, 2.4742372E+000, 7.2683099E-002, 1.7391519E+000, 9.3134673E+000, 1.2481579E+001
 4.3000083E+001, 2.4789853E+000, 2.4638031E-001,-3.4595614E-002, 9.3445947E+000, 1.2450648E+001
 4.4001281E+001, 2.4760537E+000,-3.3890174E-001, 1.3036230E-001, 9.3656745E+000, 1.2386307E+001
 4.5001594E+001, 2.4658758E+000,-4.2088811E-001, 6.7541239E-001, 9.3406874E+000, 1.2355334E+001
 4.6002100E+001, 2.4606436E+000,-1.9312310E-001, 3.5033231E-001, 9.3297672E+000, 1.2254385E+001
 4.7001756E+001, 2.4544179E+000,-5.0410620E-003, 6.5990181E-001, 9.3547783E+000, 1.2196841E+001
 4.8001987E+001, 2.4550172E+000, 5.0449034E-001, 1.7656439E+000, 9.3451569E+000, 1.2421495E+001
 4.9001691E+001, 2.4617460E+000, 2.9629374E-001, 1.7601938E+000, 9.3265403E+000, 1.2622723E+001
 5.0002351E+001, 2.4645233E+000, 2.3977506E-001,-6.7541156E-002, 9.3401267E+000, 1.2571866E+001
 5.1001513E+001, 2.4591488E+000,-3.5768413E-001, 1.4957155E-001, 9.3444369E+000, 1.2564182E+001
 5.2001716E+001, 2.4549286E+000,-5.9586553E-002,-2.3123463E-001, 9.2986540E+000, 1.2492159E+001
 5.3002759E+001, 2.4489472E+000,-6.0928753E-002,-1.2732179E-001, 9.2753393E+000, 1.2386237E+001
 5.4000904E+001, 2.4522477E+000,-3.8990292E-001,-5.0889232E-001, 9.2906119E+000, 1.2320563E+001
 5.5002648E+001, 2.4550663E+000,-1.6132378E-001,-2.9965642E-001, 9.2886579E+000, 1.2280339E+001
 5.6001539E+001, 2.4599141E+000, 2.7755667E-001,-1.4240016E-001, 9.2469018E+000, 1.2254812E+001
 5.7001639E+001, 2.4561394E+000, 1.4464354E-001, 9.8618657E-001, 9.2209404E+000, 1.2285988E+001
 5.8000695E+001, 2.4629472E+000, 6.8959227E-001, 3.0463359E-001, 9.2176468E+000, 1.2292770E+001
 5.9001544E+001, 2.4635731E+000, 4.3116975E-001,-2.6591098E-002, 9.2272294E+000, 1.2245388E+001
 6.0000000E+001, 2.4636609E+000,-3.1262050E-002, 5.6942225E-001, 9.2234713E+000, 1.2237881E+001
