m,C,m,kW
NaN,NaN, 3.2500000E+000, 2.9785186E+002
NaN,NaN, 3.3500000E+000, 3.0050914E+002
NaN,NaN, 3.4500000E+000, 3.0298143E+002
NaN,NaN, 3.5500000E+000, 3.0546322E+002
NaN,NaN, 3.6500000E+000, 3.0734189E+002
NaN,NaN, 3.7500000E+000, 3.0949473E+002
NaN,NaN, 3.8500000E+000, 3.1190773E+002
NaN,NaN, 3.9500000E+000, 3.1534536E+002
NaN,NaN, 4.0500000E+000, 3.1678705E+002
NaN,NaN, 4.1500000E+000, 3.1776123E+002
NaN,NaN, 4.2500000E+000, 3.1947941E+002
NaN,NaN, 4.3500000E+000, 3.2104487E+002
NaN,NaN, 4.4500000E+000, 3.2180369E+002
NaN,NaN, 4.5500000E+000, 3.2309099E+002
NaN,NaN, 4.6500000E+000, 3.2369457E+002
NaN,NaN, 4.7500000E+000, 3.2430732E+002
NaN,NaN, 4.8500000E+000, 3.2386387E+002
NaN,NaN, 4.9500000E+000, 3.2284610E+002
NaN,NaN, 5.0500000E+000, 3.2087404E+002
NaN,NaN, 5.1500000E+000, 3.1904341E+002
NaN,NaN, 5.2500000E+000, 3.1673066E+002
NaN,NaN, 5.3500000E+000, 3.1386839E+002
NaN,NaN, 5.4500000E+000, 3.1073848E+002
NaN,NaN, 5.5500000E+000, 3.0734321E+002
NaN,NaN, 5.6500000E+000, 3.0349206E+002
NaN,NaN, 5.7500000E+000, 2.9955066E+002
NaN,NaN, 5.8500000E+000, 2.9508155E+002
NaN,NaN, 5.9500000E+000, 2.9058223E+002
NaN,NaN, 6.0500000E+000, 2.8580615E+002
NaN,NaN, 6.1500000E+000, 2.8089608E+002
NaN,NaN, 6.2500000E+000, 2.7561071E+002
NaN,NaN, 6.3500000E+000, 2.7010346E+002
NaN,NaN, 6.4500000E+000, 2.6489046E+002
NaN,NaN, 6.5500000E+000, 2.5978176E+002
NaN,NaN, 6.6500000E+000, 2.5416563E+002
NaN,NaN, 6.7500000E+000, 2.4919442E+002
NaN,NaN, 6.8500000E+000, 2.4372192E+002
NaN,NaN, 6.9500000E+000, 2.3850308E+002
NaN,NaN, 7.0500000E+000, 2.3310708E+002
NaN,NaN, 7.1500000E+000, 2.2807741E+002
NaN,NaN, 7.2500000E+000, 2.2272737E+002
NaN,NaN, 7.3500000E+000, 2.1761467E+002
NaN,NaN, 7.4500000E+000, 2.1210856E+002
NaN,NaN, 7.5500000E+000, 2.0715871E+002
NaN,NaN, 7.6500000E+000, 2.0160606E+002
NaN,NaN, 7.7500000E+000, 1.9678229E+002
NaN,NaN, 7.8500000E+000, 1.9106367E+002
NaN,NaN, 7.9500000E+000, 1.8678791E+002
NaN,NaN, 8.0500000E+000, 1.8125737E+002
NaN,NaN, 8.1500000E+000, 1.7617413E+002
NaN,NaN, 8.2500000E+000, 1.7107046E+002
NaN,NaN, 8.3500000E+000, 1.6652836E+002
NaN,NaN, 8.4500000E+000, 1.6148700E+002
NaN,NaN, 8.5500000E+000, 1.5709729E+002
NaN,NaN, 8.6500000E+000, 1.5190271E+002
NaN,NaN, 8.7500000E+000, 1.4735056E+002
NaN,NaN, 8.8500000E+000, 1.4234054E+002
NaN,NaN, 8.9500000E+000, 1.3830272E+002
NaN,NaN, 9.0500000E+000, 1.3360770E+002
NaN,NaN, 9.1500000E+000, 1.2973446E+002
NaN,NaN, 9.2500000E+000, 1.2518409E+002
NaN,NaN, 9.3500000E+000, 1.2108474E+002
NaN,NaN, 9.4500000E+000, 1.1666025E+002
NaN,NaN, 9.5500000E+000, 1.1284462E+002
NaN,NaN, 9.6500000E+000, 1.0857777E+002
NaN,NaN, 9.7500000E+000, 1.0501654E+002
NaN,NaN, 9.8500000E+000, 1.0082201E+002
NaN,NaN, 9.9500000E+000, 9.7364073E+001
NaN,NaN, 1.0050000E+001, 9.2984639E+001
NaN,NaN, 1.0150000E+001, 8.9815506E+001
NaN,NaN, 1.0250000E+001, 8.5954278E+001
NaN,NaN, 1.0350000E+001, 8.2996148E+001
NaN,NaN, 1.0450000E+001, 7.9314236E+001
NaN,NaN, 1.0550000E+001, 7.6434853E+001
NaN,NaN, 1.0650000E+001, 7.2785124E+001
NaN,NaN, 1.0750000E+001, 6.9997252E+001
NaN,NaN, 1.0850000E+001, 6.6689202E+001
NaN,NaN, 1.0950000E+001, 6.3736818E+001
NaN,NaN, 1.1050000E+001, 6.0949647E+001
NaN,NaN, 1.1150000E+001, 5.8652152E+001
NaN,NaN, 1.1250000E+001, 5.6084357E+001
NaN,NaN, 1.1350000E+001, 5.4365794E+001
NaN,NaN, 1.1450000E+001, 5.2032046E+001
NaN,NaN, 1.1550000E+001, 5.0684563E+001
NaN,NaN, 1.1650000E+001, 4.9112847E+001
NaN,NaN, 1.1750000E+001, 4.9181706E+001
NaN,NaN, 1.1850000E+001, 4.8012900E+001
NaN,NaN, 1.1950000E+001, 5.4926909E+001
