m,W/m2/K,kW/m2
 1.7708306E-001, 1.0237134E+002, 7.1670811E+000
 1.8402749E-001, 1.0185919E+002, 7.0829081E+000
 1.9097192E-001, 1.0133005E+002, 6.9969856E+000
 1.9791636E-001, 1.0078422E+002, 6.9107105E+000
 2.0486079E-001, 1.0022199E+002, 6.8226928E+000
 2.1180522E-001, 9.9643676E+001, 6.7344813E+000
 2.1874966E-001, 9.9049591E+001, 6.6441246E+000
 2.2569409E-001, 9.8440057E+001, 6.5538618E+000
 2.3263852E-001, 9.7815403E+001, 6.4615150E+000
 2.3958296E-001, 9.7175966E+001, 6.3698249E+000
 2.4652739E-001, 9.6522089E+001, 6.2764527E+000
 2.5347183E-001, 9.5854118E+001, 6.1836305E+000
 2.6041626E-001, 9.5172410E+001, 6.0894709E+000
 2.6736069E-001, 9.4477323E+001, 5.9959085E+000
 2.7430513E-001, 9.3769223E+001, 5.9010863E+000
 2.8124956E-001, 9.3048480E+001, 5.8061894E+000
 2.8819399E-001, 9.2315466E+001, 5.7093688E+000
 2.9513843E-001, 9.1570562E+001, 5.6118598E+000
 3.0208286E-001, 9.0814148E+001, 5.5132415E+000
 3.0902729E-001, 9.0046611E+001, 5.4145106E+000
 3.1597173E-001, 8.9268339E+001, 5.3148384E+000
 3.2291616E-001, 8.8479724E+001, 5.2159740E+000
 3.2986059E-001, 8.7681161E+001, 5.1166722E+000
 3.3680503E-001, 8.6873045E+001, 5.0188901E+000
 3.4374946E-001, 8.6055776E+001, 4.9204162E+000
 3.5069390E-001, 8.5229753E+001, 4.8226993E+000
 3.5763833E-001, 8.4395377E+001, 4.7248027E+000
 3.6458276E-001, 8.3553050E+001, 4.6293768E+000
 3.7152720E-001, 8.2703175E+001, 4.5329248E+000
 3.7847163E-001, 8.1846178E+001, 4.4389502E+000
 3.8541606E-001, 8.0982579E+001, 4.3436449E+000
 3.9236050E-001, 8.0112551E+001, 4.2513648E+000
 3.9930493E-001, 7.9236524E+001, 4.1575604E+000
 4.0624936E-001, 7.8355041E+001, 4.0667769E+000
 4.1319380E-001, 7.7468251E+001, 3.9757963E+000
 4.2013823E-001, 7.6576717E+001, 3.8911013E+000
 4.2708266E-001, 7.5680785E+001, 3.8015470E+000
 4.3402710E-001, 7.4780978E+001, 3.7224343E+000
 4.4097153E-001, 7.3878362E+001, 3.6355822E+000
 4.4791597E-001, 7.2972599E+001, 3.5577387E+000
 4.5486040E-001, 7.2065261E+001, 3.4725375E+000
 4.6180483E-001, 7.1154340E+001, 3.3960635E+000
 4.6874927E-001, 7.0245155E+001, 3.3146304E+000
 4.7569370E-001, 6.9330772E+001, 3.2374913E+000
 4.8263813E-001, 6.8417432E+001, 3.1577808E+000
 4.8958257E-001, 6.7496287E+001, 3.0840537E+000
 4.9652700E-001, 6.6574492E+001, 3.0040335E+000
