m,kW/m2,W/m2/K,C,C,kg/m/s,m2/s,kg/m3,m,C,m/s
x,q_wall,h_wall,T_wall,T_gas,mu_wall,nu_wall,rho_wall,z,Tz,Uz
 4.4500000E+000,-6.9998541E-003, 1.6003277E+002, 2.1000000E+001, 2.0956260E+001, 1.0000000E-003, 8.3638225E-004, 1.1956256E+000, 8.9795918E-001, 2.0000000E+001, 1.0022804E+000
 4.5500000E+000,-6.9221845E-003, 1.6003165E+002, 2.1000000E+001, 2.0956745E+001, 1.0000000E-003, 8.3638363E-004, 1.1956236E+000, 9.1836735E-001, 2.0000000E+001, 1.0015796E+000
 4.6500000E+000,-6.8470410E-003, 1.6003060E+002, 2.1000000E+001, 2.0957214E+001, 1.0000000E-003, 8.3638496E-004, 1.1956217E+000, 9.3877551E-001, 2.0000000E+001, 1.0009616E+000
 4.7500000E+000,-6.7742869E-003, 1.6002960E+002, 2.1000000E+001, 2.0957669E+001, 1.0000000E-003, 8.3638625E-004, 1.1956198E+000, 9.5918367E-001, 2.0000000E+001, 1.0004539E+000
 4.8500000E+000,-6.7037955E-003, 1.6002866E+002, 2.1000000E+001, 2.0958109E+001, 1.0000000E-003, 8.3638751E-004, 1.1956181E+000, 9.7959184E-001, 2.0000000E+001, 1.0001107E+000
 4.9500000E+000,-6.6354496E-003, 1.6002777E+002, 2.1000000E+001, 2.0958536E+001, 1.0000000E-003, 8.3638872E-004, 1.1956163E+000, 1.0000000E+000, 2.0000000E+001, 0.0000000E+000
 5.0500000E+000,-6.5691403E-003, 1.6002693E+002, 2.1000000E+001, 2.0958950E+001, 1.0000000E-003, 8.3638990E-004, 1.1956146E+000,NaN,NaN,NaN
 5.1500000E+000,-6.5047663E-003, 1.6002612E+002, 2.1000000E+001, 2.0959352E+001, 1.0000000E-003, 8.3639104E-004, 1.1956130E+000,NaN,NaN,NaN
 5.2500000E+000,-6.4422333E-003, 1.6002536E+002, 2.1000000E+001, 2.0959742E+001, 1.0000000E-003, 8.3639215E-004, 1.1956114E+000,NaN,NaN,NaN
 5.3500000E+000,-6.3814536E-003, 1.6002463E+002, 2.1000000E+001, 2.0960122E+001, 1.0000000E-003, 8.3639323E-004, 1.1956099E+000,NaN,NaN,NaN
 5.4500000E+000,-6.3223449E-003, 1.6002394E+002, 2.1000000E+001, 2.0960491E+001, 1.0000000E-003, 8.3639428E-004, 1.1956084E+000,NaN,NaN,NaN
 5.5500000E+000,-6.2648305E-003, 1.6002328E+002, 2.1000000E+001, 2.0960851E+001, 1.0000000E-003, 8.3639530E-004, 1.1956069E+000,NaN,NaN,NaN
 5.6500000E+000,-6.2088386E-003, 1.6002265E+002, 2.1000000E+001, 2.0961200E+001, 1.0000000E-003, 8.3639630E-004, 1.1956055E+000,NaN,NaN,NaN
 5.7500000E+000,-6.1543018E-003, 1.6002205E+002, 2.1000000E+001, 2.0961541E+001, 1.0000000E-003, 8.3639727E-004, 1.1956041E+000,NaN,NaN,NaN
 5.8500000E+000,-6.1011568E-003, 1.6002148E+002, 2.1000000E+001, 2.0961873E+001, 1.0000000E-003, 8.3639821E-004, 1.1956027E+000,NaN,NaN,NaN
 5.9500000E+000,-6.0493442E-003, 1.6002093E+002, 2.1000000E+001, 2.0962197E+001, 1.0000000E-003, 8.3639913E-004, 1.1956014E+000,NaN,NaN,NaN
 6.0500000E+000,-5.9988081E-003, 1.6002040E+002, 2.1000000E+001, 2.0962512E+001, 1.0000000E-003, 8.3640003E-004, 1.1956002E+000,NaN,NaN,NaN
 6.1500000E+000,-5.9494956E-003, 1.6001990E+002, 2.1000000E+001, 2.0962820E+001, 1.0000000E-003, 8.3640090E-004, 1.1955989E+000,NaN,NaN,NaN
 6.2500000E+000,-5.9013572E-003, 1.6001941E+002, 2.1000000E+001, 2.0963121E+001, 1.0000000E-003, 8.3640176E-004, 1.1955977E+000,NaN,NaN,NaN
 6.3500000E+000,-5.8543457E-003, 1.6001895E+002, 2.1000000E+001, 2.0963415E+001, 1.0000000E-003, 8.3640260E-004, 1.1955965E+000,NaN,NaN,NaN
 6.4500000E+000,-5.8084168E-003, 1.6001851E+002, 2.1000000E+001, 2.0963702E+001, 1.0000000E-003, 8.3640341E-004, 1.1955953E+000,NaN,NaN,NaN
 6.5500000E+000,-5.7635285E-003, 1.6001808E+002, 2.1000000E+001, 2.0963982E+001, 1.0000000E-003, 8.3640421E-004, 1.1955942E+000,NaN,NaN,NaN
 6.6500000E+000,-5.7196409E-003, 1.6001767E+002, 2.1000000E+001, 2.0964256E+001, 1.0000000E-003, 8.3640499E-004, 1.1955931E+000,NaN,NaN,NaN
 6.7500000E+000,-5.6767163E-003, 1.6001727E+002, 2.1000000E+001, 2.0964524E+001, 1.0000000E-003, 8.3640575E-004, 1.1955920E+000,NaN,NaN,NaN
 6.8500000E+000,-5.6347188E-003, 1.6001689E+002, 2.1000000E+001, 2.0964787E+001, 1.0000000E-003, 8.3640650E-004, 1.1955909E+000,NaN,NaN,NaN
 6.9500000E+000,-5.5936142E-003, 1.6001653E+002, 2.1000000E+001, 2.0965044E+001, 1.0000000E-003, 8.3640723E-004, 1.1955899E+000,NaN,NaN,NaN
 7.0500000E+000,-5.5533701E-003, 1.6001618E+002, 2.1000000E+001, 2.0965295E+001, 1.0000000E-003, 8.3640794E-004, 1.1955888E+000,NaN,NaN,NaN
 7.1500000E+000,-5.5139555E-003, 1.6001584E+002, 2.1000000E+001, 2.0965541E+001, 1.0000000E-003, 8.3640864E-004, 1.1955878E+000,NaN,NaN,NaN
 7.2500000E+000,-5.4753409E-003, 1.6001551E+002, 2.1000000E+001, 2.0965782E+001, 1.0000000E-003, 8.3640933E-004, 1.1955869E+000,NaN,NaN,NaN
 7.3500000E+000,-5.4374979E-003, 1.6001520E+002, 2.1000000E+001, 2.0966019E+001, 1.0000000E-003, 8.3641000E-004, 1.1955859E+000,NaN,NaN,NaN
 7.4500000E+000,-5.4003996E-003, 1.6001489E+002, 2.1000000E+001, 2.0966251E+001, 1.0000000E-003, 8.3641066E-004, 1.1955850E+000,NaN,NaN,NaN
 7.5500000E+000,-5.3640200E-003, 1.6001460E+002, 2.1000000E+001, 2.0966478E+001, 1.0000000E-003, 8.3641131E-004, 1.1955840E+000,NaN,NaN,NaN
 7.6500000E+000,-5.3283345E-003, 1.6001432E+002, 2.1000000E+001, 2.0966701E+001, 1.0000000E-003, 8.3641194E-004, 1.1955831E+000,NaN,NaN,NaN
 7.7500000E+000,-5.2933190E-003, 1.6001405E+002, 2.1000000E+001, 2.0966920E+001, 1.0000000E-003, 8.3641256E-004, 1.1955822E+000,NaN,NaN,NaN
 7.8500000E+000,-5.2589507E-003, 1.6001379E+002, 2.1000000E+001, 2.0967134E+001, 1.0000000E-003, 8.3641317E-004, 1.1955814E+000,NaN,NaN,NaN
 7.9500000E+000,-5.2252074E-003, 1.6001353E+002, 2.1000000E+001, 2.0967345E+001, 1.0000000E-003, 8.3641377E-004, 1.1955805E+000,NaN,NaN,NaN
 8.0500000E+000,-5.1920677E-003, 1.6001329E+002, 2.1000000E+001, 2.0967552E+001, 1.0000000E-003, 8.3641436E-004, 1.1955797E+000,NaN,NaN,NaN
 8.1500000E+000,-5.1595112E-003, 1.6001306E+002, 2.1000000E+001, 2.0967756E+001, 1.0000000E-003, 8.3641494E-004, 1.1955788E+000,NaN,NaN,NaN
 8.2500000E+000,-5.1275176E-003, 1.6001283E+002, 2.1000000E+001, 2.0967956E+001, 1.0000000E-003, 8.3641551E-004, 1.1955780E+000,NaN,NaN,NaN
 8.3500000E+000,-5.0960676E-003, 1.6001261E+002, 2.1000000E+001, 2.0968152E+001, 1.0000000E-003, 8.3641607E-004, 1.1955772E+000,NaN,NaN,NaN
 8.4500000E+000,-5.0651423E-003, 1.6001241E+002, 2.1000000E+001, 2.0968345E+001, 1.0000000E-003, 8.3641662E-004, 1.1955764E+000,NaN,NaN,NaN
 8.5500000E+000,-5.0347232E-003, 1.6001220E+002, 2.1000000E+001, 2.0968535E+001, 1.0000000E-003, 8.3641716E-004, 1.1955757E+000,NaN,NaN,NaN
 8.6500000E+000,-5.0047923E-003, 1.6001201E+002, 2.1000000E+001, 2.0968722E+001, 1.0000000E-003, 8.3641769E-004, 1.1955749E+000,NaN,NaN,NaN
 8.7500000E+000,-4.9753319E-003, 1.6001183E+002, 2.1000000E+001, 2.0968906E+001, 1.0000000E-003, 8.3641821E-004, 1.1955742E+000,NaN,NaN,NaN
 8.8500000E+000,-4.9463246E-003, 1.6001165E+002, 2.1000000E+001, 2.0969088E+001, 1.0000000E-003, 8.3641873E-004, 1.1955734E+000,NaN,NaN,NaN
 8.9500000E+000,-4.9177533E-003, 1.6001148E+002, 2.1000000E+001, 2.0969266E+001, 1.0000000E-003, 8.3641924E-004, 1.1955727E+000,NaN,NaN,NaN
 9.0500000E+000,-4.8896010E-003, 1.6001131E+002, 2.1000000E+001, 2.0969442E+001, 1.0000000E-003, 8.3641974E-004, 1.1955720E+000,NaN,NaN,NaN
 9.1500000E+000,-4.8618511E-003, 1.6001116E+002, 2.1000000E+001, 2.0969616E+001, 1.0000000E-003, 8.3642023E-004, 1.1955713E+000,NaN,NaN,NaN
 9.2500000E+000,-4.8344872E-003, 1.6001101E+002, 2.1000000E+001, 2.0969787E+001, 1.0000000E-003, 8.3642072E-004, 1.1955706E+000,NaN,NaN,NaN
 9.3500000E+000,-4.8074932E-003, 1.6001087E+002, 2.1000000E+001, 2.0969955E+001, 1.0000000E-003, 8.3642120E-004, 1.1955699E+000,NaN,NaN,NaN
 9.4500000E+000,-4.7808547E-003, 1.6001073E+002, 2.1000000E+001, 2.0970122E+001, 1.0000000E-003, 8.3642167E-004, 1.1955692E+000,NaN,NaN,NaN
 9.5500000E+000,-4.7545606E-003, 1.6001060E+002, 2.1000000E+001, 2.0970286E+001, 1.0000000E-003, 8.3642214E-004, 1.1955686E+000,NaN,NaN,NaN
 9.6500000E+000,-4.7286109E-003, 1.6001047E+002, 2.1000000E+001, 2.0970448E+001, 1.0000000E-003, 8.3642260E-004, 1.1955679E+000,NaN,NaN,NaN
 9.7500000E+000,-4.7030398E-003, 1.6001032E+002, 2.1000000E+001, 2.0970608E+001, 1.0000000E-003, 8.3642305E-004, 1.1955672E+000,NaN,NaN,NaN
 9.8500000E+000,-4.6780062E-003, 1.6001007E+002, 2.1000000E+001, 2.0970764E+001, 1.0000000E-003, 8.3642350E-004, 1.1955666E+000,NaN,NaN,NaN
 9.9500000E+000,-4.6542227E-003, 1.6000943E+002, 2.1000000E+001, 2.0970913E+001, 1.0000000E-003, 8.3642392E-004, 1.1955660E+000,NaN,NaN,NaN
