s,kW,kW
Time,qdot1,qdot2
 1.4200453E+002, 1.4760731E+000, 1.0909499E+001
 1.4326679E+002, 1.4759928E+000, 1.0902490E+001
 1.4421349E+002, 1.4759235E+000, 1.0893854E+001
 1.4516019E+002, 1.4758730E+000, 1.0885298E+001
 1.4610688E+002, 1.4758297E+000, 1.0876364E+001
 1.4705358E+002, 1.4757926E+000, 1.0867896E+001
 1.4800028E+002, 1.4757608E+000, 1.0860485E+001
 1.4926254E+002, 1.4757299E+000, 1.0853432E+001
 1.5020924E+002, 1.4757043E+000, 1.0847550E+001
 1.5115593E+002, 1.4756853E+000, 1.0843247E+001
 1.5210263E+002, 1.4756679E+000, 1.0839779E+001
 1.5304933E+002, 1.4756509E+000, 1.0837692E+001
 1.5431159E+002, 1.4756301E+000, 1.0837707E+001
 1.5525829E+002, 1.4756075E+000, 1.0840019E+001
 1.5620498E+002, 1.4755866E+000, 1.0843353E+001
 1.5715168E+002, 1.4755636E+000, 1.0847398E+001
 1.5809838E+002, 1.4755379E+000, 1.0852067E+001
 1.5904507E+002, 1.4755086E+000, 1.0857332E+001
 1.6030734E+002, 1.4754696E+000, 1.0863975E+001
 1.6125403E+002, 1.4754269E+000, 1.0870558E+001
 1.6220073E+002, 1.4753877E+000, 1.0875664E+001
 1.6314743E+002, 1.4753466E+000, 1.0880141E+001
 1.6409412E+002, 1.4753041E+000, 1.0884053E+001
 1.6504082E+002, 1.4752603E+000, 1.0887456E+001
 1.6630308E+002, 1.4752088E+000, 1.0890194E+001
 1.6724978E+002, 1.4751587E+000, 1.0891189E+001
 1.6819648E+002, 1.4751176E+000, 1.0891036E+001
 1.6914317E+002, 1.4750777E+000, 1.0890655E+001
 1.7008987E+002, 1.4750396E+000, 1.0890344E+001
 1.7103657E+002, 1.4750046E+000, 1.0889839E+001
 1.7229883E+002, 1.4749689E+000, 1.0888364E+001
 1.7324553E+002, 1.4749385E+000, 1.0886117E+001
 1.7419222E+002, 1.4749172E+000, 1.0884340E+001
 1.7513892E+002, 1.4749001E+000, 1.0883387E+001
 1.7608562E+002, 1.4748870E+000, 1.0883326E+001
 1.7703231E+002, 1.4748784E+000, 1.0883723E+001
 1.7829458E+002, 1.4748749E+000, 1.0884076E+001
 1.7924127E+002, 1.4748779E+000, 1.0884145E+001
 1.8018797E+002, 1.4748855E+000, 1.0884347E+001
 1.8113467E+002, 1.4748971E+000, 1.0885024E+001
 1.8208136E+002, 1.4749130E+000, 1.0886219E+001
 1.8302806E+002, 1.4749334E+000, 1.0887750E+001
 1.8429032E+002, 1.4749626E+000, 1.0889582E+001
 1.8523702E+002, 1.4749984E+000, 1.0891204E+001
 1.8618372E+002, 1.4750341E+000, 1.0892383E+001
 1.8713041E+002, 1.4750731E+000, 1.0893341E+001
 1.8807711E+002, 1.4751154E+000, 1.0893887E+001
 1.8902381E+002, 1.4751617E+000, 1.0894145E+001
 1.9028607E+002, 1.4752208E+000, 1.0894150E+001
 1.9123277E+002, 1.4752850E+000, 1.0893225E+001
 1.9217946E+002, 1.4753438E+000, 1.0891297E+001
 1.9312616E+002, 1.4754053E+000, 1.0888482E+001
 1.9407286E+002, 1.4754691E+000, 1.0885042E+001
 1.9501955E+002, 1.4755354E+000, 1.0881319E+001
 1.9628182E+002, 1.4756159E+000, 1.0877096E+001
 1.9722851E+002, 1.4756994E+000, 1.0873242E+001
 1.9817521E+002, 1.4757732E+000, 1.0870331E+001
 1.9912191E+002, 1.4758481E+000, 1.0867907E+001
