m,W/m2/K,kW/m2
-2.6736069E-001, 3.5537342E+001, 2.1221278E+000
-2.6041626E-001, 3.5798796E+001, 2.1586043E+000
-2.5347183E-001, 3.6055219E+001, 2.1944434E+000
-2.4652739E-001, 3.6306474E+001, 2.2306984E+000
-2.3958296E-001, 3.6552428E+001, 2.2666151E+000
-2.3263852E-001, 3.6792950E+001, 2.3027884E+000
-2.2569409E-001, 3.7027911E+001, 2.3385544E+000
-2.1874966E-001, 3.7257186E+001, 2.3742988E+000
-2.1180522E-001, 3.7480649E+001, 2.4096735E+000
-2.0486079E-001, 3.7698180E+001, 2.4447237E+000
-1.9791636E-001, 3.7909659E+001, 2.4791034E+000
-1.9097192E-001, 3.8114972E+001, 2.5128701E+000
-1.8402749E-001, 3.8314005E+001, 2.5457650E+000
-1.7708306E-001, 3.8506649E+001, 2.5780048E+000
-1.7013862E-001, 3.8692797E+001, 2.6093408E+000
-1.6319419E-001, 3.8872346E+001, 2.6400487E+000
-1.5624976E-001, 3.9045195E+001, 2.6699576E+000
-1.4930532E-001, 3.9211248E+001, 2.6989927E+000
-1.4236089E-001, 3.9370412E+001, 2.7270210E+000
-1.3541645E-001, 3.9522598E+001, 2.7540059E+000
-1.2847202E-001, 3.9667719E+001, 2.7800600E+000
-1.2152759E-001, 3.9805693E+001, 2.8048370E+000
-1.1458315E-001, 3.9936443E+001, 2.8282185E+000
-1.0763872E-001, 4.0059894E+001, 2.8499250E+000
-1.0069429E-001, 4.0175976E+001, 2.8707859E+000
-9.3749853E-002, 4.0284623E+001, 2.8900480E+000
-8.6805420E-002, 4.0385772E+001, 2.9084339E+000
-7.9860986E-002, 4.0479366E+001, 2.9251255E+000
-7.2916552E-002, 4.0565351E+001, 2.9404273E+000
-6.5972119E-002, 4.0643677E+001, 2.9524712E+000
-5.9027685E-002, 4.0714301E+001, 2.9631581E+000
-5.2083252E-002, 4.0777180E+001, 2.9726376E+000
-4.5138818E-002, 4.0832279E+001, 2.9821153E+000
-3.8194385E-002, 4.0879566E+001, 2.9889725E+000
-3.1249951E-002, 4.0919013E+001, 2.9957477E+000
-2.4305517E-002, 4.0950599E+001, 3.0049621E+000
-1.7361084E-002, 4.0974304E+001, 3.0108759E+000
-1.0416650E-002, 4.0990115E+001, 3.0139515E+000
-3.4722168E-003, 4.0998023E+001, 3.0108862E+000
 3.4722168E-003, 4.0998023E+001, 3.0127216E+000
 1.0416650E-002, 4.0990115E+001, 3.0121514E+000
 1.7361084E-002, 4.0974304E+001, 3.0076979E+000
 2.4305517E-002, 4.0950599E+001, 3.0035832E+000
 3.1249951E-002, 4.0919013E+001, 3.0020039E+000
 3.8194385E-002, 4.0879566E+001, 2.9962718E+000
 4.5138818E-002, 4.0832279E+001, 2.9885328E+000
 5.2083252E-002, 4.0777180E+001, 2.9802677E+000
 5.9027685E-002, 4.0714301E+001, 2.9702675E+000
 6.5972119E-002, 4.0643677E+001, 2.9579143E+000
 7.2916552E-002, 4.0565351E+001, 2.9433456E+000
 7.9860986E-002, 4.0479366E+001, 2.9263827E+000
 8.6805420E-002, 4.0385772E+001, 2.9078399E+000
 9.3749853E-002, 4.0284623E+001, 2.8880382E+000
 1.0069429E-001, 4.0175976E+001, 2.8669005E+000
 1.0763872E-001, 4.0059894E+001, 2.8437641E+000
 1.1458315E-001, 3.9936443E+001, 2.8199268E+000
 1.2152759E-001, 3.9805693E+001, 2.7955594E+000
 1.2847202E-001, 3.9667719E+001, 2.7706514E+000
 1.3541645E-001, 3.9522598E+001, 2.7442695E+000
 1.4236089E-001, 3.9370412E+001, 2.7169240E+000
 1.4930532E-001, 3.9211248E+001, 2.6883870E+000
 1.5624976E-001, 3.9045195E+001, 2.6591931E+000
 1.6319419E-001, 3.8872346E+001, 2.6295337E+000
 1.7013862E-001, 3.8692797E+001, 2.5991968E+000
 1.7708306E-001, 3.8506649E+001, 2.5681838E+000
 1.8402749E-001, 3.8314005E+001, 2.5363760E+000
 1.9097192E-001, 3.8114972E+001, 2.5039373E+000
 1.9791636E-001, 3.7909659E+001, 2.4707080E+000
 2.0486079E-001, 3.7698180E+001, 2.4370019E+000
 2.1180522E-001, 3.7480649E+001, 2.4027482E+000
 2.1874966E-001, 3.7257186E+001, 2.3682594E+000
 2.2569409E-001, 3.7027911E+001, 2.3334331E+000
 2.3263852E-001, 3.6792950E+001, 2.2986300E+000
 2.3958296E-001, 3.6552428E+001, 2.2637543E+000
 2.4652739E-001, 3.6306474E+001, 2.2292409E+000
 2.5347183E-001, 3.6055219E+001, 2.1945750E+000
 2.6041626E-001, 3.5798796E+001, 2.1603278E+000
 2.6736069E-001, 3.5537342E+001, 2.1258221E+000
 2.7430513E-001, 3.5270992E+001, 2.0916979E+000
 2.8124956E-001, 3.4999887E+001, 2.0571113E+000
 2.8819399E-001, 3.4724166E+001, 2.0227419E+000
 2.9513843E-001, 3.4443973E+001, 1.9876501E+000
 3.0208286E-001, 3.4159450E+001, 1.9528753E+000
 3.0902729E-001, 3.3870744E+001, 1.9170560E+000
 3.1597173E-001, 3.3577999E+001, 1.8816465E+000
 3.2291616E-001, 3.3281364E+001, 1.8451905E+000
 3.2986059E-001, 3.2980987E+001, 1.8096102E+000
 3.3680503E-001, 3.2677017E+001, 1.7735300E+000
 3.4374946E-001, 3.2369604E+001, 1.7381713E+000
 3.5069390E-001, 3.2058898E+001, 1.7025834E+000
 3.5763833E-001, 3.1745050E+001, 1.6675114E+000
 3.6458276E-001, 3.1428211E+001, 1.6324359E+000
 3.7152720E-001, 3.1108534E+001, 1.5977970E+000
 3.7847163E-001, 3.0786168E+001, 1.5629935E+000
 3.8541606E-001, 3.0461267E+001, 1.5289843E+000
 3.9236050E-001, 3.0133981E+001, 1.4947306E+000
 3.9930493E-001, 2.9804462E+001, 1.4616494E+000
 4.0624936E-001, 2.9472860E+001, 1.4279556E+000
 4.1319380E-001, 2.9139326E+001, 1.3960709E+000
 4.2013823E-001, 2.8804110E+001, 1.3633760E+000
 4.2708266E-001, 2.8467377E+001, 1.3326816E+000
 4.3402710E-001, 2.8129158E+001, 1.3008954E+000
 4.4097153E-001, 2.7789479E+001, 1.2706708E+000
 4.4791597E-001, 2.7448835E+001, 1.2400259E+000
 4.5486040E-001, 2.7107124E+001, 1.2109611E+000
 4.6180483E-001, 2.6764693E+001, 1.1818806E+000
 4.6874927E-001, 2.6421104E+001, 1.1542601E+000
 4.7569370E-001, 2.6076582E+001, 1.1270699E+000
 4.8263813E-001, 2.5732161E+001, 1.1009108E+000
 4.8958257E-001, 2.5386569E+001, 1.0751545E+000
 4.9652700E-001, 2.5040546E+001, 1.0503313E+000
