m,kW/m2,W/m2/K,C,C,kg/m/s,m2/s,kg/m3,m,C,m/s
 1.2498750E+000,-8.3585988E-003, 1.6006427E+002, 2.1000000E+001, 2.0947780E+001, 1.0000000E-003, 8.3635813E-004, 1.1956600E+000, 2.4489796E-001, 2.0154686E+001, 1.0193126E+000
 1.3500000E+000,-8.0336257E-003, 1.6005693E+002, 2.1000000E+001, 2.0949808E+001, 1.0000000E-003, 8.3636390E-004, 1.1956518E+000, 2.6530612E-001, 2.0118761E+001, 1.0337121E+000
 1.4500000E+000,-7.7425879E-003, 1.6005083E+002, 2.1000000E+001, 2.0951624E+001, 1.0000000E-003, 8.3636907E-004, 1.1956444E+000, 2.8571429E-001, 2.0089261E+001, 1.0414460E+000
 1.5500000E+000,-7.4800571E-003, 1.6004572E+002, 2.1000000E+001, 2.0953263E+001, 1.0000000E-003, 8.3637373E-004, 1.1956378E+000, 3.0612245E-001, 2.0065466E+001, 1.0445891E+000
 1.6500000E+000,-7.2417520E-003, 1.6004138E+002, 2.1000000E+001, 2.0954751E+001, 1.0000000E-003, 8.3637796E-004, 1.1956317E+000, 3.2653061E-001, 2.0047320E+001, 1.0444985E+000
 1.7500000E+000,-7.0242410E-003, 1.6003766E+002, 2.1000000E+001, 2.0956109E+001, 1.0000000E-003, 8.3638182E-004, 1.1956262E+000, 3.4693878E-001, 2.0033331E+001, 1.0428366E+000
 1.8500000E+000,-6.8247355E-003, 1.6003445E+002, 2.1000000E+001, 2.0957355E+001, 1.0000000E-003, 8.3638536E-004, 1.1956211E+000, 3.6734694E-001, 2.0022952E+001, 1.0403216E+000
 1.9500000E+000,-6.6409409E-003, 1.6003165E+002, 2.1000000E+001, 2.0958502E+001, 1.0000000E-003, 8.3638863E-004, 1.1956165E+000, 3.8775510E-001, 2.0015552E+001, 1.0375041E+000
 2.0500000E+000,-6.4709486E-003, 1.6002920E+002, 2.1000000E+001, 2.0959564E+001, 1.0000000E-003, 8.3639164E-004, 1.1956121E+000, 4.0816327E-001, 2.0010237E+001, 1.0346894E+000
 2.1500000E+000,-6.3131562E-003, 1.6002704E+002, 2.1000000E+001, 2.0960549E+001, 1.0000000E-003, 8.3639445E-004, 1.1956081E+000, 4.2857143E-001, 2.0006626E+001, 1.0320235E+000
 2.2500000E+000,-6.1662061E-003, 1.6002512E+002, 2.1000000E+001, 2.0961467E+001, 1.0000000E-003, 8.3639706E-004, 1.1956044E+000, 4.4897959E-001, 2.0004200E+001, 1.0295619E+000
 2.3500000E+000,-6.0289400E-003, 1.6002341E+002, 2.1000000E+001, 2.0962325E+001, 1.0000000E-003, 8.3639950E-004, 1.1956009E+000, 4.6938776E-001, 2.0002578E+001, 1.0272991E+000
 2.4500000E+000,-5.9003622E-003, 1.6002189E+002, 2.1000000E+001, 2.0963128E+001, 1.0000000E-003, 8.3640178E-004, 1.1955976E+000, 4.8979592E-001, 2.0001572E+001, 1.0252445E+000
 2.5500000E+000,-5.7796120E-003, 1.6002051E+002, 2.1000000E+001, 2.0963882E+001, 1.0000000E-003, 8.3640392E-004, 1.1955946E+000, 5.1020408E-001, 2.0000931E+001, 1.0233561E+000
 2.6500000E+000,-5.6659407E-003, 1.6001928E+002, 2.1000000E+001, 2.0964592E+001, 1.0000000E-003, 8.3640594E-004, 1.1955917E+000, 5.3061224E-001, 2.0000535E+001, 1.0216138E+000
 2.7500000E+000,-5.5586941E-003, 1.6001816E+002, 2.1000000E+001, 2.0965262E+001, 1.0000000E-003, 8.3640785E-004, 1.1955890E+000, 5.5102041E-001, 2.0000307E+001, 1.0200089E+000
 2.8500000E+000,-5.4572976E-003, 1.6001714E+002, 2.1000000E+001, 2.0965896E+001, 1.0000000E-003, 8.3640965E-004, 1.1955864E+000, 5.7142857E-001, 2.0000169E+001, 1.0185091E+000
 2.9500000E+000,-5.3612444E-003, 1.6001621E+002, 2.1000000E+001, 2.0966496E+001, 1.0000000E-003, 8.3641136E-004, 1.1955840E+000, 5.9183673E-001, 2.0000092E+001, 1.0171063E+000
 3.0500000E+000,-5.2700858E-003, 1.6001536E+002, 2.1000000E+001, 2.0967065E+001, 1.0000000E-003, 8.3641298E-004, 1.1955816E+000, 6.1224490E-001, 2.0000049E+001, 1.0157889E+000
 3.1500000E+000,-5.1834228E-003, 1.6001458E+002, 2.1000000E+001, 2.0967607E+001, 1.0000000E-003, 8.3641452E-004, 1.1955794E+000, 6.3265306E-001, 2.0000025E+001, 1.0145405E+000
 3.2500000E+000,-5.1008998E-003, 1.6001387E+002, 2.1000000E+001, 2.0968122E+001, 1.0000000E-003, 8.3641598E-004, 1.1955773E+000, 6.5306122E-001, 2.0000013E+001, 1.0133589E+000
 3.3500000E+000,-5.0221982E-003, 1.6001321E+002, 2.1000000E+001, 2.0968614E+001, 1.0000000E-003, 8.3641738E-004, 1.1955753E+000, 6.7346939E-001, 2.0000006E+001, 1.0122328E+000
 3.4500000E+000,-4.9470324E-003, 1.6001260E+002, 2.1000000E+001, 2.0969083E+001, 1.0000000E-003, 8.3641872E-004, 1.1955734E+000, 6.9387755E-001, 2.0000003E+001, 1.0111543E+000
 3.5500000E+000,-4.8751451E-003, 1.6001204E+002, 2.1000000E+001, 2.0969533E+001, 1.0000000E-003, 8.3641999E-004, 1.1955716E+000, 7.1428571E-001, 2.0000002E+001, 1.0101238E+000
 3.6500000E+000,-4.8063041E-003, 1.6001152E+002, 2.1000000E+001, 2.0969963E+001, 1.0000000E-003, 8.3642122E-004, 1.1955699E+000, 7.3469388E-001, 2.0000001E+001, 1.0091310E+000
 3.7500000E+000,-4.7402991E-003, 1.6001103E+002, 2.1000000E+001, 2.0970375E+001, 1.0000000E-003, 8.3642239E-004, 1.1955682E+000, 7.5510204E-001, 2.0000000E+001, 1.0081734E+000
 3.8500000E+000,-4.6769396E-003, 1.6001058E+002, 2.1000000E+001, 2.0970771E+001, 1.0000000E-003, 8.3642352E-004, 1.1955666E+000, 7.7551020E-001, 2.0000000E+001, 1.0072496E+000
 3.9500000E+000,-4.6160521E-003, 1.6001016E+002, 2.1000000E+001, 2.0971152E+001, 1.0000000E-003, 8.3642460E-004, 1.1955650E+000, 7.9591837E-001, 2.0000000E+001, 1.0063535E+000
 4.0500000E+000,-4.5574786E-003, 1.6000976E+002, 2.1000000E+001, 2.0971517E+001, 1.0000000E-003, 8.3642564E-004, 1.1955635E+000, 8.1632653E-001, 2.0000000E+001, 1.0054848E+000
 4.1500000E+000,-4.5010747E-003, 1.6000939E+002, 2.1000000E+001, 2.0971870E+001, 1.0000000E-003, 8.3642664E-004, 1.1955621E+000, 8.3673469E-001, 2.0000000E+001, 1.0046420E+000
 4.2500000E+000,-4.4467084E-003, 1.6000905E+002, 2.1000000E+001, 2.0972210E+001, 1.0000000E-003, 8.3642761E-004, 1.1955607E+000, 8.5714286E-001, 2.0000000E+001, 1.0038237E+000
 4.3500000E+000,-4.3942584E-003, 1.6000872E+002, 2.1000000E+001, 2.0972537E+001, 1.0000000E-003, 8.3642854E-004, 1.1955594E+000, 8.7755102E-001, 2.0000000E+001, 1.0030361E+000
 4.4500000E+000,-4.3436134E-003, 1.6000841E+002, 2.1000000E+001, 2.0972854E+001, 1.0000000E-003, 8.3642944E-004, 1.1955581E+000, 8.9795918E-001, 2.0000000E+001, 1.0022850E+000
 4.5500000E+000,-4.2946709E-003, 1.6000813E+002, 2.1000000E+001, 2.0973160E+001, 1.0000000E-003, 8.3643031E-004, 1.1955569E+000, 9.1836735E-001, 2.0000000E+001, 1.0015829E+000
 4.6500000E+000,-4.2473363E-003, 1.6000785E+002, 2.1000000E+001, 2.0973455E+001, 1.0000000E-003, 8.3643115E-004, 1.1955557E+000, 9.3877551E-001, 2.0000000E+001, 1.0009637E+000
 4.7500000E+000,-4.2015224E-003, 1.6000759E+002, 2.1000000E+001, 2.0973742E+001, 1.0000000E-003, 8.3643196E-004, 1.1955545E+000, 9.5918367E-001, 2.0000000E+001, 1.0004550E+000
 4.8500000E+000,-4.1571482E-003, 1.6000735E+002, 2.1000000E+001, 2.0974019E+001, 1.0000000E-003, 8.3643275E-004, 1.1955534E+000, 9.7959184E-001, 2.0000000E+001, 1.0001110E+000
 4.9500000E+000,-4.1141388E-003, 1.6000712E+002, 2.1000000E+001, 2.0974288E+001, 1.0000000E-003, 8.3643352E-004, 1.1955523E+000, 1.0000000E+000, 2.0000000E+001, 0.0000000E+000
 5.0500000E+000,-4.0724247E-003, 1.6000690E+002, 2.1000000E+001, 2.0974548E+001, 1.0000000E-003, 8.3643426E-004, 1.1955512E+000,NaN,NaN,NaN
 5.1500000E+000,-4.0319412E-003, 1.6000669E+002, 2.1000000E+001, 2.0974801E+001, 1.0000000E-003, 8.3643498E-004, 1.1955502E+000,NaN,NaN,NaN
 5.2500000E+000,-3.9926280E-003, 1.6000650E+002, 2.1000000E+001, 2.0975047E+001, 1.0000000E-003, 8.3643568E-004, 1.1955492E+000,NaN,NaN,NaN
 5.3500000E+000,-3.9544291E-003, 1.6000631E+002, 2.1000000E+001, 2.0975286E+001, 1.0000000E-003, 8.3643635E-004, 1.1955482E+000,NaN,NaN,NaN
 5.4500000E+000,-3.9172921E-003, 1.6000613E+002, 2.1000000E+001, 2.0975518E+001, 1.0000000E-003, 8.3643701E-004, 1.1955473E+000,NaN,NaN,NaN
 5.5500000E+000,-3.8811678E-003, 1.6000596E+002, 2.1000000E+001, 2.0975744E+001, 1.0000000E-003, 8.3643766E-004, 1.1955464E+000,NaN,NaN,NaN
 5.6500000E+000,-3.8460105E-003, 1.6000580E+002, 2.1000000E+001, 2.0975963E+001, 1.0000000E-003, 8.3643828E-004, 1.1955455E+000,NaN,NaN,NaN
 5.7500000E+000,-3.8117770E-003, 1.6000564E+002, 2.1000000E+001, 2.0976177E+001, 1.0000000E-003, 8.3643889E-004, 1.1955446E+000,NaN,NaN,NaN
 5.8500000E+000,-3.7784271E-003, 1.6000549E+002, 2.1000000E+001, 2.0976386E+001, 1.0000000E-003, 8.3643948E-004, 1.1955438E+000,NaN,NaN,NaN
 5.9500000E+000,-3.7459228E-003, 1.6000535E+002, 2.1000000E+001, 2.0976589E+001, 1.0000000E-003, 8.3644006E-004, 1.1955429E+000,NaN,NaN,NaN
 6.0500000E+000,-3.7142283E-003, 1.6000521E+002, 2.1000000E+001, 2.0976787E+001, 1.0000000E-003, 8.3644062E-004, 1.1955421E+000,NaN,NaN,NaN
 6.1500000E+000,-3.6833101E-003, 1.6000508E+002, 2.1000000E+001, 2.0976980E+001, 1.0000000E-003, 8.3644117E-004, 1.1955413E+000,NaN,NaN,NaN
 6.2500000E+000,-3.6531364E-003, 1.6000496E+002, 2.1000000E+001, 2.0977169E+001, 1.0000000E-003, 8.3644171E-004, 1.1955406E+000,NaN,NaN,NaN
 6.3500000E+000,-3.6236772E-003, 1.6000484E+002, 2.1000000E+001, 2.0977353E+001, 1.0000000E-003, 8.3644223E-004, 1.1955398E+000,NaN,NaN,NaN
 6.4500000E+000,-3.5949044E-003, 1.6000472E+002, 2.1000000E+001, 2.0977533E+001, 1.0000000E-003, 8.3644274E-004, 1.1955391E+000,NaN,NaN,NaN
 6.5500000E+000,-3.5667910E-003, 1.6000461E+002, 2.1000000E+001, 2.0977708E+001, 1.0000000E-003, 8.3644324E-004, 1.1955384E+000,NaN,NaN,NaN
 6.6500000E+000,-3.5393117E-003, 1.6000451E+002, 2.1000000E+001, 2.0977880E+001, 1.0000000E-003, 8.3644373E-004, 1.1955377E+000,NaN,NaN,NaN
 6.7500000E+000,-3.5124425E-003, 1.6000441E+002, 2.1000000E+001, 2.0978048E+001, 1.0000000E-003, 8.3644421E-004, 1.1955370E+000,NaN,NaN,NaN
 6.8500000E+000,-3.4861606E-003, 1.6000431E+002, 2.1000000E+001, 2.0978212E+001, 1.0000000E-003, 8.3644468E-004, 1.1955363E+000,NaN,NaN,NaN
 6.9500000E+000,-3.4604442E-003, 1.6000421E+002, 2.1000000E+001, 2.0978373E+001, 1.0000000E-003, 8.3644513E-004, 1.1955357E+000,NaN,NaN,NaN
 7.0500000E+000,-3.4352727E-003, 1.6000412E+002, 2.1000000E+001, 2.0978530E+001, 1.0000000E-003, 8.3644558E-004, 1.1955350E+000,NaN,NaN,NaN
 7.1500000E+000,-3.4106265E-003, 1.6000403E+002, 2.1000000E+001, 2.0978684E+001, 1.0000000E-003, 8.3644602E-004, 1.1955344E+000,NaN,NaN,NaN
 7.2500000E+000,-3.3864867E-003, 1.6000395E+002, 2.1000000E+001, 2.0978835E+001, 1.0000000E-003, 8.3644645E-004, 1.1955338E+000,NaN,NaN,NaN
 7.3500000E+000,-3.3628355E-003, 1.6000387E+002, 2.1000000E+001, 2.0978983E+001, 1.0000000E-003, 8.3644687E-004, 1.1955332E+000,NaN,NaN,NaN
 7.4500000E+000,-3.3396558E-003, 1.6000379E+002, 2.1000000E+001, 2.0979128E+001, 1.0000000E-003, 8.3644728E-004, 1.1955326E+000,NaN,NaN,NaN
 7.5500000E+000,-3.3169311E-003, 1.6000371E+002, 2.1000000E+001, 2.0979270E+001, 1.0000000E-003, 8.3644768E-004, 1.1955320E+000,NaN,NaN,NaN
 7.6500000E+000,-3.2946459E-003, 1.6000364E+002, 2.1000000E+001, 2.0979409E+001, 1.0000000E-003, 8.3644808E-004, 1.1955315E+000,NaN,NaN,NaN
 7.7500000E+000,-3.2727851E-003, 1.6000357E+002, 2.1000000E+001, 2.0979546E+001, 1.0000000E-003, 8.3644847E-004, 1.1955309E+000,NaN,NaN,NaN
 7.8500000E+000,-3.2513342E-003, 1.6000350E+002, 2.1000000E+001, 2.0979680E+001, 1.0000000E-003, 8.3644885E-004, 1.1955304E+000,NaN,NaN,NaN
 7.9500000E+000,-3.2302792E-003, 1.6000344E+002, 2.1000000E+001, 2.0979811E+001, 1.0000000E-003, 8.3644922E-004, 1.1955298E+000,NaN,NaN,NaN
 8.0500000E+000,-3.2096069E-003, 1.6000337E+002, 2.1000000E+001, 2.0979940E+001, 1.0000000E-003, 8.3644959E-004, 1.1955293E+000,NaN,NaN,NaN
 8.1500000E+000,-3.1893043E-003, 1.6000331E+002, 2.1000000E+001, 2.0980067E+001, 1.0000000E-003, 8.3644995E-004, 1.1955288E+000,NaN,NaN,NaN
 8.2500000E+000,-3.1693589E-003, 1.6000325E+002, 2.1000000E+001, 2.0980192E+001, 1.0000000E-003, 8.3645031E-004, 1.1955283E+000,NaN,NaN,NaN
 8.3500000E+000,-3.1497585E-003, 1.6000320E+002, 2.1000000E+001, 2.0980314E+001, 1.0000000E-003, 8.3645065E-004, 1.1955278E+000,NaN,NaN,NaN
 8.4500000E+000,-3.1304914E-003, 1.6000314E+002, 2.1000000E+001, 2.0980435E+001, 1.0000000E-003, 8.3645100E-004, 1.1955273E+000,NaN,NaN,NaN
 8.5500000E+000,-3.1115463E-003, 1.6000309E+002, 2.1000000E+001, 2.0980553E+001, 1.0000000E-003, 8.3645133E-004, 1.1955268E+000,NaN,NaN,NaN
 8.6500000E+000,-3.0929119E-003, 1.6000304E+002, 2.1000000E+001, 2.0980670E+001, 1.0000000E-003, 8.3645166E-004, 1.1955263E+000,NaN,NaN,NaN
 8.7500000E+000,-3.0745774E-003, 1.6000299E+002, 2.1000000E+001, 2.0980784E+001, 1.0000000E-003, 8.3645199E-004, 1.1955259E+000,NaN,NaN,NaN
 8.8500000E+000,-3.0565322E-003, 1.6000294E+002, 2.1000000E+001, 2.0980897E+001, 1.0000000E-003, 8.3645231E-004, 1.1955254E+000,NaN,NaN,NaN
 8.9500000E+000,-3.0387658E-003, 1.6000289E+002, 2.1000000E+001, 2.0981008E+001, 1.0000000E-003, 8.3645263E-004, 1.1955250E+000,NaN,NaN,NaN
 9.0500000E+000,-3.0212678E-003, 1.6000285E+002, 2.1000000E+001, 2.0981117E+001, 1.0000000E-003, 8.3645294E-004, 1.1955245E+000,NaN,NaN,NaN
 9.1500000E+000,-3.0040284E-003, 1.6000281E+002, 2.1000000E+001, 2.0981225E+001, 1.0000000E-003, 8.3645324E-004, 1.1955241E+000,NaN,NaN,NaN
 9.2500000E+000,-2.9870374E-003, 1.6000277E+002, 2.1000000E+001, 2.0981331E+001, 1.0000000E-003, 8.3645355E-004, 1.1955237E+000,NaN,NaN,NaN
 9.3500000E+000,-2.9702854E-003, 1.6000273E+002, 2.1000000E+001, 2.0981436E+001, 1.0000000E-003, 8.3645384E-004, 1.1955232E+000,NaN,NaN,NaN
 9.4500000E+000,-2.9537635E-003, 1.6000269E+002, 2.1000000E+001, 2.0981539E+001, 1.0000000E-003, 8.3645414E-004, 1.1955228E+000,NaN,NaN,NaN
 9.5500000E+000,-2.9374648E-003, 1.6000265E+002, 2.1000000E+001, 2.0981641E+001, 1.0000000E-003, 8.3645443E-004, 1.1955224E+000,NaN,NaN,NaN
 9.6500000E+000,-2.9213879E-003, 1.6000262E+002, 2.1000000E+001, 2.0981742E+001, 1.0000000E-003, 8.3645471E-004, 1.1955220E+000,NaN,NaN,NaN
 9.7500000E+000,-2.9055495E-003, 1.6000258E+002, 2.1000000E+001, 2.0981841E+001, 1.0000000E-003, 8.3645499E-004, 1.1955216E+000,NaN,NaN,NaN
 9.8500000E+000,-2.8900309E-003, 1.6000255E+002, 2.1000000E+001, 2.0981938E+001, 1.0000000E-003, 8.3645527E-004, 1.1955212E+000,NaN,NaN,NaN
 9.9500000E+000,-2.8752240E-003, 1.6000265E+002, 2.1000000E+001, 2.0982030E+001, 1.0000000E-003, 8.3645553E-004, 1.1955208E+000,NaN,NaN,NaN
