m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,
Q1-1-x,Q1-1,YP1-1,ZP1-1,Q1-2-x,Q1-2,YP1-2,ZP1-2,Q1-3-x,Q1-3,YP1-3,ZP1-3,Q1-4-x,Q1-4,YP1-4,ZP1-4,Q1-5-x,Q1-5,YP1-5,ZP1-5,Q2-1-x,Q2-1,YP2-1,ZP2-1,Q2-2-x,Q2-2,YP2-2,ZP2-2,Q2-3-x,Q2-3,YP2-3,ZP2-3,Q2-4-x,Q2-4,YP2-4,ZP2-4,Q2-5-x,Q2-5,YP2-5,ZP2-5
 1.2413793E-001,-1.0124357E-002, 6.5136917E+000, 3.2780324E+000, 1.2413793E-001,-8.9308746E-003, 6.5996875E+000, 3.2519426E+000, 1.2413793E-001,-8.0495712E-003, 5.9361437E+000, 3.2301799E+000, 1.2413793E-001,-8.9888073E-003, 6.2250370E+000, 3.2530542E+000, 1.2413793E-001,-9.3808317E-003, 6.5588946E+000, 3.2622900E+000, 1.2413793E-001, 9.1219700E-003, 6.6170969E+000, 3.2628184E+000, 1.2413793E-001, 1.0558281E-002, 6.8533462E+000, 3.2922330E+000, 1.2413793E-001, 1.1073186E-002, 5.3302424E+000, 3.3017858E+000, 1.2413793E-001, 1.0545587E-002, 6.3699301E+000, 3.2917706E+000, 1.2413793E-001, 9.8489869E-003, 6.6115654E+000, 3.2781089E+000
 1.5172414E-001,-1.0135924E-002, 6.4048256E+000, 3.2785277E+000, 1.5172414E-001,-8.9513794E-003, 6.6522655E+000, 3.2525526E+000, 1.5172414E-001,-7.9360908E-003, 5.7969453E+000, 3.2271447E+000, 1.5172414E-001,-8.7957755E-003, 6.0939065E+000, 3.2480837E+000, 1.5172414E-001,-9.1727488E-003, 6.2207024E+000, 3.2575383E+000, 1.5172414E-001, 9.1388702E-003, 6.6494034E+000, 3.2631083E+000, 1.5172414E-001, 1.0544594E-002, 6.9905466E+000, 3.2920314E+000, 1.5172414E-001, 1.1384459E-002, 5.5586826E+000, 3.3074094E+000, 1.5172414E-001, 1.0583021E-002, 6.2179153E+000, 3.2923571E+000, 1.5172414E-001, 1.0098853E-002, 6.7424362E+000, 3.2831221E+000
 1.7931034E-001,-1.0230755E-002, 6.4263955E+000, 3.2806039E+000, 1.7931034E-001,-9.0076351E-003, 6.6606598E+000, 3.2539554E+000, 1.7931034E-001,-7.9079433E-003, 5.6981286E+000, 3.2264270E+000, 1.7931034E-001,-8.6523466E-003, 6.0053125E+000, 3.2446024E+000, 1.7931034E-001,-9.1414889E-003, 6.3386864E+000, 3.2568211E+000, 1.7931034E-001, 9.1605703E-003, 6.4830668E+000, 3.2635839E+000, 1.7931034E-001, 1.0631893E-002, 6.9641461E+000, 3.2937363E+000, 1.7931034E-001, 1.1418235E-002, 5.3679256E+000, 3.3079803E+000, 1.7931034E-001, 1.0660224E-002, 5.9870699E+000, 3.2937061E+000, 1.7931034E-001, 1.0142154E-002, 6.6885195E+000, 3.2839633E+000
 2.0689655E-001,-1.0268834E-002, 6.2874530E+000, 3.2814587E+000, 2.0689655E-001,-9.0475667E-003, 6.8321823E+000, 3.2549201E+000, 2.0689655E-001,-7.9216923E-003, 5.8997688E+000, 3.2267974E+000, 2.0689655E-001,-8.5275974E-003, 5.8587965E+000, 3.2414441E+000, 2.0689655E-001,-9.1575050E-003, 6.5469430E+000, 3.2571036E+000, 2.0689655E-001, 9.0784369E-003, 6.5374627E+000, 3.2617572E+000, 2.0689655E-001, 1.0713593E-002, 6.9003597E+000, 3.2952857E+000, 2.0689655E-001, 1.1405029E-002, 5.3289208E+000, 3.3077489E+000, 2.0689655E-001, 1.0780728E-002, 5.9949423E+000, 3.2961063E+000, 2.0689655E-001, 1.0207847E-002, 6.6342357E+000, 3.2853269E+000
 2.3448276E-001,-1.0229090E-002, 6.1470919E+000, 3.2806821E+000, 2.3448276E-001,-9.0373911E-003, 6.7735638E+000, 3.2545268E+000, 2.3448276E-001,-7.8904365E-003, 5.9212332E+000, 3.2259700E+000, 2.3448276E-001,-8.4403559E-003, 5.7534645E+000, 3.2392411E+000, 2.3448276E-001,-9.1418301E-003, 6.4625203E+000, 3.2567577E+000, 2.3448276E-001, 8.9957538E-003, 6.4636915E+000, 3.2599984E+000, 2.3448276E-001, 1.0703411E-002, 6.7956942E+000, 3.2950813E+000, 2.3448276E-001, 1.1395322E-002, 5.2524319E+000, 3.3074933E+000, 2.3448276E-001, 1.0852580E-002, 5.8656151E+000, 3.2975366E+000, 2.3448276E-001, 1.0262068E-002, 6.6720031E+000, 3.2864662E+000
 2.6206897E-001,-1.0129869E-002, 5.8821062E+000, 3.2786400E+000, 2.6206897E-001,-9.0500044E-003, 6.5931108E+000, 3.2546589E+000, 2.6206897E-001,-7.8794799E-003, 5.7647315E+000, 3.2255963E+000, 2.6206897E-001,-8.3449491E-003, 5.7678802E+000, 3.2369847E+000, 2.6206897E-001,-9.0938737E-003, 6.4607395E+000, 3.2556398E+000, 2.6206897E-001, 9.0432551E-003, 6.5068835E+000, 3.2611322E+000, 2.6206897E-001, 1.0672972E-002, 6.6406310E+000, 3.2943558E+000, 2.6206897E-001, 1.1441822E-002, 5.1555238E+000, 3.3083184E+000, 2.6206897E-001, 1.0924204E-002, 5.6264686E+000, 3.2989590E+000, 2.6206897E-001, 1.0318983E-002, 6.6419171E+000, 3.2875658E+000
 2.8965517E-001,-1.0104204E-002, 5.7624212E+000, 3.2780597E+000, 2.8965517E-001,-9.0583221E-003, 6.4570604E+000, 3.2548379E+000, 2.8965517E-001,-7.9186325E-003, 5.8892565E+000, 3.2266207E+000, 2.8965517E-001,-8.2397455E-003, 5.6330823E+000, 3.2345558E+000, 2.8965517E-001,-8.9590436E-003, 6.3454013E+000, 3.2525089E+000, 2.8965517E-001, 9.0891031E-003, 6.5403793E+000, 3.2622215E+000, 2.8965517E-001, 1.0675311E-002, 6.4699564E+000, 3.2943590E+000, 2.8965517E-001, 1.1477138E-002, 5.1316977E+000, 3.3089840E+000, 2.8965517E-001, 1.0967076E-002, 5.4539032E+000, 3.2998266E+000, 2.8965517E-001, 1.0432634E-002, 6.4569291E+000, 3.2897495E+000
 3.1724138E-001,-9.9603293E-003, 5.5950853E+000, 3.2750136E+000, 3.1724138E-001,-9.0868347E-003, 6.4369121E+000, 3.2555536E+000, 3.1724138E-001,-7.9738919E-003, 5.9417402E+000, 3.2280845E+000, 3.1724138E-001,-8.1490273E-003, 5.4775243E+000, 3.2324786E+000, 3.1724138E-001,-8.8841710E-003, 6.2792735E+000, 3.2507487E+000, 3.1724138E-001, 9.1505301E-003, 6.5306791E+000, 3.2636238E+000, 3.1724138E-001, 1.0662487E-002, 6.4741135E+000, 3.2940956E+000, 3.1724138E-001, 1.1464819E-002, 5.4111729E+000, 3.3087592E+000, 3.1724138E-001, 1.1006716E-002, 5.3608449E+000, 3.3005126E+000, 3.1724138E-001, 1.0537694E-002, 6.3070141E+000, 3.2917075E+000
 3.4482759E-001,-9.7384569E-003, 5.5350522E+000, 3.2702691E+000, 3.4482759E-001,-9.0226246E-003, 6.1648597E+000, 3.2540378E+000, 3.4482759E-001,-8.0833359E-003, 5.9463496E+000, 3.2309311E+000, 3.4482759E-001,-8.1645060E-003, 5.5374260E+000, 3.2329818E+000, 3.4482759E-001,-8.8612546E-003, 6.1310226E+000, 3.2501842E+000, 3.4482759E-001, 9.2525739E-003, 6.5355528E+000, 3.2658332E+000, 3.4482759E-001, 1.0538354E-002, 6.4459092E+000, 3.2916942E+000, 3.4482759E-001, 1.1332603E-002, 5.7316489E+000, 3.3065101E+000, 3.4482759E-001, 1.1074954E-002, 5.1031975E+000, 3.3016884E+000, 3.4482759E-001, 1.0609604E-002, 6.1914615E+000, 3.2930287E+000
 3.7241379E-001,-9.5968208E-003, 5.6766214E+000, 3.2672027E+000, 3.7241379E-001,-9.0284974E-003, 5.7335737E+000, 3.2540816E+000, 3.7241379E-001,-8.2320912E-003, 5.9982923E+000, 3.2347118E+000, 3.7241379E-001,-8.2660290E-003, 5.5735770E+000, 3.2356030E+000, 3.7241379E-001,-8.8071253E-003, 5.9159325E+000, 3.2489473E+000, 3.7241379E-001, 9.4291268E-003, 6.5219032E+000, 3.2696135E+000, 3.7241379E-001, 1.0428829E-002, 6.4269094E+000, 3.2895349E+000, 3.7241379E-001, 1.1316488E-002, 6.0256751E+000, 3.3062147E+000, 3.7241379E-001, 1.1028497E-002, 5.2277096E+000, 3.3008366E+000, 3.7241379E-001, 1.0647699E-002, 6.1653539E+000, 3.2938418E+000
 4.0000000E-001,-9.4347032E-003, 5.9981189E+000, 3.2637057E+000, 4.0000000E-001,-9.1798930E-003, 5.6845386E+000, 3.2576701E+000, 4.0000000E-001,-8.6380697E-003, 6.2718390E+000, 3.2450492E+000, 4.0000000E-001,-8.3934117E-003, 5.8531909E+000, 3.2387259E+000, 4.0000000E-001,-8.8234863E-003, 6.1383813E+000, 3.2494018E+000, 4.0000000E-001, 9.7223683E-003, 6.7024622E+000, 3.2757054E+000, 4.0000000E-001, 1.0237307E-002, 6.4105247E+000, 3.2859056E+000, 4.0000000E-001, 1.1099686E-002, 6.5067184E+000, 3.3022267E+000, 4.0000000E-001, 1.0781613E-002, 5.5877275E+000, 3.2961962E+000, 4.0000000E-001, 1.0601371E-002, 6.1717998E+000, 3.2931658E+000
