s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
 9.000E+01, 1.167E+02, 0.000E+00,-3.648E+01,-7.675E+01,-5.569E+00, 2.707E+00, 0.000E+00, 0.000E+00, 7.921E-01, 5.926E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.723E-03, 4.286E-04, 1.913E-03, 1.440E-03, 3.890E-05, 1.706E-07
 1.000E+02, 1.284E+02, 0.000E+00,-4.046E+01,-8.472E+01,-5.845E+00, 3.118E+00, 0.000E+00, 0.000E+00, 7.024E-01, 5.043E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.867E-03, 5.027E-04, 2.341E-03, 1.782E-03, 5.400E-05, 2.768E-07
 1.100E+02, 1.405E+02, 0.000E+00,-4.452E+01,-9.236E+01,-6.201E+00, 3.485E+00, 0.000E+00, 0.000E+00, 1.039E+00, 8.493E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 2.034E-03, 5.875E-04, 2.768E-03, 2.096E-03, 7.162E-05, 4.207E-07
 1.200E+02, 1.536E+02, 0.000E+00,-4.891E+01,-1.010E+02,-6.607E+00, 3.937E+00, 0.000E+00, 0.000E+00, 1.316E+00, 1.026E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 2.200E-03, 6.760E-04, 3.235E-03, 2.451E-03, 9.204E-05, 6.085E-07
 1.300E+02, 1.691E+02, 0.000E+00,-5.413E+01,-1.128E+02,-7.251E+00, 4.465E+00, 0.000E+00, 0.000E+00,-2.009E-01,-5.812E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 2.357E-03, 7.766E-04, 3.798E-03, 2.887E-03, 1.162E-04, 8.490E-07
 1.400E+02, 1.829E+02, 0.000E+00,-5.851E+01,-1.208E+02,-7.695E+00, 4.907E+00, 0.000E+00, 0.000E+00, 1.208E+00, 7.636E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 2.557E-03, 8.609E-04, 4.276E-03, 3.230E-03, 1.428E-04, 1.147E-06
 1.500E+02, 2.015E+02, 0.000E+00,-6.489E+01,-1.345E+02,-8.020E+00, 5.527E+00, 0.000E+00, 0.000E+00, 1.716E-01,-3.155E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 2.654E-03, 9.634E-04, 4.935E-03, 3.786E-03, 1.735E-04, 1.513E-06
 1.600E+02, 2.270E+02, 0.000E+00,-7.317E+01,-1.505E+02,-8.939E+00, 6.325E+00, 0.000E+00, 0.000E+00, 1.278E+00, 6.387E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 2.875E-03, 1.132E-03, 5.841E-03, 4.474E-03, 2.097E-04, 1.957E-06
 1.700E+02, 2.594E+02, 0.000E+00,-8.387E+01,-1.719E+02,-9.715E+00, 7.350E+00, 0.000E+00, 0.000E+00, 2.022E+00, 1.269E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 3.046E-03, 1.322E-03, 6.977E-03, 5.417E-03, 2.518E-04, 2.490E-06
 1.800E+02, 3.267E+02, 0.000E+00,-1.063E+02,-2.162E+02,-1.136E+01, 9.312E+00, 0.000E+00, 0.000E+00, 3.014E+00, 2.141E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 3.264E-03, 1.692E-03, 9.353E-03, 7.388E-03, 3.094E-04, 3.143E-06
 1.900E+02, 3.962E+02, 0.000E+00,-1.287E+02,-2.651E+02,-1.245E+01, 1.134E+01, 0.000E+00, 0.000E+00, 2.339E+00, 1.319E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 3.442E-03, 2.137E-03, 1.193E-02, 9.229E-03, 3.814E-04, 3.934E-06
 2.000E+02, 4.240E+02, 0.000E+00,-1.373E+02,-2.870E+02,-1.202E+01, 1.246E+01, 0.000E+00, 0.000E+00, 1.144E+00, 9.591E-02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 3.376E-03, 2.110E-03, 1.293E-02, 1.003E-02, 4.651E-04, 4.910E-06
 2.100E+02, 4.435E+02, 0.000E+00,-1.437E+02,-3.014E+02,-1.251E+01, 1.316E+01, 0.000E+00, 0.000E+00, 6.224E-02,-9.589E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 3.202E-03, 2.010E-03, 1.357E-02, 1.082E-02, 5.599E-04, 6.099E-06
 2.200E+02, 4.316E+02, 0.000E+00,-1.392E+02,-2.966E+02,-1.126E+01, 1.305E+01, 0.000E+00, 0.000E+00,-1.364E+00,-2.428E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 3.087E-03, 1.992E-03, 1.317E-02, 1.021E-02, 6.444E-04, 7.474E-06
 2.300E+02, 3.823E+02, 0.000E+00,-1.228E+02,-2.653E+02,-9.446E+00, 1.188E+01, 0.000E+00, 0.000E+00,-2.435E+00,-3.387E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 2.986E-03, 1.787E-03, 1.143E-02, 8.608E-03, 7.065E-04, 9.014E-06
 2.400E+02, 3.471E+02, 0.000E+00,-1.113E+02,-2.397E+02,-8.761E+00, 1.088E+01, 0.000E+00, 0.000E+00,-7.666E-01,-1.742E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 2.853E-03, 1.579E-03, 1.009E-02, 7.563E-03, 7.549E-04, 1.067E-05
 2.500E+02, 3.310E+02, 0.000E+00,-1.058E+02,-2.275E+02,-8.625E+00, 1.049E+01, 0.000E+00, 0.000E+00, 4.767E-01,-4.740E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 2.716E-03, 1.460E-03, 9.440E-03, 7.115E-03, 7.968E-04, 1.241E-05
 2.600E+02, 3.122E+02, 0.000E+00,-9.958E+01,-2.170E+02,-8.331E+00, 1.001E+01, 0.000E+00, 0.000E+00,-1.683E+00,-2.738E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 2.598E-03, 1.369E-03, 8.771E-03, 6.509E-03, 8.276E-04, 1.422E-05
 2.700E+02, 2.965E+02, 0.000E+00,-9.435E+01,-2.037E+02,-7.903E+00, 9.533E+00, 0.000E+00, 0.000E+00, 1.038E+00, 1.119E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 2.494E-03, 1.281E-03, 8.188E-03, 6.054E-03, 8.538E-04, 1.607E-05
 2.800E+02, 2.844E+02, 0.000E+00,-9.038E+01,-1.973E+02,-7.331E+00, 9.176E+00, 0.000E+00, 0.000E+00,-5.569E-01,-1.428E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 2.397E-03, 1.212E-03, 7.723E-03, 5.696E-03, 8.739E-04, 1.796E-05
 2.900E+02, 2.694E+02, 0.000E+00,-8.549E+01,-1.878E+02,-6.692E+00, 8.635E+00, 0.000E+00, 0.000E+00,-1.188E+00,-2.027E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 2.312E-03, 1.143E-03, 7.174E-03, 5.203E-03, 8.854E-04, 1.985E-05
 3.000E+02, 2.560E+02, 0.000E+00,-8.090E+01,-1.781E+02,-6.289E+00, 8.251E+00, 0.000E+00, 0.000E+00,-1.598E-01,-1.054E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 2.233E-03, 1.078E-03, 6.699E-03, 4.822E-03, 8.920E-04, 2.174E-05
 3.100E+02, 2.451E+02, 0.000E+00,-7.731E+01,-1.711E+02,-5.896E+00, 7.853E+00, 0.000E+00, 0.000E+00,-4.964E-01,-1.295E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 2.159E-03, 1.016E-03, 6.276E-03, 4.497E-03, 8.937E-04, 2.360E-05
 3.200E+02, 2.351E+02, 0.000E+00,-7.385E+01,-1.652E+02,-5.676E+00, 7.562E+00, 0.000E+00, 0.000E+00,-1.263E+00,-2.068E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 2.089E-03, 9.603E-04, 5.905E-03, 4.205E-03, 8.934E-04, 2.546E-05
 3.300E+02, 2.273E+02, 0.000E+00,-7.128E+01,-1.572E+02,-5.404E+00, 7.342E+00, 0.000E+00, 0.000E+00, 1.365E+00, 6.913E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 2.022E-03, 9.110E-04, 5.613E-03, 4.026E-03, 8.941E-04, 2.733E-05
 3.400E+02, 2.222E+02, 0.000E+00,-6.963E+01,-1.556E+02,-5.429E+00, 7.114E+00, 0.000E+00, 0.000E+00,-5.182E-01,-1.254E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.959E-03, 8.716E-04, 5.404E-03, 3.901E-03, 8.947E-04, 2.919E-05
 3.500E+02, 2.182E+02, 0.000E+00,-6.822E+01,-1.527E+02,-5.283E+00, 6.989E+00, 0.000E+00, 0.000E+00,-3.940E-01,-1.100E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.899E-03, 8.406E-04, 5.241E-03, 3.807E-03, 8.967E-04, 3.107E-05
 3.600E+02, 2.138E+02, 0.000E+00,-6.680E+01,-1.502E+02,-4.909E+00, 6.755E+00, 0.000E+00, 0.000E+00,-5.433E-01,-1.270E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.844E-03, 8.152E-04, 5.083E-03, 3.677E-03, 8.962E-04, 3.292E-05
 3.700E+02, 2.099E+02, 0.000E+00,-6.576E+01,-1.466E+02,-4.541E+00, 6.676E+00, 0.000E+00, 0.000E+00, 2.634E-01,-3.055E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.793E-03, 7.916E-04, 4.931E-03, 3.556E-03, 8.950E-04, 3.478E-05
 3.800E+02, 2.057E+02, 0.000E+00,-6.409E+01,-1.449E+02,-4.591E+00, 6.564E+00, 0.000E+00, 0.000E+00,-6.725E-01,-1.300E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.746E-03, 7.696E-04, 4.785E-03, 3.437E-03, 8.932E-04, 3.663E-05
 3.900E+02, 2.020E+02, 0.000E+00,-6.293E+01,-1.423E+02,-4.383E+00, 6.465E+00, 0.000E+00, 0.000E+00,-5.907E-01,-1.211E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.702E-03, 7.489E-04, 4.648E-03, 3.332E-03, 8.899E-04, 3.845E-05
 4.000E+02, 1.989E+02, 0.000E+00,-6.191E+01,-1.397E+02,-4.518E+00, 6.348E+00, 0.000E+00, 0.000E+00,-3.366E-01,-9.386E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.660E-03, 7.289E-04, 4.530E-03, 3.259E-03, 8.879E-04, 4.028E-05
 4.100E+02, 1.970E+02, 0.000E+00,-6.134E+01,-1.380E+02,-4.545E+00, 6.236E+00, 0.000E+00, 0.000E+00, 1.086E-03,-6.925E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.619E-03, 7.115E-04, 4.445E-03, 3.216E-03, 8.867E-04, 4.211E-05
 4.200E+02, 1.946E+02, 0.000E+00,-6.057E+01,-1.370E+02,-4.185E+00, 6.152E+00, 0.000E+00, 0.000E+00,-4.014E-01,-9.827E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.581E-03, 6.966E-04, 4.368E-03, 3.171E-03, 8.853E-04, 4.394E-05
 4.300E+02, 1.929E+02, 0.000E+00,-5.998E+01,-1.345E+02,-4.156E+00, 6.082E+00, 0.000E+00, 0.000E+00, 9.360E-01, 3.057E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.543E-03, 6.834E-04, 4.296E-03, 3.120E-03, 8.836E-04, 4.576E-05
 4.400E+02, 1.916E+02, 0.000E+00,-5.945E+01,-1.347E+02,-4.162E+00, 6.065E+00, 0.000E+00, 0.000E+00,-1.605E-02,-5.921E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.505E-03, 6.715E-04, 4.229E-03, 3.077E-03, 8.816E-04, 4.758E-05
 4.500E+02, 1.897E+02, 0.000E+00,-5.877E+01,-1.342E+02,-4.257E+00, 5.996E+00, 0.000E+00, 0.000E+00,-7.984E-01,-1.468E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.468E-03, 6.608E-04, 4.171E-03, 3.043E-03, 8.793E-04, 4.939E-05
 4.600E+02, 1.890E+02, 0.000E+00,-5.856E+01,-1.332E+02,-4.096E+00, 6.005E+00, 0.000E+00, 0.000E+00,-1.998E-01,-8.136E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.431E-03, 6.513E-04, 4.132E-03, 3.040E-03, 8.782E-04, 5.119E-05
 4.700E+02, 1.888E+02, 0.000E+00,-5.853E+01,-1.320E+02,-4.215E+00, 5.979E+00, 0.000E+00, 0.000E+00, 6.766E-01, 2.926E-02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.394E-03, 6.436E-04, 4.107E-03, 3.054E-03, 8.771E-04, 5.298E-05
 4.800E+02, 1.887E+02, 0.000E+00,-5.855E+01,-1.327E+02,-4.124E+00, 5.977E+00, 0.000E+00, 0.000E+00,-1.055E-01,-6.317E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.356E-03, 6.376E-04, 4.096E-03, 3.082E-03, 8.768E-04, 5.478E-05
 4.900E+02, 1.894E+02, 0.000E+00,-5.865E+01,-1.333E+02,-4.412E+00, 6.013E+00, 0.000E+00, 0.000E+00,-3.124E-01,-9.872E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.319E-03, 6.335E-04, 4.101E-03, 3.117E-03, 8.769E-04, 5.657E-05
 5.000E+02, 1.889E+02, 0.000E+00,-5.865E+01,-1.323E+02,-3.941E+00, 5.989E+00, 0.000E+00, 0.000E+00, 6.107E-01, 1.380E-02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.283E-03, 6.306E-04, 4.087E-03, 3.075E-03, 8.755E-04, 5.835E-05
 5.100E+02, 1.871E+02, 0.000E+00,-5.791E+01,-1.317E+02,-3.945E+00, 5.897E+00, 0.000E+00, 0.000E+00,-6.410E-02,-6.168E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.248E-03, 6.269E-04, 4.051E-03, 3.017E-03, 8.739E-04, 6.013E-05
 5.200E+02, 1.863E+02, 0.000E+00,-5.769E+01,-1.317E+02,-3.892E+00, 5.849E+00, 0.000E+00, 0.000E+00,-5.131E-01,-1.103E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.215E-03, 6.225E-04, 4.020E-03, 2.985E-03, 8.728E-04, 6.191E-05
 5.300E+02, 1.842E+02, 0.000E+00,-5.715E+01,-1.309E+02,-3.478E+00, 5.803E+00, 0.000E+00, 0.000E+00,-9.824E-01,-1.527E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.183E-03, 6.175E-04, 3.970E-03, 2.913E-03, 8.704E-04, 6.368E-05
 5.400E+02, 1.824E+02, 0.000E+00,-5.644E+01,-1.281E+02,-3.741E+00, 5.751E+00, 0.000E+00, 0.000E+00, 5.271E-01,-1.244E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.150E-03, 6.109E-04, 3.906E-03, 2.841E-03, 8.670E-04, 6.545E-05
 5.500E+02, 1.806E+02, 0.000E+00,-5.577E+01,-1.272E+02,-3.746E+00, 5.647E+00, 0.000E+00, 0.000E+00, 1.064E-01,-5.169E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.117E-03, 6.032E-04, 3.845E-03, 2.792E-03, 8.637E-04, 6.719E-05
 5.600E+02, 1.802E+02, 0.000E+00,-5.568E+01,-1.265E+02,-3.577E+00, 5.622E+00, 0.000E+00, 0.000E+00, 6.452E-01, 4.045E-02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.085E-03, 5.955E-04, 3.807E-03, 2.781E-03, 8.610E-04, 6.892E-05
 5.700E+02, 1.784E+02, 0.000E+00,-5.517E+01,-1.254E+02,-3.341E+00, 5.564E+00, 0.000E+00, 0.000E+00, 4.790E-01,-5.790E-03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.051E-03, 5.881E-04, 3.767E-03, 2.750E-03, 8.577E-04, 7.065E-05
 5.800E+02, 1.776E+02, 0.000E+00,-5.485E+01,-1.266E+02,-3.343E+00, 5.498E+00, 0.000E+00, 0.000E+00,-1.205E+00,-1.723E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.017E-03, 5.797E-04, 3.724E-03, 2.719E-03, 8.551E-04, 7.239E-05
 5.900E+02, 1.765E+02, 0.000E+00,-5.446E+01,-1.252E+02,-3.322E+00, 5.467E+00, 0.000E+00, 0.000E+00,-3.825E-01,-9.647E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 9.829E-04, 5.706E-04, 3.690E-03, 2.699E-03, 8.514E-04, 7.407E-05
 6.000E+02, 1.755E+02, 0.000E+00,-5.403E+01,-1.241E+02,-3.656E+00, 5.430E+00, 0.000E+00, 0.000E+00,-2.708E-01,-8.844E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 9.487E-04, 5.611E-04, 3.653E-03, 2.672E-03, 8.482E-04, 7.578E-05
