s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_PRODUCTS 2,MLR_PRODUCTS 3,MLR_PRODUCTS 4,MLR_PRODUCTS 5,MLR_PROPANE,MLR_PRODUCTS 6,MLR_WATER VAPOR,MLR_Gas1,MLR_Gas2,MLR_Gas3,MLR_Gas4,MLR_Gas5
 2.400E+02, 2.998E+02, 0.000E+00,-9.308E+01,-2.039E+02,-1.486E+01, 1.000E+01, 0.000E+00, 0.000E+00,-7.515E-01,-2.042E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 2.547E-03, 1.285E-03, 8.179E-03, 6.050E-03, 1.030E-03, 2.189E-05
 2.500E+02, 2.891E+02, 0.000E+00,-8.925E+01,-1.969E+02,-1.455E+01, 9.669E+00, 0.000E+00, 0.000E+00,-5.802E-01,-1.906E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 2.446E-03, 1.219E-03, 7.768E-03, 5.752E-03, 1.044E-03, 2.417E-05
 2.600E+02, 2.791E+02, 0.000E+00,-8.615E+01,-1.897E+02,-1.407E+01, 9.339E+00, 0.000E+00, 0.000E+00,-2.553E-01,-1.505E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 2.357E-03, 1.160E-03, 7.389E-03, 5.466E-03, 1.055E-03, 2.647E-05
 2.700E+02, 2.717E+02, 0.000E+00,-8.341E+01,-1.857E+02,-1.343E+01, 9.117E+00, 0.000E+00, 0.000E+00,-4.665E-01,-1.736E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 2.276E-03, 1.112E-03, 7.095E-03, 5.257E-03, 1.063E-03, 2.877E-05
 2.800E+02, 2.630E+02, 0.000E+00,-8.084E+01,-1.802E+02,-1.266E+01, 8.877E+00, 0.000E+00, 0.000E+00,-5.500E-01,-1.758E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 2.202E-03, 1.067E-03, 6.778E-03, 4.995E-03, 1.065E-03, 3.104E-05
 2.900E+02, 2.531E+02, 0.000E+00,-7.752E+01,-1.736E+02,-1.247E+01, 8.513E+00, 0.000E+00, 0.000E+00,-6.173E-01,-1.909E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 2.134E-03, 1.021E-03, 6.442E-03, 4.699E-03, 1.063E-03, 3.328E-05
 3.000E+02, 2.439E+02, 0.000E+00,-7.464E+01,-1.671E+02,-1.154E+01, 8.205E+00, 0.000E+00, 0.000E+00,-1.188E-01,-1.181E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 2.070E-03, 9.744E-04, 6.117E-03, 4.439E-03, 1.057E-03, 3.549E-05
 3.100E+02, 2.382E+02, 0.000E+00,-7.293E+01,-1.620E+02,-1.130E+01, 8.015E+00, 0.000E+00, 0.000E+00, 9.979E-01, 1.375E-02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 2.008E-03, 9.314E-04, 5.868E-03, 4.283E-03, 1.054E-03, 3.770E-05
 3.200E+02, 2.328E+02, 0.000E+00,-7.121E+01,-1.612E+02,-1.135E+01, 7.831E+00, 0.000E+00, 0.000E+00,-2.135E+00,-3.161E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.949E-03, 8.950E-04, 5.659E-03, 4.144E-03, 1.051E-03, 3.991E-05
 3.300E+02, 2.280E+02, 0.000E+00,-6.966E+01,-1.554E+02,-1.114E+01, 7.686E+00, 0.000E+00, 0.000E+00, 6.111E-01,-4.248E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.892E-03, 8.644E-04, 5.491E-03, 4.031E-03, 1.049E-03, 4.213E-05
