s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PBT,MLR_PRODUCTS,MLR_PROPANE,MLR_PRODUCTS 2
 4.100E+02, 2.736E+03, 0.000E+00,-9.217E+02,-1.764E+03,-3.132E+01,-1.527E+01, 0.000E+00, 0.000E+00,-3.306E+00, 3.712E+00, 0.000E+00, 1.351E-01, 0.000E+00, 1.383E-03, 0.000E+00
 4.200E+02, 2.732E+03, 0.000E+00,-9.202E+02,-1.760E+03,-3.126E+01,-1.490E+01, 0.000E+00, 0.000E+00,-1.599E+00, 5.432E+00, 0.000E+00, 1.328E-01, 0.000E+00, 1.383E-03, 0.000E+00
 4.300E+02, 2.313E+03, 0.000E+00,-7.780E+02,-1.494E+03,-2.957E+01,-1.202E+01, 0.000E+00, 0.000E+00,-4.481E+00,-3.473E-02, 0.000E+00, 9.786E-02, 0.000E+00, 1.383E-03, 0.000E+00
 4.400E+02, 1.965E+03, 0.000E+00,-6.611E+02,-1.261E+03,-2.807E+01,-1.015E+01, 0.000E+00, 0.000E+00, 2.221E+00, 5.003E+00, 0.000E+00, 7.951E-02, 0.000E+00, 1.383E-03, 0.000E+00
 4.500E+02, 1.727E+03, 0.000E+00,-5.809E+02,-1.115E+03,-2.506E+01,-8.873E+00, 0.000E+00, 0.000E+00,-3.886E+00,-2.903E+00, 0.000E+00, 6.856E-02, 0.000E+00, 1.383E-03, 0.000E+00
 4.600E+02, 1.526E+03, 0.000E+00,-5.136E+02,-9.852E+02,-2.331E+01,-7.767E+00, 0.000E+00, 0.000E+00,-3.339E+00,-3.786E+00, 0.000E+00, 5.982E-02, 0.000E+00, 1.383E-03, 0.000E+00
 4.700E+02, 1.338E+03, 0.000E+00,-4.499E+02,-8.636E+02,-1.983E+01,-6.698E+00, 0.000E+00, 0.000E+00,-7.688E-01,-2.361E+00, 0.000E+00, 5.172E-02, 0.000E+00, 1.383E-03, 0.000E+00
 4.800E+02, 1.153E+03, 0.000E+00,-3.879E+02,-7.484E+02,-1.757E+01,-5.675E+00, 0.000E+00, 0.000E+00,-4.463E+00,-6.438E+00, 0.000E+00, 4.419E-02, 0.000E+00, 1.383E-03, 0.000E+00
 4.900E+02, 9.947E+02, 0.000E+00,-3.347E+02,-6.432E+02,-1.596E+01,-4.771E+00, 0.000E+00, 0.000E+00,-1.739E+00,-3.960E+00, 0.000E+00, 3.773E-02, 0.000E+00, 1.383E-03, 0.000E+00
 5.000E+02, 8.671E+02, 0.000E+00,-2.911E+02,-5.632E+02,-1.401E+01,-3.939E+00, 0.000E+00, 0.000E+00,-2.869E+00,-5.156E+00, 0.000E+00, 3.243E-02, 0.000E+00, 1.383E-03, 0.000E+00
 5.100E+02, 7.626E+02, 0.000E+00,-2.560E+02,-4.939E+02,-1.195E+01,-3.215E+00, 0.000E+00, 0.000E+00, 3.018E-02,-2.354E+00, 0.000E+00, 2.820E-02, 0.000E+00, 1.383E-03, 0.000E+00
 5.200E+02, 6.656E+02, 0.000E+00,-2.231E+02,-4.345E+02,-9.710E+00,-2.582E+00, 0.000E+00, 0.000E+00,-2.516E+00,-4.368E+00, 0.000E+00, 2.430E-02, 0.000E+00, 1.383E-03, 0.000E+00
 5.300E+02, 5.841E+02, 0.000E+00,-1.947E+02,-3.831E+02,-8.275E+00,-2.073E+00, 0.000E+00, 0.000E+00,-2.489E+00,-4.136E+00, 0.000E+00, 2.100E-02, 0.000E+00, 1.383E-03, 0.000E+00
 5.400E+02, 5.239E+02, 0.000E+00,-1.745E+02,-3.432E+02,-7.745E+00,-1.689E+00, 0.000E+00, 0.000E+00,-1.654E+00,-3.292E+00, 0.000E+00, 1.852E-02, 0.000E+00, 1.383E-03, 0.000E+00
 5.500E+02, 4.690E+02, 0.000E+00,-1.550E+02,-3.106E+02,-6.585E+00,-1.338E+00, 0.000E+00, 0.000E+00,-2.841E+00,-4.531E+00, 0.000E+00, 1.632E-02, 0.000E+00, 1.383E-03, 0.000E+00
 5.600E+02, 4.299E+02, 0.000E+00,-1.420E+02,-2.819E+02,-6.164E+00,-1.043E+00, 0.000E+00, 0.000E+00, 4.234E-01,-1.171E+00, 0.000E+00, 1.475E-02, 0.000E+00, 1.383E-03, 0.000E+00
 5.700E+02, 4.031E+02, 0.000E+00,-1.325E+02,-2.678E+02,-5.390E+00,-8.162E-01, 0.000E+00, 0.000E+00,-1.946E+00,-3.407E+00, 0.000E+00, 1.367E-02, 0.000E+00, 1.383E-03, 0.000E+00
 5.800E+02, 3.701E+02, 0.000E+00,-1.213E+02,-2.444E+02,-4.802E+00,-6.045E-01, 0.000E+00, 0.000E+00, 3.482E-01,-1.015E+00, 0.000E+00, 1.231E-02, 0.000E+00, 1.383E-03, 0.000E+00
 5.900E+02, 3.331E+02, 0.000E+00,-1.085E+02,-2.231E+02,-4.019E+00,-3.543E-01, 0.000E+00, 0.000E+00,-1.717E+00,-2.948E+00, 0.000E+00, 1.085E-02, 0.000E+00, 1.383E-03, 0.000E+00
 6.000E+02, 3.045E+02, 0.000E+00,-9.883E+01,-2.044E+02,-3.354E+00,-1.551E-01, 0.000E+00, 0.000E+00,-1.113E+00,-2.220E+00, 0.000E+00, 9.690E-03, 0.000E+00, 1.383E-03, 0.000E+00
 6.100E+02, 2.715E+02, 0.000E+00,-8.722E+01,-1.852E+02,-2.825E+00, 3.496E-02, 0.000E+00, 0.000E+00,-2.733E+00,-3.748E+00, 0.000E+00, 8.369E-03, 0.000E+00, 1.383E-03, 0.000E+00
 6.200E+02, 2.424E+02, 0.000E+00,-7.726E+01,-1.633E+02,-2.334E+00, 2.345E-01, 0.000E+00, 0.000E+00, 6.454E-01,-2.277E-01, 0.000E+00, 7.190E-03, 0.000E+00, 1.383E-03, 0.000E+00
 6.300E+02, 2.237E+02, 0.000E+00,-7.089E+01,-1.532E+02,-2.162E+00, 3.741E-01, 0.000E+00, 0.000E+00,-1.320E+00,-2.200E+00, 0.000E+00, 6.448E-03, 0.000E+00, 1.383E-03, 0.000E+00
 6.400E+02, 2.035E+02, 0.000E+00,-6.407E+01,-1.399E+02,-1.970E+00, 5.168E-01, 0.000E+00, 0.000E+00,-1.044E+00,-1.867E+00, 0.000E+00, 5.625E-03, 0.000E+00, 1.383E-03, 0.000E+00
 6.500E+02, 1.841E+02, 0.000E+00,-5.736E+01,-1.280E+02,-1.322E+00, 6.320E-01, 0.000E+00, 0.000E+00,-1.265E+00,-1.985E+00, 0.000E+00, 4.867E-03, 0.000E+00, 1.383E-03, 0.000E+00
