s,kW/m2,,
Time,"flux","d43","w"
 1.0707152E+001, 1.4360709E+000, 1.2628328E-004,-3.1807810E+000
 1.0800158E+001, 1.4315927E+000, 1.2615282E-004,-3.1823555E+000
 1.0916414E+001, 1.4270733E+000, 1.2601072E-004,-3.1843966E+000
 1.1018720E+001, 1.4268477E+000, 1.2593025E-004,-3.1860703E+000
 1.1121026E+001, 1.4252926E+000, 1.2585199E-004,-3.1854534E+000
 1.1223332E+001, 1.4249959E+000, 1.2564964E-004,-3.1851266E+000
 1.1300061E+001, 1.4268612E+000, 1.2564714E-004,-3.1872062E+000
 1.1402367E+001, 1.4321292E+000, 1.2553705E-004,-3.1885203E+000
 1.1504672E+001, 1.4336439E+000, 1.2548167E-004,-3.1906582E+000
 1.1606978E+001, 1.4320282E+000, 1.2547455E-004,-3.1925946E+000
 1.1709284E+001, 1.4319795E+000, 1.2539161E-004,-3.1951981E+000
 1.1811590E+001, 1.4324868E+000, 1.2527343E-004,-3.1968156E+000
 1.1913895E+001, 1.4313265E+000, 1.2517361E-004,-3.1974835E+000
 1.2016201E+001, 1.4298010E+000, 1.2508578E-004,-3.1986215E+000
 1.2118507E+001, 1.4292476E+000, 1.2502446E-004,-3.2003864E+000
 1.2220813E+001, 1.4294253E+000, 1.2497421E-004,-3.2022145E+000
 1.2323119E+001, 1.4306810E+000, 1.2492964E-004,-3.2035152E+000
 1.2425424E+001, 1.4308382E+000, 1.2484600E-004,-3.2047968E+000
 1.2502154E+001, 1.4302579E+000, 1.2488172E-004,-3.2055562E+000
 1.2604459E+001, 1.4267694E+000, 1.2480346E-004,-3.2078720E+000
 1.2706765E+001, 1.4265446E+000, 1.2473411E-004,-3.2096752E+000
 1.2809071E+001, 1.4286073E+000, 1.2472674E-004,-3.2113032E+000
 1.2911377E+001, 1.4299530E+000, 1.2467488E-004,-3.2118210E+000
 1.3013683E+001, 1.4298778E+000, 1.2461838E-004,-3.2123257E+000
 1.3115988E+001, 1.4300012E+000, 1.2464004E-004,-3.2133230E+000
 1.3218294E+001, 1.4292518E+000, 1.2462298E-004,-3.2146237E+000
 1.3320600E+001, 1.4293646E+000, 1.2463151E-004,-3.2165114E+000
 1.3422906E+001, 1.4303663E+000, 1.2455893E-004,-3.2170560E+000
 1.3525211E+001, 1.4292054E+000, 1.2442322E-004,-3.2170891E+000
 1.3601941E+001, 1.4281158E+000, 1.2428034E-004,-3.2182371E+000
 1.3704246E+001, 1.4287511E+000, 1.2421904E-004,-3.2190249E+000
 1.3806552E+001, 1.4273111E+000, 1.2425256E-004,-3.2194309E+000
 1.3908858E+001, 1.4267447E+000, 1.2416006E-004,-3.2197970E+000
 1.4011164E+001, 1.4263463E+000, 1.2413879E-004,-3.2203105E+000
 1.4113470E+001, 1.4291010E+000, 1.2415278E-004,-3.2210111E+000
 1.4215775E+001, 1.4322594E+000, 1.2408288E-004,-3.2220037E+000
 1.4318081E+001, 1.4318603E+000, 1.2409414E-004,-3.2224353E+000
 1.4420387E+001, 1.4293858E+000, 1.2400072E-004,-3.2223445E+000
 1.4522693E+001, 1.4302512E+000, 1.2396963E-004,-3.2231094E+000
 1.4624998E+001, 1.4313424E+000, 1.2390181E-004,-3.2238792E+000
 1.4701728E+001, 1.4308805E+000, 1.2387968E-004,-3.2240637E+000
 1.4804034E+001, 1.4289517E+000, 1.2386075E-004,-3.2251195E+000
 1.4906339E+001, 1.4296519E+000, 1.2383175E-004,-3.2264597E+000
 1.5000000E+001, 1.4296630E+000, 1.2386015E-004,-3.2276478E+000
