s,kW/m2,,
Time,flux,d43,w
 1.3800967E+001, 1.3568969E+000, 2.2261299E-004,-6.8104195E+000
 1.3904165E+001, 1.3628658E+000, 2.2241070E-004,-6.8106239E+000
 1.4007363E+001, 1.3697001E+000, 2.2230201E-004,-6.8120661E+000
 1.4110562E+001, 1.3686553E+000, 2.2240034E-004,-6.8142248E+000
 1.4200860E+001, 1.3645034E+000, 2.2230315E-004,-6.8129681E+000
 1.4304058E+001, 1.3614255E+000, 2.2221395E-004,-6.8150084E+000
 1.4407257E+001, 1.3658528E+000, 2.2200595E-004,-6.8171749E+000
 1.4510455E+001, 1.3704779E+000, 2.2198445E-004,-6.8190916E+000
 1.4600754E+001, 1.3691445E+000, 2.2186772E-004,-6.8214421E+000
 1.4703952E+001, 1.3573192E+000, 2.2167446E-004,-6.8255005E+000
 1.4807150E+001, 1.3528111E+000, 2.2159583E-004,-6.8292265E+000
 1.4910349E+001, 1.3575400E+000, 2.2174788E-004,-6.8315578E+000
 1.5000000E+001, 1.3597102E+000, 2.2184380E-004,-6.8336015E+000
