cm,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,K,K,K,K,K,K,K,K,K,K,K,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,C,C,C,C,C,C,C,C,C,C,C,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m,kW/m2,m,kW/m2
 5.0000000E+000,-3.8061855E-001,-4.1121111E-001,-3.6967988E-001,-2.9827819E-001,-2.2410810E-001,-1.6627243E-001,-1.1171035E-001,-7.7182480E-002,-4.9433755E-002,-3.3045004E-002, 1.7956090E-002, 3.8640184E-001, 7.9042652E-001, 1.1302472E+000, 1.3863745E+000, 1.5901230E+000, 1.7591631E+000, 1.9059458E+000, 2.0374406E+000, 2.1547327E+000, 2.2595112E+000, 2.6282016E+000, 6.9362050E+002, 1.0401168E+003, 1.1357201E+003, 1.1246413E+003, 1.0870464E+003, 1.0501832E+003, 1.0220324E+003, 1.0006654E+003, 9.8397448E+002, 9.6848764E+002, 8.8875900E+002, 3.7562882E-001, 3.1250749E-001, 2.9716093E-001, 2.9574504E-001, 3.0246261E-001, 3.1864543E-001, 3.3358843E-001, 3.5214160E-001, 3.6834671E-001, 3.8486424E-001, 4.7110050E-001, 1.9036983E-001, 2.6593990E-001, 3.5768303E-001, 4.5606168E-001, 5.5215829E-001, 6.3971896E-001, 7.1300838E-001, 7.7514784E-001, 8.2905430E-001, 8.7759416E-001, 1.0805838E+000, 1.5236709E+002, 2.2097256E+002, 2.1356349E+002, 2.3093228E+002, 2.4901572E+002, 2.6138706E+002, 2.6834961E+002, 2.7253010E+002, 2.7568288E+002, 2.7749090E+002, 2.8018517E+002,-1.0892899E-002,-1.9862498E-002,-8.2399861E-003, 1.4895006E-002, 4.1150843E-002, 6.9593374E-002, 9.2300314E-002, 1.1398642E-001, 1.3681689E-001, 1.5483978E-001, 2.3455267E-001, 1.4714590E+000, 2.1381093E+001, 4.3795260E+001, 6.9492832E+001, 9.6861385E+001, 1.2205249E+002, 1.4347707E+002, 1.6108545E+002, 1.7590587E+002, 1.8783182E+002, 2.3264915E+002,-3.4065589E+001,-3.1881698E+001,-5.9350303E+000, 1.2952205E+001, 2.5427126E+001, 3.5193272E+001, 4.0976186E+001, 4.5708230E+001, 5.0507499E+001, 5.4413848E+001, 6.7528316E+001, 1.8243243E-001, 7.7159803E-001, 3.2605598E-001, 7.0939011E-001
 6.0000000E+000,-5.6128068E-001,-5.0385268E-001,-4.0607270E-001,-3.1214260E-001,-2.3405974E-001,-1.7218801E-001,-1.2230671E-001,-9.1110470E-002,-6.4423120E-002,-4.7635506E-002, 5.3271169E-003, 4.1775960E-001, 7.3737249E-001, 9.2252251E-001, 1.0465894E+000, 1.1631133E+000, 1.2739746E+000, 1.3872330E+000, 1.4931500E+000, 1.5909978E+000, 1.6758436E+000, 2.0118772E+000, 8.5266121E+002, 1.0733069E+003, 9.9907552E+002, 8.9626604E+002, 8.2670641E+002, 7.8895618E+002, 7.7024139E+002, 7.5862153E+002, 7.5034515E+002, 7.4320412E+002, 7.0697078E+002, 3.6189656E-001, 2.7334022E-001, 2.5084484E-001, 2.5230198E-001, 2.6734747E-001, 2.8661690E-001, 3.0236896E-001, 3.2108877E-001, 3.3940657E-001, 3.5799618E-001, 4.3597721E-001, 2.3299258E-001, 3.5109981E-001, 4.6708473E-001, 5.6331837E-001, 6.2597241E-001, 6.7939903E-001, 7.2131352E-001, 7.6091426E-001, 8.0076847E-001, 8.3923829E-001, 1.0017470E+000, 1.5818196E+002, 1.9464319E+002, 2.6079578E+002, 2.7946259E+002, 2.7438399E+002, 2.6733385E+002, 2.6381522E+002, 2.6305170E+002, 2.6324430E+002, 2.6411010E+002, 2.5088100E+002,-3.6740662E-003,-2.4913271E-003, 1.7027318E-002, 3.7561198E-002, 6.2379868E-002, 8.6608278E-002, 1.0632774E-001, 1.2623751E-001, 1.4537271E-001, 1.6346781E-001, 2.3479736E-001,-2.2269654E+000, 3.5823973E+001, 8.4729378E+001, 1.1758089E+002, 1.3230237E+002, 1.3932920E+002, 1.4522204E+002, 1.5183423E+002, 1.5932679E+002, 1.6672817E+002, 1.8914963E+002,-2.8054221E+001, 1.3940383E+000, 1.6434406E+001, 2.2915226E+001, 2.9184633E+001, 3.5125251E+001, 3.9912104E+001, 4.4705931E+001, 4.9192274E+001, 5.3748592E+001, 6.1570768E+001, 2.0270270E-001, 7.7257498E-001, 3.4434318E-001, 7.0939011E-001
 7.0000000E+000,-5.6128068E-001,-5.0385268E-001,-4.0607270E-001,-3.1214260E-001,-2.3405974E-001,-1.7218801E-001,-1.2230671E-001,-9.1110470E-002,-6.4423120E-002,-4.7635506E-002, 5.3271169E-003, 4.1775960E-001, 7.3737249E-001, 9.2252251E-001, 1.0465894E+000, 1.1631133E+000, 1.2739746E+000, 1.3872330E+000, 1.4931500E+000, 1.5909978E+000, 1.6758436E+000, 2.0118772E+000, 8.5266121E+002, 1.0733069E+003, 9.9907552E+002, 8.9626604E+002, 8.2670641E+002, 7.8895618E+002, 7.7024139E+002, 7.5862153E+002, 7.5034515E+002, 7.4320412E+002, 7.0697078E+002, 3.6189656E-001, 2.7334022E-001, 2.5084484E-001, 2.5230198E-001, 2.6734747E-001, 2.8661690E-001, 3.0236896E-001, 3.2108877E-001, 3.3940657E-001, 3.5799618E-001, 4.3597721E-001, 2.3299258E-001, 3.5109981E-001, 4.6708473E-001, 5.6331837E-001, 6.2597241E-001, 6.7939903E-001, 7.2131352E-001, 7.6091426E-001, 8.0076847E-001, 8.3923829E-001, 1.0017470E+000, 1.5818196E+002, 1.9464319E+002, 2.6079578E+002, 2.7946259E+002, 2.7438399E+002, 2.6733385E+002, 2.6381522E+002, 2.6305170E+002, 2.6324430E+002, 2.6411010E+002, 2.5088100E+002,-3.6740662E-003,-2.4913271E-003, 1.7027318E-002, 3.7561198E-002, 6.2379868E-002, 8.6608278E-002, 1.0632774E-001, 1.2623751E-001, 1.4537271E-001, 1.6346781E-001, 2.3479736E-001,-2.2269654E+000, 3.5823973E+001, 8.4729378E+001, 1.1758089E+002, 1.3230237E+002, 1.3932920E+002, 1.4522204E+002, 1.5183423E+002, 1.5932679E+002, 1.6672817E+002, 1.8914963E+002,-2.8054221E+001, 1.3940383E+000, 1.6434406E+001, 2.2915226E+001, 2.9184633E+001, 3.5125251E+001, 3.9912104E+001, 4.4705931E+001, 4.9192274E+001, 5.3748592E+001, 6.1570768E+001, 2.2297297E-001, 7.7178483E-001, 3.6263120E-001, 6.0202322E-001
 8.0000000E+000,-6.4782202E-001,-5.0461835E-001,-3.8810653E-001,-3.0104322E-001,-2.3744821E-001,-1.8594214E-001,-1.4582423E-001,-1.1949014E-001,-9.3267892E-002,-7.3842971E-002,-1.3888713E-002, 3.6216887E-001, 5.0875409E-001, 5.7802608E-001, 6.3627258E-001, 7.1075595E-001, 7.9836284E-001, 8.8226590E-001, 9.6335193E-001, 1.0428104E+000, 1.1175576E+000, 1.4321135E+000, 9.2055179E+002, 8.8880056E+002, 7.2434942E+002, 6.2395039E+002, 5.7568983E+002, 5.5517409E+002, 5.4837730E+002, 5.4708434E+002, 5.4847359E+002, 5.5007183E+002, 5.5229998E+002, 3.0308209E-001, 2.2955945E-001, 2.1139541E-001, 2.1366427E-001, 2.2794865E-001, 2.4352468E-001, 2.5812798E-001, 2.7133955E-001, 2.8662356E-001, 3.0600108E-001, 3.8236122E-001, 2.9696148E-001, 4.0938112E-001, 4.6967384E-001, 5.0421802E-001, 5.3302532E-001, 5.5256871E-001, 5.8094496E-001, 6.1503646E-001, 6.4866169E-001, 6.8357017E-001, 8.3796019E-001, 1.1226344E+002, 2.2204945E+002, 2.3577973E+002, 2.1476406E+002, 1.9672052E+002, 1.8709639E+002, 1.8475828E+002, 1.8719007E+002, 1.9124664E+002, 1.9572646E+002, 1.9382038E+002, 1.3200060E-003, 1.5580494E-003, 1.8107331E-002, 3.2648550E-002, 4.5609297E-002, 5.6393155E-002, 6.7279238E-002, 8.1611974E-002, 9.6316083E-002, 1.1253884E-001, 1.8466597E-001, 2.0233275E+000, 5.8338196E+001, 8.1110585E+001, 8.0874826E+001, 7.7913278E+001, 7.6212525E+001, 7.7562293E+001, 8.2464983E+001, 8.8771731E+001, 9.6066959E+001, 1.1978311E+002,-7.0296578E-001, 9.2739587E+000, 1.2977405E+001, 1.4867166E+001, 1.7179154E+001, 1.9180089E+001, 2.1396851E+001, 2.3996522E+001, 2.6947340E+001, 3.0746044E+001, 4.1401987E+001, 2.4324324E-001, 7.6833294E-001, 3.8091994E-001, 5.4850102E-001
 9.0000000E+000,-6.4782202E-001,-5.0461835E-001,-3.8810653E-001,-3.0104322E-001,-2.3744821E-001,-1.8594214E-001,-1.4582423E-001,-1.1949014E-001,-9.3267892E-002,-7.3842971E-002,-1.3888713E-002, 3.6216887E-001, 5.0875409E-001, 5.7802608E-001, 6.3627258E-001, 7.1075595E-001, 7.9836284E-001, 8.8226590E-001, 9.6335193E-001, 1.0428104E+000, 1.1175576E+000, 1.4321135E+000, 9.2055179E+002, 8.8880056E+002, 7.2434942E+002, 6.2395039E+002, 5.7568983E+002, 5.5517409E+002, 5.4837730E+002, 5.4708434E+002, 5.4847359E+002, 5.5007183E+002, 5.5229998E+002, 3.0308209E-001, 2.2955945E-001, 2.1139541E-001, 2.1366427E-001, 2.2794865E-001, 2.4352468E-001, 2.5812798E-001, 2.7133955E-001, 2.8662356E-001, 3.0600108E-001, 3.8236122E-001, 2.9696148E-001, 4.0938112E-001, 4.6967384E-001, 5.0421802E-001, 5.3302532E-001, 5.5256871E-001, 5.8094496E-001, 6.1503646E-001, 6.4866169E-001, 6.8357017E-001, 8.3796019E-001, 1.1226344E+002, 2.2204945E+002, 2.3577973E+002, 2.1476406E+002, 1.9672052E+002, 1.8709639E+002, 1.8475828E+002, 1.8719007E+002, 1.9124664E+002, 1.9572646E+002, 1.9382038E+002, 1.3200060E-003, 1.5580494E-003, 1.8107331E-002, 3.2648550E-002, 4.5609297E-002, 5.6393155E-002, 6.7279238E-002, 8.1611974E-002, 9.6316083E-002, 1.1253884E-001, 1.8466597E-001, 2.0233275E+000, 5.8338196E+001, 8.1110585E+001, 8.0874826E+001, 7.7913278E+001, 7.6212525E+001, 7.7562293E+001, 8.2464983E+001, 8.8771731E+001, 9.6066959E+001, 1.1978311E+002,-7.0296578E-001, 9.2739587E+000, 1.2977405E+001, 1.4867166E+001, 1.7179154E+001, 1.9180089E+001, 2.1396851E+001, 2.3996522E+001, 2.6947340E+001, 3.0746044E+001, 4.1401987E+001, 2.6351351E-001, 7.6178094E-001, 3.9920929E-001, 5.0036929E-001
 1.0000000E+001,-5.8572366E-001,-4.4084578E-001,-3.4252562E-001,-2.7355281E-001,-2.2458596E-001,-1.8527508E-001,-1.5311400E-001,-1.3082314E-001,-1.1194537E-001,-9.7407940E-002,-4.4852874E-002, 2.8385170E-001, 3.3540692E-001, 3.5204518E-001, 3.8740575E-001, 4.2605958E-001, 4.5539749E-001, 4.9441649E-001, 5.3737994E-001, 5.8477984E-001, 6.3910418E-001, 9.2782362E-001, 8.3555015E+002, 6.7970898E+002, 5.3403735E+002, 4.6483522E+002, 4.3436071E+002, 4.2181766E+002, 4.1752018E+002, 4.1701516E+002, 4.1995773E+002, 4.2392066E+002, 4.4306780E+002, 2.5332303E-001, 1.8989628E-001, 1.7275713E-001, 1.7504440E-001, 1.8539772E-001, 1.9598302E-001, 2.0981766E-001, 2.2090766E-001, 2.2960078E-001, 2.4273811E-001, 3.2438532E-001, 3.2906729E-001, 3.8305152E-001, 4.0497442E-001, 4.0814082E-001, 4.0883658E-001, 4.1983539E-001, 4.3515437E-001, 4.5458531E-001, 4.7953743E-001, 5.0777187E-001, 6.6788560E-001, 1.2716338E+002, 1.9492400E+002, 1.6999538E+002, 1.3777459E+002, 1.1655954E+002, 1.0888342E+002, 1.1005344E+002, 1.1124728E+002, 1.1320923E+002, 1.1633997E+002, 1.3537261E+002, 1.6570188E-003, 9.0064657E-003, 1.9693181E-002, 2.5487852E-002, 2.9577415E-002, 3.2587331E-002, 3.7116807E-002, 4.2894726E-002, 4.8842139E-002, 5.6153607E-002, 1.1565215E-001, 1.0572079E+001, 4.8365470E+001, 4.8199869E+001, 4.0361053E+001, 3.3973273E+001, 3.1441078E+001, 3.2253597E+001, 3.4048641E+001, 3.6598686E+001, 4.0512397E+001, 6.5938458E+001, 7.7692383E+000, 1.0079570E+001, 8.8862368E+000, 7.7296508E+000, 7.3723508E+000, 7.6289566E+000, 8.4070167E+000, 9.0567430E+000, 9.4963244E+000, 1.0507939E+001, 2.0140876E+001, 2.8378378E-001, 7.5216225E-001, 4.1749917E-001, 4.3311120E-001
 1.1000000E+001,-5.8572366E-001,-4.4084578E-001,-3.4252562E-001,-2.7355281E-001,-2.2458596E-001,-1.8527508E-001,-1.5311400E-001,-1.3082314E-001,-1.1194537E-001,-9.7407940E-002,-4.4852874E-002, 2.8385170E-001, 3.3540692E-001, 3.5204518E-001, 3.8740575E-001, 4.2605958E-001, 4.5539749E-001, 4.9441649E-001, 5.3737994E-001, 5.8477984E-001, 6.3910418E-001, 9.2782362E-001, 8.3555015E+002, 6.7970898E+002, 5.3403735E+002, 4.6483522E+002, 4.3436071E+002, 4.2181766E+002, 4.1752018E+002, 4.1701516E+002, 4.1995773E+002, 4.2392066E+002, 4.4306780E+002, 2.5332303E-001, 1.8989628E-001, 1.7275713E-001, 1.7504440E-001, 1.8539772E-001, 1.9598302E-001, 2.0981766E-001, 2.2090766E-001, 2.2960078E-001, 2.4273811E-001, 3.2438532E-001, 3.2906729E-001, 3.8305152E-001, 4.0497442E-001, 4.0814082E-001, 4.0883658E-001, 4.1983539E-001, 4.3515437E-001, 4.5458531E-001, 4.7953743E-001, 5.0777187E-001, 6.6788560E-001, 1.2716338E+002, 1.9492400E+002, 1.6999538E+002, 1.3777459E+002, 1.1655954E+002, 1.0888342E+002, 1.1005344E+002, 1.1124728E+002, 1.1320923E+002, 1.1633997E+002, 1.3537261E+002, 1.6570188E-003, 9.0064657E-003, 1.9693181E-002, 2.5487852E-002, 2.9577415E-002, 3.2587331E-002, 3.7116807E-002, 4.2894726E-002, 4.8842139E-002, 5.6153607E-002, 1.1565215E-001, 1.0572079E+001, 4.8365470E+001, 4.8199869E+001, 4.0361053E+001, 3.3973273E+001, 3.1441078E+001, 3.2253597E+001, 3.4048641E+001, 3.6598686E+001, 4.0512397E+001, 6.5938458E+001, 7.7692383E+000, 1.0079570E+001, 8.8862368E+000, 7.7296508E+000, 7.3723508E+000, 7.6289566E+000, 8.4070167E+000, 9.0567430E+000, 9.4963244E+000, 1.0507939E+001, 2.0140876E+001, 3.0405405E-001, 7.3990580E-001, 4.3578951E-001, 4.3311120E-001
 1.2000000E+001,-4.1725659E-001,-3.5774925E-001,-2.9079374E-001,-2.4141544E-001,-2.0241418E-001,-1.7657259E-001,-1.5190501E-001,-1.3410254E-001,-1.2073471E-001,-1.1276917E-001,-8.3800733E-002, 1.8016753E-001, 1.7462979E-001, 1.7877882E-001, 1.8775918E-001, 1.8831633E-001, 2.0963437E-001, 2.3761753E-001, 2.6706680E-001, 2.9635681E-001, 3.2696718E-001, 5.3203786E-001, 6.6838254E+002, 5.0877844E+002, 4.1549815E+002, 3.7583830E+002, 3.5733855E+002, 3.4884993E+002, 3.4671019E+002, 3.4788504E+002, 3.5010475E+002, 3.5219244E+002, 3.7421860E+002, 2.1832393E-001, 1.5528706E-001, 1.3849582E-001, 1.3499211E-001, 1.3718734E-001, 1.4379217E-001, 1.5448265E-001, 1.6821684E-001, 1.7848684E-001, 1.8766647E-001, 2.6605878E-001, 3.4421842E-001, 3.5218698E-001, 3.3693147E-001, 3.2134717E-001, 3.1603403E-001, 3.0604791E-001, 3.0706916E-001, 3.1432533E-001, 3.2722783E-001, 3.4358344E-001, 5.0088589E-001, 1.2792592E+002, 1.4922799E+002, 1.0991096E+002, 8.0449614E+001, 6.2582103E+001, 5.3102343E+001, 5.0956921E+001, 5.7244378E+001, 6.0720070E+001, 5.9388818E+001, 8.5770999E+001, 5.4765962E-003, 1.3629645E-002, 1.5805288E-002, 1.5082016E-002, 1.3282805E-002, 1.2759970E-002, 1.2255880E-002, 1.4331633E-002, 1.7369837E-002, 2.0744350E-002, 5.3293147E-002, 1.4301987E+001, 3.5007830E+001, 2.5931735E+001, 1.7966577E+001, 1.3506992E+001, 1.1062936E+001, 1.0005579E+001, 1.0620295E+001, 1.1445231E+001, 1.2294298E+001, 2.9534963E+001, 6.3487160E+000, 5.9996690E+000, 3.9312224E+000, 3.0862029E+000, 2.0330880E+000, 1.5852396E+000, 1.2098750E+000, 1.3622468E+000, 1.5859726E+000, 1.6148334E+000, 6.3444404E+000, 3.2432432E-001, 7.2563274E-001, 4.5408027E-001, 3.7706795E-001
 1.3000000E+001,-4.1725659E-001,-3.5774925E-001,-2.9079374E-001,-2.4141544E-001,-2.0241418E-001,-1.7657259E-001,-1.5190501E-001,-1.3410254E-001,-1.2073471E-001,-1.1276917E-001,-8.3800733E-002, 1.8016753E-001, 1.7462979E-001, 1.7877882E-001, 1.8775918E-001, 1.8831633E-001, 2.0963437E-001, 2.3761753E-001, 2.6706680E-001, 2.9635681E-001, 3.2696718E-001, 5.3203786E-001, 6.6838254E+002, 5.0877844E+002, 4.1549815E+002, 3.7583830E+002, 3.5733855E+002, 3.4884993E+002, 3.4671019E+002, 3.4788504E+002, 3.5010475E+002, 3.5219244E+002, 3.7421860E+002, 2.1832393E-001, 1.5528706E-001, 1.3849582E-001, 1.3499211E-001, 1.3718734E-001, 1.4379217E-001, 1.5448265E-001, 1.6821684E-001, 1.7848684E-001, 1.8766647E-001, 2.6605878E-001, 3.4421842E-001, 3.5218698E-001, 3.3693147E-001, 3.2134717E-001, 3.1603403E-001, 3.0604791E-001, 3.0706916E-001, 3.1432533E-001, 3.2722783E-001, 3.4358344E-001, 5.0088589E-001, 1.2792592E+002, 1.4922799E+002, 1.0991096E+002, 8.0449614E+001, 6.2582103E+001, 5.3102343E+001, 5.0956921E+001, 5.7244378E+001, 6.0720070E+001, 5.9388818E+001, 8.5770999E+001, 5.4765962E-003, 1.3629645E-002, 1.5805288E-002, 1.5082016E-002, 1.3282805E-002, 1.2759970E-002, 1.2255880E-002, 1.4331633E-002, 1.7369837E-002, 2.0744350E-002, 5.3293147E-002, 1.4301987E+001, 3.5007830E+001, 2.5931735E+001, 1.7966577E+001, 1.3506992E+001, 1.1062936E+001, 1.0005579E+001, 1.0620295E+001, 1.1445231E+001, 1.2294298E+001, 2.9534963E+001, 6.3487160E+000, 5.9996690E+000, 3.9312224E+000, 3.0862029E+000, 2.0330880E+000, 1.5852396E+000, 1.2098750E+000, 1.3622468E+000, 1.5859726E+000, 1.6148334E+000, 6.3444404E+000, 3.4459459E-001, 7.0998615E-001, 4.7237138E-001, 3.4754632E-001
 1.4000000E+001,-4.1725659E-001,-3.5774925E-001,-2.9079374E-001,-2.4141544E-001,-2.0241418E-001,-1.7657259E-001,-1.5190501E-001,-1.3410254E-001,-1.2073471E-001,-1.1276917E-001,-8.3800733E-002, 1.8016753E-001, 1.7462979E-001, 1.7877882E-001, 1.8775918E-001, 1.8831633E-001, 2.0963437E-001, 2.3761753E-001, 2.6706680E-001, 2.9635681E-001, 3.2696718E-001, 5.3203786E-001, 6.6838254E+002, 5.0877844E+002, 4.1549815E+002, 3.7583830E+002, 3.5733855E+002, 3.4884993E+002, 3.4671019E+002, 3.4788504E+002, 3.5010475E+002, 3.5219244E+002, 3.7421860E+002, 2.1832393E-001, 1.5528706E-001, 1.3849582E-001, 1.3499211E-001, 1.3718734E-001, 1.4379217E-001, 1.5448265E-001, 1.6821684E-001, 1.7848684E-001, 1.8766647E-001, 2.6605878E-001, 3.4421842E-001, 3.5218698E-001, 3.3693147E-001, 3.2134717E-001, 3.1603403E-001, 3.0604791E-001, 3.0706916E-001, 3.1432533E-001, 3.2722783E-001, 3.4358344E-001, 5.0088589E-001, 1.2792592E+002, 1.4922799E+002, 1.0991096E+002, 8.0449614E+001, 6.2582103E+001, 5.3102343E+001, 5.0956921E+001, 5.7244378E+001, 6.0720070E+001, 5.9388818E+001, 8.5770999E+001, 5.4765962E-003, 1.3629645E-002, 1.5805288E-002, 1.5082016E-002, 1.3282805E-002, 1.2759970E-002, 1.2255880E-002, 1.4331633E-002, 1.7369837E-002, 2.0744350E-002, 5.3293147E-002, 1.4301987E+001, 3.5007830E+001, 2.5931735E+001, 1.7966577E+001, 1.3506992E+001, 1.1062936E+001, 1.0005579E+001, 1.0620295E+001, 1.1445231E+001, 1.2294298E+001, 2.9534963E+001, 6.3487160E+000, 5.9996690E+000, 3.9312224E+000, 3.0862029E+000, 2.0330880E+000, 1.5852396E+000, 1.2098750E+000, 1.3622468E+000, 1.5859726E+000, 1.6148334E+000, 6.3444404E+000, 3.6486486E-001, 6.9430500E-001, 4.9066282E-001, 3.0530950E-001
 1.5000000E+001,-2.4278003E-001,-2.8346282E-001,-2.4363386E-001,-2.1028644E-001,-1.8054829E-001,-1.6316916E-001,-1.4777820E-001,-1.3523069E-001,-1.2580042E-001,-1.2224605E-001,-1.1025904E-001, 1.1881955E-001, 7.9820206E-002, 6.4778099E-002, 5.9289508E-002, 5.8268391E-002, 6.2331448E-002, 7.3625431E-002, 8.6395584E-002, 1.0709978E-001, 1.2539860E-001, 2.5171811E-001, 4.9683568E+002, 3.9423557E+002, 3.4635760E+002, 3.2699556E+002, 3.1792919E+002, 3.1369098E+002, 3.1219646E+002, 3.1287819E+002, 3.1480948E+002, 3.1612346E+002, 3.3068704E+002, 1.8605554E-001, 1.2467057E-001, 1.0381762E-001, 9.7811690E-002, 9.8178380E-002, 1.0128640E-001, 1.0913345E-001, 1.2143268E-001, 1.3167520E-001, 1.4049352E-001, 2.0788408E-001, 3.0769740E-001, 2.9660617E-001, 2.6490563E-001, 2.3035515E-001, 2.1275851E-001, 2.0111108E-001, 1.9316763E-001, 1.9102009E-001, 1.9420523E-001, 2.0107048E-001, 3.0934429E-001, 1.1577214E+002, 9.7188911E+001, 6.2365802E+001, 4.2517876E+001, 3.1699115E+001, 2.6059494E+001, 2.3324752E+001, 2.5291858E+001, 3.0214604E+001, 2.9984890E+001, 5.1245378E+001, 1.0475837E-002, 1.7994934E-002, 1.1036553E-002, 7.5052390E-003, 5.6591360E-003, 5.3472136E-003, 4.7520754E-003, 4.3324623E-003, 4.7999728E-003, 5.6269625E-003, 1.5076185E-002, 1.1204747E+001, 1.8632992E+001, 1.0932403E+001, 6.3290376E+000, 4.1217377E+000, 3.0579302E+000, 2.5730821E+000, 2.5982716E+000, 2.9581138E+000, 3.0214527E+000, 1.0198386E+001, 5.6715616E+000, 3.5987807E+000, 1.4683242E+000, 6.4377998E-001, 3.1899946E-001, 2.2698005E-001, 9.9015822E-002,-1.3201125E-002,-1.6814720E-002,-1.5213322E-002, 1.0065702E+000, 3.8513514E-001, 6.7718900E-001, 5.0895454E-001, 2.8270005E-001
 1.6000000E+001,-1.3343264E-001,-2.1464059E-001,-2.0789374E-001,-1.8916260E-001,-1.6684744E-001,-1.4740587E-001,-1.3693288E-001,-1.3012680E-001,-1.2488213E-001,-1.2249973E-001,-1.1768342E-001, 7.2840667E-002, 9.0535243E-003,-2.9732094E-003, 2.5910212E-003, 1.5653021E-002, 2.3798374E-002, 3.1947476E-002, 4.1810739E-002, 4.5796212E-002, 5.1033791E-002, 1.0109964E-001, 3.2545484E+002, 3.1625534E+002, 3.0646273E+002, 3.0185428E+002, 3.0005699E+002, 2.9938872E+002, 2.9918461E+002, 2.9949541E+002, 3.0022905E+002, 3.0093917E+002, 3.0861734E+002, 1.2761415E-001, 9.0797448E-002, 7.2159476E-002, 6.7661229E-002, 6.7139583E-002, 7.0333424E-002, 7.5990334E-002, 8.3794284E-002, 9.3231779E-002, 1.0246629E-001, 1.5841595E-001, 1.9607879E-001, 1.8939636E-001, 1.6323729E-001, 1.3785085E-001, 1.1755170E-001, 1.0724684E-001, 1.0392637E-001, 1.0551273E-001, 1.0601923E-001, 1.1048963E-001, 1.7723221E-001, 3.9543901E+001, 3.4347202E+001, 2.3138649E+001, 1.3797454E+001, 8.7698491E+000, 6.6862428E+000, 5.9926265E+000, 6.7458360E+000, 8.8730964E+000, 1.0213185E+001, 3.1417025E+001, 3.0746111E-003, 7.5353321E-003, 4.1740746E-003, 1.8271881E-003, 9.8159885E-004, 4.0674154E-004, 1.1323557E-004, 2.1649604E-005,-3.7020510E-004,-8.2825411E-004, 2.2771147E-003, 2.2436282E+000, 2.9337173E+000, 1.7333914E+000, 7.7404628E-001, 3.4939880E-001, 2.0874497E-001, 1.5811750E-001, 1.7931679E-001, 2.2242908E-001, 2.6478600E-001, 3.1925944E+000, 1.7169819E+000, 1.0303036E+000, 2.2072683E-001,-8.9176311E-003,-9.0621990E-004,-5.4543434E-003,-2.8148702E-002,-7.1058750E-002,-1.3298028E-001,-1.6549896E-001,-4.4274808E-002, 4.0540541E-001, 6.5977832E-001, 5.2724652E-001, 2.6937221E-001
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.2567568E-001, 6.4213096E-001, 5.4553872E-001, 2.5025380E-001
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.4594595E-001, 6.2416592E-001, 5.6383114E-001, 2.2235427E-001
