s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 8.300E+02, 1.994E+02,-6.209E+01,-9.455E+01,-4.394E+01, 7.535E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.797E-01, 3.999E-03, 3.999E-03
 8.600E+02, 2.001E+02,-6.215E+01,-9.476E+01,-4.434E+01, 7.555E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.523E-01, 3.999E-03, 3.999E-03
 8.900E+02, 2.000E+02,-6.147E+01,-9.691E+01,-4.275E+01, 7.679E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.945E-01, 3.999E-03, 3.999E-03
 9.200E+02, 1.999E+02,-6.190E+01,-9.581E+01,-4.333E+01, 7.532E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.568E-01, 3.999E-03, 3.999E-03
 9.500E+02, 2.002E+02,-6.158E+01,-9.690E+01,-4.285E+01, 7.687E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.910E-01, 3.999E-03, 3.999E-03
 9.800E+02, 2.002E+02,-6.110E+01,-9.916E+01,-4.114E+01, 7.657E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.994E-01, 3.999E-03, 3.999E-03
 1.010E+03, 2.002E+02,-6.112E+01,-9.785E+01,-4.235E+01, 7.610E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.803E-01, 3.999E-03, 3.999E-03
 1.040E+03, 1.991E+02,-6.110E+01,-9.748E+01,-4.174E+01, 7.621E-01, 0.000E+00, 0.000E+00, 0.000E+00, 2.757E-29,-4.286E-01, 3.999E-03, 3.999E-03
 1.070E+03, 2.011E+02,-6.122E+01,-9.955E+01,-4.150E+01, 7.646E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.980E-01, 3.999E-03, 3.999E-03
 1.100E+03, 1.996E+02,-6.073E+01,-9.948E+01,-4.063E+01, 7.691E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.258E-01, 3.999E-03, 3.999E-03
