s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 1.360E+03, 1.960E+02,-9.428E+01,-5.332E+01,-4.903E+01, 6.715E-01,-1.658E-02, 0.000E+00,-6.296E-02, 6.542E-02, 3.999E-03, 3.999E-03,-2.172E+02
 1.390E+03, 1.958E+02,-9.425E+01,-5.357E+01,-4.850E+01, 6.701E-01, 1.258E-02, 0.000E+00, 4.303E-02, 1.657E-01, 3.999E-03, 3.999E-03,-2.137E+02
 1.420E+03, 1.963E+02,-9.435E+01,-5.358E+01,-4.890E+01, 6.719E-01,-1.085E-02, 0.000E+00,-4.246E-02, 8.640E-02, 3.999E-03, 3.999E-03,-2.171E+02
 1.450E+03, 1.961E+02,-9.472E+01,-5.332E+01,-4.865E+01, 6.710E-01,-2.351E-03, 0.000E+00,-1.295E-02, 1.163E-01, 3.999E-03, 3.999E-03,-2.181E+02
 1.480E+03, 1.962E+02,-9.502E+01,-5.321E+01,-4.834E+01, 6.679E-01, 6.096E-02, 0.000E+00, 2.209E-01, 3.312E-01, 3.999E-03, 3.999E-03,-2.005E+02
 1.510E+03, 1.960E+02,-9.460E+01,-5.406E+01,-4.782E+01, 6.685E-01, 8.209E-03, 0.000E+00, 2.798E-02, 1.521E-01, 3.999E-03, 3.999E-03,-1.983E+02
 1.540E+03, 1.960E+02,-9.452E+01,-5.437E+01,-4.781E+01, 6.696E-01,-4.096E-02, 0.000E+00,-1.406E-01,-2.575E-02, 3.999E-03, 3.999E-03,-2.095E+02
 1.570E+03, 1.960E+02,-9.502E+01,-5.359E+01,-4.796E+01, 6.713E-01,-1.721E-02, 0.000E+00,-5.895E-02, 5.943E-02, 3.999E-03, 3.999E-03,-2.142E+02
 1.600E+03, 1.963E+02,-9.561E+01,-5.328E+01,-4.797E+01, 6.657E-01, 7.945E-03, 0.000E+00, 3.102E-02, 1.480E-01, 3.999E-03, 3.999E-03,-2.117E+02
 1.630E+03, 1.961E+02,-9.511E+01,-5.382E+01,-4.755E+01, 6.673E-01, 6.369E-02, 0.000E+00, 2.191E-01, 3.483E-01, 3.999E-03, 3.999E-03,-1.943E+02
 1.660E+03, 1.959E+02,-9.501E+01,-5.429E+01,-4.728E+01, 6.679E-01,-3.185E-02, 0.000E+00,-9.828E-02,-2.180E-04, 3.999E-03, 3.999E-03,-2.021E+02
 1.690E+03, 1.958E+02,-9.509E+01,-5.412E+01,-4.716E+01, 6.682E-01,-2.497E-02, 0.000E+00,-1.055E-01, 4.561E-02, 3.999E-03, 3.999E-03,-2.105E+02
