s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
 9.000E+01, 7.823E+02, 5.934E+02, 4.923E+02, 2.229E+02, 7.437E+01, 6.602E+01, 5.735E+02, 5.382E+02, 5.248E+02, 4.333E+02, 2.631E+02, 9.594E+01, 1.016E+03, 9.780E+02, 8.461E+02, 8.486E+02, 4.016E+02, 9.852E+02, 7.865E+01, 2.845E+01, 1.510E+01, 3.069E+01, 1.075E+00, 8.915E-01, 5.316E-01, 1.317E+00, 3.496E+00,-8.428E-03, 5.651E-02,-4.372E-02,-5.526E-01, 3.718E-01, 1.122E+00, 9.063E-01, 4.604E-01,-7.157E-01,-3.014E+00,-8.555E-02,-2.312E-01,-1.211E-01, 6.130E-01, 8.125E-01, 1.081E+00, 2.716E+00
 1.000E+02, 7.474E+02, 5.116E+02, 4.070E+02, 2.095E+02, 9.578E+01, 6.619E+01, 5.741E+02, 5.359E+02, 5.203E+02, 4.359E+02, 2.318E+02, 9.635E+01, 1.043E+03, 1.008E+03, 8.622E+02, 8.687E+02, 4.640E+02, 1.244E+03, 8.068E+01, 2.926E+01, 1.578E+01, 3.116E+01, 1.055E+00, 8.743E-01, 5.363E-01, 1.349E+00, 3.646E+00, 1.377E-02,-1.152E-01,-8.654E-02,-5.409E-01, 3.744E-01, 1.092E+00, 8.538E-01, 4.458E-01,-7.610E-01,-3.176E+00,-8.689E-02,-1.859E-01,-8.477E-02, 7.041E-01, 6.692E-01, 1.086E+00, 2.855E+00
 1.100E+02, 7.955E+02, 5.473E+02, 4.279E+02, 1.688E+02, 8.223E+01, 6.764E+01, 5.777E+02, 5.342E+02, 5.206E+02, 4.122E+02, 2.235E+02, 9.907E+01, 1.060E+03, 9.858E+02, 8.888E+02, 8.626E+02, 3.141E+02, 1.147E+03, 8.299E+01, 2.910E+01, 1.571E+01, 2.627E+01, 1.085E+00, 9.045E-01, 5.603E-01, 1.262E+00, 3.439E+00,-3.216E-02,-5.841E-02,-6.021E-02,-2.281E-01, 4.261E-01, 1.116E+00, 9.093E-01, 5.282E-01,-7.885E-01,-2.980E+00,-1.139E-01,-2.151E-01,-1.769E-01, 6.481E-01, 7.053E-01, 1.144E+00, 2.860E+00
 1.200E+02, 7.634E+02, 5.328E+02, 4.237E+02, 1.800E+02, 8.791E+01, 6.703E+01, 5.851E+02, 5.372E+02, 5.248E+02, 4.660E+02, 2.265E+02, 9.993E+01, 1.045E+03, 1.010E+03, 8.645E+02, 8.558E+02, 4.106E+02, 1.180E+03, 8.231E+01, 3.104E+01, 1.614E+01, 3.231E+01, 1.085E+00, 8.828E-01, 5.516E-01, 1.378E+00, 3.567E+00, 1.332E-02,-3.791E-02,-6.178E-02,-6.259E-01, 3.247E-01, 1.118E+00, 9.060E-01, 4.908E-01,-7.775E-01,-3.098E+00,-1.097E-01,-1.975E-01,-1.293E-01, 7.122E-01, 9.489E-01, 1.148E+00, 2.653E+00
 1.300E+02, 7.900E+02, 5.336E+02, 4.263E+02, 1.852E+02, 8.376E+01, 7.021E+01, 5.766E+02, 5.403E+02, 5.252E+02, 4.230E+02, 2.117E+02, 1.004E+02, 1.057E+03, 9.941E+02, 8.778E+02, 8.632E+02, 3.320E+02, 1.180E+03, 9.296E+01, 2.914E+01, 1.652E+01, 2.421E+01, 1.112E+00, 9.102E-01, 5.717E-01, 1.286E+00, 3.465E+00, 7.787E-02,-1.489E-01,-1.132E-01,-4.605E-01, 1.801E-01, 1.162E+00, 8.808E-01, 5.306E-01,-8.023E-01,-3.043E+00,-4.913E-02,-2.718E-01,-1.692E-01, 7.630E-01, 7.053E-01, 1.123E+00, 2.936E+00
 1.400E+02, 7.728E+02, 5.923E+02, 4.920E+02, 1.999E+02, 7.990E+01, 7.163E+01, 5.844E+02, 5.364E+02, 5.153E+02, 3.846E+02, 1.667E+02, 1.038E+02, 9.965E+02, 9.752E+02, 8.581E+02, 8.555E+02, 1.659E+02, 9.463E+02, 8.914E+01, 3.073E+01, 1.766E+01, 2.278E+01, 1.090E+00, 8.936E-01, 6.034E-01, 1.282E+00, 3.444E+00, 7.035E-02,-5.912E-02,-2.634E-01,-3.867E-01, 4.739E-01, 1.131E+00, 8.818E-01, 4.336E-01,-7.960E-01,-3.004E+00,-9.881E-02,-2.539E-01,-9.812E-02, 5.335E-01, 7.924E-01, 1.228E+00, 2.813E+00
 1.500E+02, 8.181E+02, 5.953E+02, 5.007E+02, 2.387E+02, 1.003E+02, 7.214E+01, 5.858E+02, 5.490E+02, 5.422E+02, 4.121E+02, 1.963E+02, 1.069E+02, 1.057E+03, 1.001E+03, 8.849E+02, 8.712E+02, 2.346E+02, 1.084E+03, 9.582E+01, 3.166E+01, 1.789E+01, 2.801E+01, 1.104E+00, 9.087E-01, 5.417E-01, 1.441E+00, 3.749E+00, 8.915E-02,-1.469E-02,-2.096E-01,-5.696E-01, 4.588E-01, 1.134E+00, 8.893E-01, 3.812E-01,-8.888E-01,-3.254E+00,-1.623E-01,-2.934E-01,-1.270E-02, 5.459E-01, 6.487E-01, 1.192E+00, 2.846E+00
 1.600E+02, 8.104E+02, 5.704E+02, 4.386E+02, 2.216E+02, 9.700E+01, 7.687E+01, 5.916E+02, 5.396E+02, 5.232E+02, 4.276E+02, 1.967E+02, 1.097E+02, 1.038E+03, 9.948E+02, 8.524E+02, 8.683E+02, 2.900E+02, 1.141E+03, 9.394E+01, 3.100E+01, 1.726E+01, 2.258E+01, 1.134E+00, 9.271E-01, 5.988E-01, 1.176E+00, 3.576E+00,-3.191E-02, 1.205E-01,-1.064E-01,-3.089E-01, 5.053E-01, 1.173E+00, 9.285E-01, 5.160E-01,-8.161E-01,-3.163E+00,-1.019E-01,-2.679E-01,-1.545E-01, 7.014E-01, 7.749E-01, 1.115E+00, 2.820E+00
 1.700E+02, 7.895E+02, 6.892E+02, 5.837E+02, 2.580E+02, 1.042E+02, 7.746E+01, 6.004E+02, 5.392E+02, 5.244E+02, 4.202E+02, 2.250E+02, 1.125E+02, 1.033E+03, 9.564E+02, 8.830E+02, 8.529E+02, 2.481E+02, 1.060E+03, 9.108E+01, 3.392E+01, 1.819E+01, 2.410E+01, 1.118E+00, 9.078E-01, 5.106E-01, 1.274E+00, 3.730E+00, 2.803E-02, 5.645E-02,-1.027E-01,-3.720E-01, 7.424E-01, 1.158E+00, 9.070E-01, 3.461E-01,-9.259E-01,-3.325E+00,-1.165E-01,-2.418E-01,-6.929E-02, 6.037E-01, 3.626E-01, 1.291E+00, 2.680E+00
 1.800E+02, 7.986E+02, 6.638E+02, 6.045E+02, 3.355E+02, 1.144E+02, 7.785E+01, 6.099E+02, 5.558E+02, 5.395E+02, 4.597E+02, 2.342E+02, 1.092E+02, 1.010E+03, 9.672E+02, 8.625E+02, 8.595E+02, 2.200E+02, 1.250E+03, 9.361E+01, 3.361E+01, 1.927E+01, 2.297E+01, 1.165E+00, 9.441E-01, 5.922E-01, 1.321E+00, 3.737E+00, 9.743E-02,-1.149E-01,-1.435E-01,-3.560E-01, 6.078E-01, 1.196E+00, 9.535E-01, 5.209E-01,-9.148E-01,-3.331E+00,-1.733E-01,-1.924E-01,-1.804E-01, 6.067E-01, 4.817E-01, 1.273E+00, 2.837E+00
 1.900E+02, 8.382E+02, 6.737E+02, 5.757E+02, 2.804E+02, 1.341E+02, 7.970E+01, 6.108E+02, 5.606E+02, 5.506E+02, 4.988E+02, 3.156E+02, 1.166E+02, 1.053E+03, 1.012E+03, 9.063E+02, 8.844E+02, 3.029E+02, 1.165E+03, 1.012E+02, 3.681E+01, 1.967E+01, 3.073E+01, 1.165E+00, 9.473E-01, 6.735E-01, 1.548E+00, 3.883E+00, 8.049E-03,-4.432E-02,-1.642E-01,-5.640E-01, 7.087E-01, 1.222E+00, 9.443E-01, 4.816E-01,-9.749E-01,-3.296E+00,-1.151E-01,-2.820E-01,-2.071E-02, 6.534E-01, 6.008E-01, 1.410E+00, 3.007E+00
 2.000E+02, 8.119E+02, 6.088E+02, 5.215E+02, 2.874E+02, 1.127E+02, 8.166E+01, 6.085E+02, 5.709E+02, 5.638E+02, 5.225E+02, 2.845E+02, 1.159E+02, 1.072E+03, 1.003E+03, 9.145E+02, 8.888E+02, 4.005E+02, 1.170E+03, 8.652E+01, 3.473E+01, 1.918E+01, 3.508E+01, 1.179E+00, 9.586E-01, 6.025E-01, 1.609E+00, 3.742E+00, 3.322E-02,-2.010E-01,-1.629E-01,-7.129E-01, 1.507E-01, 1.213E+00, 9.291E-01, 5.296E-01,-9.611E-01,-3.278E+00,-1.892E-01,-2.590E-01,-8.666E-02, 8.174E-01, 8.648E-01, 1.427E+00, 3.052E+00
 2.100E+02, 8.168E+02, 6.741E+02, 5.410E+02, 2.969E+02, 1.165E+02, 8.243E+01, 6.106E+02, 5.581E+02, 5.459E+02, 4.835E+02, 3.042E+02, 1.205E+02, 1.050E+03, 9.819E+02, 9.051E+02, 8.812E+02, 1.562E+02, 1.073E+03, 1.089E+02, 3.762E+01, 2.070E+01, 2.795E+01, 1.182E+00, 9.623E-01, 5.399E-01, 1.572E+00, 3.794E+00, 7.740E-02,-7.906E-02,-1.558E-01,-6.850E-01, 5.656E-01, 1.226E+00, 9.660E-01, 3.290E-01,-9.478E-01,-3.370E+00,-1.106E-01,-2.016E-01,-5.590E-02, 6.125E-01, 5.952E-01, 1.320E+00, 3.006E+00
 2.200E+02, 8.137E+02, 5.477E+02, 4.076E+02, 1.675E+02, 9.177E+01, 8.127E+01, 6.033E+02, 5.606E+02, 5.536E+02, 4.871E+02, 2.716E+02, 1.196E+02, 1.054E+03, 9.795E+02, 9.244E+02, 8.778E+02, 6.110E+02, 1.138E+03, 8.701E+01, 3.648E+01, 1.965E+01, 3.568E+01, 1.197E+00, 9.776E-01, 5.811E-01, 1.592E+00, 3.807E+00, 5.602E-02,-9.261E-02,-2.143E-01,-7.957E-01, 2.572E-01, 1.231E+00, 9.687E-01, 4.339E-01,-9.640E-01,-3.315E+00,-1.377E-01,-2.263E-01,-1.637E-01, 6.626E-01, 8.598E-01, 1.304E+00, 3.018E+00
 2.300E+02, 8.169E+02, 6.447E+02, 5.533E+02, 2.608E+02, 1.253E+02, 8.150E+01, 5.941E+02, 5.502E+02, 5.313E+02, 4.424E+02, 2.335E+02, 1.214E+02, 1.058E+03, 9.978E+02, 8.885E+02, 8.701E+02, 4.480E+02, 1.226E+03, 1.001E+02, 3.601E+01, 2.070E+01, 3.053E+01, 1.182E+00, 9.919E-01, 6.267E-01, 1.520E+00, 3.744E+00, 9.903E-02,-1.461E-01,-2.119E-01,-4.444E-01, 3.982E-01, 1.225E+00, 9.876E-01, 5.165E-01,-1.037E+00,-3.318E+00,-1.072E-01,-1.919E-01,-2.027E-01, 6.380E-01, 5.786E-01, 1.295E+00, 2.958E+00
 2.400E+02, 8.036E+02, 6.145E+02, 5.069E+02, 2.404E+02, 1.197E+02, 8.438E+01, 6.095E+02, 5.699E+02, 5.594E+02, 4.917E+02, 2.990E+02, 1.203E+02, 1.059E+03, 9.848E+02, 9.134E+02, 8.840E+02, 3.054E+02, 1.205E+03, 9.705E+01, 3.748E+01, 2.105E+01, 2.999E+01, 1.208E+00, 9.943E-01, 5.884E-01, 1.423E+00, 3.905E+00,-3.916E-03,-1.766E-01,-1.033E-01,-5.493E-01, 3.836E-01, 1.250E+00, 9.620E-01, 4.260E-01,-9.144E-01,-3.392E+00,-1.113E-01,-2.752E-01,-4.637E-02, 6.564E-01, 9.658E-01, 1.432E+00, 2.806E+00
 2.500E+02, 8.413E+02, 7.076E+02, 6.065E+02, 2.834E+02, 1.062E+02, 8.544E+01, 6.137E+02, 5.580E+02, 5.439E+02, 4.823E+02, 3.060E+02, 1.280E+02, 1.077E+03, 1.008E+03, 9.061E+02, 8.832E+02, 2.167E+02, 1.151E+03, 1.167E+02, 3.769E+01, 2.126E+01, 2.543E+01, 1.215E+00, 9.970E-01, 5.309E-01, 1.443E+00, 3.907E+00,-7.038E-02, 6.477E-02,-5.225E-02, 1.332E-01, 9.038E-01, 1.262E+00, 9.907E-01, 4.248E-01,-1.070E+00,-3.461E+00,-8.407E-02,-2.644E-01,-7.600E-02, 5.971E-01, 2.252E-01, 1.303E+00, 3.154E+00
 2.600E+02, 8.209E+02, 7.063E+02, 6.319E+02, 3.150E+02, 1.500E+02, 8.737E+01, 6.151E+02, 5.672E+02, 5.542E+02, 4.814E+02, 2.852E+02, 1.306E+02, 1.029E+03, 9.619E+02, 9.135E+02, 8.449E+02, 2.450E+02, 8.133E+02, 1.045E+02, 3.848E+01, 2.291E+01, 2.777E+01, 1.213E+00, 1.001E+00, 7.063E-01, 1.540E+00, 3.695E+00,-1.505E-02, 3.860E-02,-3.049E-01,-5.559E-01, 6.704E-01, 1.267E+00, 9.960E-01, 2.812E-01,-1.042E+00,-3.299E+00,-8.665E-02,-2.601E-01,-2.390E-02, 4.466E-01, 5.952E-01, 1.398E+00, 2.898E+00
 2.700E+02, 8.614E+02, 6.932E+02, 5.651E+02, 3.124E+02, 1.375E+02, 8.792E+01, 6.192E+02, 5.620E+02, 5.458E+02, 4.765E+02, 3.099E+02, 1.310E+02, 1.079E+03, 1.019E+03, 9.030E+02, 8.791E+02, 3.045E+02, 1.164E+03, 1.148E+02, 3.925E+01, 2.237E+01, 2.594E+01, 1.218E+00, 1.003E+00, 6.751E-01, 1.609E+00, 3.995E+00, 3.413E-02,-6.309E-04,-1.350E-01,-7.338E-01, 7.182E-01, 1.260E+00, 9.825E-01, 4.556E-01,-9.830E-01,-3.547E+00,-1.409E-01,-2.639E-01,-2.702E-02, 7.018E-01, 2.997E-01, 1.398E+00, 2.895E+00
 2.800E+02, 8.414E+02, 7.023E+02, 6.207E+02, 3.306E+02, 1.202E+02, 9.108E+01, 6.258E+02, 5.679E+02, 5.535E+02, 4.851E+02, 3.118E+02, 1.311E+02, 1.081E+03, 9.918E+02, 9.193E+02, 8.890E+02, 1.780E+02, 1.046E+03, 1.131E+02, 3.730E+01, 2.252E+01, 2.406E+01, 1.235E+00, 9.919E-01, 5.919E-01, 1.616E+00, 3.816E+00, 7.137E-02,-2.110E-02,-9.259E-02,-6.690E-01, 5.253E-01, 1.273E+00, 9.488E-01, 5.031E-01,-1.101E+00,-3.403E+00,-1.237E-01,-3.347E-01,-1.588E-01, 5.290E-01, 5.841E-01, 1.340E+00, 3.208E+00
 2.900E+02, 8.240E+02, 7.428E+02, 6.834E+02, 3.593E+02, 1.261E+02, 9.158E+01, 6.176E+02, 5.754E+02, 5.646E+02, 4.927E+02, 2.976E+02, 1.325E+02, 1.049E+03, 9.746E+02, 9.002E+02, 8.709E+02, 1.869E+02, 1.205E+03, 1.146E+02, 3.947E+01, 2.454E+01, 2.775E+01, 1.247E+00, 1.026E+00, 5.988E-01, 1.660E+00, 4.036E+00,-2.947E-02,-1.158E-01,-1.776E-01,-3.984E-01, 8.371E-01, 1.294E+00, 1.010E+00, 3.850E-01,-1.094E+00,-3.607E+00,-9.061E-02,-3.029E-01,-2.344E-02, 5.353E-01, 2.386E-01, 1.570E+00, 2.929E+00
 3.000E+02, 8.279E+02, 7.358E+02, 7.022E+02, 4.965E+02, 1.690E+02, 9.778E+01, 6.156E+02, 5.604E+02, 5.500E+02, 4.654E+02, 2.448E+02, 1.401E+02, 1.046E+03, 9.872E+02, 8.996E+02, 8.905E+02, 2.552E+02, 1.097E+03, 1.242E+02, 3.968E+01, 2.482E+01, 2.735E+01, 1.275E+00, 1.043E+00, 6.056E-01, 1.682E+00, 4.119E+00,-1.893E-02,-1.450E-01,-4.294E-02,-4.922E-01, 1.074E+00, 1.327E+00, 1.023E+00, 5.394E-01,-1.080E+00,-3.663E+00,-8.661E-02,-3.088E-01,-1.188E-01, 5.475E-01, 8.336E-04, 1.462E+00, 3.090E+00
 3.100E+02, 8.590E+02, 7.090E+02, 6.089E+02, 3.127E+02, 1.387E+02, 9.467E+01, 6.431E+02, 5.912E+02, 5.807E+02, 5.272E+02, 3.336E+02, 1.463E+02, 1.077E+03, 1.019E+03, 9.314E+02, 9.020E+02, 4.974E+02, 1.241E+03, 1.144E+02, 4.064E+01, 2.371E+01, 3.583E+01, 1.295E+00, 1.036E+00, 6.167E-01, 1.904E+00, 4.086E+00, 4.161E-03,-1.696E-01,-1.040E-01,-7.934E-01, 7.483E-01, 1.325E+00, 9.955E-01, 5.309E-01,-1.113E+00,-3.575E+00,-1.720E-01,-3.236E-01,-1.204E-01, 6.727E-01, 4.376E-01, 1.702E+00, 3.020E+00
 3.200E+02, 8.861E+02, 7.197E+02, 6.685E+02, 3.376E+02, 1.265E+02, 9.742E+01, 6.255E+02, 5.778E+02, 5.664E+02, 5.188E+02, 2.484E+02, 1.403E+02, 1.061E+03, 1.001E+03, 9.186E+02, 8.971E+02, 3.363E+02, 1.241E+03, 1.266E+02, 3.965E+01, 2.427E+01, 2.866E+01, 1.270E+00, 1.025E+00, 5.962E-01, 1.538E+00, 4.011E+00, 6.599E-02,-8.852E-02,-1.901E-01,-2.568E-01, 8.170E-01, 1.298E+00, 1.010E+00, 3.885E-01,-1.063E+00,-3.556E+00,-1.840E-01,-2.988E-01,-7.036E-02, 5.872E-01, 1.448E-01, 1.544E+00, 3.091E+00
 3.300E+02, 8.506E+02, 6.918E+02, 5.635E+02, 2.649E+02, 1.149E+02, 9.386E+01, 6.070E+02, 5.599E+02, 5.421E+02, 4.332E+02, 2.355E+02, 1.395E+02, 1.051E+03, 9.854E+02, 8.892E+02, 8.842E+02, 1.718E+02, 9.627E+02, 1.116E+02, 3.808E+01, 2.351E+01, 2.442E+01, 1.277E+00, 1.032E+00, 5.992E-01, 1.304E+00, 3.797E+00,-1.302E-02, 4.148E-03,-1.214E-01,-4.937E-01, 7.125E-01, 1.308E+00, 1.026E+00, 4.819E-01,-9.807E-01,-3.356E+00,-1.814E-01,-2.734E-01,-1.317E-01, 5.866E-01, 5.976E-01, 1.428E+00, 2.967E+00
 3.400E+02, 8.363E+02, 7.316E+02, 6.861E+02, 4.032E+02, 1.544E+02, 9.738E+01, 6.269E+02, 5.791E+02, 5.603E+02, 4.816E+02, 2.884E+02, 1.496E+02, 1.052E+03, 9.872E+02, 9.110E+02, 8.852E+02, 2.244E+02, 1.081E+03, 1.206E+02, 4.290E+01, 2.590E+01, 2.798E+01, 1.257E+00, 1.003E+00, 5.947E-01, 1.719E+00, 3.933E+00, 3.346E-02,-2.236E-02,-2.062E-01,-4.094E-01, 6.670E-01, 1.311E+00, 9.896E-01, 4.408E-01,-1.068E+00,-3.445E+00,-7.846E-02,-2.796E-01,-2.907E-02, 4.047E-01, 7.563E-01, 1.495E+00, 3.150E+00
 3.500E+02, 8.498E+02, 6.987E+02, 6.212E+02, 3.020E+02, 1.351E+02, 9.738E+01, 6.241E+02, 5.765E+02, 5.637E+02, 4.780E+02, 2.223E+02, 1.465E+02, 1.072E+03, 1.022E+03, 9.237E+02, 9.168E+02, 1.469E+02, 1.243E+03, 1.196E+02, 4.110E+01, 2.474E+01, 2.747E+01, 1.305E+00, 1.077E+00, 6.233E-01, 1.583E+00, 3.983E+00, 9.379E-02, 5.233E-02,-1.618E-01,-6.759E-01, 5.239E-01, 1.340E+00, 1.063E+00, 4.986E-01,-1.072E+00,-3.572E+00,-1.652E-01,-3.318E-01,-8.414E-02, 5.063E-01, 4.380E-01, 1.394E+00, 2.970E+00
