s,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-35","HRRPUA-50","HRRPUA-75"
 1.480E+03, 8.003E+01, 0.000E+00, 0.000E+00
 1.490E+03, 8.013E+01, 0.000E+00, 0.000E+00
 1.500E+03, 8.024E+01, 0.000E+00, 0.000E+00
 1.510E+03, 8.078E+01, 0.000E+00, 0.000E+00
 1.520E+03, 8.124E+01, 0.000E+00, 0.000E+00
 1.530E+03, 8.083E+01, 0.000E+00, 0.000E+00
 1.540E+03, 8.022E+01, 0.000E+00, 0.000E+00
 1.550E+03, 8.021E+01, 0.000E+00, 0.000E+00
 1.560E+03, 8.040E+01, 0.000E+00, 0.000E+00
 1.570E+03, 8.036E+01, 0.000E+00, 0.000E+00
 1.580E+03, 8.050E+01, 0.000E+00, 0.000E+00
 1.590E+03, 8.040E+01, 0.000E+00, 0.000E+00
 1.600E+03, 7.946E+01, 0.000E+00, 0.000E+00
 1.610E+03, 7.856E+01, 0.000E+00, 0.000E+00
 1.620E+03, 7.749E+01, 0.000E+00, 0.000E+00
 1.630E+03, 7.615E+01, 0.000E+00, 0.000E+00
 1.640E+03, 7.393E+01, 0.000E+00, 0.000E+00
 1.650E+03, 7.067E+01, 0.000E+00, 0.000E+00
 1.660E+03, 6.750E+01, 0.000E+00, 0.000E+00
 1.670E+03, 6.385E+01, 0.000E+00, 0.000E+00
 1.680E+03, 6.007E+01, 0.000E+00, 0.000E+00
 1.690E+03, 5.709E+01, 0.000E+00, 0.000E+00
 1.700E+03, 5.510E+01, 0.000E+00, 0.000E+00
 1.710E+03, 5.427E+01, 0.000E+00, 0.000E+00
 1.720E+03, 5.356E+01, 0.000E+00, 0.000E+00
 1.730E+03, 5.232E+01, 0.000E+00, 0.000E+00
 1.740E+03, 5.061E+01, 0.000E+00, 0.000E+00
 1.750E+03, 4.866E+01, 0.000E+00, 0.000E+00
 1.760E+03, 4.594E+01, 0.000E+00, 0.000E+00
 1.770E+03, 4.289E+01, 0.000E+00, 0.000E+00
 1.780E+03, 4.074E+01, 0.000E+00, 0.000E+00
 1.790E+03, 3.923E+01, 0.000E+00, 0.000E+00
 1.800E+03, 3.765E+01, 0.000E+00, 0.000E+00
 1.810E+03, 3.560E+01, 0.000E+00, 0.000E+00
 1.820E+03, 3.309E+01, 0.000E+00, 0.000E+00
 1.830E+03, 3.079E+01, 0.000E+00, 0.000E+00
 1.840E+03, 2.915E+01, 0.000E+00, 0.000E+00
 1.850E+03, 7.542E+00, 0.000E+00, 0.000E+00
 1.860E+03, 0.000E+00, 0.000E+00, 0.000E+00
 1.870E+03, 0.000E+00, 0.000E+00, 0.000E+00
 1.875E+03, 0.000E+00, 0.000E+00, 0.000E+00
